reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40107c	0x49b3e8	import	0x40106a	OLEAUT32.dll.SysReAllocString
0x4010a6	0x49b32c	import	0x40109e	KERNEL32.dll.InterlockedDecrement
0x4010d3	0x49b414	import	0x4010c9	OLEAUT32.dll.SysStringLen
0x401246	0x49b3f0	import	0x401214	OLEAUT32.dll.VariantCopy
0x401285	0x49b3f0	import	0x401260	OLEAUT32.dll.VariantCopy
0x40129c	0x49b3ec	import	0x401260	OLEAUT32.dll.VariantClear
0x4012bb	0x49b410	import	0x401260	OLEAUT32.dll.VariantTimeToDosDateTime
0x401329	0x49b3ec	import	0x4012f6	OLEAUT32.dll.VariantClear
0x40186a	0x49b48c	import	0x4017e5	SHLWAPI.dll.StrCmpIW
0x4022d3	0x49b3f0	import	0x402207	OLEAUT32.dll.VariantCopy
0x40326e	0x49b488	import	0x403211	SHLWAPI.dll.PathCombineW
0x403280	0x49b490	import	0x403211	SHLWAPI.dll.PathFileExistsW
0x403299	0x49b484	import	0x403211	SHLWAPI.dll.PathAppendW
0x403431	0x49b488	import	0x4033ca	SHLWAPI.dll.PathCombineW
0x40343b	0x49b490	import	0x4033ca	SHLWAPI.dll.PathFileExistsW
0x4034db	0x49b468	import	0x40347b	SHLWAPI.dll.SHGetValueW
0x4035a1	0x49b468	import	0x403541	SHLWAPI.dll.SHGetValueW
0x403738	0x49b344	import	0x403711	KERNEL32.dll.CreateFileW
0x403752	0x49b174	import	0x403711	KERNEL32.dll.SetFilePointer
0x40376c	0x49b178	import	0x403711	KERNEL32.dll.WriteFile
0x403791	0x49b2fc	import	0x403711	KERNEL32.dll.CloseHandle
0x4037c1	0x49b344	import	0x4037a5	KERNEL32.dll.CreateFileW
0x4037dd	0x49b17c	import	0x4037a5	KERNEL32.dll.GetFileSize
0x4037e6	0x49b2fc	import	0x4037a5	KERNEL32.dll.CloseHandle
0x4037f7	0x49b490	import	0x4037f3	SHLWAPI.dll.PathFileExistsW
0x403805	0x49b45c	import	0x4037f3	SHLWAPI.dll.PathIsDirectoryW
0x403829	0x49b490	import	0x403825	SHLWAPI.dll.PathFileExistsW
0x403837	0x49b45c	import	0x403825	SHLWAPI.dll.PathIsDirectoryW
0x40385f	0x49b44c	import	0x403857	SHELL32.dll.SHCreateDirectoryExW
0x403985	0x49b558	import	0x403907	USER32.dll.wsprintfW
0x403a60	0x49b1c8	import	0x4039ad	KERNEL32.dll.FindFirstFileW
0x403c81	0x49b2c4	import	0x403c75	KERNEL32.dll.CopyFileW
0x403cab	0x49b47c	import	0x403c8d	SHLWAPI.dll.PathFindFileNameW
0x403cdb	0x49b48c	import	0x403c8d	SHLWAPI.dll.StrCmpIW
0x403d0c	0x49b2ac	import	0x403c8d	KERNEL32.dll.GetFileAttributesW
0x403d1b	0x49b340	import	0x403c8d	KERNEL32.dll.SetFileAttributesW
0x403d62	0x49b310	import	0x403d2f	KERNEL32.dll.RemoveDirectoryW
0x403d77	0x49b2b0	import	0x403d73	KERNEL32.dll.DeleteFileW
0x403d88	0x49b490	import	0x403d73	SHLWAPI.dll.PathFileExistsW
0x403d9a	0x49b1e4	import	0x403d73	KERNEL32.dll.MoveFileExW
0x403fcb	0x49b1c8	import	0x403f51	KERNEL32.dll.FindFirstFileW
0x404268	0x49b458	import	0x404220	SHLWAPI.dll.StrCmpNW
0x4042f4	0x49b458	import	0x4042a5	SHLWAPI.dll.StrCmpNW
0x4048af	0x49b478	import	0x404809	SHLWAPI.dll.StrCmpW
0x406242	0x49b478	import	0x406220	SHLWAPI.dll.StrCmpW
0x4062bb	0x49b038	import	0x406220	ADVAPI32.dll.RegOpenKeyExW
0x4062d5	0x49b030	import	0x406220	ADVAPI32.dll.RegQueryValueExW
0x4062e0	0x49b048	import	0x406220	ADVAPI32.dll.RegCloseKey
0x40960a	0x49b468	import	0x4095a4	SHLWAPI.dll.SHGetValueW
0x40966f	0x49b464	import	0x409646	SHLWAPI.dll.SHSetValueW
0x4096eb	0x49b468	import	0x40967f	SHLWAPI.dll.SHGetValueW
0x40972f	0x49b464	import	0x40971a	SHLWAPI.dll.SHSetValueW
0x409784	0x49b15c	import	0x40973f	KERNEL32.dll.WideCharToMultiByte
0x4097fd	0x49b158	import	0x4097ad	KERNEL32.dll.MultiByteToWideChar
0x40983a	0x49b158	import	0x409827	KERNEL32.dll.MultiByteToWideChar
0x4098cd	0x49b15c	import	0x4098af	KERNEL32.dll.WideCharToMultiByte
0x4098f4	0x49b15c	import	0x4098af	KERNEL32.dll.WideCharToMultiByte
0x409932	0x49b158	import	0x409920	KERNEL32.dll.MultiByteToWideChar
0x40a778	0x49b180	import	0x40a643	KERNEL32.dll.GetPrivateProfileStringA
0x40a815	0x49b328	import	0x40a805	KERNEL32.dll.WritePrivateProfileStringW
0x40a82c	0x49b184	import	0x40a81e	KERNEL32.dll.GetPrivateProfileIntW
