reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40102c	0x408254	import	0x401000	USER32.dll.DefWindowProcA
0x401047	0x408258	import	0x401000	USER32.dll.BeginPaint
0x40105b	0x40825c	import	0x401000	USER32.dll.GetClientRect
0x401068	0x408044	import	0x401000	GDI32.dll.DeleteObject
0x4010cf	0x408048	import	0x401000	GDI32.dll.CreateBrushIndirect
0x4010e4	0x408260	import	0x401000	USER32.dll.FillRect
0x401105	0x40804c	import	0x401000	GDI32.dll.CreateFontIndirectA
0x401126	0x408050	import	0x401000	GDI32.dll.SetBkMode
0x401130	0x408054	import	0x401000	GDI32.dll.SetTextColor
0x401139	0x408058	import	0x401000	GDI32.dll.SelectObject
0x401156	0x408264	import	0x401000	USER32.dll.DrawTextA
0x40116e	0x408268	import	0x401000	USER32.dll.EndPaint
0x4013ea	0x408134	import	0x40138f	KERNEL32.dll.MulDiv
0x4013fa	0x408250	import	0x40138f	USER32.dll.SendMessageA
0x4014aa	0x408004	import	0x401488	ADVAPI32.dll.RegOpenKeyExA
0x4014b4	0x408000	import	0x401488	ADVAPI32.dll.RegEnumKeyA
0x4014ef	0x408008	import	0x401488	ADVAPI32.dll.RegCloseKey
0x401514	0x408008	import	0x401488	ADVAPI32.dll.RegCloseKey
0x401578	0x408004	import	0x40153e	ADVAPI32.dll.RegOpenKeyExA
0x401631	0x408204	import	0x40158d	USER32.dll.PostQuitMessage
0x40169c	0x408088	import	0x40158d	KERNEL32.dll.Sleep
0x4016b5	0x40826c	import	0x40158d	USER32.dll.SetForegroundWindow
0x401738	0x408208	import	0x40158d	USER32.dll.ShowWindow
0x40177c	0x408084	import	0x40158d	KERNEL32.dll.SetFileAttributesA
0x4017db	0x408080	import	0x40158d	KERNEL32.dll.CreateDirectoryA
0x4017e5	0x40807c	import	0x40158d	KERNEL32.dll.GetLastError
0x4017f2	0x40807c	import	0x40158d	KERNEL32.dll.GetLastError
0x40180d	0x408078	import	0x40158d	KERNEL32.dll.GetFileAttributesA
0x401856	0x408074	import	0x40158d	KERNEL32.dll.SetCurrentDirectoryA
0x4018e2	0x408070	import	0x40158d	KERNEL32.dll.MoveFileA
0x401949	0x40806c	import	0x40158d	KERNEL32.dll.GetFullPathNameA
0x40198f	0x408068	import	0x40158d	KERNEL32.dll.GetShortPathNameA
0x4019af	0x408064	import	0x40158d	KERNEL32.dll.SearchPathA
0x401a70	0x408060	import	0x40158d	KERNEL32.dll.CompareFileTime
0x401bc2	0x4080a8	import	0x40158d	KERNEL32.dll.SetFileTime
0x401bcb	0x4080ec	import	0x40158d	KERNEL32.dll.CloseHandle
0x401d4a	0x4080f0	import	0x40158d	KERNEL32.dll.lstrcmpiA
0x401d5d	0x4080f4	import	0x40158d	KERNEL32.dll.lstrcmpA
0x401d76	0x4080f8	import	0x40158d	KERNEL32.dll.ExpandEnvironmentStringsA
0x401d87	0x4080f4	import	0x40158d	KERNEL32.dll.lstrcmpA
0x401e83	0x40820c	import	0x40158d	USER32.dll.wsprintfA
0x401f2f	0x4080fc	import	0x40158d	KERNEL32.dll.GlobalAlloc
0x401fbb	0x408210	import	0x40158d	USER32.dll.SendMessageTimeoutA
0x401fd3	0x408250	import	0x40158d	USER32.dll.SendMessageA
0x402009	0x408214	import	0x40158d	USER32.dll.FindWindowExA
0x40202b	0x408234	import	0x40158d	USER32.dll.IsWindow
0x402050	0x408238	import	0x40158d	USER32.dll.GetDlgItem
0x40206d	0x40823c	import	0x40158d	USER32.dll.SetWindowLongA
0x40207c	0x408238	import	0x40158d	USER32.dll.GetDlgItem
0x402089	0x40825c	import	0x40158d	USER32.dll.GetClientRect
0x4020ab	0x408240	import	0x40158d	USER32.dll.LoadImageA
0x4020b9	0x408250	import	0x40158d	USER32.dll.SendMessageA
0x4020c8	0x408044	import	0x40158d	GDI32.dll.DeleteObject
0x4020da	0x408244	import	0x40158d	USER32.dll.GetDC
0x4020e1	0x408040	import	0x40158d	GDI32.dll.GetDeviceCaps
0x4020f1	0x408134	import	0x40158d	KERNEL32.dll.MulDiv
0x402144	0x40804c	import	0x40158d	GDI32.dll.CreateFontIndirectA
0x402179	0x408208	import	0x40158d	USER32.dll.ShowWindow
0x402184	0x408248	import	0x40158d	USER32.dll.EnableWindow
0x4021dc	0x40815c	import	0x40158d	SHELL32.dll.ShellExecuteA
0x402253	0x408100	import	0x40158d	KERNEL32.dll.WaitForSingleObject
0x402280	0x408104	import	0x40158d	KERNEL32.dll.GetExitCodeProcess
0x402319	0x4080fc	import	0x40158d	KERNEL32.dll.GlobalAlloc
0x402372	0x408108	import	0x40158d	KERNEL32.dll.GlobalFree
0x4023ab	0x40810c	import	0x40158d	KERNEL32.dll.GetModuleHandleA
0x4023bc	0x408110	import	0x40158d	KERNEL32.dll.LoadLibraryExA
0x4023d3	0x408114	import	0x40158d	KERNEL32.dll.GetProcAddress
0x402453	0x408118	import	0x40158d	KERNEL32.dll.FreeLibrary
0x402506	0x408290	import	0x40158d	ole32.dll.CoCreateInstance
0x4025be	0x40811c	import	0x40158d	KERNEL32.dll.MultiByteToWideChar
0x40268b	0x408160	import	0x40158d	SHELL32.dll.SHFileOperationA
0x40272d	0x408120	import	0x40158d	KERNEL32.dll.WritePrivateProfileStringA
0x40276e	0x408124	import	0x40158d	KERNEL32.dll.GetPrivateProfileStringA
0x4027aa	0x408010	import	0x40158d	ADVAPI32.dll.RegDeleteValueA
0x4027ca	0x408008	import	0x40158d	ADVAPI32.dll.RegCloseKey
0x40287a	0x408014	import	0x40158d	ADVAPI32.dll.RegCreateKeyExA
0x402955	0x408018	import	0x40158d	ADVAPI32.dll.RegSetValueExA
0x40297d	0x408008	import	0x40158d	ADVAPI32.dll.RegCloseKey
0x4029cd	0x40801c	import	0x40158d	ADVAPI32.dll.RegQueryValueExA
0x402a4a	0x408000	import	0x40158d	ADVAPI32.dll.RegEnumKeyA
0x402a5d	0x408020	import	0x40158d	ADVAPI32.dll.RegEnumValueA
0x402a86	0x4080ec	import	0x40158d	KERNEL32.dll.CloseHandle
0x402af4	0x408128	import	0x40158d	KERNEL32.dll.WriteFile
