reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000100e	0x10009008	import	0x10001000	KERNEL32.dll.Sleep
0x1000103a	0x1000b108	string	0x10001030	{CB06556A-1882-46F2-9AF5-1CB39AF7F5F3}
0x10001043	0x10009004	import	0x10001030	KERNEL32.dll.CreateMutexW
0x1000104b	0x10009018	import	0x10001030	KERNEL32.dll.GetLastError
0x10001059	0x10009020	import	0x10001030	KERNEL32.dll.CloseHandle
0x10001082	0x10009010	import	0x10001030	KERNEL32.dll.GetModuleFileNameW
0x1000109b	0x10009014	import	0x10001030	KERNEL32.dll.CreateFileW
0x100010c1	0x10009000	import	0x10001030	KERNEL32.dll.GetFileSize
0x10001153	0x1000b158	string	0x10001030	{5C29F891-91DD-4744-99CE-5D50E733BEA7}
0x1000118c	0x1000900c	import	0x10001030	KERNEL32.dll.ReadFile
0x100011eb	0x1000901c	import	0x10001030	KERNEL32.dll.VirtualAlloc
0x10001695	0x100016d6	string	0x10001660	_^][
0x10002de6	0x10002e58	string	0x10002d80	_^][
0x10002e65	0x1000921c	string	0x10002e60	mscoree.dll
0x10002e6a	0x10009034	import	0x10002e60	KERNEL32.dll.GetModuleHandleW
0x10002e7a	0x10009030	import	0x10002e60	KERNEL32.dll.GetProcAddress
0x10002e9c	0x10009038	import	0x10002e8b	KERNEL32.dll.ExitProcess
0x10002ef3	0x10002f04	string	0x10002ee8	;u\fr
0x10002fe7	0x1000903c	import	0x10002fa3	KERNEL32.dll.DecodePointer
0x100030ef	0x10002fa3	string	0x100030e3	j hв blocks=Basic Latin,Cyrillic
0x10003105	0x10002fa3	string	0x100030f9	j hв blocks=Basic Latin,Cyrillic
0x10003115	0x10002fa3	string	0x1000310f	j hв blocks=Basic Latin,Cyrillic
0x10003244	0x10009044	import	0x1000320b	KERNEL32.dll.GetCommandLineA
0x10003329	0x1000903c	import	0x100032e4	KERNEL32.dll.DecodePointer
0x1000333e	0x10009040	import	0x100032e4	KERNEL32.dll.GetCurrentThreadId
0x100033c3	0x1000320b	string	0x1000336f	j\bh@
0x100033f3	0x1000320b	string	0x1000336f	j\bh@
0x10003413	0x1000320b	string	0x1000336f	j\bh@
0x1000347e	0x1000336f	string	0x10003467	j\fh`
0x100034cd	0x10009048	import	0x10003488	KERNEL32.dll.HeapAlloc
0x10003532	0x1000904c	import	0x1000351c	KERNEL32.dll.HeapFree
0x10003544	0x10009018	import	0x1000351c	KERNEL32.dll.GetLastError
0x100038fb	0x10003908	string	0x100038f0	]_^[
0x10003b09	0x10003b2e	string	0x10003a38	]_^[
0x10003b17	0x10003b2e	string	0x10003a38	]_^[
0x10003b79	0x10009054	import	0x10003b51	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10003b9e	0x1000902c	import	0x10003b51	KERNEL32.dll.DeleteCriticalSection
0x10003c01	0x10009028	import	0x10003bf2	KERNEL32.dll.LeaveCriticalSection
0x10003c81	0x10009054	import	0x10003c09	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10003cf5	0x10009024	import	0x10003ccb	KERNEL32.dll.EnterCriticalSection
0x10003d3c	0x10009058	import	0x10003d37	KERNEL32.dll.EncodePointer
0x10003da3	0x1000903c	import	0x10003d9d	KERNEL32.dll.DecodePointer
0x10003e5c	0x1000903c	import	0x10003daa	KERNEL32.dll.DecodePointer
0x10004064	0x10009068	import	0x10003f7a	KERNEL32.dll.IsDebuggerPresent
0x1000406e	0x10009064	import	0x10003f7a	KERNEL32.dll.SetUnhandledExceptionFilter
0x1000407b	0x10009060	import	0x10003f7a	KERNEL32.dll.UnhandledExceptionFilter
0x100040b9	0x10009070	import	0x100040a3	KERNEL32.dll.GetCurrentProcess
0x100040c0	0x1000906c	import	0x100040a3	KERNEL32.dll.TerminateProcess
0x100040d3	0x1000903c	import	0x100040c8	KERNEL32.dll.DecodePointer
0x1000411f	0x1000903c	import	0x10004114	KERNEL32.dll.DecodePointer
0x1000413e	0x10009058	import	0x1000413c	KERNEL32.dll.EncodePointer
0x10004145	0x10009074	import	0x1000413c	KERNEL32.dll.TlsAlloc
0x10004157	0x10009078	import	0x1000414e	KERNEL32.dll.TlsGetValue
0x10004169	0x1000903c	import	0x1000414e	KERNEL32.dll.DecodePointer
0x10004178	0x1000907c	import	0x1000414e	KERNEL32.dll.TlsSetValue
0x10004193	0x1000903c	import	0x10004182	KERNEL32.dll.DecodePointer
0x100041ad	0x10009080	import	0x10004182	KERNEL32.dll.TlsFree
0x100041cb	0x10009254	string	0x100041bf	KERNEL32.DLL
