reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401245	0x40f118	import	0x4011d0	WS2_32.dll.WSAGetLastError
0x40124d	0x40127f	string	0x4011d0	_^]3
0x40125b	0x40127f	string	0x4011d0	_^]3
0x4012b6	0x401307	string	0x401290	_^]3
0x4012d8	0x401307	string	0x401290	_^]3
0x401365	0x40f044	import	0x401330	KERNEL32.dll.lstrlenA
0x401385	0x40f04c	import	0x401330	KERNEL32.dll.lstrcpyA
0x4014c7	0x40f040	import	0x4014c0	KERNEL32.dll.LoadLibraryA
0x4014ce	0x410108	string	0x4014c0	ws2_32.dll
0x4014db	0x4100fc	string	0x4014c0	wsock32.dll
0x4014ec	0x40f04c	import	0x4014c0	KERNEL32.dll.lstrcpyA
0x4014f6	0x4100f0	string	0x4014c0	WSACueawly
0x401540	0x4100e8	string	0x4014c0	iecm
0x40158f	0x4100dc	string	0x4014c0	jekjxctxyk
0x4015e3	0x4100d0	string	0x4014c0	WSASkaikly
0x40162d	0x4100c8	string	0x4014c0	urjkew
0x40167c	0x4100bc	string	0x4014c0	jhlkdxnw
0x4016d0	0x4100ac	string	0x4014c0	gekhxjkbpwave
0x401716	0x4100a4	string	0x4014c0	acceyk
0x401726	0x41009c	string	0x4014c0	cxwweck
0x401736	0x410090	string	0x4014c0	cuxjejxctek
0x401746	0x410088	string	0x4014c0	jxctek
0x401756	0x410080	string	0x4014c0	hkxwj
0x401766	0x410078	string	0x4014c0	jeueck
0x401776	0x410070	string	0x4014c0	jewd
0x401786	0x410060	string	0x4014c0	__WSAFDIjSek
0x40179e	0x410058	string	0x4014c0	brwd
0x4017a9	0x41004c	string	0x4014c0	rwek_addi
0x4017e0	0x40f04c	import	0x4017d0	KERNEL32.dll.lstrcpyA
0x401847	0x410454	string	0x401840	Kernel32.dll
0x40184c	0x40f040	import	0x401840	KERNEL32.dll.LoadLibraryA
0x40185d	0x410444	string	0x401840	GetProcAddress
0x401863	0x40f020	import	0x401840	KERNEL32.dll.GetProcAddress
0x401869	0x40f04c	import	0x401840	KERNEL32.dll.lstrcpyA
0x401878	0x410434	string	0x401840	GekPixcejjTrvej
0x4018c2	0x410424	string	0x401840	Mxdlue32Frijk
0x401911	0x41041c	string	0x401840	WrwEoec
0x401965	0x41040c	string	0x401840	FrwdFrijkFrueA
0x4019af	0x410400	string	0x401840	LxcauAuuxc
0x4019fe	0x4103f0	string	0x401840	CieakeThiead
0x401a52	0x4103e4	string	0x401840	ReadFrue
0x401a9c	0x4103d8	string	0x401840	GekFrueSrze
0x401aeb	0x4103c4	string	0x401840	GekEorkCxdePixcejj
0x401b3f	0x4103b8	string	0x401840	CuxjeHawdue
0x401b89	0x4103a4	string	0x401840	GekTevyFrueNaveA
0x401bd5	0x410394	string	0x401840	Pixcejj32Frijk
0x401be5	0x410388	string	0x401840	DeuekeFrueA
0x401bf5	0x410378	string	0x401840	LxadLrbiaipA
0x401c05	0x410364	string	0x401840	GekEorkCxdeThiead
0x401c15	0x410358	string	0x401840	GekFrueTrve
0x401c25	0x410348	string	0x401840	TeivrwakeThiead
0x401c35	0x41033c	string	0x401840	LxcauFiee
0x401c45	0x410328	string	0x401840	WarkFxiSrwgueObseck
0x401c5d	0x410314	string	0x401840	GekMxdlueFrueNaveA
0x401c68	0x410308	string	0x401840	WirkeFrue
0x401c78	0x4102f8	string	0x401840	Pixcejj32Neok
0x401c88	0x4102f0	string	0x401840	Sueey
0x401c98	0x4102e0	string	0x401840	MayVrenOfFrue
0x401ca8	0x4102cc	string	0x401840	ReadPixcejjMevxip
0x401cb8	0x4102bc	string	0x401840	SekFruePxrwkei
0x401cc8	0x4102a0	string	0x401840	CieakeTxxuheuy32Swayjhxk
0x401ce0	0x410290	string	0x401840	GekTevyPakhA
0x401ceb	0x410280	string	0x401840	CieakePixcejjA
0x401cfb	0x410270	string	0x401840	GekLxcauTrve
0x401d0b	0x410260	string	0x401840	SekLxcauTrve
0x401d1b	0x41024c	string	0x401840	GekSpjkevDrieckxipA
0x401d2b	0x410238	string	0x401840	GekCliiewkPixcejj
0x401d3b	0x410228	string	0x401840	UwvayVrenOfFrue
0x401d4b	0x410218	string	0x401840	GekVeijrxwEoA
0x401d63	0x41020c	string	0x401840	SekFrueTrve
0x401d6e	0x4101f8	string	0x401840	GekLxgrcauDirmej
0x401d7e	0x4101ec	string	0x401840	OyewPixcejj
0x401d8e	0x4101e0	string	0x401840	CieakeFrueA
0x401d9e	0x4101cc	string	0x401840	TeivrwakePixcejj
0x401dae	0x4101c0	string	0x401840	FieeLrbiaip
0x401dbe	0x4101ac	string	0x401840	VriklauPixkeckEo
0x401dce	0x410198	string	0x401840	WirkePixcejjMevxip
0x401de6	0x410184	string	0x401840	GekCxvylkeiNaveA
0x401df1	0x410174	string	0x401840	FrwdNeokFrueA
0x401e01	0x410160	string	0x401840	GekMxdlueHawdueA
0x401e11	0x410154	string	0x401840	MxmeFrueEoA
0x401e21	0x410148	string	0x401840	FrwdCuxje
0x401e31	0x410134	string	0x401840	CieakeFrueMayyrwgA
0x401e46	0x410124	string	0x401840	VriklauQleipEo
0x401e51	0x410114	string	0x401840	GekDirmeTpyeA
0x401e87	0x41047c	string	0x401e80	oleaut32.dll
0x401e8c	0x40f040	import	0x401e80	KERNEL32.dll.LoadLibraryA
0x401e9c	0x410464	string	0x401e80	SpjkevTrveTxVairawkTrve
0x401ea2	0x40f04c	import	0x401e80	KERNEL32.dll.lstrcpyA
0x401f07	0x41049c	string	0x401f00	iphlpapi.dll
0x401f0c	0x40f040	import	0x401f00	KERNEL32.dll.LoadLibraryA
0x401f1c	0x41048c	string	0x401f00	GekAdaykeijIwfx
0x401f22	0x40f04c	import	0x401f00	KERNEL32.dll.lstrcpyA
0x401f87	0x41067c	string	0x401f80	Advapi32.dll
0x401f8c	0x40f040	import	0x401f80	KERNEL32.dll.LoadLibraryA
0x401f9d	0x40f04c	import	0x401f80	KERNEL32.dll.lstrcpyA
0x401fa7	0x410668	string	0x401f80	OyewPixcejjTxtew
0x401ff1	0x41065c	string	0x401f80	RegOyewKepA
0x402040	0x41064c	string	0x401f80	CxwkixuSeimrce
0x402094	0x410638	string	0x401f80	SekSeimrceSkaklj
0x4020de	0x410624	string	0x401f80	CuxjeSeimrceHawdue
0x40212d	0x41060c	string	0x401f80	AdsljkTxtewPirmruegej
0x402181	0x4105f4	string	0x401f80	LxxtlyPirmruegeVauleA
0x4021c8	0x4105e4	string	0x401f80	OyewSeimrceA
0x4021d8	0x4105d4	string	0x401f80	RegDeuekeKepA
0x4021e8	0x4105c4	string	0x401f80	DeuekeSeimrce
0x4021f8	0x4105b4	string	0x401f80	RegDeuekeVauleA
0x402208	0x41059c	string	0x401f80	ChawgeSeimrceCxwfrg2A
0x402218	0x41058c	string	0x401f80	OyewSCMawageiA
0x402228	0x41057c	string	0x401f80	SkaikSeimrceA
0x402238	0x41056c	string	0x401f80	RegSekVauleEoA
0x402250	0x410560	string	0x401f80	RegCuxjeKep
0x40225b	0x410544	string	0x401f80	RegrjkeiSeimrceCkiuHawdueiA
0x40226b	0x410534	string	0x401f80	RegCieakeKepA
0x40227b	0x410520	string	0x401f80	RegQleipIwfxKepA
0x40228b	0x410510	string	0x401f80	RegEwlvKepEoA
0x40229b	0x410500	string	0x401f80	RegOyewKepEoA
0x4022ab	0x4104ec	string	0x401f80	RegQleipVauleEoA
0x4022bb	0x4104d4	string	0x401f80	CieakePixcejjAjUjeiA
0x4022d3	0x4104c0	string	0x401f80	GekTxtewIwfxivakrxw
0x4022de	0x4104ac	string	0x401f80	LxxtlyAccxlwkSrdA
0x4024fe	0x402566	string	0x402430	_^]3
0x402517	0x402566	string	0x402430	_^]3
0x402530	0x402566	string	0x402430	_^]3
0x402548	0x402566	string	0x402430	_^]3
0x402554	0x402566	string	0x402430	_^]3
0x402662	0x40f000	import	0x402660	KERNEL32.dll.GetTickCount
0x4026e8	0x40f004	import	0x4026c0	KERNEL32.dll.GetLastError
0x402714	0x40f004	import	0x4026c0	KERNEL32.dll.GetLastError
0x402749	0x40f004	import	0x4026c0	KERNEL32.dll.GetLastError
0x402775	0x40f004	import	0x4026c0	KERNEL32.dll.GetLastError
0x402cce	0x40f010	import	0x402cb0	KERNEL32.dll.SetErrorMode
0x402d8f	0x40f04c	import	0x402cb0	KERNEL32.dll.lstrcpyA
