reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1800010d8	0x180011430	string	0x180001000	H;\r9,
0x1800010f6	0x18001f7f0	string	0x1800010f0	Kernel32.dll
0x1800010fd	0x18001d180	import	0x1800010f0	KERNEL32.dll.LoadLibraryW
0x18000110f	0x18001f810	string	0x1800010f0	GetProcAddress
0x180001119	0x18001d170	import	0x1800010f0	KERNEL32.dll.GetProcAddress
0x18000111f	0x18001f820	string	0x1800010f0	GvgPilxvhhTrnvh
0x180001135	0x18001f830	string	0x1800010f0	Mlwfov32FrihgW
0x18000114b	0x18001f840	string	0x1800010f0	WrmEcvx
0x180001161	0x18001f848	string	0x1800010f0	FrmwFrihgFrovW
0x180001177	0x18001f858	string	0x1800010f0	LlxaoAoolx
0x18000118d	0x18001f868	string	0x1800010f0	CivagvTsivaw
0x1800011a3	0x18001f878	string	0x1800010f0	RvawFrov
0x1800011b9	0x18001f888	string	0x1800010f0	GvgFrovSrzv
0x1800011cf	0x18001f898	string	0x1800010f0	GvgEcrgClwvPilxvhh
0x1800011e5	0x18001f8b0	string	0x1800010f0	ColhvHamwov
0x1800011fb	0x18001f8c0	string	0x1800010f0	GvgTvnkFrovNanvW
0x180001211	0x18001f8d8	string	0x1800010f0	Pilxvhh32FrihgW
0x180001227	0x18001f8e8	string	0x1800010f0	DvovgvFrovW
0x18000123d	0x18001f8f8	string	0x1800010f0	LlawLryiaibW
0x180001253	0x18001f908	string	0x1800010f0	GvgEcrgClwvTsivaw
0x180001269	0x18001f920	string	0x1800010f0	GvgFrovTrnv
0x18000127f	0x18001f930	string	0x1800010f0	TvinrmagvTsivaw
0x180001295	0x18001f940	string	0x1800010f0	LlxaoFivv
0x1800012ab	0x18001f950	string	0x1800010f0	WargFliSrmtovOyqvxg
0x1800012c1	0x18001f968	string	0x1800010f0	WargFliMfogrkovOyqvxgh
0x1800012d7	0x18001f980	string	0x1800010f0	GvgMlwfovFrovNanvW
0x1800012ed	0x18001f998	string	0x1800010f0	WirgvFrov
0x180001303	0x18001f9a8	string	0x1800010f0	Pilxvhh32NvcgW
0x180001319	0x18001f9b8	string	0x1800010f0	Sovvk
0x18000132f	0x18001f9c0	string	0x1800010f0	MakVrvdOuFrov
0x180001345	0x18001f9d0	string	0x1800010f0	RvawPilxvhhMvnlib
0x18000135b	0x18001f9e8	string	0x1800010f0	SvgFrovPlrmgvi
0x180001371	0x18001f9f8	string	0x1800010f0	CivagvTllosvok32Smakhslg
0x180001387	0x18001fa18	string	0x1800010f0	GvgTvnkPagsW
0x18000139d	0x18001fa28	string	0x1800010f0	CivagvPilxvhhW
0x1800013b3	0x18001fa38	string	0x1800010f0	GvgFrovAggiryfgvhW
0x1800013c9	0x18001fa50	string	0x1800010f0	GvgLlxaoTrnv
0x1800013df	0x18001fa60	string	0x1800010f0	GvgSbhgvnDrivxglibW
0x1800013f5	0x18001fa78	string	0x1800010f0	GvgVlofnvImulinagrlmW
0x18000140b	0x18001fa90	string	0x1800010f0	GvgCfiivmgPilxvhh
0x180001421	0x18001faa8	string	0x1800010f0	UmnakVrvdOuFrov
0x180001437	0x18001fab8	string	0x1800010f0	GvgVvihrlmEcW
0x18000144d	0x18001fac8	string	0x1800010f0	SvgFrovTrnv
0x180001463	0x18001fad8	string	0x1800010f0	GvgLltrxaoDirevh
0x180001479	0x18001faf0	string	0x1800010f0	GvgCfiivmgDrivxglibW
0x18000148f	0x18001fb08	string	0x1800010f0	SvgCfiivmgDrivxglibW
0x1800014a5	0x18001fb20	string	0x1800010f0	OkvmPilxvhh
0x1800014bb	0x18001fb30	string	0x1800010f0	CivagvFrovW
0x1800014d1	0x18001fb40	string	0x1800010f0	TvinrmagvPilxvhh
0x1800014e7	0x18001fb58	string	0x1800010f0	FivvLryiaib
0x1800014fd	0x18001fb68	string	0x1800010f0	VrigfaoPilgvxgEc
0x180001513	0x18001fb80	string	0x1800010f0	WirgvPilxvhhMvnlib
0x180001529	0x18001fb98	string	0x1800010f0	GvgClnkfgviNanvW
0x18000153f	0x18001fbb0	string	0x1800010f0	FrmwNvcgFrovW
0x180001555	0x18001fbc0	string	0x1800010f0	GvgMlwfovHamwovW
0x18000156b	0x18001fbd8	string	0x1800010f0	MlevFrovEcW
0x180001581	0x18001fbe8	string	0x1800010f0	FrmwColhv
0x180001597	0x18001fbf8	string	0x1800010f0	CivagvFrovMakkrmtW
0x1800015ad	0x18001fc10	string	0x1800010f0	VrigfaoQfvibEc
