reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100010e8	0x10017010	import	0x10001050	KERNEL32.dll.lstrcpyA
0x100010f2	0x10017010	import	0x10001050	KERNEL32.dll.lstrcpyA
0x10001145	0x10017010	import	0x10001050	KERNEL32.dll.lstrcpyA
0x100011ad	0x1001c508	string	0x10001180	Winhttp.dll
0x100011b8	0x1001700c	import	0x10001180	KERNEL32.dll.LoadLibraryA
0x100011be	0x1001c9f4	string	0x10001180	WinHttpCloseHandle
0x100011c4	0x10017014	import	0x10001180	KERNEL32.dll.GetProcAddress
0x1000138c	0x1001700c	import	0x10001370	KERNEL32.dll.LoadLibraryA
0x10001393	0x1001c4f8	string	0x10001370	Kernel32.dll
0x100013a6	0x1001c508	string	0x10001370	Winhttp.dll
0x100013af	0x10017014	import	0x10001370	KERNEL32.dll.GetProcAddress
0x100013b7	0x1001c514	string	0x10001370	LocalAlloc
0x100013bf	0x1001c520	string	0x10001370	LocalFree
0x100013cd	0x1001c52c	string	0x10001370	WinHttpSendRequest
0x10001433	0x10017010	import	0x10001370	KERNEL32.dll.lstrcpyA
0x10001455	0x10017010	import	0x10001370	KERNEL32.dll.lstrcpyA
0x10001471	0x1001c540	string	0x10001370	Connection: keep-alive
0x100014c4	0x1001c558	string	0x10001370	Cache-Control: max-age=0
0x10001514	0x1001c574	string	0x10001370	Accept: */*
0x10001555	0x1001c580	string	0x10001370	Content-Type: multipart/form-data; boundary=
0x100015c6	0x10017004	import	0x10001370	KERNEL32.dll.lstrcatA
0x100015e1	0x1001c5b0	string	0x10001370	Accept-Language: en-US
0x10001652	0x1001c5c8	string	0x10001370	--%s\r\n
0x1000166e	0x10017010	import	0x10001370	KERNEL32.dll.lstrcpyA
0x10001674	0x1001c5d0	string	0x10001370	Content-Disposition: form-data; name="board_id"
0x100016b1	0x1001c600	string	0x10001370	Content-Disposition: form-data; name="user_id"
0x10001719	0x1001c630	string	0x10001370	Content-Disposition: form-data; name="file1"; filename="img01_29.jpg"
0x10001780	0x1001c678	string	0x10001370	Content-Disposition: form-data; name="file1"; filename="my.doc"
0x100017ce	0x1001c6b8	string	0x10001370	Content-Disposition: form-data; name="file1"; filename="pratice.pdf"
0x10001834	0x1001c700	string	0x10001370	Content-Disposition: form-data; name="file1"; filename="example.dat"
0x1000189a	0x1001c748	string	0x10001370	Content-Disposition: form-data; name="file1"; filename="dream.avi"
