reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401340	0x440368	string	0x4012b2	Unknown switch:
0x40136f	0x440348	string	0x4012b2	Multiple instances for switch:
0x40138d	0x440334	string	0x4012b2	Too short switch:
0x4013cd	0x440318	string	0x4012b2	Incorrect switch postfix:
0x40141d	0x440304	string	0x4012b2	Too long switch:
0x401826	0x401844	string	0x401740	j\Xf
0x401a07	0x440204	import	0x401924	MSVCRT.dll.wcscmp
0x401e2b	0x401e2f	string	0x401df7	_^][Ë blocks=Basic Latin,Latin-1 Supplement
0x401e50	0x4402b8	import	0x401e34	USER32.dll.CharUpperW
0x401f93	0x401f97	string	0x401f40	_^][
0x401fda	0x401fe3	string	0x401f9c	_^][Y
0x401fdf	0x401fe3	string	0x401f9c	_^][Y
0x40217f	0x402188	string	0x40216f	;~\bv
0x40222d	0x40223a	string	0x40221d	;~\bv\e
0x40232d	0x440200	import	0x4022ff	MSVCRT.dll.memmove
0x40246b	0x402464	string	0x402452	A@@f
0x4025d3	0x4025cc	string	0x4025b4	GAAf
0x402611	0x40260a	string	0x4025eb	CGGf
0x402685	0x40267e	string	0x40266c	F@@f
0x40272d	0x40273a	string	0x40271d	;w\bv
0x402738	0x402731	string	0x40271d	F@@f
0x4027e1	0x440234	import	0x4027d9	OLEAUT32.dll.VariantInit
0x402874	0x40286d	string	0x40285b	G@@f
0x402947	0x402950	string	0x402936	;w\bv
0x402a08	0x4401f4	import	0x4029f7	MSVCRT.dll.wcsstr
0x402ab5	0x440200	import	0x402a79	MSVCRT.dll.memmove
0x402b21	0x440200	import	0x402b02	MSVCRT.dll.memmove
0x402cc2	0x440204	import	0x402cb4	MSVCRT.dll.wcscmp
0x402cfa	0x440200	import	0x402cd5	MSVCRT.dll.memmove
0x402d47	0x440200	import	0x402d0b	MSVCRT.dll.memmove
0x402d7c	0x440200	import	0x402d59	MSVCRT.dll.memmove
0x402d93	0x4401f0	import	0x402d8d	MSVCRT.dll.malloc
0x402db8	0x4401ec	import	0x402db4	MSVCRT.dll.free
0x402dde	0x44017c	import	0x402dc0	KERNEL32.dll.MultiByteToWideChar
0x402df3	0x402e14	string	0x402dc0	;G\bv\vP
0x402df5	0x440180	import	0x402dc0	KERNEL32.dll.GetLastError
0x402ee0	0x440178	import	0x402eb6	KERNEL32.dll.WideCharToMultiByte
0x402ef7	0x440180	import	0x402eb6	KERNEL32.dll.GetLastError
0x402f34	0x402f3a	string	0x402eb6	;G\bv\bP
0x40325c	0x403239	string	0x40319f	;U\ft
0x4032f8	0x401f5f	string	0x4032ea	SUVW
0x403308	0x440204	import	0x4032fd	MSVCRT.dll.wcscmp
0x403538	0x403540	string	0x4034b2	_^][YËA blocks=Basic Latin,Latin-1 Supplement
0x40353c	0x403540	string	0x4034b2	_^][YËA blocks=Basic Latin,Latin-1 Supplement
0x403594	0x440204	import	0x403546	MSVCRT.dll.wcscmp
0x403aff	0x440204	import	0x403ad1	MSVCRT.dll.wcscmp
0x403b21	0x403b25	string	0x403ad1	_^øٲC blocks=Basic Latin,Latin-1 Supplement,Arabic
0x403b51	0x4403b0	string	0x403b28	Empty file path
0x403ba0	0x440204	import	0x403b28	MSVCRT.dll.wcscmp
0x403d66	0x403d6b	string	0x403b28	3\tEĉEȉE̍E blocks=Basic Latin,Latin Extended-A,Latin Extended-B,Combining Diacritical Marks
0x403e71	0x440204	import	0x403e15	MSVCRT.dll.wcscmp
0x404501	0x440200	import	0x4044dd	MSVCRT.dll.memmove
0x40453e	0x440200	import	0x404512	MSVCRT.dll.memmove
0x40468b	0x404684	string	0x404672	G@@f
0x404788	0x4402e0	import	0x4046c1	comdlg32.dll.GetOpenFileNameW
0x4047b5	0x440174	import	0x4047ab	KERNEL32.dll.FreeLibrary
0x4047e0	0x440170	import	0x4047ca	KERNEL32.dll.LoadLibraryExW
0x404805	0x44016c	import	0x4047f5	KERNEL32.dll.LoadLibraryW
0x40484a	0x440168	import	0x40481a	KERNEL32.dll.GetModuleFileNameW
0x404972	0x4403d4	string	0x4048ec	Error #
0x4049c6	0x440160	import	0x4049af	KERNEL32.dll.FormatMessageW
0x4049e1	0x440164	import	0x4049af	KERNEL32.dll.LocalFree
0x404a0b	0x440154	import	0x4049ec	KERNEL32.dll.CreateFileW
0x404a92	0x440158	import	0x4049ec	KERNEL32.dll.SetFileTime
0x404aa0	0x44015c	import	0x4049ec	KERNEL32.dll.CloseHandle
0x404ad3	0x440150	import	0x404ab9	KERNEL32.dll.SetFileAttributesW
0x404b5e	0x44014c	import	0x404b47	KERNEL32.dll.RemoveDirectoryW
0x404bee	0x440148	import	0x404bc9	KERNEL32.dll.MoveFileW
0x404ca7	0x4403f8	string	0x404c98	CreateHardLinkW
0x404cb2	0x4403dc	string	0x404c98	kernel32.dll
0x404cb7	0x440140	import	0x404c98	KERNEL32.dll.GetModuleHandleW
0x404cbe	0x440144	import	0x404c98	KERNEL32.dll.GetProcAddress
0x404dab	0x44013c	import	0x404d94	KERNEL32.dll.CreateDirectoryW
0x404dc5	0x440180	import	0x404d94	KERNEL32.dll.GetLastError
