reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40124b	0x40127a	string	0x401210	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x401255	0x40127a	string	0x401210	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x401570	0x401597	string	0x4014a0	_^]3
0x401586	0x401597	string	0x4014a0	_^]3
0x401736	0x41b128	import	0x4016a0	WS2_32.dll.WSAGetLastError
0x401741	0x401771	string	0x4016a0	_^]3
0x4017da	0x40186a	string	0x401790	VX_^][
0x401804	0x401873	string	0x401790	_^]3
0x401849	0x401873	string	0x401790	_^]3
0x4019f3	0x41b130	import	0x4019c0	WS2_32.dll.htons
0x401ac0	0x401b85	string	0x401aa0	_^]3
0x401ad4	0x401b85	string	0x401aa0	_^]3
0x401ade	0x41b134	import	0x401aa0	WS2_32.dll.ntohs
0x401b24	0x401b85	string	0x401aa0	_^]3
0x401b33	0x401b85	string	0x401aa0	_^]3
0x401b3f	0x401b85	string	0x401aa0	_^]3
0x401b48	0x401b85	string	0x401aa0	_^]3
0x401b50	0x401b79	string	0x401aa0	_^SX][
0x401d53	0x41b130	import	0x401cf0	WS2_32.dll.htons
0x401ddd	0x41b138	import	0x401d80	WS2_32.dll.htonl
0x40232e	0x41b130	import	0x401d80	WS2_32.dll.htons
0x402414	0x41b004	import	0x401d80	KERNEL32.dll.WideCharToMultiByte
0x402422	0x41b000	import	0x401d80	KERNEL32.dll.lstrlenA
0x402428	0x41b130	import	0x401d80	WS2_32.dll.htons
0x402756	0x41b130	import	0x401d80	WS2_32.dll.htons
0x4028d0	0x41b130	import	0x402870	WS2_32.dll.htons
0x402e13	0x41d104	string	0x402d20	ct_init: length != 256
0x402e9a	0x41b6f4	string	0x402d20	\a\a\b\b\t\t\n\n\v\v\f\f\r\r
0x402eab	0x41d208	string	0x402d20	ct_init: dist != 256
0x402f41	0x41d2b0	string	0x402d20	ct_init: 256+dist != 512
0x403020	0x404cf0	string	0x402d20	;T$\bt
0x403334	0x40366f	string	0x4032c0	_^][
0x4034e6	0x40366f	string	0x4032c0	_^][
0x4034ec	0x41d220	string	0x4032c0	\nbit length overflow\n
0x40356b	0x40366f	string	0x4032c0	_^][
0x4035ec	0x41d07c	string	0x4032c0	code %d bits %d->%d\n
0x4036d4	0x41d300	string	0x403690	inconsistent bit counts
0x403720	0x41d238	string	0x403690	\ngen_codes: max_code %d
0x403754	0x404cf0	string	0x403690	;T$\bt
0x403bea	0x403b00	string	0x403a70	QPYXQPYX
0x403d37	0x41d2a8	string	0x403c00	3_6?
0x403e37	0x403c69	string	0x403c00	SU[]U
0x403f48	0x41d04c	string	0x403e50	\ndyn trees: dyn %ld, stat %ld
0x404006	0x404019	string	0x403f70	3\vt$
0x40400b	0x404019	string	0x403f70	3\vt$
0x404010	0x404019	string	0x403f70	3\vt$
0x40401f	0x41d328	string	0x403f70	not enough codes
0x404049	0x41d298	string	0x403f70	too many codes
0x404058	0x41d1f8	string	0x403f70	\nbl counts:
0x404099	0x41d094	string	0x403f70	\nbl code %2d
0x4040e4	0x41d030	string	0x403f70	\nbl tree: sent %ld
0x404109	0x41d2d4	string	0x403f70	\nlit tree: sent %ld
0x40412d	0x41d0a4	string	0x403f70	\ndist tree: sent %ld
0x4041c9	0x41d11c	string	0x404150	\nlit data: dyn %ld, stat %ld
0x4041fc	0x41d1c0	string	0x404150	\ndist data: dyn %ld, stat %ld
0x404264	0x41d140	string	0x404150	\nopt %lu(%lu) stat %lu(%lu) stored %lu lit %u dist %u
0x404415	0x41d1a0	string	0x404150	bad compressed size
0x404571	0x41d18c	string	0x4044d0	ct_tally: bad match
0x40459e	0x4045a9	string	0x4044d0	WP_XP_
0x4046e1	0x41d35c	string	0x4044d0	\nlast_lit %u, last_dist %u, in %ld, out ~%ld(%ld%%)
0x404886	0x41d178	string	0x404770	bad d_code
0x404a54	0x404a68	string	0x404a50	;L$\bt
0x404a5a	0x404a68	string	0x404a50	;L$\bt
0x404a60	0x404a68	string	0x404a50	;L$\bt
0x404b3b	0x404b49	string	0x404b00	3\vt$
0x404b40	0x404b49	string	0x404b00	3\vt$
0x404b4f	0x41d1e8	string	0x404b00	invalid length
0x404be6	0x404cde	string	0x404b00	^][Ð blocks=Basic Latin,Latin-1 Supplement
0x40513e	0x41d0bc	string	0x404f20	output buffer too small for in-memory compression
0x405237	0x405245	string	0x4051e0	3\vt$
0x40523c	0x405245	string	0x4051e0	3\vt$
0x40524b	0x41d06c	string	0x4051e0	bad pack level
0x4053f5	0x41d2e8	string	0x4053b0	Code too clever
0x405462	0x41d280	string	0x4053b0	insufficient lookahead
0x4054ab	0x41d318	string	0x4053b0	no future
0x40558b	0x41d340	string	0x4053b0	wild scan
0x405681	0x4056d2	string	0x4053b0	_UX^][
0x4056c1	0x4056d2	string	0x4053b0	_UX^][
0x405860	0x4058d8	string	0x4056f0	_^][
0x405865	0x41d1b4	string	0x4056f0	more < 2
0x4058c7	0x4058d8	string	0x4056f0	_^][
0x405b85	0x41d254	string	0x4058e0	Call UPDATE_HASH() MIN_MATCH-3 more times
0x406fab	0x406eca	string	0x406ea0	PZ3ۊ blocks=Basic Latin,Arabic
0x406fd2	0x406fb6	string	0x406ea0	PZ3ۊ blocks=Basic Latin,Arabic
0x4070ee	0x41d354	string	0x406ff0	.zip
0x407105	0x41d0f8	string	0x406ff0	.zoo
0x40711c	0x41d184	string	0x406ff0	.arc
0x407133	0x41d1e0	string	0x406ff0	.lzh
0x40714a	0x41d34c	string	0x406ff0	.arj
0x407178	0x41d2f8	string	0x406ff0	.tgz
0x4071ad	0x41b008	import	0x4071a0	KERNEL32.dll.FileTimeToSystemTime
0x40726c	0x41b02c	import	0x407260	KERNEL32.dll.GetFileType
0x407287	0x41b028	import	0x407260	KERNEL32.dll.GetFileInformationByHandle
0x4072a3	0x41b024	import	0x407260	KERNEL32.dll.GetSystemTime
0x4072ae	0x41b020	import	0x407260	KERNEL32.dll.GetLocalTime
0x4072b4	0x41b01c	import	0x407260	KERNEL32.dll.SystemTimeToFileTime
0x407381	0x41b018	import	0x407260	KERNEL32.dll.GetFileSize
0x407394	0x41b014	import	0x407260	KERNEL32.dll.SetFilePointer
0x4073a3	0x41b010	import	0x407260	KERNEL32.dll.ReadFile
0x407502	0x41b00c	import	0x407260	KERNEL32.dll.FileTimeToDosDateTime
0x4075d1	0x41b044	import	0x407540	KERNEL32.dll.GetCurrentProcess
0x4075e7	0x41b040	import	0x407540	KERNEL32.dll.DuplicateHandle
0x407600	0x41b02c	import	0x407540	KERNEL32.dll.GetFileType
0x40761b	0x41b014	import	0x407540	KERNEL32.dll.SetFilePointer
0x407645	0x41b03c	import	0x407540	KERNEL32.dll.CreateFileW
0x4076c8	0x4076e1	string	0x407540	SWSj
0x4076e9	0x41b038	import	0x407540	KERNEL32.dll.CreateFileMappingW
0x407705	0x407712	string	0x407540	WSSh
0x40771b	0x41b034	import	0x407540	KERNEL32.dll.MapViewOfFile
0x40773e	0x41b030	import	0x407540	KERNEL32.dll.CloseHandle
0x4078dd	0x41b038	import	0x407820	KERNEL32.dll.CreateFileMappingW
0x407907	0x41b034	import	0x407820	KERNEL32.dll.MapViewOfFile
