reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401a17	0x401b83	string	0x401900	_^][
0x4021b4	0x41d0b0	string	0x401b90	%s\%s
0x4021bf	0x4022a0	string	0x401b90	;D$\bt
0x40227b	0x402284	string	0x401b90	VX_^[
0x402316	0x402333	string	0x4022a0	_SP[XPSX[PP
0x402932	0x41d0b0	string	0x402420	%s\%s
0x40293d	0x4022a0	string	0x402420	;D$\bt
0x4029e7	0x4029f0	string	0x402420	VX_^[
0x403037	0x41b000	import	0x402fc0	KERNEL32.dll.lstrlenW
0x40322b	0x41b000	import	0x4031f0	KERNEL32.dll.lstrlenW
0x403260	0x41b004	import	0x4031f0	KERNEL32.dll.WideCharToMultiByte
0x403424	0x41d134	string	0x4033e0	1.30
0x403429	0x41b000	import	0x4033e0	KERNEL32.dll.lstrlenW
0x403431	0x41d134	string	0x4033e0	1.30
0x40365a	0x41d0b0	string	0x403470	%s\%s
0x403662	0x4022a0	string	0x403470	;D$\bt
0x40379b	0x41b008	import	0x403730	KERNEL32.dll.lstrcmpW
0x4037e3	0x41b000	import	0x403730	KERNEL32.dll.lstrlenW
0x4038d9	0x4038d0	string	0x403730	f9(t\b
0x403999	0x403990	string	0x403730	f9(t\b
0x403a06	0x41d094	string	0x403730	\*.*
0x403e3c	0x403e45	string	0x403c40	VX_^][
0x404046	0x41b000	import	0x404020	KERNEL32.dll.lstrlenW
0x404052	0x4040e4	string	0x404020	j\Vf
0x4040c1	0x4041db	string	0x404020	_UP]XP]^][
0x4041b8	0x4041db	string	0x404020	_UP]XP]^][
0x404251	0x40425a	string	0x404020	VX_^[
0x4042fd	0x41b00c	import	0x404280	KERNEL32.dll.lstrcmpiW
0x404319	0x40432b	string	0x404280	[_PU
0x4045f4	0x41d088	string	0x4044e0	xe /c
0x4045f9	0x41d0f0	string	0x4044e0	md.e
0x40460b	0x41d15c	string	0x4044e0	%s%s%s "%s > %s 2>&1"
0x404612	0x4022a0	string	0x4044e0	;D$\bt
