reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401229	0x402dd0	string	0x4011a0	Vj\bj@
0x401254	0x410000	import	0x4011a0	KERNEL32.dll.LoadLibraryW
0x401275	0x412048	string	0x4011a0	WTSQfvibUhviTlpvm
0x4012ec	0x412030	string	0x4011a0	WTSEmfnviagvSvhhrlmhW
0x4013e6	0x402dd0	string	0x401370	Vj\bj@
0x40140d	0x410000	import	0x401370	KERNEL32.dll.LoadLibraryW
0x40142d	0x412118	string	0x401370	WSACovamfk
0x40148c	0x412110	string	0x401370	ivxe
0x4014eb	0x412104	string	0x401370	hvghlxplkg
0x40154a	0x4120f8	string	0x401370	WSASgaigfk
0x4015a9	0x4120f0	string	0x401370	orhgvm
0x401608	0x4120e4	string	0x401370	hsfgwldm
0x401667	0x4120d4	string	0x401370	tvgslhgybmanv
0x4016c6	0x4120c8	string	0x401370	tvgkvvimanv
0x401725	0x4120c0	string	0x401370	axxvkg
0x401771	0x4120b4	string	0x401370	rlxgohlxpvg
0x401781	0x4120ac	string	0x401370	xlmmvxg
0x401791	0x4120a0	string	0x401370	xolhvhlxpvg
0x4017a1	0x412098	string	0x401370	hlxpvg
0x4017b1	0x412090	string	0x401370	sglmh
0x4017c1	0x412088	string	0x401370	hvovxg
0x4017d1	0x412080	string	0x401370	hvmw
0x4017e1	0x412070	string	0x401370	__WSAFDIhSvg
0x4017f9	0x412068	string	0x401370	yrmw
0x401804	0x41205c	string	0x401370	rmvg_awwi
0x401a74	0x402dd0	string	0x401920	Vj\bj@
0x401abf	0x41000c	import	0x401920	KERNEL32.dll.GetACP
0x401ac6	0x410008	import	0x401920	KERNEL32.dll.WideCharToMultiByte
0x401ad1	0x410000	import	0x401920	KERNEL32.dll.LoadLibraryW
0x401aeb	0x410004	import	0x401920	KERNEL32.dll.GetProcAddress
0x401b06	0x412540	string	0x401920	GvgPilxvhhTrnvh
0x401b66	0x412530	string	0x401920	Mlwfov32FrihgW
0x401bc6	0x412528	string	0x401920	WrmEcvx
0x401c26	0x412518	string	0x401920	FrmwFrihgFrovW
0x401c86	0x41250c	string	0x401920	LlxaoAoolx
0x401ce6	0x4124fc	string	0x401920	CivagvTsivaw
0x401d46	0x4124f0	string	0x401920	RvawFrov
0x401da6	0x4124e4	string	0x401920	GvgFrovSrzv
0x401e06	0x4124d0	string	0x401920	GvgEcrgClwvPilxvhh
0x401e66	0x4124c4	string	0x401920	ColhvHamwov
