reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100010d4	0x1000e030	import	0x10001000	KERNEL32.dll.GetModuleFileNameA
0x10001114	0x10002446	string	0x10001000	;\r<
0x1000112e	0x10002446	string	0x10001000	;\r<
0x10001164	0x1000fbc8	string	0x10001140	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x1000128a	0x10002446	string	0x10001140	;\r<
0x100012a1	0x1000fc0c	string	0x100012a0	Kernel32.dll
0x100012a6	0x1000e034	import	0x100012a0	KERNEL32.dll.LoadLibraryA
0x100012b5	0x1000e038	import	0x100012a0	KERNEL32.dll.GetProcAddress
0x100012bb	0x1000fc1c	string	0x100012a0	CreateDirectoryA
0x100012c3	0x1000fc30	string	0x100012a0	CreateFileA
0x100012d0	0x1000fc3c	string	0x100012a0	DeleteFileA
0x100012dd	0x1000fc48	string	0x100012a0	WriteFile
0x100012ea	0x1000fc54	string	0x100012a0	CloseHandle
0x100012f7	0x1000fc60	string	0x100012a0	CreateProcessA
0x10001304	0x1000fc70	string	0x100012a0	CopyFileA
0x10001311	0x1000fc7c	string	0x100012a0	CreateThread
0x10001331	0x1000fc8c	string	0x10001330	Wininet.dll
0x10001336	0x1000e034	import	0x10001330	KERNEL32.dll.LoadLibraryA
0x10001345	0x1000e038	import	0x10001330	KERNEL32.dll.GetProcAddress
0x1000134b	0x1000fc98	string	0x10001330	InternetOpenA
0x10001353	0x1000fca8	string	0x10001330	InternetConnectA
0x10001360	0x1000fcbc	string	0x10001330	HttpOpenRequestA
0x1000136d	0x1000fcd0	string	0x10001330	HttpSendRequestA
0x1000137a	0x1000fce4	string	0x10001330	HttpQueryInfoA
0x10001387	0x1000fcf4	string	0x10001330	InternetReadFile
0x10001394	0x1000fd08	string	0x10001330	InternetCloseHandle
0x100013b1	0x1000fd1c	string	0x100013b0	Advapi32.dll
0x100013b6	0x1000e034	import	0x100013b0	KERNEL32.dll.LoadLibraryA
0x100013c5	0x1000e038	import	0x100013b0	KERNEL32.dll.GetProcAddress
0x100013cb	0x1000fd2c	string	0x100013b0	RegOpenKeyExA
0x100013d3	0x1000fd3c	string	0x100013b0	RegQueryValueExA
0x100013e0	0x1000fd50	string	0x100013b0	RegSetValueExA
0x100013ed	0x1000fd60	string	0x100013b0	RegCloseKey
0x1000149f	0x10002446	string	0x10001450	;\r<
0x10001518	0x1000e180	import	0x10001450	USER32.dll.EnumChildWindows
0x1000152d	0x10002446	string	0x10001450	;\r<
0x10001546	0x1000e048	import	0x10001540	KERNEL32.dll.GetCurrentProcess
0x10001554	0x1000e000	import	0x10001540	ADVAPI32.dll.OpenProcessToken
0x10001563	0x1000fd7c	string	0x10001540	SeDebugPrivilege
0x10001569	0x1000e01c	import	0x10001540	ADVAPI32.dll.LookupPrivilegeValueA
0x100015a2	0x1000e018	import	0x10001540	ADVAPI32.dll.AdjustTokenPrivileges
0x100015ae	0x1000e04c	import	0x10001540	KERNEL32.dll.GetLastError
0x100015bf	0x1000e050	import	0x10001540	KERNEL32.dll.CloseHandle
0x100015ef	0x1000fd90	string	0x100015d0	SoftWare\Microsoft\Windows\CurrentVersion\Run
0x100015f9	0x1000e014	import	0x100015d0	ADVAPI32.dll.RegOpenKeyExA
0x1000160e	0x10002446	string	0x100015d0	;\r<
0x10001651	0x1000fdc0	string	0x100015d0	rundll32.exe %s ExportFunction
0x10001657	0x1000e17c	import	0x100015d0	USER32.dll.wsprintfA
0x10001675	0x1000fde0	string	0x100015d0	CmdRun32kr
0x10001683	0x1000e010	import	0x100015d0	ADVAPI32.dll.RegQueryValueExA
0x100016c7	0x1000fde0	string	0x100015d0	CmdRun32kr
0x100016cd	0x1000e00c	import	0x100015d0	ADVAPI32.dll.RegSetValueExA
0x100016d7	0x1000e008	import	0x100015d0	ADVAPI32.dll.RegCloseKey
0x100016e6	0x10002446	string	0x100015d0	;\r<
0x10001746	0x1000e030	import	0x10001700	KERNEL32.dll.GetModuleFileNameA
0x10001775	0x1000e174	import	0x10001700	SHELL32.dll.SHGetSpecialFolderPathA
0x1000177b	0x1000fdec	string	0x10001700	\Microsoft\Protect
0x10001788	0x1000e054	import	0x10001700	KERNEL32.dll.lstrcatA
0x10001795	0x1000fe00	string	0x10001700	MpCmdRunkr.dll
0x100017bf	0x1000e17c	import	0x10001700	USER32.dll.wsprintfA
0x100017c5	0x1000fe00	string	0x10001700	MpCmdRunkr.dll
0x100017d6	0x1000fe10	string	0x10001700	%s\%s
0x10001849	0x1000fdc0	string	0x10001700	rundll32.exe %s ExportFunction
0x10001878	0x1000e04c	import	0x10001700	KERNEL32.dll.GetLastError
0x1000188f	0x10002446	string	0x10001700	;\r<
0x100018a9	0x10002446	string	0x10001700	;\r<
0x1000190f	0x10002446	string	0x100018c0	;\r<
0x10001920	0x1000fd6c	string	0x100018c0	%s\r\n
0x10001943	0x10002446	string	0x100018c0	;\r<
0x10001a8b	0x1000fe84	string	0x10001a60	kjie23948_34238958_KJ238743
0x10001a94	0x1000e068	import	0x10001a60	KERNEL32.dll.CreateMutexA
0x10001a9e	0x1000e04c	import	0x10001a60	KERNEL32.dll.GetLastError
0x10001b1f	0x1000e06c	import	0x10001ac0	KERNEL32.dll.GetComputerNameA
0x10001b3a	0x1000e004	import	0x10001ac0	ADVAPI32.dll.GetUserNameA
0x10001bb5	0x1000fea8	string	0x10001ac0	host/download.php
0x10001bbe	0x1000febc	string	0x10001ac0	%s?filename=%s
0x10001bc4	0x1000e17c	import	0x10001ac0	USER32.dll.wsprintfA
0x10001bd1	0x1000ff00	string	0x10001ac0	Mozilla/4.0
0x10001c01	0x1000ff0c	string	0x10001ac0	trydai.000webhostapp.com
0x10001c21	0x1000ff28	string	0x10001ac0	image/gif, image/jpeg, image/pjpeg, image/pjpeg, */*
0x10001c27	0x1000ff60	string	0x10001ac0	HTTP/1.0
0x10001c47	0x1000fecc	string	0x10001ac0	Content-Type: application/x-www-form-urlencoded\r\n
0x10001c5e	0x1000fecc	string	0x10001ac0	Content-Type: application/x-www-form-urlencoded\r\n
0x10001db8	0x1000e060	import	0x10001ac0	KERNEL32.dll.Sleep
0x10001dca	0x1000e034	import	0x10001ac0	KERNEL32.dll.LoadLibraryA
0x10001dda	0x1000e070	import	0x10001ac0	KERNEL32.dll.FreeLibrary
0x10001df9	0x1000e04c	import	0x10001ac0	KERNEL32.dll.GetLastError
0x10001e0c	0x100029db	string	0x10001ac0	j\fhP
0x10001e3a	0x10002446	string	0x10001ac0	;\r<
0x10001e58	0x1000e060	import	0x10001e50	KERNEL32.dll.Sleep
0x10001e6c	0x10001e60	string	0x10001e50	h@w\e
0x10001ea6	0x1000e05c	import	0x10001e70	KERNEL32.dll.GetLocalTime
0x10001ece	0x1000ff70	string	0x10001e70	%04d-%02d-%02d-%02d-%02d
0x10001ed4	0x1000e17c	import	0x10001e70	USER32.dll.wsprintfA
0x10001f59	0x1000e060	import	0x10001e70	KERNEL32.dll.Sleep
0x10001fb8	0x1000ff90	string	0x10001e70	ending
0x10001fed	0x1000ff98	string	0x10001e70	\r\n------WebKitFormBoundarywhpFxMBe19cSjFnG
0x1000200d	0x1000ffc4	string	0x10001e70	\r\nContent-Disposition: form-data; name="MAX_FILE_SIZE"
0x10002028	0x1000fffc	string	0x10001e70	\r\n\r\n10000000
0x1000205d	0x1000ff98	string	0x10001e70	\r\n------WebKitFormBoundarywhpFxMBe19cSjFnG
0x1000207d	0x10010010	string	0x10001e70	\r\nContent-Disposition: form-data; name="userfile"; filename="result"
0x10002095	0x10010058	string	0x10001e70	\r\nContent-Type: application/octet-stream\r\n\r\n
0x100020dd	0x1000ff98	string	0x10001e70	\r\n------WebKitFormBoundarywhpFxMBe19cSjFnG
0x1000211a	0x1000e074	import	0x10001e70	KERNEL32.dll.DeleteFileA
