reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001028	0x140027ff0	string	0x140001000	VWSH
0x140001052	0x140001210	string	0x140001000	AWAVATVWUSH
0x140001068	0x140001110	string	0x140001000	VWSH
0x1400010d4	0x140028880	string	0x1400010b0	AVVWSH
0x1400010d9	0x14011bc10	string	0x1400010b0	crashpad-handler
0x14000113f	0x140026ba0	string	0x140001110	AWAVATVWSH
0x140001155	0x14004ba20	string	0x140001110	AVVWUSH
0x140001167	0x140113000	string	0x140001110	type
0x14000116e	0x14011ddc8	string	0x140001110	user-data-dir
0x14000117b	0x14004bd90	string	0x140001110	AWAVAUATVWUSH
0x1400011d4	0x140028880	string	0x1400011b0	AVVWSH
0x1400011d9	0x14011bc30	string	0x1400011b0	fallback-handler
0x140001251	0x140028880	string	0x140001210	AVVWSH
0x14000127d	0x1400405a0	string	0x140001210	AWAVATVWSH
0x1400012ec	0x14011ac66	string	0x140001210	crash_reporter
0x140001304	0x140001970	string	0x140001210	VWSH
0x140001318	0x14004cf00	string	0x140001210	AWAVATVWUSH
0x140001358	0x140001b60	string	0x140001210	AWAVATVWUSH
0x14000137e	0x140001970	string	0x140001210	VWSH
0x1400013c3	0x14004bcb0	string	0x140001210	AWAVVWUSH
0x1400013de	0x140001420	string	0x140001210	AWAVATVWSH
0x14000147a	0x1400014e0	string	0x140001420	AWAVVWSH
0x1400017cc	0x1400017b0	string	0x1400017b0	AVVWSH
0x140001999	0x1400019d0	string	0x140001970	AWAVATVWSH
0x140001af4	0x140113040	string	0x140001af0	string too long
0x140001ba6	0x140114750	string	0x140001b60	OPERA_CRASH_EMAIL
0x140001be3	0x14011ac38	string	0x140001b60	Email
0x140001bfa	0x1400023b0	string	0x140001b60	VWSH
0x140001c0d	0x140002750	string	0x140001b60	AWAVVWUSH
0x140001c27	0x14011ac3e	string	0x140001b60	ptype
0x140001c2e	0x14011ac66	string	0x140001b60	crash_reporter
0x140001c40	0x140002410	string	0x140001b60	VWUSH
0x140001c55	0x140002750	string	0x140001b60	AWAVVWUSH
0x140001c79	0x1401407e0	import	0x140001b60	KERNEL32.dll.OpenProcess
0x140001c8d	0x140002af0	string	0x140001b60	VWSH
0x140001cbc	0x140140630	import	0x140001b60	KERNEL32.dll.GetProcessTimes
0x140001d17	0x1400400c0	string	0x140001b60	AVVWSH
0x140001d3d	0x14011ac5a	string	0x140001b60	StartupTime
0x140001d55	0x140001970	string	0x140001b60	VWSH
0x140001d89	0x140002750	string	0x140001b60	AWAVVWUSH
0x140001dc9	0x1400400c0	string	0x140001b60	AVVWSH
0x140001dd7	0x14011ac44	string	0x140001b60	CrashTime
0x140001df7	0x140001970	string	0x140001b60	VWSH
0x140001e2b	0x140002750	string	0x140001b60	AWAVVWUSH
0x140001e9d	0x14002cbb0	string	0x140001b60	VWSH
0x140001f33	0x1400400c0	string	0x140001b60	AVVWSH
0x140001f51	0x14011ac4e	string	0x140001b60	InstallTime
0x140001f71	0x140001970	string	0x140001b60	VWSH
0x140001fa5	0x140002750	string	0x140001b60	AWAVVWUSH
0x140002007	0x14011ac17	string	0x140001b60	prod
0x14000201f	0x140001970	string	0x140001b60	VWSH
0x140002054	0x140002750	string	0x140001b60	AWAVVWUSH
0x1400020a7	0x140001970	string	0x140001b60	VWSH
0x1400020db	0x140002750	string	0x140001b60	AWAVVWUSH
0x140002107	0x14003fe20	string	0x140001b60	AWAVVWSH
0x140002135	0x140001970	string	0x140001b60	VWSH
0x140002169	0x140002750	string	0x140001b60	AWAVVWUSH
0x14000219c	0x14011ac00	string	0x140001b60	BuildID
0x1400021bc	0x140001970	string	0x140001b60	VWSH
0x1400021f0	0x140002750	string	0x140001b60	AWAVVWUSH
0x140002223	0x14011ac08	string	0x140001b60	ReleaseChannel
0x140002243	0x140001970	string	0x140001b60	VWSH
0x140002277	0x140002750	string	0x140001b60	AWAVVWUSH
0x14000229d	0x14011ac20	string	0x140001b60	symbols-package
0x1400022bd	0x140001970	string	0x140001b60	VWSH
0x1400022d0	0x1400025d0	string	0x140001b60	AVVWSH
0x140002311	0x14011ac20	string	0x140001b60	symbols-package
0x140002323	0x140002620	string	0x140001b60	VWUSH
0x140002339	0x140002750	string	0x140001b60	AWAVVWUSH
0x1400023e8	0x140001970	string	0x1400023b0	VWSH
0x1400023fd	0x140002490	string	0x1400023b0	AVVWSH
0x140002450	0x140001970	string	0x140002410	VWSH
0x140002473	0x140001970	string	0x140002410	VWSH
0x14000256a	0x140140810	import	0x140002530	KERNEL32.dll.QueryFullProcessImageNameW
0x1400025e5	0x1400026a0	string	0x1400025d0	VWSH
0x1400025fc	0x1400026f0	string	0x1400025d0	VWSH
0x140002660	0x140001970	string	0x140002620	VWSH
0x140002686	0x140001970	string	0x140002620	VWSH
0x1400026be	0x1400026f0	string	0x1400026a0	VWSH
0x14000279c	0x1400026f0	string	0x140002750	VWSH
0x1400027ab	0x1400026f0	string	0x140002750	VWSH
0x140002810	0x1400026f0	string	0x140002750	VWSH
0x14000283e	0x140002870	string	0x140002750	AWAVATVWUSH
0x1400028a6	0x140002a00	string	0x140002870	VWSH
0x140002a3c	0x140002490	string	0x140002a00	AVVWSH
0x140002b02	0x1401405a8	import	0x140002af0	KERNEL32.dll.GetLastError
0x140002b2d	0x1401408f0	import	0x140002af0	KERNEL32.dll.SetLastError
0x140002b84	0x140140920	import	0x140002b70	KERNEL32.dll.SetUnhandledExceptionFilter
0x140002c14	0x140002ce0	string	0x140002bf0	AVVWSH
0x140002c30	0x14003dab0	string	0x140002bf0	VWUSH
0x140002c41	0x14003d610	string	0x140002bf0	AWAVVWUSH
0x140002c52	0x14003d610	string	0x140002bf0	AWAVVWUSH
0x140002cfe	0x14011ddc8	string	0x140002ce0	user-data-dir
0x140002d24	0x140028a80	string	0x140002ce0	AVVWSH
0x140002de0	0x140113070	string	0x140002de0	Crash Reports
0x140002df0	0x140113090	string	0x140002df0	crash_count.txt
0x140002e15	0x140002ed0	string	0x140002e00	AWAVVWSH
0x140002e27	0x14003dc70	string	0x140002e00	VWSH
0x140002e41	0x14003d610	string	0x140002e00	AWAVVWUSH
0x140002e4a	0x1401130b0	string	0x140002e00	localization
0x140002e71	0x14002f490	string	0x140002e00	AWAVVWSH
0x140003845	0x140003850	string	0x140003830	AVVWUSH
0x14000387a	0x140114546	string	0x140003850	shell32.dll
0x140003881	0x1401405f0	import	0x140003850	KERNEL32.dll.GetModuleHandleW
0x140003887	0x140114530	string	0x140003850	SHGetKnownFolderPath
0x140003891	0x140140610	import	0x140003850	KERNEL32.dll.GetProcAddress
0x140003913	0x140003ce0	string	0x140003850	VWSH
0x140003980	0x140140288	import	0x140003850	SHELL32.dll.SHGetFolderPathW
0x1400039ab	0x140140288	import	0x140003850	SHELL32.dll.SHGetFolderPathW
0x1400039de	0x140140a50	import	0x140003850	ole32.dll.CoTaskMemFree
0x140003a5a	0x140003850	string	0x140003a40	AVVWUSH
0x140003aaa	0x140003850	string	0x140003a90	AVVWUSH
0x140003afa	0x140003850	string	0x140003ae0	AVVWUSH
0x140003b45	0x140003850	string	0x140003b30	AVVWUSH
0x140003b89	0x14002de40	string	0x140003b50	VWSH
0x140003b9d	0x14002de40	string	0x140003b50	VWSH
0x140003bd9	0x140140720	import	0x140003bd0	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x140003be3	0x1401405a8	import	0x140003bd0	KERNEL32.dll.GetLastError
0x140003c0a	0x140140828	import	0x140003c00	KERNEL32.dll.RaiseException
0x140003c54	0x1401405a8	import	0x140003c50	KERNEL32.dll.GetLastError
0x140003d09	0x140003d40	string	0x140003ce0	AWAVATVWSH
0x140004294	0x14011455e	string	0x140004290	invalid string position
0x1400047cc	0x1401145e0	string	0x1400047b0	Copyright 2018 The Crashpad Authors
0x1400047d8	0x140114604	string	0x1400047b0	0.8.0
0x1400047e4	0x140114613	string	0x1400047b0	%ls (%s) %s\n%s\n
0x1400047eb	0x14011460a	string	0x1400047b0	Crashpad
0x1400047f8	0x140004810	string	0x1400047b0	VWSH
0x14000489c	0x140114623	string	0x140004880	https://crashpad.chromium.org/
0x1400048a8	0x14011460a	string	0x140004880	Crashpad
0x1400048b4	0x140114668	string	0x140004880	\nReport %ls bugs to\n%s\n%s home page: <%s>\n
0x1400048bb	0x140114642	string	0x140004880	https://crashpad.chromium.org/bug/new
0x1400048c8	0x140004810	string	0x140004880	VWSH
0x140004909	0x140114693	string	0x1400048e0	%ls: %s\n
0x140004919	0x140004810	string	0x1400048e0	VWSH
0x140004932	0x14011469c	string	0x1400048e0	Try '%ls --help' for more information.\n
0x14000493f	0x140004810	string	0x1400048e0	VWSH
0x140004971	0x140004a90	string	0x140004950	AWAVATVWSH
0x140004a74	0x1401146c4	string	0x140004a70	vector<T> too long
0x140004b68	0x140004b80	string	0x140004a70	AWAVATVWSH
0x140004df0	0x140004e30	string	0x140004dc0	AWAVAUATVWUSH
0x14000528f	0x1401146f9	string	0x140005270	Opera Software
0x14000529c	0x140001970	string	0x140005270	VWSH
0x1400052cf	0x140114708	string	0x1400052b0	Opera Software/Opera {InternalStream}
0x1400052dc	0x140001970	string	0x1400052b0	VWSH
0x14000530f	0x14011472e	string	0x1400052f0	opera
0x14000531c	0x140001970	string	0x1400052f0	VWSH
0x14000534f	0x14011473a	string	0x140005330	OperaDesktop
0x14000535c	0x140001970	string	0x140005330	VWSH
0x140005436	0x140114780	string	0x140005410	SOFTWARE\Macromedia\FlashPlayerPepper
0x140005489	0x1401147d0	string	0x140005410	PlayerPath
0x1400054a3	0x1401147f0	string	0x140005410	Version
0x14000550c	0x14002de40	string	0x140005410	VWSH
0x1400059d4	0x14003d610	string	0x140005930	AWAVVWUSH
0x1400059e1	0x140114890	string	0x140005930	launcher.exe
0x1400059ed	0x140114890	string	0x140005930	launcher.exe
0x140005a24	0x14002f490	string	0x140005930	AWAVVWSH
0x140005a4a	0x14002ea90	string	0x140005930	AWAVAUATVWSH
0x140005a86	0x14002f490	string	0x140005930	AWAVVWSH
