reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401025	0x419a20	string	0x401008	@SUVWH
0x4010ca	0x422f78	string	0x4010b8	@SWH
0x4010e2	0x451508	import	0x4010d0	KERNEL32.dll.LoadResource
0x4010f4	0x451510	import	0x4010d0	KERNEL32.dll.LockResource
0x401108	0x451518	import	0x4010d0	KERNEL32.dll.SizeofResource
0x401156	0x451788	import	0x401148	USER32.dll.EnableWindow
0x401169	0x451788	import	0x401148	USER32.dll.EnableWindow
0x401173	0x41a738	string	0x401148	@SUVWH
0x40139c	0x401188	string	0x401384	@SUVWATH
0x401492	0x451500	import	0x401468	KERNEL32.dll.FindResourceA
0x4014aa	0x4010d0	string	0x401468	@SUVWH
0x4014f5	0x4514f8	import	0x401468	KERNEL32.dll.WideCharToMultiByte
0x40154f	0x4514f8	import	0x401468	KERNEL32.dll.WideCharToMultiByte
0x4015a5	0x401318	string	0x40158c	@SWH
0x4016a3	0x401468	string	0x401634	@SUVWATH
0x4016bf	0x40158c	string	0x401634	@SUVWATH
0x4017be	0x451ec8	string	0x4017b4	DISPLAY
0x4017cd	0x451148	import	0x4017b4	GDI32.dll.CreateDCA
0x4017de	0x451150	import	0x4017b4	GDI32.dll.GetDeviceCaps
0x4017e9	0x4510c0	import	0x4017b4	GDI32.dll.DeleteDC
0x4017f9	0x4514f0	import	0x4017b4	KERNEL32.dll.MulDiv
0x40181f	0x451870	import	0x40180c	USER32.dll.KillTimer
0x401840	0x451850	import	0x40180c	USER32.dll.IsWindow
0x40185a	0x451790	import	0x40180c	USER32.dll.SetWindowLongA
0x401872	0x451850	import	0x40180c	USER32.dll.IsWindow
0x40188e	0x451868	import	0x40180c	USER32.dll.SendMessageA
0x4018a5	0x451860	import	0x40180c	USER32.dll.PostMessageA
0x4018bd	0x451850	import	0x40180c	USER32.dll.IsWindow
0x4018ce	0x451858	import	0x40180c	USER32.dll.DestroyWindow
0x401a08	0x451ee8	string	0x4019f8	Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced
0x401a2a	0x451038	import	0x4019f8	ADVAPI32.dll.RegOpenKeyExA
0x401a4c	0x451ed0	string	0x4019f8	EnableBalloonTips
0x401a66	0x451040	import	0x4019f8	ADVAPI32.dll.RegQueryValueExA
0x401a7e	0x451048	import	0x4019f8	ADVAPI32.dll.RegCloseKey
0x401aa9	0x4514c0	import	0x401a8c	KERNEL32.dll.GetModuleFileNameA
0x401b29	0x451850	import	0x401af4	USER32.dll.IsWindow
0x401b3f	0x451880	import	0x401af4	USER32.dll.GetWindowRect
0x402045	0x4518b8	import	0x401fec	USER32.dll.LoadStringA
0x402099	0x4518b8	import	0x401fec	USER32.dll.LoadStringA
0x4020f5	0x451850	import	0x4020c0	USER32.dll.IsWindow
0x402106	0x451850	import	0x4020c0	USER32.dll.IsWindow
0x40217f	0x401fec	string	0x4020c0	@SVWH
0x402191	0x401b9c	string	0x4020c0	@SUVWATH
0x4021e1	0x4518c8	import	0x4020c0	USER32.dll.LoadCursorA
0x4021e7	0x451f40	string	0x4020c0	XBalloonMsg
0x40221b	0x4518c0	import	0x4020c0	USER32.dll.RegisterClassA
0x402226	0x4514e0	import	0x4020c0	KERNEL32.dll.GetLastError
0x402282	0x4518b0	import	0x4020c0	USER32.dll.CreateWindowExA
0x402319	0x451920	import	0x4022d4	USER32.dll.GetSysColor
0x40234d	0x451920	import	0x4022d4	USER32.dll.GetSysColor
0x402368	0x451920	import	0x4022d4	USER32.dll.GetSysColor
0x402375	0x451130	import	0x4022d4	GDI32.dll.CreateHatchBrush
0x402475	0x451868	import	0x4023f4	USER32.dll.SendMessageA
0x40248f	0x451868	import	0x4023f4	USER32.dll.SendMessageA
0x4024b8	0x4518d0	import	0x4023f4	USER32.dll.CopyRect
0x40252a	0x451920	import	0x4023f4	USER32.dll.GetSysColor
0x402541	0x451140	import	0x4023f4	GDI32.dll.GetStockObject
0x40254e	0x451920	import	0x4023f4	USER32.dll.GetSysColor
0x402556	0x451138	import	0x4023f4	GDI32.dll.CreateSolidBrush
0x40257b	0x451940	import	0x4023f4	USER32.dll.FrameRect
0x40258e	0x4518d8	import	0x4023f4	USER32.dll.InflateRect
0x4025a1	0x4246e0	string	0x4023f4	@SWH
0x4025ab	0x4240e0	string	0x4023f4	@SWH
0x4027d8	0x451938	import	0x4027b4	USER32.dll.RedrawWindow
0x40289e	0x42f190	string	0x4027e8	H;\rIm
0x402925	0x42352c	string	0x402918	@SWH
0x40292d	0x41e104	string	0x402918	@SWH
0x402b70	0x4013cc	string	0x402b44	@SWH
0x402ba6	0x40158c	string	0x402b44	@SUVWATH
0x402bd0	0x402a24	string	0x402bb8	@SUVWH
0x402c37	0x4526d0	string	0x402bdc	%06X
0x402c6b	0x402ab0	string	0x402bdc	@SUVWATAUH
0x402c7c	0x402ab0	string	0x402bdc	@SUVWATAUH
0x402d1a	0x42352c	string	0x402d04	@SWH
0x402d22	0x41e104	string	0x402d04	@SWH
0x402d40	0x402b44	string	0x402d04	@SVWH
0x402d71	0x4027e8	string	0x402d04	@SUVWH
0x411fea	0x4514b0	import	0x411fd4	KERNEL32.dll.ExitProcess
0x412159	0x42f190	string	0x412038	H;\rIm
0x412206	0x411ffc	string	0x41216c	@SWH
0x41220b	0x452958	string	0x41216c	ADVAPI32.DLL
0x412215	0x4514a0	import	0x41216c	KERNEL32.dll.LoadLibraryW
0x412221	0x4514a8	import	0x41216c	KERNEL32.dll.GetProcAddress
0x4123aa	0x4529d4	string	0x412390	Text
0x4123b1	0x4529cc	string	0x412390	Colors
0x4123b8	0x427164	string	0x412390	@SUVWH
0x4123cd	0x4529c0	string	0x412390	Background
0x4123d4	0x4529cc	string	0x412390	Colors
0x4123db	0x427164	string	0x412390	@SUVWH
0x4123f0	0x4529b0	string	0x412390	TextCustom
0x4123f7	0x4529cc	string	0x412390	Colors
0x412401	0x427224	string	0x412390	@SUVWATH
0x412416	0x452998	string	0x412390	BackgroundCustom
0x41241d	0x4529cc	string	0x412390	Colors
0x41242d	0x427224	string	0x412390	@SUVWATH
0x412861	0x419884	string	0x4127a4	@SWH
0x412e83	0x412714	string	0x412e40	@SUVWH
0x412e90	0x412714	string	0x412e40	@SUVWH
0x412f8f	0x412e40	string	0x412f34	@SUVWATH
