reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140002029	0x1400ae09c	string	0x140001fb0	Start
0x140002035	0x1400ae0a8	string	0x140001fb0	DSHttpImpl::sendRequest
0x140002042	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x14000204d	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x1400020ca	0x1400ae0f0	string	0x140001fb0	path=/; secure
0x140002101	0x1400ae100	string	0x140001fb0	; path=/; secure
0x14000215b	0x1400ae118	string	0x140001fb0	WARNING: httpSetCookie failed
0x140002167	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
0x140002174	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x14000217f	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x140002219	0x1400ae158	string	0x140001fb0	ERROR: url format: %hs
0x140002225	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
0x140002232	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x14000223d	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x140002267	0x1400ae178	string	0x140001fb0	Missing second slash in url
0x140002273	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
0x140002280	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x14000228b	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x140002301	0x1400ae198	string	0x140001fb0	httpOpen failed
0x14000235b	0x1400ae1b8	string	0x140001fb0	httpSendRequest failed
0x140002385	0x1400ae1a8	string	0x140001fb0	cancelled
0x14000238c	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
0x140002398	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x1400023a4	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x1400023fe	0x1400ae1d0	string	0x140001fb0	httpGetResponseHeader(DSHttpImpl::STATUS_CODE) failed
0x140002410	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
0x140002417	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x140002423	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x140002431	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
0x140002438	0x1400ae0c0	string	0x140001fb0	s:\ive\win32\common\dsWinClient\dsHttpImpl.cpp
0x14000244d	0x1400ae208	string	0x140001fb0	httpGetResponseHeader STATUS_CODE:%hs
0x14000245f	0x14000e120	string	0x140001fb0	@USVWATAUAVAWH
0x140002489	0x1400ae230	string	0x140001fb0	m_listener->onCheckHttpStatus() failed
0x140002495	0x1400ae138	string	0x140001fb0	DSHttpImpl::sendRequest()
