reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001134	0x14007b238	import	0x1400010d0	KERNEL32.dll.VerSetConditionMask
0x140001143	0x14007b238	import	0x1400010d0	KERNEL32.dll.VerSetConditionMask
0x140001152	0x14007b238	import	0x1400010d0	KERNEL32.dll.VerSetConditionMask
0x140001173	0x14007b240	import	0x1400010d0	KERNEL32.dll.VerifyVersionInfoW
0x140001215	0x1400889b8	string	0x1400011b0	TerminateOnDesktopSwitch
0x14000121c	0x1400889f0	string	0x1400011b0	Software\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\topolo-z_millmouse
0x14000122f	0x14007b068	import	0x1400011b0	ADVAPI32.dll.RegGetValueW
0x140001275	0x14008a1c8	string	0x1400011b0	Mill Mouse
0x1400012b5	0x140001430	string	0x1400011b0	@SWH
0x1400012df	0x14007bb40	import	0x1400011b0	USER32.dll.RegisterClassExW
0x1400012ea	0x14007b228	import	0x1400011b0	KERNEL32.dll.GetLastError
0x140001326	0x14007bb48	import	0x1400011b0	USER32.dll.LoadStringW
0x140001370	0x14007bb30	import	0x1400011b0	USER32.dll.CreateWindowExW
0x1400013a1	0x14007bb20	import	0x1400011b0	USER32.dll.GetMessageW
0x1400013b9	0x14007bb60	import	0x1400011b0	USER32.dll.TranslateMessage
0x1400013c3	0x14007bb50	import	0x1400011b0	USER32.dll.DispatchMessageW
0x1400013d5	0x14007bb20	import	0x1400011b0	USER32.dll.GetMessageW
0x1400013e1	0x14007b228	import	0x1400011b0	KERNEL32.dll.GetLastError
0x1400013fc	0x14007b230	import	0x1400011b0	KERNEL32.dll.CloseHandle
0x1400015a6	0x140088aa0	string	0x140001560	Configuration
0x1400015b9	0x140088ac0	string	0x140001560	Software\Microsoft\Windows NT\CurrentVersion\Accessibility
0x1400015d0	0x14007b068	import	0x140001560	ADVAPI32.dll.RegGetValueW
0x1400015de	0x140088b38	string	0x140001560	topolo-z_millmouse
0x140001627	0x140088b38	string	0x140001560	topolo-z_millmouse
0x14000165a	0x140001650	string	0x140001560	fA9tA
0x1400016fd	0x1400016f4	string	0x140001560	f9tA
0x140001715	0x140088aa0	string	0x140001560	Configuration
0x140001721	0x140088ac0	string	0x140001560	Software\Microsoft\Windows NT\CurrentVersion\Accessibility
0x14000172f	0x14007b008	import	0x140001560	ADVAPI32.dll.RegSetKeyValueW
0x1400017ab	0x14007baa8	import	0x140001770	USER32.dll.GetWindowLongPtrW
0x1400017c8	0x14007ba78	import	0x140001770	USER32.dll.GetWindowRect
0x14000182d	0x14007bb48	import	0x140001770	USER32.dll.LoadStringW
0x140001856	0x14007ba88	import	0x140001770	USER32.dll.DestroyWindow
0x140001865	0x14007ba88	import	0x140001770	USER32.dll.DestroyWindow
0x140001874	0x14007bac0	import	0x140001770	USER32.dll.DestroyIcon
0x14000190e	0x14007bb48	import	0x140001770	USER32.dll.LoadStringW
0x140001967	0x140001990	string	0x140001770	@SUVWATAUAVAWH
0x140001a1c	0x14007baa8	import	0x140001990	USER32.dll.GetWindowLongPtrW
0x140001a26	0x140088b68	string	0x140001990	Button
0x140001a6f	0x14007bb30	import	0x140001990	USER32.dll.CreateWindowExW
0x140001a89	0x14007bbf8	import	0x140001990	UxTheme.dll.SetWindowTheme
0x140001aa1	0x14007bb38	import	0x140001990	USER32.dll.SendMessageW
0x140001add	0x14007b0c8	import	0x140001990	COMCTL32.dll.SetWindowSubclass
0x140001af1	0x140088b80	string	0x140001990	tooltips_class32
0x140001b39	0x14007bb30	import	0x140001990	USER32.dll.CreateWindowExW
0x140001b53	0x14007bb38	import	0x140001990	USER32.dll.SendMessageW
0x140001b6b	0x14007bb38	import	0x140001990	USER32.dll.SendMessageW
0x140001b84	0x14007bb38	import	0x140001990	USER32.dll.SendMessageW
0x140001b9d	0x14007bb38	import	0x140001990	USER32.dll.SendMessageW
0x140001be1	0x14007baf8	import	0x140001990	USER32.dll.GetParent
0x140001c16	0x14007bb38	import	0x140001990	USER32.dll.SendMessageW
0x140001c6d	0x140001c9a	string	0x140001c40	2ۈ\$0 blocks=Basic Latin,Arabic
0x140001c8d	0x14007bca0	import	0x140001c40	dwmapi.dll.DwmIsCompositionEnabled
0x140001cc1	0x140001770	string	0x140001c40	@SUVWATAUAVAWH
0x140001d3f	0x140001770	string	0x140001cf0	@SUVWATAUAVAWH
0x140001d4e	0x140088ba8	string	0x140001cf0	Segoe UI Symbol
0x140001d93	0x14007b200	import	0x140001cf0	GDI32.dll.CreateFontW
0x140001e16	0x14007baf8	import	0x140001db0	USER32.dll.GetParent
0x140001e27	0x14007ba78	import	0x140001db0	USER32.dll.GetWindowRect
0x140001e30	0x14007ba88	import	0x140001db0	USER32.dll.DestroyWindow
0x140001e41	0x14007ba88	import	0x140001db0	USER32.dll.DestroyWindow
0x140001e50	0x14007bac0	import	0x140001db0	USER32.dll.DestroyIcon
0x140001e83	0x14007bad0	import	0x140001db0	USER32.dll.MapWindowPoints
0x140001e97	0x14007bb10	import	0x140001db0	USER32.dll.InvalidateRect
0x140001ea0	0x14007bb00	import	0x140001db0	USER32.dll.UpdateWindow
0x14000200e	0x14007bb18	import	0x140001f90	USER32.dll.GetAncestor
0x14000202a	0x14007ba68	import	0x140001f90	USER32.dll.GetPhysicalCursorPos
0x14000203a	0x14007baa8	import	0x140001f90	USER32.dll.GetWindowLongPtrW
0x140002048	0x14007ba70	import	0x140001f90	USER32.dll.LoadMenuW
0x140002056	0x14007bab8	import	0x140001f90	USER32.dll.GetSubMenu
0x140002062	0x14007ba90	import	0x140001f90	USER32.dll.GetMenuItemCount
0x14000206f	0x14000211d	string	0x140001f90	E3:A
0x14000207a	0x14007ba80	import	0x140001f90	USER32.dll.GetMenuItemID
0x1400020f6	0x14007bac8	import	0x140001f90	USER32.dll.SetMenuItemInfoW
0x140002109	0x14007ba98	import	0x140001f90	USER32.dll.DeleteMenu
0x140002128	0x14007bae0	import	0x140001f90	USER32.dll.SetMenuDefaultItem
0x140002139	0x14007bae0	import	0x140001f90	USER32.dll.SetMenuDefaultItem
0x140002149	0x14007bb08	import	0x140001f90	USER32.dll.SetForegroundWindow
0x1400021d4	0x14007bab0	import	0x140001f90	USER32.dll.TrackPopupMenu
0x1400021dd	0x14007bae8	import	0x140001f90	USER32.dll.DestroyMenu
0x140002270	0x14007b248	import	0x140002230	KERNEL32.dll.GetTickCount64
0x1400022d3	0x14007bad8	import	0x140002230	USER32.dll.TrackMouseEvent
0x1400022e1	0x14007bb10	import	0x140002230	USER32.dll.InvalidateRect
0x1400022ea	0x14007bb00	import	0x140002230	USER32.dll.UpdateWindow
0x140002301	0x14007bb18	import	0x140002230	USER32.dll.GetAncestor
0x14000232b	0x14007bb68	import	0x140002230	USER32.dll.KillTimer
0x14000234c	0x14007bb68	import	0x140002230	USER32.dll.KillTimer
0x140002360	0x14007bb58	import	0x140002230	USER32.dll.SetTimer
0x1400023b9	0x14007bb10	import	0x140002390	USER32.dll.InvalidateRect
0x1400023c2	0x14007bb00	import	0x140002390	USER32.dll.UpdateWindow
0x1400023d9	0x14007bb18	import	0x140002390	USER32.dll.GetAncestor
0x14000241a	0x14007bb58	import	0x140002390	USER32.dll.SetTimer
0x140002554	0x14007baa8	import	0x1400024e0	USER32.dll.GetWindowLongPtrW
0x14000256a	0x14007bb48	import	0x1400024e0	USER32.dll.LoadStringW
0x140002575	0x14007baf0	import	0x1400024e0	USER32.dll.GetDlgItem
0x140002583	0x14007baa0	import	0x1400024e0	USER32.dll.SetWindowTextW
0x1400038cf	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x1400038f8	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x14000397c	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x140003995	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x1400039af	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x1400039ca	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x1400039fb	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x140003a20	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x140003a36	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x140003a4c	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x140003a6a	0x14007bb38	import	0x140003880	USER32.dll.SendMessageW
0x140003a73	0x14007ba30	import	0x140003880	USER32.dll.SetFocus
0x140003b23	0x140088be0	string	0x140003aa0	CalibrationWindow
0x140003b32	0x140088c48	string	0x140003aa0	OSKMainClass
0x140003b90	0x14007b258	import	0x140003aa0	KERNEL32.dll.Sleep
0x140003bb2	0x14007b920	import	0x140003aa0	USER32.dll.GetCursorInfo
0x140003bba	0x140003bea	string	0x140003aa0	D9%k\v\n
0x140003bca	0x140003bea	string	0x140003aa0	D9%k\v\n
0x140003bd3	0x140003bea	string	0x140003aa0	D9%k\v\n
0x140003bfe	0x140004028	string	0x140003aa0	D8%(\a\n
0x140003c07	0x14007b928	import	0x140003aa0	USER32.dll.GetForegroundWindow
0x140003c26	0x14007b900	import	0x140003aa0	USER32.dll.GetWindow
0x140003c45	0x14007b8f8	import	0x140003aa0	USER32.dll.GetWindowThreadProcessId
0x140003c5a	0x14007b250	import	0x140003aa0	KERNEL32.dll.OpenProcess
0x140003c65	0x14007b228	import	0x140003aa0	KERNEL32.dll.GetLastError
0x140003c72	0x14007b230	import	0x140003aa0	KERNEL32.dll.CloseHandle
0x140003ca5	0x14007b9f8	import	0x140003aa0	USER32.dll.GetWindowTextW
0x140003ccf	0x14007b910	import	0x140003aa0	USER32.dll.RealGetWindowClassW
0x140003d02	0x140088c08	string	0x140003aa0	Tobii.EyeX.Configuration.exe
0x140003d70	0x14007b900	import	0x140003aa0	USER32.dll.GetWindow
0x140003d83	0x14007bb08	import	0x140003aa0	USER32.dll.SetForegroundWindow
0x140003d90	0x140004028	string	0x140003aa0	D8%(\a\n
0x140003d9b	0x14007b908	import	0x140003aa0	USER32.dll.GetSystemMetrics
0x140003da3	0x140003db7	string	0x140003aa0	D8%?
0x140003dda	0x1400024e0	string	0x140003aa0	@SVWH
0x140003deb	0x14007baf0	import	0x140003aa0	USER32.dll.GetDlgItem
0x140003df9	0x14007bb10	import	0x140003aa0	USER32.dll.InvalidateRect
0x140003e0b	0x14007baf0	import	0x140003aa0	USER32.dll.GetDlgItem
0x140003e14	0x14007bb00	import	0x140003aa0	USER32.dll.UpdateWindow
0x140003e45	0x14007b938	import	0x140003aa0	USER32.dll.SystemParametersInfoW
0x140003e60	0x14007b938	import	0x140003aa0	USER32.dll.SystemParametersInfoW
0x140003e7b	0x14007b938	import	0x140003aa0	USER32.dll.SystemParametersInfoW
0x140003e96	0x14007b938	import	0x140003aa0	USER32.dll.SystemParametersInfoW
0x140003ebe	0x140088cb8	string	0x140003aa0	MagnificationMode
0x140003ed7	0x140088c70	string	0x140003aa0	Software\Microsoft\ScreenMagnifier
0x140003ef0	0x14007b068	import	0x140003aa0	ADVAPI32.dll.RegGetValueW
0x140003f08	0x140088ce0	string	0x140003aa0	Magnification
0x140003f1f	0x140088c70	string	0x140003aa0	Software\Microsoft\ScreenMagnifier
0x140003f32	0x14007b068	import	0x140003aa0	ADVAPI32.dll.RegGetValueW
0x140003f3d	0x14000400a	string	0x140003aa0	D8%}\a\n
0x140003f4a	0x14000400a	string	0x140003aa0	D8%}\a\n
0x140003f64	0x14000400a	string	0x140003aa0	D8%}\a\n
0x140003f8e	0x14000400a	string	0x140003aa0	D8%}\a\n
0x140003fb5	0x14000400a	string	0x140003aa0	D8%}\a\n
0x140003fc6	0x140088d00	string	0x140003aa0	FollowMouse
0x140003fdf	0x140088c70	string	0x140003aa0	Software\Microsoft\ScreenMagnifier
0x140003ff8	0x14007b068	import	0x140003aa0	ADVAPI32.dll.RegGetValueW
0x140004011	0x140004028	string	0x140003aa0	D8%(\a\n
0x14000401a	0x140004028	string	0x140003aa0	D8%(\a\n
0x140004075	0x14008a788	string	0x140003aa0	Tobii Windows Interactions
0x14000407c	0x14002d050	string	0x140003aa0	@USVWAUAVAWH
0x140004089	0x14008a7c0	string	0x140003aa0	Tobii EyeX Interaction
0x140004090	0x14002d050	string	0x140003aa0	@USVWAUAVAWH
0x1400040ae	0x14007b790	import	0x140003aa0	SHELL32.dll.SHGetFolderPathW
