reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001efe	0x140005c24	string	0x140001cf8	@UAVAWH
0x14000227e	0x140005c24	string	0x1400020e8	@UAVAWH
0x1400022db	0x140005c24	string	0x1400020e8	@UAVAWH
0x1400025bf	0x140005004	string	0x140002344	@UAVAWH
0x140002ec2	0x140005004	string	0x140002c78	@UAVAWH
0x140003aaa	0x140003a40	string	0x1400039e4	D9{DuOH
0x140003bf0	0x140005c24	string	0x1400039e4	@UAVAWH
0x14000453a	0x140006b84	string	0x140004318	@USVWATAUAVH
0x1400048df	0x140009474	string	0x140004318	@USVWATAUAVH
0x14000592f	0x140004318	string	0x14000584c	@USVWATAUAVH
0x140005947	0x140002344	string	0x14000584c	@USVWATAUAVAWH
0x140005958	0x140002c78	string	0x14000584c	@USVWATAVAWH
0x140005969	0x14000309c	string	0x14000584c	@USVWATAUAVAWH
0x14000597a	0x140003548	string	0x14000584c	@USVWATAUAVAWH
0x14000598b	0x140003c1c	string	0x14000584c	@SUVWAVH
0x1400059b4	0x140003e60	string	0x14000584c	@USVWAUAVAWH
0x140006465	0x140005f9c	string	0x140006420	@UWATAVAWH
0x140007f14	0x14002bd6c	string	0x140007ec4	en-bz
0x14000985b	0x14002be0c	string	0x140009474	en-za
0x14000afe9	0x14002c05c	string	0x14000af10	hr-hr
0x14000c3d7	0x14001da10	string	0x14000c3ac	t$8H
0x14000cf59	0x14000cf60	string	0x14000caf8	D9v\tkA
0x14000da99	0x14000dac9	string	0x14000d904	Icw<H
0x14000df29	0x14000df5d	string	0x14000de68	Hc~<H
0x14000eb3f	0x14001da10	string	0x14000eb14	t$8H
0x14000f0e0	0x14000f0e8	string	0x14000f0d8	HcA<
0x14000f40f	0x14001da10	string	0x14000f3e4	t$8H
0x14000fa3f	0x14001da10	string	0x14000fa14	t$8H
0x140013b23	0x140013b34	string	0x140013a79	D;!|
0x140013e13	0x140015a01	string	0x140013d81	@SVWATAUAVAWH
0x140015e19	0x140015ead	string	0x140015d81	9_\fuA
0x140017342	0x14001737a	string	0x1400172f1	E+BHI
0x1400173de	0x140017417	string	0x14001738d	E+BHI
0x140017664	0x1400177bd	string	0x1400175f5	9s,t
0x14001791e	0x140017939	string	0x140017915	<Nu'
0x140017c06	0x140017c17	string	0x140017a91	E2\rA
0x140017c10	0x140017c17	string	0x140017a91	E2\rA
0x14001a066	0x14001a076	string	0x140019eaa	D8c:u
0x14001a06b	0x14001a076	string	0x140019eaa	D8c:u
0x14001a67c	0x14001a69a	string	0x14001a3e2	8\$xt
0x14001a7ef	0x14001a7f4	string	0x14001a796	D9!v
0x14001e453	0x14001e400	string	0x14001e3a6	A86taH
0x14001f561	0x14001f5e8	string	0x14001f521	A#ƀ} blocks=Basic Latin,Latin Extended-B
0x14001f591	0x14001f59e	string	0x14001f521	3\tT$0
0x140020c6e	0x140024443	string	0x140020c2f	@USVWATAUAVAWH
0x140020da5	0x1400284af	string	0x140020d67	H;\rI
0x140020ff9	0x140024443	string	0x140020ea1	@USVWATAUAVAWH
0x14002206c	0x1400284af	string	0x140021f5f	H;\rI
0x140022138	0x14002216c	string	0x14002210b	H+1H
0x1400225f3	0x1400238cf	string	0x14002253b	@UATAUAVAWH
0x140022703	0x1400284af	string	0x14002253b	H;\rI
0x140022a56	0x140022b37	string	0x1400229bf	95Fe
0x140022c48	0x1400284af	string	0x1400229bf	H;\rI
0x1400239a4	0x140012fdf	string	0x1400238cf	\$\bM3
0x140023a61	0x1400284af	string	0x1400238cf	H;\rI
0x140024078	0x140012fdf	string	0x140023f8f	\$\bM3
0x1400241ce	0x140012fdf	string	0x140023f8f	\$\bM3
0x1400242a9	0x1400284af	string	0x140023f8f	H;\rI
0x140024357	0x140023f8f	string	0x1400242eb	@UATAUAVAWH
0x14002451a	0x140025711	string	0x140024443	D8l$ht\nH
0x140024932	0x14002493d	string	0x140024443	E3\rA
0x140024a54	0x140024a5f	string	0x140024443	E3\rA
0x140025694	0x140025711	string	0x140024443	D8l$ht\nH
0x1400256ae	0x140025711	string	0x140024443	D8l$ht\nH
0x1400256cd	0x140025711	string	0x140024443	D8l$ht\nH
0x1400256ec	0x140025711	string	0x140024443	D8l$ht\nH
0x14002572c	0x1400284af	string	0x140024443	H;\rI
0x140026031	0x1400284af	string	0x140025d0f	H;\rI
0x1400261a0	0x1400284af	string	0x140026117	H;\rI
0x140026ba3	0x1400284af	string	0x1400269bb	H;\rI
0x140026bd6	0x140012fdf	string	0x140026bc3	\$\bM3
0x140026cab	0x1400284af	string	0x140026bc3	H;\rI
0x140026cde	0x140012fdf	string	0x140026ccb	\$\bM3
0x140026dca	0x1400284af	string	0x140026ccb	H;\rI
0x140026dfe	0x140012fdf	string	0x140026de7	\$\bM3
0x140026f38	0x1400284af	string	0x140026de7	H;\rI
0x14002771f	0x14002773a	string	0x14002763f	A\vƺ@ blocks=Basic Latin,Latin Extended-B
0x140027808	0x140027825	string	0x14002763f	\vډ\$@@8= blocks=Basic Latin,Arabic
0x140027baf	0x1400284af	string	0x140027aa3	H;\rI
