reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401ac9	0x413278	import	0x401a6a	USER32.dll.OemToCharBuffA
0x402841	0x4131ac	import	0x402834	SHELL32.dll.SHGetMalloc
0x40287c	0x4131b0	import	0x402834	SHELL32.dll.SHBrowseForFolderW
0x402891	0x4131b4	import	0x402834	SHELL32.dll.SHGetPathFromIDListW
0x402988	0x413038	import	0x4028b0	COMDLG32.dll.GetOpenFileNameW
0x40299b	0x413040	import	0x4028b0	COMDLG32.dll.GetSaveFileNameW
0x4029ab	0x41303c	import	0x4028b0	COMDLG32.dll.CommDlgExtendedError
0x4029c7	0x413040	import	0x4028b0	COMDLG32.dll.GetSaveFileNameW
0x4031ad	0x413270	import	0x40319f	USER32.dll.GetDlgItem
0x4031b4	0x413274	import	0x40319f	USER32.dll.EnableWindow
0x4031d2	0x413270	import	0x4031bd	USER32.dll.GetDlgItem
0x4031d9	0x41326c	import	0x4031bd	USER32.dll.ShowWindow
0x4033c4	0x413184	import	0x4033b7	KERNEL32.dll.GetLastError
0x40340f	0x413158	import	0x4033b7	KERNEL32.dll.GetCurrentDirectoryW
0x40357b	0x413184	import	0x40352c	KERNEL32.dll.GetLastError
0x40359a	0x413268	import	0x40352c	USER32.dll.MessageBoxW
0x4035a7	0x413180	import	0x40352c	KERNEL32.dll.SetLastError
0x403825	0x413178	import	0x403803	KERNEL32.dll.GetCurrentProcess
0x40382c	0x413008	import	0x403803	ADVAPI32.dll.OpenProcessToken
0x403837	0x413004	import	0x403803	ADVAPI32.dll.LookupPrivilegeValueW
0x403858	0x413024	import	0x403803	ADVAPI32.dll.AdjustTokenPrivileges
0x403873	0x413184	import	0x403803	KERNEL32.dll.GetLastError
0x4038a4	0x41317c	import	0x403803	KERNEL32.dll.CloseHandle
0x403aae	0x413174	import	0x4038d7	KERNEL32.dll.SetFileTime
0x403b30	0x41301c	import	0x403ade	ADVAPI32.dll.SetFileSecurityW
0x403b3b	0x413020	import	0x403ade	ADVAPI32.dll.SetFileSecurityA
0x40480b	0x413264	import	0x403d71	USER32.dll.CharToOemBuffW
0x405189	0x413170	import	0x405064	KERNEL32.dll.MoveFileW
0x405501	0x41317c	import	0x4054e0	KERNEL32.dll.CloseHandle
0x4055cf	0x41316c	import	0x405595	KERNEL32.dll.SetFilePointer
0x4055dc	0x413184	import	0x405595	KERNEL32.dll.GetLastError
0x405627	0x413168	import	0x405624	KERNEL32.dll.SetEndOfFile
0x405643	0x413164	import	0x405637	KERNEL32.dll.GetFileType
0x4056ee	0x41315c	import	0x40567d	KERNEL32.dll.CreateFileW
0x405704	0x413160	import	0x40567d	KERNEL32.dll.CreateFileA
0x405711	0x413184	import	0x40567d	KERNEL32.dll.GetLastError
0x405819	0x41315c	import	0x4057d8	KERNEL32.dll.CreateFileW
0x405831	0x413160	import	0x4057d8	KERNEL32.dll.CreateFileA
0x4058f2	0x413150	import	0x4058d5	KERNEL32.dll.GetStdHandle
0x40590a	0x413154	import	0x4058d5	KERNEL32.dll.ReadFile
0x405937	0x413184	import	0x4058d5	KERNEL32.dll.GetLastError
0x4059a7	0x41316c	import	0x405954	KERNEL32.dll.SetFilePointer
0x4059b3	0x413184	import	0x405954	KERNEL32.dll.GetLastError
0x405a68	0x413174	import	0x4059c8	KERNEL32.dll.SetFileTime
0x405bb3	0x413150	import	0x405b8f	KERNEL32.dll.GetStdHandle
0x405bbd	0x41314c	import	0x405b8f	KERNEL32.dll.WriteFile
0x405da7	0x413144	import	0x405d8f	KERNEL32.dll.GetFileAttributesW
0x405dc4	0x413148	import	0x405d8f	KERNEL32.dll.GetFileAttributesA
0x405e1c	0x413144	import	0x405e04	KERNEL32.dll.GetFileAttributesW
