reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14003112d	0x140158120	import	0x140031110	PROPSYS.dll.InitPropVariantFromBuffer
0x140031172	0x140158128	import	0x140031150	PROPSYS.dll.InitPropVariantFromInt32Vector
0x1400311c0	0x1401581d8	import	0x1400311c0	api-ms-win-core-com-l1-1-0.dll.PropVariantClear
0x1400311da	0x140158110	import	0x1400311d0	PROPSYS.dll.PropVariantCompareEx
0x14003132f	0x1400467b0	string	0x1400312d0	@SWAVH
0x140031c74	0x1400438c0	string	0x140031be0	@SUWAVAWH
0x1400320d0	0x1400424f0	string	0x140032080	@SUVWAVH
0x1400324a4	0x140046650	string	0x140032430	@SUVAWH
0x140032eec	0x140032d70	string	0x140032e80	@SUVWAVH
0x140032f02	0x140032d70	string	0x140032e80	@SUVWAVH
0x140032f20	0x140032d70	string	0x140032e80	@SUVWAVH
0x140032f38	0x140032d70	string	0x140032e80	@SUVWAVH
0x1400341bc	0x14003cd10	string	0x140034050	@SWAUH
0x140034898	0x140032e80	string	0x140034840	@SUVWATAUAVAWH
0x1400348da	0x140034840	string	0x140034840	@SUVWAVAWH
0x1400348ea	0x140034840	string	0x140034840	@SUVWAVAWH
0x14003499b	0x1400332b0	string	0x140034840	@SUVWATAUAVAWH
0x140034a71	0x1400332b0	string	0x140034840	@SUVWATAUAVAWH
0x140035780	0x140035791	string	0x1400356f0	3ۀy$ blocks=Basic Latin,Arabic
0x140035b1d	0x140043760	string	0x140035af0	@SUWAVAWH
0x140035e73	0x140035a20	string	0x140035e40	@SUWH
0x140035ee0	0x1400334b0	string	0x140035e40	@SVATAUH
0x140036100	0x140159a78	string	0x140036100	bad array new length
0x140036170	0x140159bf0	string	0x140036170	bad cast
0x140036284	0x140043760	string	0x140036240	@SUWAVAWH
0x140036372	0x140035a20	string	0x140036240	@SUWH
0x14003640c	0x140159a30	string	0x140036390	Unknown exception
0x1400364cc	0x140159a30	string	0x140036470	Unknown exception
0x1400364fa	0x140043760	string	0x140036470	@SUWAVAWH
0x1400365eb	0x140043760	string	0x1400365b0	@SUWAVAWH
0x140036e05	0x1401581b0	import	0x140036d10	api-ms-win-core-com-l1-1-0.dll.CoUninitialize
0x140037539	0x140046650	string	0x1400373e0	@SUVAWH
0x140037f75	0x140158090	import	0x140037f30	OLEAUT32.dll.SafeArrayCopyData
0x140037f86	0x140158080	import	0x140037f30	OLEAUT32.dll.SafeArrayUnaccessData
0x140037f93	0x140158078	import	0x140037f30	OLEAUT32.dll.SafeArrayGetUBound
0x140037fb0	0x140158088	import	0x140037f30	OLEAUT32.dll.SafeArrayGetElement
0x14003815c	0x140159f78	string	0x1400380e0	%ProgramData%\Dolby\DAX3\
0x140038163	0x1401584c0	import	0x1400380e0	api-ms-win-core-processenvironment-l1-1-0.dll.ExpandEnvironmentStringsW
0x140038201	0x140158a28	import	0x1400380e0	api-ms-win-shell-shdirectory-l1-1-0.dll.Ordinal_290
0x1400383ae	0x140158880	import	0x1400382f0	api-ms-win-devices-config-l1-1-1.dll.CM_Get_Device_Interface_List_SizeW
0x1400383bd	0x140158338	import	0x1400382f0	api-ms-win-core-heap-l1-1-0.dll.GetProcessHeap
0x1400383cb	0x140158330	import	0x1400382f0	api-ms-win-core-heap-l1-1-0.dll.HeapFree
0x1400383d7	0x140158338	import	0x1400382f0	api-ms-win-core-heap-l1-1-0.dll.GetProcessHeap
0x1400383e8	0x140158358	import	0x1400382f0	api-ms-win-core-heap-l1-1-0.dll.HeapAlloc
0x140038407	0x140158870	import	0x1400382f0	api-ms-win-devices-config-l1-1-1.dll.CM_Get_Device_Interface_ListW
