reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000169c	0x140001780	string	0x1400015a0	AWAVVWUSH
0x1400016f8	0x140001000	string	0x1400015a0	AWAVAUATVWUSH
0x140001756	0x140001230	string	0x1400015a0	AWAVAUATVWUSH
0x140001892	0x140001990	string	0x140001780	AWAVAUATVWUSH
0x1400018c8	0x1400026b0	string	0x140001780	AWAVAUATVWUSH
0x140001903	0x1400026b0	string	0x140001780	AWAVAUATVWUSH
0x140001933	0x1400031d0	string	0x140001780	AWAVAUATVWUSH
0x140001a4f	0x140001ff0	string	0x140001990	AWAVAUATVWUSH
0x140001a96	0x140001ff0	string	0x140001990	AWAVAUATVWUSH
0x140001af1	0x140002480	string	0x140001990	AVVWSH
0x140001b4a	0x140001b68	string	0x140001990	)؉\aA) blocks=Basic Latin,Arabic
0x140001f67	0x140001fa3	string	0x140001f60	Ic\bB
0x14000207c	0x140001f60	string	0x140001ff0	VWE1҅ blocks=Basic Latin,Cyrillic
0x14000209a	0x140001f60	string	0x140001ff0	VWE1҅ blocks=Basic Latin,Cyrillic
0x14000231c	0x140001f60	string	0x140001ff0	VWE1҅ blocks=Basic Latin,Cyrillic
0x1400024ab	0x1400026a5	string	0x140002480	[_^A^
0x1400024e3	0x1400026a5	string	0x140002480	[_^A^
0x1400024f2	0x1400026a5	string	0x140002480	[_^A^
0x14000251f	0x1400026a5	string	0x140002480	[_^A^
0x140002655	0x1400026a5	string	0x140002480	[_^A^
0x140002676	0x1400026a5	string	0x140002480	[_^A^
0x14000268d	0x1400026a5	string	0x140002480	[_^A^
0x140002695	0x1400026a5	string	0x140002480	[_^A^
0x140002902	0x140003a30	string	0x1400026b0	VWSH
0x140002eca	0x140003a30	string	0x1400026b0	VWSH
0x1400033ba	0x140003cb0	string	0x1400031d0	AVVWUSH
0x1400033ce	0x140004270	string	0x1400031d0	AWAVAUATVWUSH
0x1400033f5	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003407	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003422	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003440	0x140003cb0	string	0x1400031d0	AVVWUSH
0x14000347a	0x140004270	string	0x1400031d0	AWAVAUATVWUSH
0x140003486	0x140003cb0	string	0x1400031d0	AVVWUSH
0x1400034aa	0x140003cb0	string	0x1400031d0	AVVWUSH
0x1400034bc	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003501	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003513	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003539	0x140004270	string	0x1400031d0	AWAVAUATVWUSH
0x140003579	0x140003eb0	string	0x1400031d0	AWAVVWUSH
0x140003599	0x140003cb0	string	0x1400031d0	AVVWUSH
0x1400035ab	0x140003cb0	string	0x1400031d0	AVVWUSH
0x1400035ca	0x140003eb0	string	0x1400031d0	AWAVVWUSH
0x1400035ea	0x140003cb0	string	0x1400031d0	AVVWUSH
0x140003607	0x140004b30	string	0x1400031d0	AWAVAUATVWUS
0x14000363d	0x140003dc0	string	0x1400031d0	VWSH
0x140003652	0x140004a70	string	0x1400031d0	AWAVVWUSL
0x140003661	0x140003dc0	string	0x1400031d0	VWSH
0x140003674	0x140003dc0	string	0x1400031d0	VWSH
0x1400036dc	0x140003930	string	0x1400031d0	AWAVAUATVWUSH
0x1400036fd	0x140004a70	string	0x1400031d0	AWAVVWUSL
0x140003730	0x140004680	string	0x1400031d0	AWAVAUATVWUSH
0x140003757	0x140004a70	string	0x1400031d0	AWAVVWUSL
0x140003775	0x140004b30	string	0x1400031d0	AWAVAUATVWUS
0x1400037a3	0x140003dc0	string	0x1400031d0	VWSH
0x1400037b3	0x140003dc0	string	0x1400031d0	VWSH
0x1400037ce	0x140003dc0	string	0x1400031d0	VWSH
0x1400037f3	0x140004b30	string	0x1400031d0	AWAVAUATVWUS
0x140003880	0x140003dc0	string	0x1400031d0	VWSH
0x140003893	0x140004b30	string	0x1400031d0	AWAVAUATVWUS
0x140003960	0x140004680	string	0x140003930	AWAVAUATVWUSH
0x140003987	0x140003dc0	string	0x140003930	VWSH
0x140003995	0x140004680	string	0x140003930	AWAVAUATVWUSH
0x1400039aa	0x140004b30	string	0x140003930	AWAVAUATVWUS
0x140003c71	0x140003c8f	string	0x140003b20	u\bfA
0x14000447a	0x140004010	string	0x140004270	AWAVAUATVWUSH
0x140004987	0x140003b20	string	0x140004960	AWAVATVWSH
0x140004a98	0x140004b20	string	0x140004a70	[]_^A^A_
0x140004aa3	0x140004b20	string	0x140004a70	[]_^A^A_
0x140004b1c	0x140004b20	string	0x140004a70	[]_^A^A_
0x140004b81	0x140004b90	string	0x140004b30	[]_^A\A]A^A_
0x140004bb5	0x140004b90	string	0x140004b30	[]_^A\A]A^A_
0x140004c4f	0x140004b90	string	0x140004b30	[]_^A\A]A^A_
0x140007048	0x140007500	string	0x140006ee0	\e\e\e\e
0x14000774e	0x1400c6098	import	0x140007440	KERNEL32.dll.RtlVirtualUnwind
0x140008a26	0x140008a64	string	0x140008730	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x140008c05	0x1400c6098	import	0x140008730	KERNEL32.dll.RtlVirtualUnwind
0x140009c3f	0x14000b2e6	string	0x140009420	SUATAUAVAWA
0x14000c322	0x1400c6098	import	0x14000be00	KERNEL32.dll.RtlVirtualUnwind
0x14000c370	0x14000c3b0	string	0x14000be00	SUATAUAVAWI
0x14000c37a	0x14000c3b0	string	0x14000be00	SUATAUAVAWI
0x14000c39b	0x14000cc26	string	0x14000be00	SUATAUAVAWE
0x14000c687	0x14000cea6	string	0x14000be00	SUATAUAVAWA
0x14000d43f	0x14000d4b0	string	0x14000be00	VWSUATAUAVAW
0x14000d5b1	0x1400c6098	import	0x14000be00	KERNEL32.dll.RtlVirtualUnwind
0x140012947	0x1400c6098	import	0x140012100	KERNEL32.dll.RtlVirtualUnwind
0x140017628	0x1400c6098	import	0x140012980	KERNEL32.dll.RtlVirtualUnwind
0x14001d714	0x1400bbb50	string	0x14001d710	vector
0x14001d734	0x1400bbb50	string	0x14001d730	vector
0x14001d778	0x140046a80	string	0x14001d750	AWAVAUATVWUSH
0x14001d7a4	0x14004c740	string	0x14001d750	AWAVVWSH
0x14001d7c0	0x14004d9b0	string	0x14001d750	AWAVAUATVWUSH
