reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001019	0x1800b70b8	string	0x180001000	enable-logging
0x180001023	0x18001fb40	string	0x180001000	VWSH
0x180001054	0x18001fbb0	string	0x180001000	AVVWSH
0x18000107d	0x1800b7000	string	0x180001000	stderr
0x180001095	0x18001bd0e	string	0x180001000	VWSH
0x1800010c0	0x18008e590	string	0x180001000	H;\ra
0x1800010f3	0x1800287d0	string	0x1800010cf	AWAVAUATVWUSH
0x180001136	0x180022b60	string	0x1800010cf	AVVWSH
0x18000115f	0x1800babc0	string	0x1800010cf	User Data
0x18000116b	0x1800babc0	string	0x1800010cf	User Data
0x18000119f	0x180022b60	string	0x1800010cf	AVVWSH
0x1800011c2	0x18008e590	string	0x1800010cf	H;\ra
0x1800011fa	0x1800b70d1	string	0x1800011d4	log-file
0x180001223	0x18001fbb0	string	0x1800011d4	AVVWSH
0x180001250	0x1800babf0	string	0x1800011d4	CHROME_LOG_FILE
0x1800012db	0x1800b7008	string	0x1800011d4	chrome_debug.log
0x18000130c	0x1800010cf	string	0x1800011d4	VWSH
0x180001392	0x18008e590	string	0x1800011d4	H;\ra
0x1800013cd	0x180001000	string	0x1800013a9	VWSH
0x1800013fd	0x1800011d4	string	0x1800013a9	AWAVVWSH
0x180001447	0x180023a80	string	0x1800013a9	AWAVATVWSH
0x180001467	0x1800babe0	string	0x1800013a9	CHROME_HEADLESS
0x18000148f	0x1800baba1	string	0x1800013a9	noerrdialogs
0x180001499	0x18001fb40	string	0x1800013a9	VWSH
0x180001503	0x1800d0640	import	0x1800013a9	KERNEL32.dll.SetErrorMode
0x180001532	0x1800b70c7	string	0x1800013a9	log-level
0x18000153f	0x18001fb40	string	0x1800013a9	VWSH
0x180001577	0x18001fbb0	string	0x1800013a9	AVVWSH
0x1800015a5	0x18002b890	string	0x1800013a9	AWAVAUATVWSH
0x1800015dd	0x180001694	string	0x1800013a9	AWAVAUATVWSH
0x180001608	0x18002c7a0	string	0x1800013a9	AWAVVWSH
0x18000161a	0x18002cd10	string	0x1800013a9	VWUSH
0x18000167f	0x18008e590	string	0x1800013a9	H;\ra
0x180001732	0x1800bad50	string	0x180001694	Chromium
0x180001782	0x18008e590	string	0x180001694	H;\ra
0x180001800	0x180001f8c	string	0x180001694	VWSH
0x18000182b	0x1800013a9	string	0x180001694	AVVWUSH
0x180001846	0x1800d0660	import	0x180001694	KERNEL32.dll.SetProcessShutdownParameters
0x180001870	0x1800b703c	string	0x180001694	WatcherMainThread
0x180001883	0x18002d070	string	0x180001694	UVWSH
0x1800018a5	0x18002cd80	string	0x180001694	VWUSH
0x18000193a	0x18002e568	string	0x180001694	AVVWSH
0x18000195b	0x1800b704e	string	0x180001694	BrowserWatcherThread
0x1800019ea	0x180001f8c	string	0x180001694	VWSH
0x1800019ff	0x180029650	string	0x180001694	VWSH
0x180001a12	0x1800293e0	string	0x180001694	VWSH
0x180001a22	0x18002e8c0	string	0x180001694	AVVWSH
0x180001a4d	0x18002d8a0	string	0x180001694	AVVWUSH
0x180001aa2	0x180001de0	string	0x180001694	VWSH
0x180001ab8	0x180001d0c	string	0x180001694	AVVWSH
0x180001ae3	0x180001f8c	string	0x180001694	VWSH
0x180001af3	0x1800b7096	string	0x180001694	StartWatching
0x180001afa	0x1800b7063	string	0x180001694	../../chrome/chrome_watcher/chrome_watcher_main.cc
0x180001c24	0x18008e590	string	0x180001694	H;\ra
0x180001c90	0x18008e590	string	0x180001694	H;\ra
0x180001e8d	0x18002e2a0	string	0x180001e66	AWAVVWSH
0x180001f9e	0x1800d0428	import	0x180001f8c	KERNEL32.dll.GetLastError
0x180001fce	0x18002e260	string	0x180001f8c	AWAVVWSH
0x180001fdc	0x1800d0658	import	0x180001f8c	KERNEL32.dll.SetLastError
0x18000201c	0x18002e2a0	string	0x180001fec	AWAVVWSH
0x180002030	0x1800d0710	import	0x18000202c	chrome_elf.dll.GetInstallDetailsPayload
0x180002087	0x1800b7258	string	0x180002044	Unknown exception
0x180002a92	0x18008e590	string	0x180002a40	H;\ra
0x180002bbe	0x180002b2c	string	0x180002bbe	UVWH
0x18000404a	0x1800b7720	string	0x180003f40	iostream
0x1800040a7	0x1800b7729	string	0x180003f40	unspecified iostream_category error
0x18000416a	0x18001cbd8	string	0x18000413e	UAVVWSH
0x180004181	0x18008e590	string	0x18000413e	H;\ra
0x1800042ce	0x180002b2c	string	0x180004208	UVWH
0x180004504	0x180004b1e	string	0x1800044a4	UVWSH
0x18000456d	0x180004bc2	string	0x1800044a4	UVWSH
0x1800045d6	0x180004c66	string	0x1800044a4	UVWSH
0x180004639	0x180004d18	string	0x1800044a4	UVWSH
0x18000469b	0x180004c66	string	0x1800044a4	UVWSH
0x180004736	0x180004d18	string	0x1800044a4	UVWSH
0x180004899	0x180004dca	string	0x1800044a4	VWSH
0x180004f07	0x1800b7d4c	string	0x180004e40	unsupported locale for standard input
0x180004f18	0x18000501a	string	0x180004e40	AWAVAUATVWUSH
0x180004f20	0x18000501a	string	0x180004e40	AWAVAUATVWUSH
0x18000500a	0x18008e590	string	0x180004e40	H;\ra
