reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001071	0x140015e80	string	0x140001000	H;\ry
0x140006529	0x140015e80	string	0x1400055b0	H;\ry
0x1400067d9	0x140008d00	string	0x140006550	AWAVAUATVWUSH
0x140006932	0x140015e80	string	0x140006550	H;\ry
0x140006bb7	0x140006bdc	string	0x140006550	A;4$
0x140006c0a	0x140009980	string	0x140006550	AVVWUSH
0x140006cc6	0x140022500	string	0x140006550	ATAUAVH
0x140006d1d	0x140006d35	string	0x140006550	L;T$Pt
0x140006d4e	0x140006ec0	string	0x140006550	L;T$PH
0x140006d58	0x140006ec0	string	0x140006550	L;T$PH
0x140006e49	0x140006ec0	string	0x140006550	L;T$PH
0x140006e5e	0x140006e77	string	0x140006550	H;D$@tBH
0x140006e7c	0x140006ec0	string	0x140006550	L;T$PH
0x140006fb2	0x140007170	string	0x140006f60	AVVWSI
0x140006fc8	0x140008240	string	0x140006f60	AWAVAUATVWUSH
0x14000714c	0x140015e80	string	0x140006f60	H;\ry
0x140007332	0x140015e80	string	0x1400072d0	H;\ry
0x140007841	0x140015e80	string	0x140007540	H;\ry
0x140007b87	0x1400145d0	string	0x140007b70	VWSH
0x140008023	0x140008030	string	0x140008020	AWAVATVWUSLc
0x1400086c2	0x1400086c7	string	0x140008240	9\a}Չ\a blocks=Basic Latin,Armenian
0x1400086d6	0x14000874a	string	0x140008240	D;t$$
0x140008782	0x14003b1a0	string	0x140008770	out of memory
0x1400087d1	0x14003b1a0	string	0x1400087b0	out of memory
0x14000880f	0x14003b1a0	string	0x1400087f0	out of memory
0x140008955	0x140008f40	string	0x140008870	AWAVATVWUSH
0x140008965	0x140008a62	string	0x140008870	HcՃ|$0 blocks=Basic Latin,Armenian
0x1400089b9	0x140008a62	string	0x140008870	HcՃ|$0 blocks=Basic Latin,Armenian
0x1400089d2	0x140001000	string	0x140008870	VWSH
0x140008a48	0x140008f40	string	0x140008870	AWAVATVWUSH
0x140008a53	0x140009330	string	0x140008870	AWAVVWUSH
0x140008aa0	0x140008f40	string	0x140008870	AWAVATVWUSH
0x140008b1d	0x140001000	string	0x140008870	VWSH
0x140008b93	0x140008f40	string	0x140008870	AWAVATVWUSH
0x140008b9e	0x140009330	string	0x140008870	AWAVVWUSH
0x140008bd0	0x140015e80	string	0x140008870	H;\ry
0x140008c15	0x14003b5e2	string	0x140008bf0	0123456789abcdef
0x140008d67	0x140009980	string	0x140008d00	AVVWUSH
0x140008df5	0x140015e80	string	0x140008d00	H;\ry
0x140008e96	0x140015e80	string	0x140008e10	H;\ry
0x140009306	0x140015e80	string	0x140008f40	H;\ry
0x14000938d	0x140008f40	string	0x140009330	AWAVATVWUSH
0x1400093e5	0x140008f40	string	0x140009330	AWAVATVWUSH
0x140009468	0x140015e80	string	0x140009330	H;\ry
0x1400094ea	0x140008f40	string	0x140009480	AWAVATVWUSH
0x1400094f5	0x140009330	string	0x140009480	AWAVVWUSH
0x14000952d	0x140008f40	string	0x140009480	AWAVATVWUSH
0x140009538	0x140009330	string	0x140009480	AWAVVWUSH
0x140009570	0x140008f40	string	0x140009480	AWAVATVWUSH
0x14000957b	0x140009330	string	0x140009480	AWAVVWUSH
0x140009592	0x140015e80	string	0x140009480	H;\ry
