reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001817	0x14005d920	import	0x14000164c	USER32.dll.LoadIconA
0x140001ab6	0x140068e80	string	0x140001a70	ios_base::badbit set
0x140001ac5	0x140068e80	string	0x140001a70	ios_base::badbit set
0x140001b0e	0x140068e98	string	0x140001a70	ios_base::failbit set
0x140001b1d	0x140068e98	string	0x140001a70	ios_base::failbit set
0x140001b62	0x140068eb0	string	0x140001a70	ios_base::eofbit set
0x140001b71	0x140068eb0	string	0x140001a70	ios_base::eofbit set
0x140001d2d	0x14005d058	import	0x140001cf0	ADVAPI32.dll.CryptAcquireContextW
0x140001d4e	0x14005d058	import	0x140001cf0	ADVAPI32.dll.CryptAcquireContextW
0x140001d6b	0x14005d058	import	0x140001cf0	ADVAPI32.dll.CryptAcquireContextW
0x140001da6	0x14005d050	import	0x140001cf0	ADVAPI32.dll.CryptImportKey
0x140001e23	0x14005d050	import	0x140001cf0	ADVAPI32.dll.CryptImportKey
0x140001e4f	0x14005d048	import	0x140001cf0	ADVAPI32.dll.CryptEncrypt
0x140001ea2	0x14005d630	import	0x140001e78	KERNEL32.dll.FindResourceA
0x140001eb0	0x14005d638	import	0x140001e78	KERNEL32.dll.LoadResource
0x140001ebe	0x14005d648	import	0x140001e78	KERNEL32.dll.SizeofResource
0x140001ec9	0x14005d640	import	0x140001e78	KERNEL32.dll.LockResource
0x140001ed2	0x14005d628	import	0x140001e78	KERNEL32.dll.GetCurrentProcess
0x140001f3f	0x140068ec8	string	0x140001f30	KERNEL32.DLL
0x140001f46	0x14005d620	import	0x140001f30	KERNEL32.dll.LoadLibraryW
0x140001f4c	0x140068ee8	string	0x140001f30	FGDFAGzsafgdfgDADZasRAFSDAFFsdSAxzadfSAZAvhbkjghhjk
0x140006a2d	0x140068f20	string	0x140001f30	VirtualAllocExNuma
0x140006a37	0x14005d618	import	0x140001f30	KERNEL32.dll.GetProcAddress
0x140006a92	0x14005d928	import	0x140001f30	USER32.dll.GetSystemMenu
0x140006b1f	0x14005d930	import	0x140001f30	USER32.dll.AppendMenuA
0x140006b32	0x14005d930	import	0x140001f30	USER32.dll.AppendMenuA
0x140006b48	0x140068f38	string	0x140001f30	QQyvgS5PP4uaEnL
0x140006b56	0x140068f48	string	0x140001f30	Res_name
0x140006c02	0x14005d910	import	0x140001f30	USER32.dll.SendMessageA
0x140006c18	0x14005d910	import	0x140001f30	USER32.dll.SendMessageA
0x140006c27	0x14005d9f0	import	0x140001f30	USER32.dll.GetClientRect
0x140006c6b	0x14005d910	import	0x140001f30	USER32.dll.SendMessageA
0x140006c80	0x14005d910	import	0x140001f30	USER32.dll.SendMessageA
0x140006c95	0x14005d910	import	0x140001f30	USER32.dll.SendMessageA
0x140006caa	0x14005d910	import	0x140001f30	USER32.dll.SendMessageA
0x1400073f2	0x14005d910	import	0x140007388	USER32.dll.SendMessageA
0x14000740e	0x14005d0e8	import	0x140007388	GDI32.dll.GetObjectA
0x140007476	0x14005d1e0	import	0x140007388	GDI32.dll.CreateFontIndirectA
0x14000749f	0x14005d910	import	0x140007388	USER32.dll.SendMessageA
