reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001236	0x140151bd0	string	0x140001210	install
0x140001268	0x140151bd8	string	0x140001210	remove
0x140001291	0x140151be0	string	0x140001210	debug
0x1400012b6	0x140151be8	string	0x140001210	CPScreenLockSvc
0x1400012e5	0x140129028	import	0x140001210	ADVAPI32.dll.StartServiceCtrlDispatcherW
0x1400012ef	0x1401293e8	import	0x140001210	KERNEL32.dll.GetLastError
0x1400012f7	0x140151c08	string	0x140001210	StartServiceCtrlDispatcher returned error %d\n
0x140001336	0x1401293c8	import	0x140001310	KERNEL32.dll.GetModuleFileNameW
0x140001340	0x1401293e8	import	0x140001310	KERNEL32.dll.GetLastError
0x140001348	0x140151c38	string	0x140001310	Cannot install service (%d)\n
0x14000135f	0x1400f6af0	string	0x140001310	H;\r9
0x14000137e	0x140129048	import	0x140001310	ADVAPI32.dll.OpenSCManagerW
0x14000138c	0x1401293e8	import	0x140001310	KERNEL32.dll.GetLastError
0x140001394	0x140151c58	string	0x140001310	OpenSCManager failed (%d)\n
0x1400013c0	0x140151c78	string	0x140001310	Crypto Pro Screen Lock Service
0x1400013cc	0x140151be8	string	0x140001310	CPScreenLockSvc
0x140001408	0x140129058	import	0x140001310	ADVAPI32.dll.CreateServiceW
0x140001416	0x1401293e8	import	0x140001310	KERNEL32.dll.GetLastError
0x14000141e	0x140151cb8	string	0x140001310	CreateService failed (%d)\n
0x14000142c	0x140151cd8	string	0x140001310	Service installed successfully\n
0x14000143b	0x140129050	import	0x140001310	ADVAPI32.dll.CloseServiceHandle
0x140001444	0x140129050	import	0x140001310	ADVAPI32.dll.CloseServiceHandle
0x140001465	0x1400f6af0	string	0x140001310	H;\r9
0x140001490	0x140129048	import	0x140001480	ADVAPI32.dll.OpenSCManagerW
0x14000149e	0x1401293e8	import	0x140001480	KERNEL32.dll.GetLastError
0x1400014a6	0x140151c58	string	0x140001480	OpenSCManager failed (%d)\n
0x1400014c2	0x140151be8	string	0x140001480	CPScreenLockSvc
0x1400014cc	0x140129020	import	0x140001480	ADVAPI32.dll.OpenServiceW
0x1400014da	0x1401293e8	import	0x140001480	KERNEL32.dll.GetLastError
0x1400014e2	0x140151cf8	string	0x140001480	OpenService failed (%d)\n
0x1400014f8	0x140129038	import	0x140001480	ADVAPI32.dll.DeleteService
0x140001502	0x1401293e8	import	0x140001480	KERNEL32.dll.GetLastError
0x14000150a	0x140151d18	string	0x140001480	DeleteService failed - %d\n
0x140001519	0x140129050	import	0x140001480	ADVAPI32.dll.CloseServiceHandle
0x14000152c	0x140129050	import	0x140001480	ADVAPI32.dll.CloseServiceHandle
0x140001563	0x140151be8	string	0x140001480	CPScreenLockSvc
0x14000156a	0x140129068	import	0x140001480	ADVAPI32.dll.RegisterServiceCtrlHandlerExW
0x14000157c	0x1401293e8	import	0x140001480	KERNEL32.dll.GetLastError
0x140001582	0x140151d40	string	0x140001480	SvcMain: RegisterServiceCtrlHandler returned, errorcode=%d
0x1400015b0	0x1400f6af0	string	0x140001480	H;\r9
0x1400015ef	0x140151db8	string	0x140001480	CPSLSvc service stopped
0x140001612	0x1400f6af0	string	0x140001480	H;\r9
0x14000168e	0x140151de8	string	0x140001650	\\.\pipe\CPCaptureSvcPipe*
0x1400016dd	0x1401295f8	import	0x140001650	KERNEL32.dll.CreateNamedPipeW
0x1400016fe	0x1401293e8	import	0x140001650	KERNEL32.dll.GetLastError
0x140001706	0x140174c20	string	0x140001650	Cannot create communication pipe. (%d)
0x140001717	0x140174bd0	string	0x140001650	Cannot create communication pipe! (%d)
0x14000172e	0x140174c70	string	0x140001650	Pipe thread is already running - cannot start second instance!
0x140001762	0x140129458	import	0x140001650	KERNEL32.dll.CreateThread
0x140001774	0x1401293e8	import	0x140001650	KERNEL32.dll.GetLastError
0x14000177c	0x140174cf0	string	0x140001650	Cannot start communication pipe. (%d)
0x140001788	0x140151e20	string	0x140001650	Cannot start communication pipe!\n
0x1400017d0	0x140129030	import	0x140001650	ADVAPI32.dll.InitializeSecurityDescriptor
0x1400017da	0x1401293e8	import	0x140001650	KERNEL32.dll.GetLastError
0x1400017e0	0x140151ea0	string	0x140001650	SvcInit: InitializeSecurityDescriptor failed, errorcode=%d
0x14000182b	0x140129060	import	0x140001650	ADVAPI32.dll.SetSecurityDescriptorDacl
0x140001835	0x1401293e8	import	0x140001650	KERNEL32.dll.GetLastError
