reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401606	0x401609	string	0x401600	9@,t
0x401726	0x40172e	string	0x401720	9@4u
0x401756	0x401759	string	0x401750	9@4t
0x401a5b	0x401aaa	string	0x4019f0	_^[Y
0x401d20	0x401d92	string	0x401b00	_^]3
0x40225f	0x4095b0	string	0x402220	SUVW3
0x4027ec	0x40282e	string	0x402710	_^]3
0x402806	0x40282e	string	0x402710	_^]3
0x402a42	0x402abd	string	0x402840	_^]3
0x402c9a	0x402d46	string	0x402c80	_^]3
0x402eea	0x43c250	string	0x402e00	Unable to attach the change animation to the simple RCRF sprite
0x4034e3	0x402840	string	0x4033d0	QSUVW
0x403746	0x4095b0	string	0x403510	SUVW3
0x40474d	0x404757	string	0x404390	+ϋML blocks=Basic Latin,Greek and Coptic
0x404807	0x40494f	string	0x404390	9L$
0x404a71	0x404a75	string	0x404390	_^][
0x40516c	0x4051a9	string	0x405130	_^][
0x40523f	0x40524e	string	0x4051d0	_^][
0x4054d3	0x405526	string	0x405320	_^][
0x405bdf	0x43c600	string	0x405bb0	Failed to create the container.
0x405c07	0x43c5a0	string	0x405bb0	RCRFMouseOver
0x405d7c	0x405d83	string	0x405d60	^ËF( blocks=Basic Latin,Latin-1 Supplement
0x405dc7	0x405dee	string	0x405da0	^ËD$ blocks=Basic Latin,Latin-1 Supplement
0x405f8b	0x405f90	string	0x405ef0	j@SU
0x405fb3	0x405f90	string	0x405ef0	j@SU
0x405fd6	0x405fe9	string	0x405ef0	][_^
0x406b3c	0x406bec	string	0x406b00	_^][Y
0x406cbd	0x406cef	string	0x406c00	_^]3
0x407514	0x407360	string	0x407260	9\$0u\r
0x40777a	0x40780b	string	0x407730	_^][ËL$ blocks=Basic Latin,Latin-1 Supplement
0x4077fa	0x40780b	string	0x407730	_^][ËL$ blocks=Basic Latin,Latin-1 Supplement
0x4078be	0x4079e6	string	0x407870	^_][
0x407a7a	0x407ba5	string	0x407a50	_^][YÐ blocks=Basic Latin,Latin-1 Supplement
0x407bb9	0x407bfb	string	0x407a50	T$8R
0x407f60	0x407f95	string	0x407f00	_^]3
0x408a72	0x408a20	string	0x408980	VSWU
0x408a90	0x408ab0	string	0x408980	USWVQ
0x408af8	0x408b0e	string	0x408980	USWV
0x409037	0x408c30	string	0x408f60	SUVW
0x40912d	0x4091bc	string	0x409080	_^][
0x409608	0x409615	string	0x4095b0	_^][
0x40977e	0x409790	string	0x4096c0	][_^
0x409a81	0x409ace	string	0x409a00	^[_]
0x409e07	0x409e25	string	0x409d50	_^][
0x40b88c	0x40b8ea	string	0x40b840	_][^YËL$ blocks=Basic Latin,Latin-1 Supplement
0x40b8b0	0x40b8ea	string	0x40b840	_][^YËL$ blocks=Basic Latin,Latin-1 Supplement
0x40b999	0x40b9ac	string	0x40b940	_^][
0x40bb54	0x40bb7c	string	0x40ba70	_^[ËD$ blocks=Basic Latin,Latin-1 Supplement
0x40ccce	0x40cd5b	string	0x40cc95	9u t\n
0x40ccf2	0x40ccab	string	0x40cc95	9u\bu\a
0x40cd34	0x40cd5b	string	0x40cc95	9u t\n
0x40d3f2	0x40b3c4	string	0x40d2dd	bʉT$ blocks=Basic Latin,IPA Extensions
0x40d9a2	0x40d9e4	string	0x40d995	^Ã|$ blocks=Basic Latin,Latin-1 Supplement
0x40d9b2	0x40d9e4	string	0x40d995	^Ã|$ blocks=Basic Latin,Latin-1 Supplement
0x40da3a	0x40dd61	string	0x40d9e6	_^]3
0x40da4f	0x40dd61	string	0x40d9e6	_^]3
0x40da5f	0x40dd61	string	0x40d9e6	_^]3
0x40dbd8	0x40dd61	string	0x40d9e6	_^]3
0x40dd14	0x40dd61	string	0x40d9e6	_^]3
0x40dd24	0x40dd61	string	0x40d9e6	_^]3
0x40e414	0x407014	string	0x40e3a9	T$\bR
0x40e8a2	0x4071d0	string	0x40e7f1	L$\fQ
0x40e959	0x40bb60	string	0x40e7f1	;F\fs\a
0x40ea2e	0x40bae4	string	0x40e7f1	u\t_^
0x40ef84	0x4071d0	string	0x40ef76	L$\fQ
0x40f271	0x407070	string	0x40f1e1	\$$SW
0x40fecf	0x4070fc	string	0x40fe54	T$\fRSW
0x410224	0x41024e	string	0x410210	9{(u
0x410242	0x41024e	string	0x410210	9{(u
0x410272	0x41029e	string	0x410210	+K0;ȉL$ blocks=Basic Latin,Latin Extended-B
0x410698	0x4106bf	string	0x410330	3\tD$
0x41071a	0x410741	string	0x410330	3\tD$
0x410c08	0x410c1a	string	0x410330	3\tK@
0x411591	0x411599	string	0x410330	+щT$ blocks=Basic Latin,Cyrillic
0x4118a8	0x4103b5	string	0x410330	_^][
0x411b02	0x411da1	string	0x4119e0	;T$0sQ;t$4
0x411ec6	0x411ece	string	0x411e50	;É\$ blocks=Basic Latin,Latin-1 Supplement
0x4129ed	0x412a00	string	0x4128df	j\nXPVSS
0x413f9b	0x413f2f	string	0x413efd	#.zf
0x416f4d	0x416fb8	string	0x416e90	`managed vector copy constructor iterator'
0x41a107	0x41a11b	string	0x41a0d0	hP4@
0x41a234	0x431ea0	string	0x41a12c	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41a26f	0x431ea0	string	0x41a12c	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41a3f3	0x41a406	string	0x41a12c	Whx6@
0x41a3fb	0x41a406	string	0x41a12c	Whx6@
0x41a52a	0x41a587	string	0x41a4d3	Vh\f7@
0x41a56d	0x41a5d1	string	0x41a4d3	YY9}
0x41a618	0x431ea0	string	0x41a5fd	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41a71b	0x41a722	string	0x41a5fd	hp8@
0x41a78e	0x403914	string	0x41a5fd	L$,PQ
0x41aa5f	0x41a9cd	string	0x41a9a8	j\bY3\r}
0x41ac4f	0x41accc	string	0x41aa9d	Sh\f;@
0x41b0a6	0x41b0af	string	0x41afcf	h <@
0x41b3df	0x41b3e6	string	0x41b295	h|<@
0x41b6a1	0x403d68	string	0x41b48d	T$@VR
0x41b8aa	0x431ea0	string	0x41b86c	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41b941	0x41b948	string	0x41b86c	hx>@
0x41ba2d	0x41ba34	string	0x41b86c	hd?@
0x41bcef	0x41bcf6	string	0x41bc2c	hTB@
0x41bd2d	0x41bd34	string	0x41bc2c	htB@
0x41bdc7	0x41bdce	string	0x41bc2c	h0A@
0x41be3a	0x41be41	string	0x41bc2c	h0A@
0x41be76	0x41be7d	string	0x41bc2c	hTA@
0x41bf31	0x41bf38	string	0x41bc2c	h\bA@
0x41c015	0x404300	string	0x41bfac	L$HQ
0x41c21f	0x41c245	string	0x41c11a	h8D@
0x41c2c6	0x431ea0	string	0x41c283	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41c436	0x404530	string	0x41c339	_^][
0x41c4b1	0x41c4bb	string	0x41c339	3\r}ܫ blocks=Basic Latin,Syriac
0x41c59b	0x41c5bb	string	0x41c339	hlG@
0x41c5a2	0x41c5bb	string	0x41c339	hlG@
0x41c844	0x41c84b	string	0x41c7ec	hhH@
0x41c90d	0x41c914	string	0x41c891	h\fI@
0x41c945	0x41c94c	string	0x41c891	h0I@
0x41c9cc	0x41ca25	string	0x41c891	h J@
0x41cc1c	0x42a15c	string	0x41cc0d	\b\b\b\b
0x41ccf8	0x41ccff	string	0x41cc0d	h`L@
0x41cd68	0x404cc8	string	0x41cc0d	u\t_^
0x41cda7	0x41cdd5	string	0x41cc0d	YY^[
0x41cdc3	0x41cdca	string	0x41cc0d	h\fM@
0x41cddd		string	0x41cc0d	\b\b\b\b
0x41d0a7	0x404ecc	string	0x41d057	F\b9F
0x41d1a2	0x431ea0	string	0x41d134	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41d1fa	0x431ea0	string	0x41d134	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41d413	0x41d445	string	0x41d3ef	_^[]
0x41d436	0x41d445	string	0x41d3ef	_^[]
0x41d5f1	0x435110	string	0x41d52e	BuildAPurbleGame::InitGame() - Unable to load the template file %s for diff=%u
0x41daf2	0x431ea0	string	0x41da33	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41dc40	0x431ea0	string	0x41dbb4	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41dc7f	0x431ea0	string	0x41dc5c	UI/BuildAPurble/Cabinet/CheckBoxFlash.xml
0x41e041	0x41e05f	string	0x41df23	j.Xf;
