reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400012b4	0x1400290a8	import	0x140001270	KERNEL32.dll.DecodePointer
0x1400012d9	0x1400290c8	import	0x140001270	KERNEL32.dll.DeleteCriticalSection
0x140001300	0x1400290c0	import	0x140001300	KERNEL32.dll.InitializeCriticalSectionEx
0x140001372	0x140029048	import	0x140001310	ADVAPI32.dll.GetUserNameA
0x1400013ee	0x1400290d0	import	0x140001310	KERNEL32.dll.CreateEventA
0x1400013f7	0x1400290b8	import	0x140001310	KERNEL32.dll.GetLastError
0x140001407	0x1400290b0	import	0x140001310	KERNEL32.dll.CloseHandle
0x14000142e	0x140029518	import	0x140001310	ole32.dll.CoInitialize
0x140001441	0x140029670	string	0x140001310	Mscoree.dll
0x140001448	0x1400290d8	import	0x140001310	KERNEL32.dll.GetModuleHandleA
0x140001459	0x1400290a0	import	0x140001310	KERNEL32.dll.GetCommandLineA
0x140001471	0x140029510	import	0x140001310	ole32.dll.CoUninitialize
0x14000147a	0x1400290b0	import	0x140001310	KERNEL32.dll.CloseHandle
0x1400015fb	0x140029428	import	0x1400015d0	OLEAUT32.dll.SysStringLen
0x140001618	0x1400290e8	import	0x1400015d0	KERNEL32.dll.MultiByteToWideChar
0x140001626	0x140029418	import	0x1400015d0	OLEAUT32.dll.SysReAllocStringLen
0x14000164a	0x1400290e8	import	0x1400015d0	KERNEL32.dll.MultiByteToWideChar
0x140001658	0x140029428	import	0x1400015d0	OLEAUT32.dll.SysStringLen
0x1400016a8	0x140029428	import	0x1400015d0	OLEAUT32.dll.SysStringLen
0x1400016c2	0x140029410	import	0x1400015d0	OLEAUT32.dll.VariantInit
0x1400016ea	0x140029428	import	0x1400015d0	OLEAUT32.dll.SysStringLen
0x1400016fb	0x140029428	import	0x1400015d0	OLEAUT32.dll.SysStringLen
0x14000179f	0x140029410	import	0x140001750	OLEAUT32.dll.VariantInit
0x1400017af	0x140029428	import	0x140001750	OLEAUT32.dll.SysStringLen
0x1400017ce	0x1400290e8	import	0x140001750	KERNEL32.dll.MultiByteToWideChar
0x1400017db	0x140029418	import	0x140001750	OLEAUT32.dll.SysReAllocStringLen
0x140001802	0x1400290e8	import	0x140001750	KERNEL32.dll.MultiByteToWideChar
0x140001824	0x140029410	import	0x140001750	OLEAUT32.dll.VariantInit
0x140001848	0x140029428	import	0x140001750	OLEAUT32.dll.SysStringLen
0x14000186d	0x140029410	import	0x140001750	OLEAUT32.dll.VariantInit
0x140001895	0x140029428	import	0x140001750	OLEAUT32.dll.SysStringLen
0x1400018ac	0x140029410	import	0x140001750	OLEAUT32.dll.VariantInit
0x1400019a2	0x1400290f0	import	0x140001750	KERNEL32.dll.WideCharToMultiByte
0x1400019e2	0x1400290e0	import	0x140001750	KERNEL32.dll.CreateProcessA
0x1400019f5	0x1400290b0	import	0x140001750	KERNEL32.dll.CloseHandle
0x140001a04	0x1400290b0	import	0x140001750	KERNEL32.dll.CloseHandle
0x140001a0e	0x1400290b8	import	0x140001750	KERNEL32.dll.GetLastError
0x140001a17	0x140029688	string	0x140001750	Launching iTunes FAILED! Last error = %d
0x140001a1e	0x1400296b8	string	0x140001750	LaunchApp()
0x140001a33	0x140029428	import	0x140001750	OLEAUT32.dll.SysStringLen
0x140001a3d	0x140029428	import	0x140001750	OLEAUT32.dll.SysStringLen
0x140001a54	0x140029428	import	0x140001750	OLEAUT32.dll.SysStringLen
0x140001af1	0x1400290c0	import	0x140001ab0	KERNEL32.dll.InitializeCriticalSectionEx
0x140001afb	0x1400290b8	import	0x140001ab0	KERNEL32.dll.GetLastError
0x140001b21	0x140029140	import	0x140001ab0	KERNEL32.dll.GetCurrentThreadId
0x140001ee4	0x140029530	import	0x140001e80	ole32.dll.CoCreateInstance
0x140001f08	0x140029a70	string	0x140001e80	CItunesHelperModule::ConnectToService() - FAILED to create instance of the service!
0x140001f51	0x140029420	import	0x140001e80	OLEAUT32.dll.SysReAllocString
0x140001faa	0x140029ad0	string	0x140001e80	CItunesHelperModule::ConnectToService() - FAILED to connect to the service!
0x140002029	0x140029b20	string	0x140001e80	CItunesHelperModule::ConnectToService() - FAILED to log onto the service!
0x140002060	0x140029428	import	0x140001e80	OLEAUT32.dll.SysStringLen
0x1400023c0	0x140029100	import	0x140002360	KERNEL32.dll.EnterCriticalSection
0x14000244f	0x140029148	import	0x140002360	KERNEL32.dll.GetModuleFileNameA
0x140002534	0x1400290e8	import	0x140002360	KERNEL32.dll.MultiByteToWideChar
0x140002572	0x140029430	import	0x140002360	OLEAUT32.dll.LoadRegTypeLib
0x1400025a7	0x140029400	import	0x140002360	OLEAUT32.dll.RegisterTypeLib
0x140002719	0x140029100	import	0x140002360	KERNEL32.dll.EnterCriticalSection
0x14000272f	0x140029108	import	0x140002360	KERNEL32.dll.LeaveCriticalSection
0x14000278e	0x140002910	string	0x140002360	@SUVWATAVAWH
0x140002799	0x140029108	import	0x140002360	KERNEL32.dll.LeaveCriticalSection
0x140002820	0x140002360	string	0x140002360	@UWATAVAWH
0x140002a6f	0x140029428	import	0x140002910	OLEAUT32.dll.SysStringLen
0x140002a7b	0x140029410	import	0x140002910	OLEAUT32.dll.VariantInit
0x140002aad	0x140029428	import	0x140002910	OLEAUT32.dll.SysStringLen
0x140002e24	0x140039060	string	0x140002e00	./iTunesHelperLog.txt
0x140002e32	0x140006540	string	0x140002e00	@UVWAVH
0x140002e3c	0x140029848	string	0x140002e00	12.11.0.26
0x140002e43	0x140029858	string	0x140002e00	iTunesHelper version: %s
0x140002e63	0x1400290d0	import	0x140002e00	KERNEL32.dll.CreateEventA
0x140002e70	0x140029878	string	0x140002e00	MonitorExtShutdownRequest
0x140002ea2	0x1400298a0	string	0x140002e00	CItunesHelperModule::Run() - Started the helper listener successfully!
0x140002ed8	0x1400298f0	string	0x140002e00	CItunesHelperModule::Run() - Started the MobileDevice listener successfully!
0x140002f00	0x140029940	string	0x140002e00	CItunesHelperModule::Run() - Registered with IPodService successfully!
