reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000105d	0x140012300	string	0x140001000	%d %d %s
0x1400010a9	0x140012008	import	0x140001000	KERNEL32.dll.CreateFileA
0x1400010e3	0x140012020	import	0x140001000	KERNEL32.dll.OpenProcess
0x1400010f4	0x140012010	import	0x140001000	KERNEL32.dll.CloseHandle
0x140001120	0x1400012e0	string	0x140001000	H;\r!
0x140001157	0x140012010	import	0x140001000	KERNEL32.dll.CloseHandle
0x140001160	0x140012010	import	0x140001000	KERNEL32.dll.CloseHandle
0x140001166	0x140012018	import	0x140001000	KERNEL32.dll.GetLastError
0x140001171	0x140012010	import	0x140001000	KERNEL32.dll.CloseHandle
0x14000117a	0x140012010	import	0x140001000	KERNEL32.dll.CloseHandle
0x140001187	0x140012228	import	0x140001000	USER32.dll.GetDesktopWindow
0x140001193	0x140012310	string	0x140001000	TechViz DumpProcess
0x14000119d	0x140012328	string	0x140001000	Usage: <ProcessID> <DumpLevel> <DumpPath>
0x1400011a4	0x140012220	import	0x140001000	USER32.dll.MessageBoxA
0x1400011ba	0x1400012e0	string	0x140001000	H;\r!
0x140001241	0x140012238	import	0x140001241	dbghelp.dll.MiniDumpWriteDump
0x1400012be	0x1400012e0	string	0x140001268	H;\r!
0x140001577	0x140012058	import	0x14000156c	KERNEL32.dll.SetUnhandledExceptionFilter
0x140001580	0x140012050	import	0x14000156c	KERNEL32.dll.UnhandledExceptionFilter
0x140001586	0x140012060	import	0x14000156c	KERNEL32.dll.GetCurrentProcess
0x140001599	0x140012068	import	0x14000156c	KERNEL32.dll.TerminateProcess
0x1400015ae	0x140012070	import	0x14000156c	KERNEL32.dll.IsProcessorFeaturePresent
0x1400015c6	0x140001794	string	0x14000156c	@SVWH
0x140001695	0x140012070	import	0x140001688	KERNEL32.dll.IsProcessorFeaturePresent
0x140001731	0x140012038	import	0x140001724	KERNEL32.dll.RtlCaptureContext
