reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001064	0x14000d038	import	0x140001000	KERNEL32.dll.K32EnumProcesses
0x1400010af	0x14000d088	import	0x140001000	KERNEL32.dll.OpenProcess
0x1400010d2	0x14000d070	import	0x140001000	KERNEL32.dll.K32EnumProcessModules
0x14000110b	0x14000d048	import	0x140001000	KERNEL32.dll.ReadProcessMemory
0x140001148	0x14000d030	import	0x140001000	KERNEL32.dll.CloseHandle
0x140001194	0x140001590	string	0x140001000	H;\rqZ
0x14000123f	0x14000d088	import	0x140001200	KERNEL32.dll.OpenProcess
0x140001255	0x140014708	string	0x140001200	ntdll.dll
0x140001261	0x14000d090	import	0x140001200	KERNEL32.dll.GetModuleHandleA
0x14000126c	0x140014718	string	0x140001200	NtCreateThreadEx
0x140001276	0x14000d040	import	0x140001200	KERNEL32.dll.GetProcAddress
0x1400012c8	0x14000d030	import	0x140001200	KERNEL32.dll.CloseHandle
0x1400012d1	0x14000d030	import	0x140001200	KERNEL32.dll.CloseHandle
0x1400012e9	0x140001590	string	0x140001200	H;\rqZ
0x140001332	0x14000d050	import	0x140001300	KERNEL32.dll.GetCurrentProcessId
0x140001342	0x14000d088	import	0x140001300	KERNEL32.dll.OpenProcess
0x14000135d	0x14000d018	import	0x140001300	ADVAPI32.dll.OpenProcessToken
0x14000136e	0x1400146e0	string	0x140001300	SeDebugPrivilege
0x140001375	0x14000d008	import	0x140001300	ADVAPI32.dll.LookupPrivilegeValueW
0x1400013b3	0x14000d010	import	0x140001300	ADVAPI32.dll.AdjustTokenPrivileges
0x1400013bd	0x14000d080	import	0x140001300	KERNEL32.dll.GetLastError
0x1400013c6	0x14000d030	import	0x140001300	KERNEL32.dll.CloseHandle
0x1400013df	0x140014750	string	0x140001300	SOFTWARE
0x1400013ed	0x14000d020	import	0x140001300	ADVAPI32.dll.RegOpenKeyExW
0x1400013fc	0x140014768	string	0x140001300	dialerstager
0x140001403	0x14000d000	import	0x140001300	ADVAPI32.dll.RegDeleteValueW
0x14000140b	0x14000d270	import	0x140001300	ole32.dll.CoInitialize
0x140001438	0x14000d280	import	0x140001300	ole32.dll.CoCreateInstance
0x140001447	0x140014788	string	0x140001300	dialersvc64
0x14000145f	0x14000d278	import	0x140001300	ole32.dll.CoUninitialize
0x140001482	0x140001000	string	0x140001300	@SUATAUAVH
0x1400014b8	0x14000d088	import	0x140001300	KERNEL32.dll.OpenProcess
0x1400014cb	0x14000d0a0	import	0x140001300	KERNEL32.dll.TerminateProcess
0x1400014d4	0x14000d030	import	0x140001300	KERNEL32.dll.CloseHandle
0x1400014e2	0x1400014a3	string	0x140001300	fD9s
0x14000150e	0x140001000	string	0x140001300	@SUATAUAVH
0x14000155a	0x140001590	string	0x140001300	H;\rqZ
0x140001877	0x14000d108	import	0x14000186c	KERNEL32.dll.SetUnhandledExceptionFilter
0x140001880	0x14000d100	import	0x14000186c	KERNEL32.dll.UnhandledExceptionFilter
0x140001886	0x14000d0b0	import	0x14000186c	KERNEL32.dll.GetCurrentProcess
0x140001899	0x14000d0a0	import	0x14000186c	KERNEL32.dll.TerminateProcess
0x1400018c5	0x140001a94	string	0x14000186c	@SVWH
0x140001a31	0x14000d0e8	import	0x140001a24	KERNEL32.dll.RtlCaptureContext
0x140001a49	0x14000d0f0	import	0x140001a24	KERNEL32.dll.RtlLookupFunctionEntry
0x140001a80	0x14000d0f8	import	0x140001a24	KERNEL32.dll.RtlVirtualUnwind
0x140001a9f	0x14000d0e8	import	0x140001a94	KERNEL32.dll.RtlCaptureContext
0x140001ab9	0x14000d0f0	import	0x140001a94	KERNEL32.dll.RtlLookupFunctionEntry
0x140001af0	0x14000d0f8	import	0x140001a94	KERNEL32.dll.RtlVirtualUnwind
0x140001b51	0x14000d398	string	0x140001b4c	bad allocation
0x140001bad	0x14000d3c0	string	0x140001ba8	bad array new length
0x140001c99	0x14000d368	string	0x140001c74	Unknown exception
0x140001f24	0x14000d128	import	0x140001ef8	KERNEL32.dll.GetSystemTimeAsFileTime
0x140001f32	0x14000d120	import	0x140001ef8	KERNEL32.dll.GetCurrentThreadId
0x140001f3e	0x14000d050	import	0x140001ef8	KERNEL32.dll.GetCurrentProcessId
0x140001f4e	0x14000d118	import	0x140001ef8	KERNEL32.dll.QueryPerformanceCounter
0x140001fbf	0x14000d130	import	0x140001fb8	KERNEL32.dll.InitializeSListHead
0x140002068	0x14000d0e8	import	0x140002020	KERNEL32.dll.RtlCaptureContext
0x140002082	0x14000d0f0	import	0x140002020	KERNEL32.dll.RtlLookupFunctionEntry
0x1400020c3	0x14000d0f8	import	0x140002020	KERNEL32.dll.RtlVirtualUnwind
0x140002117	0x14000d138	import	0x140002020	KERNEL32.dll.IsDebuggerPresent
0x140002138	0x14000d108	import	0x140002020	KERNEL32.dll.SetUnhandledExceptionFilter
0x140002143	0x14000d100	import	0x140002020	KERNEL32.dll.UnhandledExceptionFilter
0x140002188	0x14000d140	import	0x14000216c	KERNEL32.dll.GetStartupInfoW
0x1400021b6	0x14000d058	import	0x1400021b0	KERNEL32.dll.GetModuleHandleW
0x14000220b	0x14000d108	import	0x140002204	KERNEL32.dll.SetUnhandledExceptionFilter
0x1400027d8	0x14000d150	import	0x140002794	KERNEL32.dll.RtlPcToFileHeader
0x14000281e	0x14000d158	import	0x140002794	KERNEL32.dll.RaiseException
0x140002bb7	0x14000d080	import	0x140002b98	KERNEL32.dll.GetLastError
0x140002c3e	0x14000d160	import	0x140002b98	KERNEL32.dll.SetLastError
0x140002d17	0x14000d178	import	0x140002cf8	KERNEL32.dll.DeleteCriticalSection
0x140002db3	0x14000d1a8	import	0x140002d30	KERNEL32.dll.LoadLibraryExW
0x140002dc1	0x14000d080	import	0x140002d30	KERNEL32.dll.GetLastError
0x140002dd3	0x14000e278	string	0x140002d30	api-ms-
0x140002deb	0x14000d1a8	import	0x140002d30	KERNEL32.dll.LoadLibraryExW
0x140002e31	0x14000d060	import	0x140002d30	KERNEL32.dll.FreeLibrary
0x140002e3d	0x14000d040	import	0x140002d30	KERNEL32.dll.GetProcAddress
0x140002e85	0x14000e290	string	0x140002e7c	FlsAlloc
0x140002e95	0x14000e290	string	0x140002e7c	FlsAlloc
0x140002eba	0x14000d188	import	0x140002e7c	KERNEL32.dll.TlsAlloc
0x140002ecc	0x14000e2a8	string	0x140002ec4	FlsFree
0x140002edf	0x14000e2a8	string	0x140002ec4	FlsFree
0x140002f03	0x14000d1a0	import	0x140002ec4	KERNEL32.dll.TlsFree
0x140002f14	0x14000e2b8	string	0x140002f0c	FlsGetValue
0x140002f27	0x14000e2b8	string	0x140002f0c	FlsGetValue
0x140002f4b	0x14000d190	import	0x140002f0c	KERNEL32.dll.TlsGetValue
0x140002f61	0x14000e2d0	string	0x140002f54	FlsSetValue
0x140002f6a	0x14000e2d0	string	0x140002f54	FlsSetValue
0x140002f94	0x14000d198	import	0x140002f54	KERNEL32.dll.TlsSetValue
0x140002fba	0x14000e2e8	string	0x140002fa8	InitializeCriticalSectionEx
0x140002fcd	0x14000e2e8	string	0x140002fa8	InitializeCriticalSectionEx
0x140002ff3	0x14000d180	import	0x140002fa8	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x140003f8b	0x140003f96	string	0x140003f60	<"u\a@
0x140003f94	0x140003fb5	string	0x140003f60	< w\tH
0x140003fc0	0x140003fb5	string	0x140003f60	< w\tH
0x14000419b	0x14000d058	import	0x14000418a	KERNEL32.dll.GetModuleHandleW
0x140004261	0x14000d0b0	import	0x140004238	KERNEL32.dll.GetCurrentProcess
0x14000426c	0x14000d0a0	import	0x140004238	KERNEL32.dll.TerminateProcess
0x14000427b	0x14000d1c0	import	0x140004238	KERNEL32.dll.ExitProcess
0x140004297	0x14000e3e8	string	0x140004284	mscoree.dll
0x1400042a0	0x14000d1c8	import	0x140004284	KERNEL32.dll.GetModuleHandleExW
0x1400042af	0x14000e400	string	0x140004284	CorExitProcess
0x1400042b6	0x14000d040	import	0x140004284	KERNEL32.dll.GetProcAddress
0x1400042d3	0x14000d060	import	0x140004284	KERNEL32.dll.FreeLibrary
0x140004b1e	0x14000d110	import	0x140004af8	KERNEL32.dll.IsProcessorFeaturePresent
0x140004fa3	0x14000d080	import	0x140004f94	KERNEL32.dll.GetLastError
0x140005041	0x14000d160	import	0x140004f94	KERNEL32.dll.SetLastError
0x14000511f	0x14000d080	import	0x140005110	KERNEL32.dll.GetLastError
0x1400051bd	0x14000d160	import	0x140005110	KERNEL32.dll.SetLastError
0x1400052b5	0x14000d0e8	import	0x14000523c	KERNEL32.dll.RtlCaptureContext
0x1400052cd	0x14000d0f0	import	0x14000523c	KERNEL32.dll.RtlLookupFunctionEntry
0x140005308	0x14000d0f8	import	0x14000523c	KERNEL32.dll.RtlVirtualUnwind
0x140005341	0x14000d138	import	0x14000523c	KERNEL32.dll.IsDebuggerPresent
0x14000534b	0x14000d108	import	0x14000523c	KERNEL32.dll.SetUnhandledExceptionFilter
0x140005356	0x14000d100	import	0x14000523c	KERNEL32.dll.UnhandledExceptionFilter
0x14000537a	0x140001590	string	0x14000523c	H;\rqZ
0x140005479	0x14000d110	import	0x140005470	KERNEL32.dll.IsProcessorFeaturePresent
0x14000549e	0x14000d0b0	import	0x140005470	KERNEL32.dll.GetCurrentProcess
0x1400054b0	0x14000d0a0	import	0x140005470	KERNEL32.dll.TerminateProcess
0x1400056cb	0x14000d1a8	import	0x140005628	KERNEL32.dll.LoadLibraryExW
0x1400056d9	0x14000d080	import	0x140005628	KERNEL32.dll.GetLastError
0x1400056ed	0x14000e278	string	0x140005628	api-ms-
0x140005700	0x14000f7f8	string	0x140005628	ext-ms-
0x14000571b	0x14000d1a8	import	0x140005628	KERNEL32.dll.LoadLibraryExW
0x140005754	0x14000d060	import	0x140005628	KERNEL32.dll.FreeLibrary
0x140005780	0x14000d040	import	0x140005628	KERNEL32.dll.GetProcAddress
0x140005809	0x14000f8a8	string	0x140005800	AppPolicyGetProcessTerminationMethod
0x14000581c	0x14000f8a8	string	0x140005800	AppPolicyGetProcessTerminationMethod
0x140005864	0x14000f810	string	0x140005850	AreFileApisANSI
0x1400058a8	0x14000e290	string	0x14000588c	FlsAlloc
0x1400058cd	0x14000d188	import	0x14000588c	KERNEL32.dll.TlsAlloc
0x1400058ef	0x14000e2a8	string	0x1400058d4	FlsFree
0x140005913	0x14000d1a0	import	0x1400058d4	KERNEL32.dll.TlsFree
0x140005937	0x14000e2b8	string	0x14000591c	FlsGetValue
0x14000595b	0x14000d190	import	0x14000591c	KERNEL32.dll.TlsGetValue
0x14000597a	0x14000e2d0	string	0x140005964	FlsSetValue
0x1400059a4	0x14000d198	import	0x140005964	KERNEL32.dll.TlsSetValue
0x1400059d4	0x14000f848	string	0x1400059b8	GetSystemTimePreciseAsFileTime
0x1400059f9	0x14000d128	import	0x1400059b8	KERNEL32.dll.GetSystemTimeAsFileTime
0x140005a25	0x14000e2e8	string	0x140005a00	InitializeCriticalSectionEx
0x140005a4b	0x14000d180	import	0x140005a00	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x140005a80	0x14000f878	string	0x140005a64	LCMapStringEx
0x140005a91	0x14000f878	string	0x140005a64	LCMapStringEx
0x140005b25	0x14000d1d0	import	0x140005a64	KERNEL32.dll.LCMapStringW
0x140005b4c	0x14000f890	string	0x140005b40	LocaleNameToLCID
0x140005b56	0x14000f890	string	0x140005b40	LocaleNameToLCID
0x140005c62	0x14000d168	import	0x140005c50	KERNEL32.dll.EnterCriticalSection
0x140005c8b	0x14000d178	import	0x140005c6c	KERNEL32.dll.DeleteCriticalSection
0x140005cb6	0x14000d170	import	0x140005ca4	KERNEL32.dll.LeaveCriticalSection
0x140005cfe	0x14000d1d8	import	0x140005cc0	KERNEL32.dll.HeapAlloc
0x140005d75	0x14000d1d8	import	0x140005d20	KERNEL32.dll.HeapAlloc
0x140005dae	0x14000d1e0	import	0x140005d98	KERNEL32.dll.HeapFree
0x140005dc0	0x14000d080	import	0x140005d98	KERNEL32.dll.GetLastError
0x140005eb2	0x14000d080	import	0x140005dec	KERNEL32.dll.GetLastError
0x140006033	0x14000d080	import	0x140005f64	KERNEL32.dll.GetLastError
0x14000658f	0x1400065ac	string	0x140006484	@8|$Ht\fH
0x1400065ea	0x14000d1f0	import	0x140006484	KERNEL32.dll.FindFirstFileExW
0x14000666d	0x14000668a	string	0x140006484	@8|$ht\fH
0x1400066fc	0x14000d1f8	import	0x140006484	KERNEL32.dll.FindNextFileW
0x140006739	0x140009050	string	0x140006484	ATAUAVH
0x140006751	0x14000d1e8	import	0x140006484	KERNEL32.dll.FindClose
0x140006772	0x140001590	string	0x140006484	H;\rqZ
0x140006838	0x14000d080	import	0x14000679c	KERNEL32.dll.GetLastError
0x1400068ec	0x14000d1b8	import	0x1400068b0	KERNEL32.dll.GetModuleFileNameW
0x1400068f6	0x14000d080	import	0x1400068b0	KERNEL32.dll.GetLastError
0x1400069b4	0x140001590	string	0x1400068b0	H;\rqZ
0x140006bb6	0x14000d210	import	0x140006b8c	KERNEL32.dll.GetOEMCP
0x140006bcd	0x14000d208	import	0x140006b8c	KERNEL32.dll.GetACP
0x140006cde	0x14000d218	import	0x140006c9c	KERNEL32.dll.GetCPInfo
0x140006d60	0x140007f90	string	0x140006c9c	@UATAUAVAWH
0x140006e65	0x140001590	string	0x140006c9c	H;\rqZ
0x1400071e3	0x14000d200	import	0x140007178	KERNEL32.dll.IsValidCodePage
0x14000722f	0x14000d218	import	0x140007178	KERNEL32.dll.GetCPInfo
0x140007414	0x140001590	string	0x140007178	H;\rqZ
0x1400074c4	0x14000d220	import	0x1400074ac	KERNEL32.dll.GetCommandLineA
0x1400074d1	0x14000d228	import	0x1400074ac	KERNEL32.dll.GetCommandLineW
0x14000753b	0x14000d230	import	0x1400074e8	KERNEL32.dll.MultiByteToWideChar
0x1400075d3	0x14000d068	import	0x140007544	KERNEL32.dll.WideCharToMultiByte
0x1400075f5	0x14000d238	import	0x1400075dc	KERNEL32.dll.GetEnvironmentStringsW
0x1400076b9	0x14000d240	import	0x1400075dc	KERNEL32.dll.FreeEnvironmentStringsW
0x1400077ed	0x14000d178	import	0x1400077c4	KERNEL32.dll.DeleteCriticalSection
0x1400078dc	0x14000d168	import	0x1400078bc	KERNEL32.dll.EnterCriticalSection
0x140007904	0x14000d170	import	0x1400078e4	KERNEL32.dll.LeaveCriticalSection
0x140007986	0x14000d248	import	0x14000790c	KERNEL32.dll.SetStdHandle
0x140007a60	0x14000d140	import	0x140007a40	KERNEL32.dll.GetStartupInfoW
0x140007acb	0x14000d250	import	0x140007a40	KERNEL32.dll.GetFileType
0x140007ba9	0x14000d1b0	import	0x140007b30	KERNEL32.dll.GetStdHandle
0x140007bbf	0x14000d250	import	0x140007b30	KERNEL32.dll.GetFileType
0x1400080c2	0x14000d258	import	0x140007f90	KERNEL32.dll.GetStringTypeW
0x1400080fe	0x140001590	string	0x140007f90	H;\rqZ
0x140008c83	0x140008c8a	string	0x140008c4c	HcȺ\b blocks=Basic Latin,Latin Extended-B
0x140008dd4	0x14000d168	import	0x140008dd0	KERNEL32.dll.EnterCriticalSection
0x140008de0	0x14000d170	import	0x140008ddc	KERNEL32.dll.LeaveCriticalSection
0x140008e6a	0x140008e85	string	0x140008ddc	@8l$Ht\fH
0x140008ebd	0x140008eee	string	0x140008ddc	HcA\bH;
0x140008ec2	0x140008eee	string	0x140008ddc	HcA\bH;
0x140008f00	0x140008e85	string	0x140008ddc	@8l$Ht\fH
0x140008f43	0x140008e85	string	0x140008ddc	@8l$Ht\fH
0x1400093ea	0x140001590	string	0x140009050	H;\rqZ
0x14000955d	0x140001590	string	0x140009400	H;\rqZ
0x140009cd0	0x140001590	string	0x1400099fc	H;\rqZ
0x140009d80	0x1400099fc	string	0x140009d14	@UATAUAVAWH
0x140009eca	0x14000d0d0	import	0x140009e7c	KERNEL32.dll.FlushFileBuffers
0x140009ede	0x14000d080	import	0x140009e7c	KERNEL32.dll.GetLastError
0x14000a00b	0x14000d0c8	import	0x140009f9c	KERNEL32.dll.GetConsoleCP
0x14000a099	0x14000a089	string	0x140009f9c	D8T8>t\v
0x14000a2b5	0x14000d0a8	import	0x140009f9c	KERNEL32.dll.WriteFile
0x14000a307	0x14000d0a8	import	0x140009f9c	KERNEL32.dll.WriteFile
0x14000a3a7	0x140001590	string	0x140009f9c	H;\rqZ
0x14000a51f	0x14000d0a8	import	0x14000a46c	KERNEL32.dll.WriteFile
0x14000a53b	0x14000d080	import	0x14000a46c	KERNEL32.dll.GetLastError
0x14000a551	0x140001590	string	0x14000a46c	H;\rqZ
0x14000a63a	0x14000d0a8	import	0x14000a570	KERNEL32.dll.WriteFile
0x14000a656	0x14000d080	import	0x14000a570	KERNEL32.dll.GetLastError
0x14000a66c	0x140001590	string	0x14000a570	H;\rqZ
0x14000a7a3	0x14000d0a8	import	0x14000a68c	KERNEL32.dll.WriteFile
0x14000a7c5	0x14000d080	import	0x14000a68c	KERNEL32.dll.GetLastError
0x14000a7db	0x140001590	string	0x14000a68c	H;\rqZ
0x14000a9e8	0x14000d0c0	import	0x14000a8e8	KERNEL32.dll.GetConsoleMode
0x14000aa68	0x14000d080	import	0x14000a8e8	KERNEL32.dll.GetLastError
0x14000ab14	0x14000d0a8	import	0x14000a8e8	KERNEL32.dll.WriteFile
0x14000ab1e	0x14000d080	import	0x14000a8e8	KERNEL32.dll.GetLastError
0x14000ac36	0x14000d178	import	0x14000abc4	KERNEL32.dll.DeleteCriticalSection
0x14000ae79	0x14000adde	string	0x14000ada0	D8/u\bA
0x14000b153	0x14000b161	string	0x14000b0f8	fE9S
0x14000b2be	0x140001590	string	0x14000b0f8	H;\rqZ
0x14000b8ae	0x140012e80	string	0x14000b88c	CONOUT$
0x14000b8c2	0x14000d098	import	0x14000b88c	KERNEL32.dll.CreateFileW
0x14000b92d	0x14000d078	import	0x14000b8fc	KERNEL32.dll.WriteConsoleW
0x14000b939	0x14000d080	import	0x14000b8fc	KERNEL32.dll.GetLastError
0x14000b951	0x14000d030	import	0x14000b8fc	KERNEL32.dll.CloseHandle
0x14000b95d	0x140012e80	string	0x14000b8fc	CONOUT$
0x14000b97c	0x14000d098	import	0x14000b8fc	KERNEL32.dll.CreateFileW
0x14000b99b	0x14000d078	import	0x14000b8fc	KERNEL32.dll.WriteConsoleW
0x14000bb3a	0x14000d030	import	0x14000bad4	KERNEL32.dll.CloseHandle
0x14000bb44	0x14000d080	import	0x14000bad4	KERNEL32.dll.GetLastError
0x14000bde0	0x140001590	string	0x14000bcd4	H;\rqZ
0x14000be74	0x1400146c0	string	0x14000be70	log10
0x14000c218	0x14000d158	import	0x14000bfcb	KERNEL32.dll.RaiseException
0x14000c3c5	0x14000d110	import	0x14000c3c5	KERNEL32.dll.IsProcessorFeaturePresent
0x14000c449	0x14000c3d0	string	0x14000c420	LcA<E3
0x14000c516	0x140001590	string	0x14000c4c0	H;\rqZ
