reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400018bb	0x14005d920	import	0x1400016f0	USER32.dll.LoadIconA
0x140001b5a	0x140068ea0	string	0x140001b14	ios_base::badbit set
0x140001b69	0x140068ea0	string	0x140001b14	ios_base::badbit set
0x140001bb2	0x140068eb8	string	0x140001b14	ios_base::failbit set
0x140001bc1	0x140068eb8	string	0x140001b14	ios_base::failbit set
0x140001c06	0x140068ed0	string	0x140001b14	ios_base::eofbit set
0x140001c15	0x140068ed0	string	0x140001b14	ios_base::eofbit set
0x140001d71	0x14005d058	import	0x140001d34	ADVAPI32.dll.CryptAcquireContextW
0x140001d92	0x14005d058	import	0x140001d34	ADVAPI32.dll.CryptAcquireContextW
0x140001daf	0x14005d058	import	0x140001d34	ADVAPI32.dll.CryptAcquireContextW
0x140001dea	0x14005d050	import	0x140001d34	ADVAPI32.dll.CryptImportKey
0x140001e67	0x14005d050	import	0x140001d34	ADVAPI32.dll.CryptImportKey
0x140001e93	0x14005d048	import	0x140001d34	ADVAPI32.dll.CryptEncrypt
0x140001ee6	0x14005d630	import	0x140001ebc	KERNEL32.dll.FindResourceA
0x140001ef4	0x14005d638	import	0x140001ebc	KERNEL32.dll.LoadResource
0x140001f02	0x14005d648	import	0x140001ebc	KERNEL32.dll.SizeofResource
0x140001f0d	0x14005d640	import	0x140001ebc	KERNEL32.dll.LockResource
0x140001f16	0x14005d628	import	0x140001ebc	KERNEL32.dll.GetCurrentProcess
0x140001f83	0x140068ee8	string	0x140001f74	KERNEL32.DLL
0x140001f8a	0x14005d620	import	0x140001f74	KERNEL32.dll.LoadLibraryW
0x140001f90	0x140068f08	string	0x140001f74	FGDFAGzsafgdfgDADZasRAFSDAFFsdSAxzadfSAZAvhbkjghhjk
0x140006a71	0x140068f40	string	0x140001f74	VirtualAllocExNuma
0x140006a7b	0x14005d618	import	0x140001f74	KERNEL32.dll.GetProcAddress
0x140006ad6	0x14005d928	import	0x140001f74	USER32.dll.GetSystemMenu
0x140006b63	0x14005d930	import	0x140001f74	USER32.dll.AppendMenuA
0x140006b76	0x14005d930	import	0x140001f74	USER32.dll.AppendMenuA
0x140006b8c	0x140068f58	string	0x140001f74	QQyvgS5PP4uaEnL
0x140006b9a	0x140068f68	string	0x140001f74	Res_name
0x140006c18	0x140068f78	string	0x140001f74	VCADdhkjGTYdgf687%%%
0x140006c5a	0x14005d910	import	0x140001f74	USER32.dll.SendMessageA
0x140006c70	0x14005d910	import	0x140001f74	USER32.dll.SendMessageA
0x140006c7f	0x14005d9f0	import	0x140001f74	USER32.dll.GetClientRect
0x140006cc3	0x14005d910	import	0x140001f74	USER32.dll.SendMessageA
0x140006cd8	0x14005d910	import	0x140001f74	USER32.dll.SendMessageA
0x140006ced	0x14005d910	import	0x140001f74	USER32.dll.SendMessageA
0x140006d02	0x14005d910	import	0x140001f74	USER32.dll.SendMessageA
0x140006e3c	0x14003b760	string	0x140001f74	H;\rI.
0x14000744a	0x14005d910	import	0x1400073e0	USER32.dll.SendMessageA
0x140007466	0x14005d0e8	import	0x1400073e0	GDI32.dll.GetObjectA
0x1400074ce	0x14005d1e0	import	0x1400073e0	GDI32.dll.CreateFontIndirectA
0x1400074f7	0x14005d910	import	0x1400073e0	USER32.dll.SendMessageA
0x140007555	0x14003b760	string	0x1400073e0	H;\rI.
0x1400075a2	0x14005da00	import	0x14000756c	USER32.dll.GetParent
0x1400075c5	0x14005da08	import	0x14000756c	USER32.dll.GetWindowRect
0x14000771a	0x140007724	string	0x14000756c	D+Ƀd$( blocks=Basic Latin,Latin Extended-B
0x14000774c	0x14005da10	import	0x14000756c	USER32.dll.InvalidateRect
0x140007972	0x14005d910	import	0x140007938	USER32.dll.SendMessageA
0x140007997	0x14005d0e8	import	0x140007938	GDI32.dll.GetObjectA
0x1400079ec	0x14005da10	import	0x140007938	USER32.dll.InvalidateRect
0x140007a13	0x14003b760	string	0x140007938	H;\rI.
0x140007a50	0x140068fa8	string	0x140007a20	Newest Row
0x140007a73	0x14005da10	import	0x140007a20	USER32.dll.InvalidateRect
0x140007cf2	0x14005da10	import	0x140007c68	USER32.dll.InvalidateRect
0x140007e2a	0x1400690f8	string	0x140007cfc	www.codeproject.com
0x140007fa5	0x14005da10	import	0x140007f78	USER32.dll.InvalidateRect
0x140007fe5	0x14005da10	import	0x140007fb8	USER32.dll.InvalidateRect
0x1400083a5	0x140068f90	string	0x140008134	Column %d
0x1400083c4	0x140068f9c	string	0x140008134	Row %d
0x140008582	0x14003b760	string	0x140008134	H;\rI.
0x1400085f7	0x140069148	string	0x140008134	Message %d,%d
0x140008622	0x140069158	string	0x140008134	Cache hint received for cell range %d,%d - %d,%d\n
0x1400086c2	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400086f0	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008715	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008744	0x14005da38	import	0x140008688	USER32.dll.EnableMenuItem
0x14000876b	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008797	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400087be	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400087e5	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x14000880c	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008833	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x14000885a	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008884	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400088ab	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400088d2	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400088f9	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008926	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x14000894d	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008977	0x14005da38	import	0x140008688	USER32.dll.EnableMenuItem
0x14000899e	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400089c5	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x1400089ef	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008a19	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008a43	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008a6d	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008aab	0x14005da30	import	0x140008688	USER32.dll.CheckMenuItem
0x140008b40	0x14005d910	import	0x140008afc	USER32.dll.SendMessageA
0x140008b5a	0x14005d0e8	import	0x140008afc	GDI32.dll.GetObjectA
0x140008b64	0x1400691a0	string	0x140008afc	Arial
0x140008c04	0x14003b760	string	0x140008afc	H;\rI.
0x140008d9c	0x14005d910	import	0x140008ca4	USER32.dll.SendMessageA
0x140008db8	0x14005d910	import	0x140008ca4	USER32.dll.SendMessageA
0x140008dce	0x14005d910	import	0x140008ca4	USER32.dll.SendMessageA
0x140008de6	0x14005d910	import	0x140008ca4	USER32.dll.SendMessageA
0x1400095f6	0x1400095fd	string	0x140009580	H9s s
0x140009a29	0x140068f08	string	0x1400099fc	FGDFAGzsafgdfgDADZasRAFSDAFFsdSAxzadfSAZAvhbkjghhjk
