reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401a92	0x403440	string	0x401440	H;\rQZ
0x40219c	0x401440	string	0x401f10	@USVWATAVH
0x4021bc	0x401440	string	0x401f10	@USVWATAVH
0x4021e8	0x401440	string	0x401f10	@USVWATAVH
0x402208	0x401440	string	0x401f10	@USVWATAVH
0x40222f	0x401440	string	0x401f10	@USVWATAVH
0x40314c	0x403140	string	0x402d30	D8;t7
0x4037c1	0x403aa0	string	0x403768	@SVWH
0x40492c	0x40498d	string	0x4047bc	fA;(t(fA98t
0x404c77	0x404c81	string	0x404c50	fE9\bu
0x404cac	0x404c94	string	0x404c50	fE9\bI
