reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000103a	0x140057da0	string	0x140001010	PROGMAN
0x140001096	0x140058298	string	0x140001070	SOFTWARE\TPMX\
0x140001153	0x140057028	import	0x140001070	ADVAPI32.dll.RegOpenKeyExA
0x14000118a	0x140057028	import	0x140001070	ADVAPI32.dll.RegOpenKeyExA
0x1400011ad	0x140009f40	string	0x140001070	H;\r!
0x1400011ff	0x140057028	import	0x1400011c0	ADVAPI32.dll.RegOpenKeyExA
0x14000122c	0x140057028	import	0x1400011c0	ADVAPI32.dll.RegOpenKeyExA
0x14000128c	0x140057030	import	0x1400011c0	ADVAPI32.dll.RegEnumValueA
0x1400012ab	0x140057188	import	0x1400011c0	KERNEL32.dll.lstrcmpiA
0x1400012ba	0x1400571a0	import	0x1400011c0	KERNEL32.dll.lstrlenA
0x1400012d6	0x140057198	import	0x1400011c0	KERNEL32.dll.lstrcatA
0x1400012e8	0x1400573e0	import	0x1400011c0	KERNEL32.dll.RemoveDirectoryA
0x14000132e	0x140057030	import	0x1400011c0	ADVAPI32.dll.RegEnumValueA
0x140001341	0x140057058	import	0x1400011c0	ADVAPI32.dll.RegCloseKey
0x140001366	0x140009f40	string	0x1400011c0	H;\r!
0x14000139e	0x140057128	import	0x140001380	KERNEL32.dll.GetVersion
0x1400013af	0x140057128	import	0x140001380	KERNEL32.dll.GetVersion
0x1400013bc	0x140057128	import	0x140001380	KERNEL32.dll.GetVersion
0x1400013e4	0x140057138	import	0x140001380	KERNEL32.dll.GetWindowsDirectoryA
0x1400013ea	0x140058000	string	0x140001380	\wininit.ini
0x1400013f6	0x140057198	import	0x140001380	KERNEL32.dll.lstrcatA
0x140001423	0x140057420	import	0x140001380	KERNEL32.dll.CreateFileA
0x140001469	0x140058010	string	0x140001380	[Rename]\r\n
0x140001471	0x140058020	string	0x140001380	%hs=%hs\r\n
0x140001499	0x1400576c0	import	0x140001380	USER32.dll.wsprintfA
0x1400014a7	0x1400573e8	import	0x140001380	KERNEL32.dll.GetFileSize
0x1400014ca	0x1400571a8	import	0x140001380	KERNEL32.dll.CreateFileMappingA
0x1400014ed	0x140057148	import	0x140001380	KERNEL32.dll.MapViewOfFile
0x140001534	0x1400576c0	import	0x140001380	USER32.dll.wsprintfA
0x140001580	0x140057150	import	0x140001380	KERNEL32.dll.UnmapViewOfFile
0x14000159c	0x1400573b8	import	0x140001380	KERNEL32.dll.CloseHandle
0x1400015ad	0x1400573c8	import	0x140001380	KERNEL32.dll.SetFilePointer
0x1400015b6	0x1400573d8	import	0x140001380	KERNEL32.dll.SetEndOfFile
0x1400015bf	0x1400573b8	import	0x140001380	KERNEL32.dll.CloseHandle
0x1400015f0	0x140009f40	string	0x140001380	H;\r!
0x14000164a	0x140057140	import	0x140001600	KERNEL32.dll.GetVersionExA
0x140001671	0x140057028	import	0x140001600	ADVAPI32.dll.RegOpenKeyExA
0x14000169e	0x140057028	import	0x140001600	ADVAPI32.dll.RegOpenKeyExA
0x140001705	0x140057030	import	0x140001600	ADVAPI32.dll.RegEnumValueA
0x140001755	0x1400579c8	string	0x140001600	PMUninst.ini
0x140001763	0x140057188	import	0x140001600	KERNEL32.dll.lstrcmpiA
