reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001146	0x140021a68	string	0x140001140	ETW0
0x14000125f	0x14002a070	string	0x140001250	/IM zoolz.exe /F
0x140001274	0x14001fd80	string	0x140001250	taskkill
0x140001287	0x140018300	import	0x140001250	SHELL32.dll.ShellExecuteA
0x140001297	0x140024ab0	string	0x140001250	stop "Acronis VSS Provider" /y
0x1400012c7	0x140018300	import	0x140001250	SHELL32.dll.ShellExecuteA
0x140001308	0x14002a000	string	0x1400012f0	c)}4j\e\6T
0x140001361	0x140029e60	string	0x1400012f0	E$y1|
0x1400016af	0x140029d48	string	0x1400012f0	BTC wallet:
0x14000179f	0x140028e18	string	0x1400012f0	Ryuk\n
0x1400017fe	0x14002a018	string	0x1400012f0	No system is safe
0x140001c03	0x14001fe18	string	0x140001b50	PUBLIC
0x140001cfb	0x14001fe28	string	0x140001b50	UNIQUE_ID_DO_NOT_REMOVE
0x140001d93	0x1400080f0	string	0x140001b50	H;\r\t
0x140001dfc	0x140018058	import	0x140001dc0	KERNEL32.dll.Sleep
0x140001e02	0x140018110	import	0x140001dc0	KERNEL32.dll.GetCommandLineW
0x140001e10	0x1400182f0	import	0x140001dc0	SHELL32.dll.CommandLineToArgvW
0x140001e22	0x140018088	import	0x140001dc0	KERNEL32.dll.DeleteFileW
0x140001e2b	0x1400180c8	import	0x140001dc0	KERNEL32.dll.LocalFree
0x140001e91	0x1400180f0	import	0x140001dc0	KERNEL32.dll.GetVersionExW
0x140001eb0	0x140018118	import	0x140001dc0	KERNEL32.dll.SetLastError
0x140001eb6	0x140018070	import	0x140001dc0	KERNEL32.dll.GetCurrentThread
0x140001ecb	0x140018028	import	0x140001dc0	ADVAPI32.dll.OpenThreadToken
0x140001ed5	0x140018060	import	0x140001dc0	KERNEL32.dll.GetLastError
0x140001ee6	0x140018018	import	0x140001dc0	ADVAPI32.dll.ImpersonateSelf
0x140001eec	0x140018070	import	0x140001dc0	KERNEL32.dll.GetCurrentThread
0x140001f01	0x140018028	import	0x140001dc0	ADVAPI32.dll.OpenThreadToken
0x140001f3f	0x140018100	import	0x140001dc0	KERNEL32.dll.GetModuleFileNameW
0x140001fbb	0x14001fe80	string	0x140001dc0	csrss.exe
0x140001fc2	0x14001fe98	string	0x140001dc0	explorer.exe
0x140001fc9	0x14001feb8	string	0x140001dc0	lsaas.exe
0x140002019	0x1400020ee	string	0x140001dc0	D9+t
0x140002023	0x1400020ee	string	0x140001dc0	D9+t
0x140002052	0x1400020ee	string	0x140001dc0	D9+t
0x140002075	0x1400020ee	string	0x140001dc0	D9+t
0x1400020a7	0x1400020ee	string	0x140001dc0	D9+t
0x1400020da	0x140018058	import	0x140001dc0	KERNEL32.dll.Sleep
0x1400020e0	0x14001fe80	string	0x140001dc0	csrss.exe
0x1400020e7	0x14001fe98	string	0x140001dc0	explorer.exe
0x14000211a	0x140018058	import	0x140001dc0	KERNEL32.dll.Sleep
0x140002144	0x1400080f0	string	0x140001dc0	H;\r\t
0x14000218f	0x14001fe58	string	0x140002170	SeDebugPrivilege
0x140002196	0x140018008	import	0x140002170	ADVAPI32.dll.LookupPrivilegeValueW
0x1400021a0	0x140018060	import	0x140002170	KERNEL32.dll.GetLastError
0x1400021a8	0x14001fed0	string	0x140002170	LookupPrivilegeValue error: %u\n
0x1400021be	0x1400080f0	string	0x140002170	H;\r\t
