reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401210	0x401060	import	0x401210	MSVBVM60.DLL.__vbaChkstk
0x401216	0x4010a0	import	0x401210	MSVBVM60.DLL.__vbaExceptHandler
0x40121c	0x4010b4	import	0x401210	MSVBVM60.DLL.__vbaFPException
0x401222	0x40104c	import	0x401210	MSVBVM60.DLL._adj_fdiv_m16i
0x401228	0x401040	import	0x401210	MSVBVM60.DLL._adj_fdiv_m32
0x40122e	0x4010e4	import	0x401210	MSVBVM60.DLL._adj_fdiv_m32i
0x401234	0x401024	import	0x401210	MSVBVM60.DLL._adj_fdiv_m64
0x40123a	0x4010f8	import	0x401210	MSVBVM60.DLL._adj_fdiv_r
0x401240	0x401050	import	0x401210	MSVBVM60.DLL._adj_fdivr_m16i
0x401246	0x4010f4	import	0x401210	MSVBVM60.DLL._adj_fdivr_m32
0x40124c	0x4010e8	import	0x401210	MSVBVM60.DLL._adj_fdivr_m32i
0x401252	0x4010ac	import	0x401210	MSVBVM60.DLL._adj_fdivr_m64
0x401258	0x401088	import	0x401210	MSVBVM60.DLL._adj_fpatan
0x40125e	0x4010a8	import	0x401210	MSVBVM60.DLL._adj_fprem
0x401264	0x401028	import	0x401210	MSVBVM60.DLL._adj_fprem1
0x40126a	0x401008	import	0x401210	MSVBVM60.DLL._adj_fptan
0x401270	0x401110	import	0x401210	MSVBVM60.DLL._CIatan
0x401276	0x401004	import	0x401210	MSVBVM60.DLL._CIcos
0x40127c	0x401124	import	0x401210	MSVBVM60.DLL._CIexp
0x401282	0x4010d4	import	0x401210	MSVBVM60.DLL._CIlog
0x401288	0x401058	import	0x401210	MSVBVM60.DLL._CIsin
0x40128e	0x401098	import	0x401210	MSVBVM60.DLL._CIsqrt
0x401294	0x401120	import	0x401210	MSVBVM60.DLL._CItan
0x40129a	0x40111c	import	0x401210	MSVBVM60.DLL._allmul
0x4012a0	0x4010d8	import	0x401210	MSVBVM60.DLL.__vbaErrorOverflow
0x4012a6	0x401020	import	0x401210	MSVBVM60.DLL.__vbaFreeVarList
0x4012ac	0x4010f0	import	0x401210	MSVBVM60.DLL.__vbaFreeStrList
0x4012b2	0x4010cc	import	0x401210	MSVBVM60.DLL.__vbaVarCat
0x4012b8	0x4010c8	import	0x401210	MSVBVM60.DLL.__vbaStrVarVal
0x4012be	0x4010ec	import	0x401210	MSVBVM60.DLL.__vbaStrCopy
0x4012c4	0x4010b0	import	0x401210	MSVBVM60.DLL.rtcVarBstrFromAnsi
0x4012ca	0x40112c	import	0x401210	MSVBVM60.DLL.__vbaFreeObj
0x4012d0	0x4010e0	import	0x401210	MSVBVM60.DLL.__vbaNew2
0x4012d6	0x40103c	import	0x401210	MSVBVM60.DLL.__vbaHresultCheckObj
0x4012dc	0x401080	import	0x401210	MSVBVM60.DLL.DllFunctionCall
0x4012e2	0x4010a4	import	0x401210	MSVBVM60.DLL.__vbaStrToUnicode
0x4012e8	0x401034	import	0x401210	MSVBVM60.DLL.__vbaLsetFixstr
0x4012ee	0x401038	import	0x401210	MSVBVM60.DLL.__vbaSetSystemError
0x4012f4	0x40110c	import	0x401210	MSVBVM60.DLL.__vbaStrToAnsi
0x4012fa	0x40107c	import	0x401210	MSVBVM60.DLL.__vbaI2I4
0x401300	0x40108c	import	0x401210	MSVBVM60.DLL.__vbaFixstrConstruct
0x401306	0x40105c	import	0x401210	MSVBVM60.DLL.rtcMidCharVar
0x40130c	0x401018	import	0x401210	MSVBVM60.DLL.__vbaStrVarMove
0x401312	0x401014	import	0x401210	MSVBVM60.DLL.__vbaLenBstr
0x401318	0x401044	import	0x401210	MSVBVM60.DLL.__vbaAryDestruct
0x40131e	0x401090	import	0x401210	MSVBVM60.DLL.__vbaRedim
0x401324	0x40102c	import	0x401210	MSVBVM60.DLL.rtcLowerCaseVar
0x40132a	0x401078	import	0x401210	MSVBVM60.DLL.__vbaVarTstEq
0x401330	0x40106c	import	0x401210	MSVBVM60.DLL.__vbaGenerateBoundsError
0x401336	0x401084	import	0x401210	MSVBVM60.DLL.__vbaRedimPreserve
0x40133c	0x401128	import	0x401210	MSVBVM60.DLL.__vbaFreeStr
0x401342	0x401108	import	0x401210	MSVBVM60.DLL.rtcGetFileAttr
0x401348	0x401054	import	0x401210	MSVBVM60.DLL.rtcDoEvents
0x40134e	0x401070	import	0x401210	MSVBVM60.DLL.__vbaStrCmp
0x401354	0x4010d0	import	0x401210	MSVBVM60.DLL.rtcDir
0x40135a	0x401030	import	0x401210	MSVBVM60.DLL.__vbaStrCat
0x401360	0x401114	import	0x401210	MSVBVM60.DLL.__vbaStrMove
0x401366	0x401010	import	0x401210	MSVBVM60.DLL.__vbaFreeVar
0x40136c	0x401118	import	0x401210	MSVBVM60.DLL.rtcRightCharVar
