reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40110c	0x481a2c	string	0x4010cb	\svchost.exe
0x40119c	0x481a2c	string	0x4010cb	\svchost.exe
0x401232	0x4e0042	string	0x4010cb	\svchos.exe
0x4012c2	0x4e0042	string	0x4010cb	\svchos.exe
0x401358	0x4f7456	string	0x4010cb	hd_.log
0x4017e7	0x4f74aa	string	0x4014d5	HD_X.dat
0x401886	0x4f74b3	string	0x4014d5	*.exe
0x4018e6	0x4f74b9	string	0x4014d5	*.lnk
0x401920	0x4f74b3	string	0x4014d5	*.exe
0x40192c	0x4f74bf	string	0x4014d5	C:\Users\Administrator\Desktop
0x401962	0x4f74b9	string	0x4014d5	*.lnk
0x40196e	0x4f74bf	string	0x4014d5	C:\Users\Administrator\Desktop
0x4019a4	0x4f74b9	string	0x4014d5	*.lnk
0x4019b0	0x4f74de	string	0x4014d5	C:\Users\Public\Desktop
0x401afd	0x4f74f6	string	0x4014d5	\HD_
0x401cc3	0x4f74aa	string	0x4014d5	HD_X.dat
0x401d6f	0x4f74b3	string	0x4014d5	*.exe
0x401dcf	0x4f74b9	string	0x4014d5	*.lnk
0x401e09	0x4f74b3	string	0x4014d5	*.exe
0x401e15	0x4f74bf	string	0x4014d5	C:\Users\Administrator\Desktop
0x401e4b	0x4f74b9	string	0x4014d5	*.lnk
0x401e57	0x4f74bf	string	0x4014d5	C:\Users\Administrator\Desktop
0x401e8d	0x4f74b9	string	0x4014d5	*.lnk
0x401e99	0x4f74de	string	0x4014d5	C:\Users\Public\Desktop
0x402a53	0x4f7527	string	0x4027c5	X.ico
0x402b15	0x4f74aa	string	0x4027c5	HD_X.dat
0x402b63	0x4f7527	string	0x4027c5	X.ico
0x402bc9	0x4f752d	string	0x4027c5	DEFAULT_ICON
0x402c38	0x4f74aa	string	0x4027c5	HD_X.dat
0x402f1d	0x4f7527	string	0x4027c5	X.ico
0x402fdf	0x4f74aa	string	0x4027c5	HD_X.dat
0x40302d	0x4f7527	string	0x4027c5	X.ico
0x403093	0x4f752d	string	0x4027c5	DEFAULT_ICON
0x403102	0x4f74aa	string	0x4027c5	HD_X.dat
0x40372a	0x403704	string	0x403359	RSh
0x4037e9	0x4037c3	string	0x403359	RSh
0x4046ee	0x4046f6	string	0x4046ec	VWSP
0x404c97	0x480338	import	0x404b90	KERNEL32.dll.CreateProcessA
0x404caf	0x48033c	import	0x404b90	KERNEL32.dll.WaitForSingleObject
0x404cc1	0x480540	import	0x404b90	USER32.dll.WaitForInputIdle
0x404ccb	0x480340	import	0x404b90	KERNEL32.dll.CloseHandle
0x4052ed	0x480318	import	0x404fe0	KERNEL32.dll.CopyFileA
0x405307	0x480314	import	0x404fe0	KERNEL32.dll.DeleteFileA
0x405332	0x480308	import	0x404fe0	KERNEL32.dll.FindFirstFileA
0x40533e	0x48030c	import	0x404fe0	KERNEL32.dll.FindClose
0x4058af	0x4802c4	import	0x405820	KERNEL32.dll.GetProcessHeap
0x4058c4	0x4802c8	import	0x405820	KERNEL32.dll.HeapAlloc
0x405964	0x4802c4	import	0x4058f0	KERNEL32.dll.GetProcessHeap
0x40597e	0x4802c8	import	0x4058f0	KERNEL32.dll.HeapAlloc
0x4059e0	0x4802c0	import	0x4058f0	KERNEL32.dll.HeapReAlloc
0x405a69	0x4802c4	import	0x405a20	KERNEL32.dll.GetProcessHeap
0x405a78	0x4802bc	import	0x405a20	KERNEL32.dll.HeapFree
0x405ee2	0x405eea	string	0x405ea0	W;ލ< blocks=Basic Latin,Thaana
0x40634d	0x4804b0	import	0x406340	USER32.dll.GetSysColor
0x4063a9	0x480054	import	0x406360	GDI32.dll.CreateFontIndirectA
0x406400	0x40645b	string	0x4063c0	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x40643f	0x40645b	string	0x4063c0	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x4064dd	0x40650c	string	0x406480	G먍F\_^[ blocks=Basic Latin,Hangul Syllables
0x4064e6	0x40650c	string	0x406480	G먍F\_^[ blocks=Basic Latin,Hangul Syllables
0x406543	0x4065ea	string	0x406520	_^]3
0x40656d	0x4065ea	string	0x406520	_^]3
0x406584	0x4065ea	string	0x406520	_^]3
0x4065b5	0x4065ea	string	0x406520	_^]3
0x4065be	0x4065ea	string	0x406520	_^]3
0x40670a	0x48049c	import	0x406600	USER32.dll.IsWindowVisible
0x4067a4	0x48053c	import	0x406600	USER32.dll.wsprintfA
0x4067bd	0x480514	import	0x406600	USER32.dll.SendMessageA
0x406a15	0x4804c8	import	0x406600	USER32.dll.FillRect
0x406a82	0x4804f4	import	0x406600	USER32.dll.GetClientRect
0x406a91	0x4804e0	import	0x406600	USER32.dll.GetWindowRect
0x406aab	0x480584	import	0x406600	USER32.dll.OffsetRect
0x406afa	0x4804c8	import	0x406600	USER32.dll.FillRect
0x406b66	0x4804f4	import	0x406600	USER32.dll.GetClientRect
0x406b87	0x480498	import	0x406600	USER32.dll.PtInRect
0x406be6	0x480514	import	0x406600	USER32.dll.SendMessageA
0x406c1f	0x50cc70	string	0x406600	W0\⸮. blocks=Basic Latin,Supplemental Punctuation
0x406c27	0x48008c	import	0x406600	GDI32.dll.GetTextExtentPoint32A
0x406d5c	0x480514	import	0x406d20	USER32.dll.SendMessageA
0x406ded	0x480514	import	0x406d70	USER32.dll.SendMessageA
0x407060	0x461aa3	string	0x406f80	QSUVW
0x407078	0x461aa3	string	0x406f80	QSUVW
0x4070a0	0x461aa3	string	0x406f80	QSUVW
0x4070c7	0x461aa3	string	0x406f80	QSUVW
0x4070f0	0x461aa3	string	0x406f80	QSUVW
0x407244	0x480514	import	0x406f80	USER32.dll.SendMessageA
0x4073f1	0x407490	string	0x4073e0	_^][
0x4073fc	0x407490	string	0x4073e0	_^][
0x407405	0x4804fc	import	0x4073e0	USER32.dll.GetParent
0x407418	0x407490	string	0x4073e0	_^][
0x40743f	0x48050c	import	0x4073e0	USER32.dll.SetParent
0x407454	0x4804e0	import	0x4073e0	USER32.dll.GetWindowRect
0x407514	0x4804cc	import	0x4073e0	USER32.dll.IsRectEmpty
0x407546	0x4804c8	import	0x4073e0	USER32.dll.FillRect
0x4075c1	0x480514	import	0x4075a0	USER32.dll.SendMessageA
0x4076af	0x480508	import	0x4076a0	USER32.dll.IsWindow
0x4076cf	0x480514	import	0x4076a0	USER32.dll.SendMessageA
0x4077a0	0x480508	import	0x4076a0	USER32.dll.IsWindow
0x4079a9	0x4804f0	import	0x407920	USER32.dll.InvalidateRect
0x407a27	0x4804cc	import	0x407920	USER32.dll.IsRectEmpty
0x407a3f	0x4804f4	import	0x407920	USER32.dll.GetClientRect
0x407afd	0x48048c	import	0x407920	USER32.dll.InflateRect
0x407b67	0x480490	import	0x407920	USER32.dll.IntersectRect
0x407b81	0x480044	import	0x407920	GDI32.dll.CreateRectRgn
0x407d40	0x480048	import	0x407920	GDI32.dll.FillRgn
0x407dbf	0x480084	import	0x407920	GDI32.dll.GetCurrentObject
0x407e9d	0x480584	import	0x407920	USER32.dll.OffsetRect
0x407ee4	0x480584	import	0x407920	USER32.dll.OffsetRect
0x407f31	0x480584	import	0x407920	USER32.dll.OffsetRect
0x408234	0x480044	import	0x408090	GDI32.dll.CreateRectRgn
0x40825a	0x480040	import	0x408090	GDI32.dll.CombineRgn
0x4082a6	0x480488	import	0x408090	USER32.dll.SetRect
0x4082be	0x480490	import	0x408090	USER32.dll.IntersectRect
0x4082e9	0x4804cc	import	0x408090	USER32.dll.IsRectEmpty
0x40838e	0x480044	import	0x408090	GDI32.dll.CreateRectRgn
0x4083b4	0x480040	import	0x408090	GDI32.dll.CombineRgn
0x40858d	0x480494	import	0x4084d0	USER32.dll.DestroyIcon
0x408645	0x4804cc	import	0x4084d0	USER32.dll.IsRectEmpty
0x408680	0x480084	import	0x4084d0	GDI32.dll.GetCurrentObject
0x4086b5	0x4086e8	string	0x4084d0	9kHu\n
0x4086c1	0x4086e8	string	0x4084d0	9kHu\n
0x4086cd	0x4086e8	string	0x4084d0	9kHu\n
0x4086d9	0x4086e8	string	0x4084d0	9kHu\n
0x408722	0x4804f4	import	0x4084d0	USER32.dll.GetClientRect
0x40873e	0x480038	import	0x4084d0	GDI32.dll.CreatePen
0x408755	0x480038	import	0x4084d0	GDI32.dll.CreatePen
0x408771	0x480038	import	0x4084d0	GDI32.dll.CreatePen
0x408802	0x48003c	import	0x4084d0	GDI32.dll.PatBlt
0x408887	0x480584	import	0x4084d0	USER32.dll.OffsetRect
0x4088c0	0x48004c	import	0x4084d0	GDI32.dll.CreateSolidBrush
0x40891d	0x480078	import	0x4084d0	GDI32.dll.Rectangle
