reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001902	0x140001965	string	0x1400017ec	u]H;
0x140001f16	0x14001f378	string	0x140001f00	bad array new length
0x140002349	0x14001f3a4	string	0x1400022ec	Name
0x14000236b	0x14001f3a4	string	0x1400022ec	Name
0x1400023a0	0x14001f3ac	string	0x1400022ec	cheat
0x1400023cf	0x14001f3ac	string	0x1400022ec	cheat
0x1400025aa	0x1400093bc	string	0x1400022ec	@USVWATAUAVAWH
0x140002802	0x14001f3a4	string	0x1400026e0	Name
0x140002a64	0x1400093bc	string	0x1400026e0	@USVWATAUAVAWH
0x140002b6c	0x14001f460	string	0x1400026e0	// Project64 Official Cheats Database\r\n
0x140002b9d	0x14001f488	string	0x1400026e0	// Not for use with PJ64 v1.6 or previous\r\n
0x140002bff	0x14001f4b8	string	0x1400026e0	// ----------------------------------------------------\r\n\r\n
0x140002c61	0x14001f4f8	string	0x1400026e0	Meta.cht
0x140002cfc	0x14001f504	string	0x1400026e0	Meta
0x140002d0f	0x14001f510	string	0x1400026e0	[Meta]\r\n
0x140002db9	0x14001f450	string	0x1400026e0	%s=%s\r\n
0x140002f1d	0x1400093bc	string	0x1400026e0	@USVWATAUAVAWH
0x140002f91	0x14001f52c	string	0x1400026e0	(JU)
0x140002fcb	0x14001f540	string	0x1400026e0	PAL (E)
0x140002fe8	0x14001f550	string	0x1400026e0	PAL (A)
0x140003005	0x14001f560	string	0x1400026e0	PAL (F)
0x140003022	0x14001f570	string	0x1400026e0	PAL (G)
0x14000303f	0x14001f580	string	0x1400026e0	PAL (I)
0x14000305c	0x14001f590	string	0x1400026e0	PAL (S)
0x140003079	0x14001f5a0	string	0x1400026e0	PAL(FGD)
0x140003096	0x14001f5b0	string	0x1400026e0	Demo
0x140003155	0x14001f3f8	string	0x140003124	//--------------- %s Region Cheat Codes ---------------\r\n\r\n
0x14000338e	0x1400033ab	string	0x140003124	H;\$x
0x14000339a	0x1400033ab	string	0x140003124	H;\$x
0x1400033d7	0x14001f438	string	0x140003124	\r\n//----\r\n\r\n
0x140003440	0x14001f448	string	0x140003124	[%s]\r\n
0x1400034ad	0x140003536	string	0x140003124	H;\$`
0x1400034cd	0x14001f450	string	0x140003124	%s=%s\r\n
0x14000367a	0x1400093bc	string	0x140003124	@USVWATAUAVAWH
0x140003732	0x1400093bc	string	0x140003124	@USVWATAUAVAWH
0x140003779	0x1400037a0	string	0x140003124	I;<$t\fH
0x14000378a	0x1400037a0	string	0x140003124	I;<$t\fH
0x140003983	0x14001f3a4	string	0x140003800	Name
0x1400039f2	0x14001f3e0	string	0x140003800	Good Name
0x140003cce	0x14001f3ec	string	0x140003800	%s.%s
0x140003de0	0x1400093bc	string	0x140003800	@USVWATAUAVAWH
0x140003ec2	0x14001f3e0	string	0x140003800	Good Name
0x140003ee0	0x14001f3a4	string	0x140003800	Name
0x140003f5b	0x140003f76	string	0x140003800	H;\$P
0x140003f66	0x140003f76	string	0x140003800	H;\$P
0x140003faa	0x1400093bc	string	0x140003800	@USVWATAUAVAWH
0x14000407a	0x1400093bc	string	0x140003800	@USVWATAUAVAWH
0x14000445c	0x14001f390	string	0x140004458	map/set too long
0x140004470	0x14001f5d8	string	0x14000446c	string too long
0x140004484	0x14001f5c8	string	0x140004480	vector too long
0x1400044a9	0x14001f360	string	0x140004494	Unknown exception
0x1400044e2	0x14001f5b8	string	0x1400044b8	-split
0x140004572	0x14001f5c0	string	0x1400044b8	-join
0x140004d92	0x14001f648	string	0x140004d54	CPath::CPath
0x140004dab	0x14001f614	string	0x140004d54	(null)
0x140004dcb	0x14001f620	string	0x140004d54	Start (lpszPath: "%s" NameExten: "%s")
0x140004de0	0x14001f658	string	0x140004d54	path.cpp
0x140004def	0x14000b110	string	0x140004d54	@USVWATAVAWH
0x140004e34	0x14001f668	string	0x140004d54	Done (m_strPath: "%s")
0x140004e4b	0x14001f658	string	0x140004d54	path.cpp
0x140004e5a	0x14000b110	string	0x140004d54	@USVWATAVAWH
0x140004f04	0x14001f010	import	0x140004ee4	KERNEL32.dll.FindClose
0x1400053be	0x14001f028	import	0x1400053a0	KERNEL32.dll.GetFileAttributesA
0x1400053e4	0x14001f030	import	0x1400053a0	KERNEL32.dll.SetFileAttributesA
0x1400053f7	0x14001f008	import	0x1400053a0	KERNEL32.dll.DeleteFileA
0x140005443	0x14001f6dc	string	0x140005414	true
0x14000544a	0x14001f6e4	string	0x140005414	false
0x140005451	0x14001f7b0	string	0x140005414	CPath::DirectoryCreate
0x140005458	0x14001f658	string	0x140005414	path.cpp
0x140005497	0x14001f780	string	0x140005414	m_strPath = %s bCreateIntermediates = %s
0x1400054b6	0x14000b110	string	0x140005414	@USVWATAVAWH
0x1400054f4	0x14001f7c8	string	0x140005414	Directory already exists, res = true
0x140005500	0x14001f7b0	string	0x140005414	CPath::DirectoryCreate
0x14000551a	0x14000b110	string	0x140005414	@USVWATAVAWH
0x1400055c4	0x14001f7f0	string	0x140005414	Create %s
0x1400055d0	0x14001f7b0	string	0x140005414	CPath::DirectoryCreate
0x1400055ed	0x14000b110	string	0x140005414	@USVWATAVAWH
0x140005608	0x14001f000	import	0x140005414	KERNEL32.dll.CreateDirectoryA
0x140005637	0x14001f800	string	0x140005414	failed creating intermediates
0x140005643	0x14001f7b0	string	0x140005414	CPath::DirectoryCreate
0x140005655	0x14001f658	string	0x140005414	path.cpp
0x140005664	0x14000b110	string	0x140005414	@USVWATAVAWH
0x140005735	0x14001f6dc	string	0x140005414	true
0x140005745	0x14001f820	string	0x140005414	res = %s
0x140005751	0x14001f7b0	string	0x140005414	CPath::DirectoryCreate
0x140005763	0x14001f658	string	0x140005414	path.cpp
0x140005772	0x14000b110	string	0x140005414	@USVWATAVAWH
0x140005809	0x14001f748	string	0x1400057ec	CPath::DirectoryExists
0x140005835	0x14001f738	string	0x1400057ec	m_strPath = %s
0x14000584c	0x14001f658	string	0x1400057ec	path.cpp
0x14000585b	0x14000b110	string	0x1400057ec	@USVWATAVAWH
0x1400058d7	0x14001f018	import	0x1400057ec	KERNEL32.dll.FindFirstFileA
0x1400058ec	0x14001f010	import	0x1400057ec	KERNEL32.dll.FindClose
0x140005904	0x14001f760	string	0x1400057ec	True
0x14000590b	0x14001f768	string	0x1400057ec	False
0x14000591d	0x14001f770	string	0x1400057ec	Exist = %s
0x140005934	0x14001f658	string	0x1400057ec	path.cpp
0x140005943	0x14000b110	string	0x1400057ec	@USVWATAVAWH
0x140005a02	0x14001f82c	string	0x1400059c0	%c%s
0x140005aaf	0x140005ab4	string	0x140005a94	D8L\b
0x140005b10	0x14001f018	import	0x140005af4	KERNEL32.dll.FindFirstFileA
0x140005b25	0x14001f010	import	0x140005af4	KERNEL32.dll.FindClose
0x140005b58	0x14001f010	import	0x140005b38	KERNEL32.dll.FindClose
0x140005b7f	0x14001f018	import	0x140005b38	KERNEL32.dll.FindFirstFileA
0x140005bb7	0x14001f020	import	0x140005b38	KERNEL32.dll.FindNextFileA
0x140005cfb	0x14001f698	string	0x140005cd0	CPath::GetComponents
0x140005d29	0x14001f658	string	0x140005cd0	path.cpp
0x140005d35	0x14001f680	string	0x140005cd0	Start (m_strPath: "%s")
0x140005d4f	0x14000b110	string	0x140005cd0	@USVWATAVAWH
