reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000195f	0x1400470a8	import	0x1400012b0	KERNEL32.dll.GetModuleHandleA
0x140001973	0x1400470a0	import	0x1400012b0	KERNEL32.dll.GetModuleFileNameA
0x14000197e	0x140048a58	string	0x1400012b0	res://%s//editor.html
0x14000198d	0x1400473f0	import	0x1400012b0	USER32.dll.wsprintfA
0x14000199b	0x140048a70	string	0x1400012b0	easychat_editor_class
0x1400019af	0x140048a88	string	0x1400012b0	EasyChat Editor
0x140001aaf	0x140021d40	string	0x1400012b0	H;\r!Y
0x140001b60	0x140047ec0	string	0x140001b60	bad array new length
0x1400025e0	0x140001120	string	0x140002560	@SVATAVH
0x140003784	0x140047ed8	string	0x140003780	string too long
0x140004725	0x1400492d8	string	0x140004700	deleteMemory without initialization
0x140004795	0x1400492d8	string	0x140004770	deleteMemory without initialization
0x140004805	0x1400492d8	string	0x1400047e0	deleteMemory without initialization
0x140004875	0x1400492d8	string	0x140004850	deleteMemory without initialization
0x1400048e5	0x1400492d8	string	0x1400048c0	deleteMemory without initialization
0x140004955	0x1400492d8	string	0x140004930	deleteMemory without initialization
0x1400049c5	0x1400492d8	string	0x1400049a0	deleteMemory without initialization
0x140004a35	0x1400492d8	string	0x140004a10	deleteMemory without initialization
0x140004aa5	0x1400492d8	string	0x140004a80	deleteMemory without initialization
0x140004ca6	0x140021d40	string	0x140004c40	H;\r!Y
0x140004dad	0x140021d40	string	0x140004ce0	H;\r!Y
0x140004e56	0x140021d40	string	0x140004df0	H;\r!Y
0x140004ef6	0x140021d40	string	0x140004e90	H;\r!Y
0x140004f96	0x140021d40	string	0x140004f30	H;\r!Y
0x140005036	0x140021d40	string	0x140004fd0	H;\r!Y
0x1400050d6	0x140021d40	string	0x140005070	H;\r!Y
0x1400051dd	0x140021d40	string	0x140005110	H;\r!Y
0x14000539c	0x1400151d0	string	0x140005310	@SWH
0x140005434	0x140021d40	string	0x140005310	H;\r!Y
0x14000570c	0x140048ad0	string	0x140005670	studio
0x140005756	0x140048db8	string	0x140005670	:;-+_=搥 blocks=Basic Latin,CJK Unified Ideographs
0x140005997	0x140021d40	string	0x140005670	H;\r!Y
0x140006408	0x140005310	string	0x140006360	@USVWATAUAVAWH
0x14000643d	0x140048e64	string	0x140006360	tmp-
0x140007dd0	0x140048a98	string	0x140007d10	orbital_manager.config.xml
0x140007ed8	0x140048ab8	string	0x140007d10	orbital_manager_config
0x140007fe8	0x140048ad0	string	0x140007d10	studio
0x140007ffe	0x140048ad8	string	0x140007d10	value
0x140009abd	0x140048e5c	string	0x140009a10	2.bin
0x140009b14	0x140005310	string	0x140009a10	@USVWATAUAVAWH
0x140009bb9	0x140005310	string	0x140009a10	@USVWATAUAVAWH
0x140009be7	0x140048e64	string	0x140009a10	tmp-
0x140009c50	0x140048e70	string	0x140009a10	http://
0x140009c72	0x140048e78	string	0x140009a10	/easychat5/
0x140009c83	0x140048e88	string	0x140009a10	repository5/
0x140009d49	0x1400151d0	string	0x140009a10	@SWH
0x140009f05	0x140021d40	string	0x140009a10	H;\r!Y
0x14000a01e	0x140047270	import	0x140009fa0	KERNEL32.dll.GetCurrentDirectoryW
0x14000a045	0x140048e98	string	0x140009fa0	easychat_%02d
0x14000a053	0x1400473f0	import	0x140009fa0	USER32.dll.wsprintfA
0x14000a1a3	0x140047098	import	0x140009fa0	KERNEL32.dll.GetComputerNameExW
0x14000a1df	0x140047008	import	0x140009fa0	ADVAPI32.dll.LogonUserW
0x14000a1f1	0x140048ea8	string	0x140009fa0	Controller
0x14000a1f8	0x140048eb8	string	0x140009fa0	Unable to authenticate as easychat user!
0x14000a201	0x140047418	import	0x140009fa0	USER32.dll.MessageBoxA
0x14000a283	0x140021d40	string	0x140009fa0	H;\r!Y
0x14000a45f	0x140009fa0	string	0x14000a390	@USVWAVH
0x14000a476	0x1400473f0	import	0x14000a390	USER32.dll.wsprintfA
0x14000a4d2	0x140021d40	string	0x14000a390	H;\r!Y
0x14000a5ac	0x140009fa0	string	0x14000a4e0	@USVWAVH
0x14000a5c3	0x1400473f0	import	0x14000a4e0	USER32.dll.wsprintfA
0x14000a61f	0x140021d40	string	0x14000a4e0	H;\r!Y
0x14000a7b8	0x140021d40	string	0x14000a630	H;\r!Y
0x14000aa3e	0x140047090	import	0x14000a980	KERNEL32.dll.OpenProcess
0x14000aa60	0x140047078	import	0x14000a980	KERNEL32.dll.GetExitCodeProcess
0x14000aa7c	0x140047068	import	0x14000a980	KERNEL32.dll.WaitForSingleObject
0x14000ac74	0x140047090	import	0x14000abb0	KERNEL32.dll.OpenProcess
0x14000ac8b	0x140047420	import	0x14000abb0	USER32.dll.EnumWindows
0x14000ac99	0x140047068	import	0x14000abb0	KERNEL32.dll.WaitForSingleObject
0x14000aca8	0x140047070	import	0x14000abb0	KERNEL32.dll.TerminateProcess
0x14000acb1	0x1400471d0	import	0x14000abb0	KERNEL32.dll.CloseHandle
0x14000afd6	0x1400087d0	string	0x14000af80	@SAVH
0x14000b5dd	0x14000b8a0	string	0x14000b5a0	@UVAVH
