reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400033c8	0x140003880	string	0x140003260	\e\e\e\e
0x140003ace	0x140182fc0	import	0x1400037c0	KERNEL32.dll.RtlVirtualUnwind
0x140004da6	0x140004de4	string	0x140004ab0	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x140004f85	0x140182fc0	import	0x140004ab0	KERNEL32.dll.RtlVirtualUnwind
0x140005fbf	0x140007666	string	0x1400057a0	SUATAUAVAWA
0x1400086a2	0x140182fc0	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x1400086f0	0x140008730	string	0x140008180	SUATAUAVAWI
0x1400086fa	0x140008730	string	0x140008180	SUATAUAVAWI
0x14000871b	0x140008fa6	string	0x140008180	SUATAUAVAWE
0x140008a07	0x140009226	string	0x140008180	SUATAUAVAWA
0x1400097bf	0x140009830	string	0x140008180	VWSUATAUAVAW
0x140009931	0x140182fc0	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x14000c3fc	0x140182fc0	import	0x14000ba00	KERNEL32.dll.RtlVirtualUnwind
0x14000ecc7	0x140182fc0	import	0x14000e480	KERNEL32.dll.RtlVirtualUnwind
0x140013688	0x140182fc0	import	0x14000ed00	KERNEL32.dll.RtlVirtualUnwind
0x140019754	0x140167308	string	0x140019750	vector
0x140019774	0x140167308	string	0x140019770	vector
0x1400198dd	0x1401689be	string	0x1400198b0	0x%llx + 0x%llx (%s)
0x140019926	0x140182ad0	import	0x140019900	chrome_elf.dll.GetInstallDetailsPayload
0x14001995a	0x140045c50	string	0x140019900	AWAVAUATVWUSH
0x140019966	0x14016b09c	string	0x140019900	type
0x140019a05	0x14001a350	string	0x140019900	VWSH
0x140019a0a	0x14016ae28	string	0x140019900	../../chrome/app/chrome_exe_main_win.cc
0x140019a5a	0x14001b250	string	0x140019900	AWAVAUATVWSH
0x140019aa9	0x140044e50	string	0x140019900	AWAVAUATVWUSH
0x14001a008	0x140182cf8	import	0x140019fc0	KERNEL32.dll.GetModuleFileNameW
0x14001a116	0x14005a040	string	0x140019fc0	AWAVVWUSH
0x14001a1d4	0x140058370	string	0x140019fc0	AWAVVWUSH
0x14001a384	0x14004cd10	string	0x14001a350	AWAVAUATVWUSH
0x14001a3b1	0x14016ae68	string	0x14001a350	Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers
0x14001a3c8	0x140056a90	string	0x14001a350	VWSH
0x14001a8f9	0x14001aaf0	string	0x14001a8c0	AWAVATVWSH
0x14001ab22	0x14001ac10	string	0x14001aaf0	AWAVVWSH
0x14001af80	0x14001b0c0	string	0x14001af40	AVVWSH
0x14001afac	0x14001b1c0	string	0x14001af40	VWSH
0x14001b0fc	0x14004cd10	string	0x14001b0c0	AWAVAUATVWUSH
0x14001b101	0x14016dff3	string	0x14001b0c0	85.0.4148.0
0x14001b123	0x14004a770	string	0x14001b0c0	VWSH
0x14001b13f	0x140049d10	string	0x14001b0c0	AWAVAUATVWUSH
0x14001b16f	0x140049d10	string	0x14001b0c0	AWAVAUATVWUSH
0x14001b1e1	0x140049470	string	0x14001b1c0	AWAVAUATVWUSH
0x14001b1f5	0x140182fd8	import	0x14001b1c0	KERNEL32.dll.SetCurrentDirectoryW
0x14001b212	0x140054c70	string	0x14001b1c0	AVVWSH
0x14001b22a	0x140182ec0	import	0x14001b1c0	KERNEL32.dll.LoadLibraryExW
0x14001b27f	0x14016b09c	string	0x14001b250	type
0x14001b2de	0x14016defa	string	0x14001b250	no-sandbox
0x14001b2e8	0x140046610	string	0x14001b250	AWAVATVWSH
0x14001b33c	0x14016b030	string	0x14001b250	ChromeMain
0x14001b343	0x140182d28	import	0x14001b250	KERNEL32.dll.GetProcAddress
0x14001b3f1	0x14016b03b	string	0x14001b3d0	RelaunchChromeBrowserWithNewCommandLineIfNeeded
0x14001b3f8	0x140182d28	import	0x14001b3d0	KERNEL32.dll.GetProcAddress
0x14001b456	0x140048b90	string	0x14001b430	VWSH
0x14001b468	0x140048e60	string	0x14001b430	AVVWSH
0x14001b4ff	0x14005f4f0	string	0x14001b4e0	VWUSH
0x14001b732	0x14001b760	string	0x14001b720	AVVWSH
0x14001b79b	0x14016e496	string	0x14001b760	UserDataDir
0x14001b7bd	0x140050c20	string	0x14001b760	AWAVVWSH
0x14001b7c2	0x14016e460	string	0x14001b760	SOFTWARE\Policies\Chromium
0x14001b85b	0x14005a960	string	0x14001b760	AWAVAUATVWUSH
0x14001b886	0x140048fd0	string	0x14001b760	AWAVATVWSH
0x14001c576	0x14005e1d0	string	0x14001c500	AVVWSH
0x14001c5be	0x14001c68f	string	0x14001c500	Di˛\r blocks=Basic Latin,Spacing Modifier Letters
0x14001c77b	0x14016b250	string	0x14001c760	Copyright 2018 The Crashpad Authors
0x14001c787	0x14016b274	string	0x14001c760	0.8.0
0x14001c793	0x14016b283	string	0x14001c760	%ls (%s) %s\n%s\n
0x14001c79a	0x14016b27a	string	0x14001c760	Crashpad
0x14001c7a7	0x14001b520	string	0x14001c760	VWSH
0x14001c848	0x14016b303	string	0x14001c820	%ls: %s\n
0x14001c858	0x14001b520	string	0x14001c820	VWSH
0x14001c870	0x14016b30c	string	0x14001c820	Try '%ls --help' for more information.\n
0x14001c87d	0x14001b520	string	0x14001c820	VWSH
0x14001d695	0x14016b6b0	string	0x14001d690	__next_prime overflow
0x14001d896	0x1400395c0	string	0x14001d880	UAVVWSH
0x14001f120	0x14016b7d0	string	0x14001f000	iostream
0x14001f232	0x14016b7fd	string	0x14001f210	ios_base::clear
0x14001f239	0x140044330	string	0x14001f210	UAWAVATVWSH
0x14001f31c	0x1400395c0	string	0x14001f2d0	UAVVWSH
0x14001f500	0x1400395c0	string	0x14001f4d0	UAVVWSH
0x14001f5f0	0x1400395c0	string	0x14001f5c0	UAVVWSH
0x14001f7f3	0x14016bc9c	string	0x14001f730	unsupported locale for standard input
0x14001f802	0x14001f920	string	0x14001f730	AWAVAUATVWUSH
0x14001f812	0x14001f920	string	0x14001f730	AWAVAUATVWUSH
0x140021155	0x1400574b0	string	0x140021100	VWSH
0x140021666	0x1400290c0	string	0x1400215e0	UVWSH
0x140021688	0x140041600	string	0x1400215e0	AWAVAUATVWUSH
0x140021732	0x14016be10	string	0x1400215e0	0123456789abcdefABCDEFxX+-pPiInN
