reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140002969	0x140159020	import	0x140002960	KERNEL32.dll.LoadLibraryA
0x14000297a	0x140159028	import	0x140002960	KERNEL32.dll.GetProcAddress
0x140002b96	0x140173dd0	string	0x140002b50	init
0x140002f70	0x14016c828	string	0x140002f70	bad array new length
0x140003182	0x14016c850	string	0x140003120	\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\\\\\\\\\\\\\\\\<
0x140003344	0x14000337b	string	0x1400032a0	D9uG
0x140004484	0x14016c840	string	0x140004480	vector too long
0x140004dde	0x14016d650	string	0x140004d80	jsonrpc
0x140004e22	0x14016d658	string	0x140004d80	method
0x140004e7d	0x14016d660	string	0x140004d80	params
0x1400052fa	0x140159080	import	0x1400052e0	KERNEL32.dll.GetFileType
0x14000531f	0x140159040	import	0x1400052e0	KERNEL32.dll.GetConsoleMode
0x1400057c4	0x14016d688	string	0x1400057c0	string too long
0x14000631d	0x140159080	import	0x140006230	KERNEL32.dll.GetFileType
0x14000637d	0x140159040	import	0x140006230	KERNEL32.dll.GetConsoleMode
0x1400063ed	0x140159030	import	0x140006230	KERNEL32.dll.GetStdHandle
0x14000640c	0x140159040	import	0x140006230	KERNEL32.dll.GetConsoleMode
0x14000642c	0x140159038	import	0x140006230	KERNEL32.dll.SetConsoleMode
0x140006e58	0x140172b20	string	0x140006e20	%s:
0x14000702c	0x14016d788	string	0x140006fe0	unknown option -- %s
0x1400070a6	0x140172b30	string	0x140007050	POSIXLY_CORRECT
0x140007162	0x14016d808	string	0x140007050	a:c:kBp:Px:r:R:s:t:T:o:u:O:v:l:S
0x14000726c	0x14016d808	string	0x140007050	a:c:kBp:Px:r:R:s:t:T:o:u:O:v:l:S
0x1400072ca	0x14016d808	string	0x140007050	a:c:kBp:Px:r:R:s:t:T:o:u:O:v:l:S
0x140007321	0x14016d7a0	string	0x140007050	option requires an argument -- %c
0x14000735d	0x14016d788	string	0x140007050	unknown option -- %s
0x14000742e	0x14016d748	string	0x140007050	unknown option -- %c
0x140007b46	0x140172b5c	string	0x140007b10	pools
0x140007bf6	0x140172b5c	string	0x140007b10	pools
0x140007c77	0x140172b40	string	0x140007b10	algo
0x140007d97	0x140172b40	string	0x140007b10	algo
0x140007e40	0x140172b40	string	0x140007b10	algo
0x140007e83	0x140172b5c	string	0x140007b10	pools
0x140007ef2	0x140172b5c	string	0x140007b10	pools
0x140007f7f	0x1400081c1	string	0x140007b10	E8t$
0x140007f8c	0x140172b4c	string	0x140007b10	coin
0x14000802c	0x140008020	string	0x140007b10	9H\bt
0x1400080e9	0x140172b4c	string	0x140007b10	coin
0x14000819e	0x140172b4c	string	0x140007b10	coin
0x1400081b5	0x1400081c1	string	0x140007b10	E8t$
0x1400082bb	0x140172b54	string	0x140007b10	http
0x140008493	0x140172b5c	string	0x1400083f0	pools
0x1400084da	0x1400a1fc0	string	0x1400083f0	@USVWH
0x1400084e8	0x140172b40	string	0x1400083f0	algo
0x140008676	0x140172b5c	string	0x1400083f0	pools
0x1400089b2	0x1400089be	string	0x1400083f0	0D<1M
0x1400089b6	0x1400089be	string	0x1400083f0	0D<1M
0x1400089ba	0x1400089be	string	0x1400083f0	0D<1M
0x140008bbe	0x140172b5c	string	0x1400083f0	pools
0x140008c81	0x140172b4c	string	0x1400083f0	coin
0x14000903e	0x140172b54	string	0x1400083f0	http
0x1400097b7	0x140172b54	string	0x140009290	http
0x140009be6	0x140172b54	string	0x140009840	http
0x140009c52	0x140172b5c	string	0x140009840	pools
0x14000ce78	0x140172b5c	string	0x14000ce60	pools
0x14000d108	0x140172b5c	string	0x14000d0f0	pools
0x14000d784	0x1401591a8	import	0x14000d740	KERNEL32.dll.EnterCriticalSection
0x14000d799	0x1401591c8	import	0x14000d740	KERNEL32.dll.LeaveCriticalSection
0x14000d8b4	0x140172cc0	string	0x14000d8b0	map/set too long
0x14000dad6	0x1400d1db0	string	0x14000da40	@UVWH
0x14000dcc4	0x14000e070	string	0x14000dc10	@SVWATAUAVAWH
0x14000dd27	0x14000e070	string	0x14000dc10	@SVWATAUAVAWH
0x14000df7e	0x14000df68	string	0x14000df50	H9P s
0x14000dfad	0x14000df97	string	0x14000df50	H9P s
0x14000e76a	0x14000e772	string	0x14000e6d0	I99u
0x14000ed50	0x140172b68	string	0x14000ed10	enabled
0x14000edde	0x140172bd0	string	0x14000ed10	host
0x14000ee90	0x140172c8c	string	0x14000ed10	port
0x14000efb1	0x140172bc0	string	0x14000ed10	access-token
0x14000f05b	0x140172c40	string	0x14000ed10	restricted
0x14000f58e	0x14000f9d0	string	0x14000f550	@SUAVH
0x14000f696	0x14000f680	string	0x14000f640	H9P }
0x14000f7f6	0x14000f7e0	string	0x14000f7b0	H9P }
0x14000fa0a	0x14000f9d0	string	0x14000f9d0	@SUAVH
0x14000fc64	0x140173200	string	0x14000fc60	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899x
0x14000fee3	0x140173200	string	0x14000fed0	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899x
0x14001006d	0x140173200	string	0x14000fed0	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899x
0x140010318	0x140173200	string	0x14000fed0	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899x
0x14001060a	0x14001070e	string	0x140010520	D9>t
0x140010af0	0x140173200	string	0x140010ac0	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899x
0x140010b1e	0x140173200	string	0x140010ac0	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899x
0x140010f20	0x14000fed0	string	0x140010ec0	@SVL
0x140010f9d	0x14000fed0	string	0x140010f50	@SVL
0x140011356	0x140011340	string	0x140011300	H9X s
0x1400128ae	0x140172dd8	string	0x140012820	job_id
0x140013318	0x1400142d0	string	0x1400131d0	@USVWATAVAWH
0x1400135c1	0x140172e30	string	0x140013450	login
