reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x402558	0x402450	string	0x402450	AUATUWVSH
0x402b68	0x402900	string	0x402900	ATWVSH
0x402b73	0x4026c0	string	0x402900	AUATUWVSH
0x402e2f	0x402ba0	string	0x402ba0	AVAUATSH
0x4048a9	0x462950	string	0x4045b0	run_child: about to run '%ls'\n
0x4049a6	0x462a10	string	0x4045b0	stdin duplication failed
0x404bd1	0x462830	string	0x4045b0	search for default Python found
0x404c02	0x4065b0	string	0x4045b0	H;\rQZ
0x40523e	0x462cf0	string	0x405080	/usr/bin/env
0x40530c	0x4045b0	string	0x405080	@USVWATAVH
0x40532c	0x4045b0	string	0x405080	@USVWATAVH
0x405358	0x4045b0	string	0x405080	@USVWATAVH
0x405378	0x4045b0	string	0x405080	@USVWATAVH
0x405391	0x462c40	string	0x405080	%ls %ls
0x40539f	0x4045b0	string	0x405080	@USVWATAVH
0x4053bb	0x430390	string	0x405080	ATAUAVH
0x405680	0x4631d0	string	0x4055b0	\n-0 --list : List the available pythons
0x40572e	0x463280	string	0x4055b0	\n\n If no script is specified the specified interpreter is opened.
0x405f89	0x458370	string	0x405ea0	__cdecl
0x406003	0x458360	string	0x405ea0	__based(
0x4062bc	0x4062b0	string	0x405ea0	D8;t7
0x40644a	0x4643e8	string	0x405ea0	.text$mn$00
0x4064d4	0x458370	string	0x4064c0	__cdecl
0x4064e0	0x458360	string	0x4064c0	__based(
0x406714	0x4583f0	string	0x4065b0	__swift_2
0x406735	0x4583b8	string	0x4065b0	__vectorcall
0x40673c	0x4583a8	string	0x4065b0	__fastcall
0x406931	0x406c10	string	0x4068d8	@SVWH
0x406f27	0x458440	string	0x406ee0	delete
0x407a9c	0x407afd	string	0x40792c	fA;(t(fA98t
0x407de7	0x407df1	string	0x407dc0	fE9\bu
0x407e1c	0x407e04	string	0x407dc0	fE9\bI
0x409527	0x4065b0	string	0x40948c	H;\rQZ
0x4095b1	0x4065b0	string	0x409534	H;\rQZ
0x40aa15	0x459410	string	0x409d84	mscoree.dll
0x40af98	0x459500	string	0x40af04	(null)
0x40b159	0x40b2a3	string	0x40b128	L9:tgH
0x40b18d	0x458c60	string	0x40b128	extern "C"
0x40b1b8	0x40b219	string	0x40b128	L9?tb
0x40b1c4	0x40b219	string	0x40b128	L9?tb
0x40b2a8	0x459680	string	0x40b128	Microsoft Visual C++ Runtime Library
0x40b78f	0x458c60	string	0x40b47b	extern "C"
0x40bf50	0x458ae0	string	0x40bc28	`generic-class-parameter-
0x40c31a	0x40c3a3	string	0x40bc28	M9&t;
0x40cad0	0x459600	string	0x40cab2	Runtime Error!\n\nProgram:
0x40cbd8	0x459638	string	0x40cab2	<program name unknown>
0x40cd0a	0x459478	string	0x40cca0	\b`h````
0x40d195	0x4065b0	string	0x40d090	H;\rQZ
0x40d4ea	0x40d509	string	0x40d1b0	M9/tA
0x40d4f5	0x40d509	string	0x40d1b0	M9/tA
0x40d4fb	0x40d509	string	0x40d1b0	M9/tA
0x40d8e3	0x459510	string	0x40d8b0	(null)
0x40e6ad	0x458ae0	string	0x40e68c	`generic-class-parameter-
0x40eacc	0x40eadb	string	0x40ea7c	L97t{L
0x40edcf	0x459200	string	0x40ea7c	InitializeCriticalSectionEx
0x40fe1b	0x4065b0	string	0x40f9c0	H;\rQZ
0x40ff8c	0x4065b0	string	0x40fe46	H;\rQZ
0x4104a2	0x4104a7	string	0x41037c	D8\bt
0x410c6b	0x4065b0	string	0x4109a8	H;\rQZ
0x412451	0x4152e4	string	0x4123c8	@SVWATAUAVAWH
0x4124bd	0x4065b0	string	0x4123c8	H;\rQZ
0x4125dd	0x4065b0	string	0x4124cc	H;\rQZ
0x4130a1	0x4130ab	string	0x413030	9;|\nHcC\bH
0x413bea	0x4065b0	string	0x413760	H;\rQZ
0x4140e6	0x414378	string	0x413c50	@USVWATAUAVAWH
0x4140fe	0x4065b0	string	0x413c50	H;\rQZ
0x414648	0x4065b0	string	0x414378	H;\rQZ
0x414af8	0x413760	string	0x4148ec	@USVWATAUAVAWH
0x414b7e	0x414b90	string	0x414b24	D9\vt\t
0x414d8b	0x413c50	string	0x414b24	@USVWATAUAVAWH
0x414fc9	0x459bc0	string	0x414fc4	nan(snan)
0x414fd4	0x459bb0	string	0x414fc4	NAN(SNAN)
0x415815	0x415847	string	0x415720	< u\A
0x415dac	0x4065b0	string	0x415aec	H;\rQZ
0x41695c	0x458418	string	0x4168e4	__unaligned
0x41696f	0x458428	string	0x4168e4	restrict(
0x417cbc	0x4065b0	string	0x417b28	H;\rQZ
0x417e8e	0x4065b0	string	0x417cf4	H;\rQZ
0x418078	0x4065b0	string	0x417cf4	H;\rQZ
0x418266	0x4065b0	string	0x417cf4	H;\rQZ
0x418434	0x4065b0	string	0x417cf4	H;\rQZ
