reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010e4	0x401171	string	0x4010ab	9u t\n
0x401108	0x4010c1	string	0x4010ab	9u\bu\a
0x40114a	0x401171	string	0x4010ab	9u t\n
0x4016fb	0x41c688	string	0x4016e5	FlsSetValue
0x40172e	0x41c688	string	0x40171e	FlsSetValue
0x4017db	0x4017f7	string	0x4017ae	hd5B
0x401b53	0x4236ec	string	0x401b41	\r261019185142Z0
0x401bb3	0x423224	string	0x401b9e	Microsoft Corporation1$0"
0x402037	0x402058	string	0x401fc7	hl8B
0x402220	0x423224	string	0x40217c	Microsoft Corporation1$0"
0x40257f	0x402585	string	0x402527	VVVj
0x4026f6	0x4026f8	string	0x4025f4	Rich
0x402bd5	0x402bd9	string	0x402b75	9u\fv
0x402c69	0x402c70	string	0x402c0a	Vjch
0x402f02	0x402f35	string	0x402eb6	_^[]
0x402f19	0x402f35	string	0x402eb6	_^[]
0x402f49	0x402f55	string	0x402f3c	jaYf;
0x402f4f	0x402f55	string	0x402f3c	jaYf;
0x402ff1	0x402ff8	string	0x402f8c	Vhq\n
0x403076	0x403082	string	0x403011	3\vM\b
0x403aa6	0x403ab4	string	0x403a88	_^[]
0x403fae	0x403fde	string	0x403f64	^_[]
0x403fc2	0x403fde	string	0x403f64	^_[]
0x40478e	0x4047b8	string	0x404758	_^[]
0x40479a	0x4047b8	string	0x404758	_^[]
0x4047a6	0x4047b8	string	0x404758	_^[]
0x404da2	0x404dab	string	0x404d7f	j\Zf;TN
0x404fa7	0x404fb2	string	0x404f83	j:Xf;F
0x40501b	0x40502a	string	0x404f83	PWV讷 blocks=Basic Latin,CJK Unified Ideographs
0x4068ef	0x410eb0	string	0x406690	H;\r)
0x407183	0x406c30	string	0x4070a4	@SVWATAVAWH
0x407192	0x40807c	string	0x4070a4	@USVWATAUAVH
0x4071a7	0x407213	string	0x4070a4	L9t$xt
0x4071ad	0x407213	string	0x4070a4	L9t$xt
0x4095f0	0x410eb0	string	0x409490	H;\r)
0x40a67d	0x40a6b5	string	0x40a550	E9/uwE9.urD9.umH
0x40a7f8	0x410eb0	string	0x40a550	H;\r)
0x40ad3f	0x40ad98	string	0x40ad14	@SUVWATAVAWH
0x40aefd	0x40ae94	string	0x40ad98	H;|$0s\aH
0x40af20	0x410eb0	string	0x40ad98	H;\r)
0x40b838	0x410eb0	string	0x40b694	H;\r)
0x40b8ee	0x40b694	string	0x40b8b8	@SVWATAUAVAWH
0x40bf0d	0x40bf54	string	0x40be84	fA9|^
0x40bf2e	0x40bf54	string	0x40be84	fA9|^
0x40bf3c	0x40bf54	string	0x40be84	fA9|^
0x40ca49	0x410eb0	string	0x40c958	H;\r)
0x40d0e1	0x40d25d	string	0x40d094	L9m@t\nH
0x40d15d	0x40d16b	string	0x40d094	fD9+
0x40d252	0x40d25d	string	0x40d094	L9m@t\nH
0x40da51	0x40da9b	string	0x40da04	\$@H
0x40e80e	0x410eb0	string	0x40e708	H;\r)
0x40ee6a	0x40edf2	string	0x40edfc	\$0H
0x40f620	0x410eb0	string	0x40f590	H;\r)
0x40f824	0x410eb0	string	0x40f62c	H;\r)
0x40fc05	0x410eb0	string	0x40f888	H;\r)
0x410b73	0x410eb0	string	0x410a3c	H;\r)
0x4115e6	0x411694	string	0x411584	@SVWH
0x412069	0x410eb0	string	0x411f74	H;\r)
0x412189	0x410eb0	string	0x412078	H;\r)
0x41308d	0x413097	string	0x41301c	9;|\nHcC\bH
0x413be6	0x410eb0	string	0x41375c	H;\r)
0x414644	0x410eb0	string	0x414374	H;\r)
0x414b86	0x414b98	string	0x414b2c	D9\vt\t
0x414d9d	0x413c4c	string	0x414b2c	@USVWATAUAVAWH
0x415525	0x415557	string	0x415430	< u\A
0x415abc	0x410eb0	string	0x4157fc	H;\r)
0x4166ba	0x410eb0	string	0x416664	H;\r)
0x416739	0x4166c0	string	0x416710	LcA<E3
