reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001010	0x140045150	import	0x140001010	KERNEL32.dll.Sleep
0x14000102f	0x140045318	import	0x140001020	USER32.dll.GetSystemMetrics
0x14000103c	0x140045318	import	0x140001020	USER32.dll.GetSystemMetrics
0x140001049	0x140045318	import	0x140001020	USER32.dll.GetSystemMetrics
0x14000107b	0x140045318	import	0x140001070	USER32.dll.GetSystemMetrics
0x140001085	0x140045318	import	0x140001070	USER32.dll.GetSystemMetrics
0x1400010db	0x140045310	import	0x1400010a0	USER32.dll.GetWindowLongA
0x140002886	0x14002b1d0	string	0x140002850	H;\r9.
0x1400028b1	0x1400453e0	import	0x140002890	WINMM.dll.waveOutWrite
0x1400028c6	0x1400453d8	import	0x140002890	WINMM.dll.waveOutClose
0x140002a2d	0x140045148	import	0x1400028e0	KERNEL32.dll.CreateEventA
0x140002a5a	0x1400453c8	import	0x1400028e0	WINMM.dll.waveOutOpen
0x140002ad7	0x1400453e8	import	0x1400028e0	WINMM.dll.waveOutPrepareHeader
0x140002b1d	0x1400453d0	import	0x140002b00	WINMM.dll.PlaySoundA
0x140002b4d	0x1400453d0	import	0x140002b30	WINMM.dll.PlaySoundA
0x140002b7d	0x1400453d0	import	0x140002b60	WINMM.dll.PlaySoundA
0x140002ba7	0x14004d4b0	string	0x140002b90	MEMORY.dat
0x14000348e	0x140026240	string	0x140002b90	@VATAVH
0x1400034c8	0x14004d4b0	string	0x1400034b0	MEMORY.dat
0x14000357f	0x140045310	import	0x140003550	USER32.dll.GetWindowLongA
0x140003594	0x140045168	import	0x140003550	KERNEL32.dll.WaitForSingleObject
0x1400035da	0x140045038	import	0x140003550	GDI32.dll.CreateDIBitmap
0x1400035f1	0x140045020	import	0x140003550	GDI32.dll.SelectObject
0x140003609	0x140045048	import	0x140003550	GDI32.dll.SetStretchBltMode
0x14000365f	0x140045030	import	0x140003550	GDI32.dll.StretchBlt
0x140003696	0x140045018	import	0x140003550	GDI32.dll.BitBlt
0x1400036d3	0x140045310	import	0x140003550	USER32.dll.GetWindowLongA
0x1400036f3	0x140045308	import	0x140003550	USER32.dll.InvalidateRect
0x14000371d	0x140045310	import	0x140003550	USER32.dll.GetWindowLongA
0x14000372d	0x140045158	import	0x140003550	KERNEL32.dll.ReleaseMutex
0x14000373a	0x140045050	import	0x140003550	GDI32.dll.DeleteObject
0x140003769	0x140045318	import	0x140003760	USER32.dll.GetSystemMetrics
0x1400042e2	0x1400258c0	string	0x1400042b0	@WAWH
0x140004319	0x14004d4c0	string	0x1400042b0	
0x14000435f	0x14004d4c0	string	0x1400042b0	
0x14000439c	0x14004d4c0	string	0x1400042b0	
0x140004458	0x140045028	import	0x1400042b0	GDI32.dll.CreateCompatibleDC
0x1400047a6	0x140045328	import	0x1400042b0	USER32.dll.GetForegroundWindow
0x1400047ce	0x1400453b0	import	0x1400042b0	USER32.dll.SetWindowPos
0x140004833	0x140054c30	string	0x1400042b0	RIFF
0x14000483a	0x140054c30	string	0x1400042b0	RIFF
0x140005a2d	0x14004d4d0	string	0x1400042b0	FTxD WHIZ VXX - BREK MARTIN 2020
0x140005aa2	0x140023900	string	0x1400042b0	@UAWH
0x140005fcb	0x14004d4f4	string	0x1400042b0	%03d
0x140006230	0x14004d510	string	0x1400042b0	U%02d
0x1400065c0	0x14004d518	string	0x1400042b0	No Name
0x140006898	0x14004d520	string	0x1400042b0	New Record
0x14000696a	0x14004d530	string	0x1400042b0	Unpopulated
0x140006ab4	0x1400196d0	string	0x1400042b0	@SUVWATAUAVAWH
0x140006bb7	0x14004d540	string	0x1400042b0	%02X%02X%02X
0x140006cef	0x1400196d0	string	0x1400042b0	@SUVWATAUAVAWH
0x140006ec3	0x1400196d0	string	0x1400042b0	@SUVWATAUAVAWH
0x140006ee3	0x14004d550	string	0x1400042b0	SIMPLEX
0x140006fd0	0x14004d558	string	0x1400042b0	%02X%02X%1X
0x140006ff8	0x14004d540	string	0x1400042b0	%02X%02X%02X
0x1400071b7	0x14005eb70	string	0x1400042b0	HIGH
0x1400071c4	0x14005eb64	string	0x1400042b0	LOW3
0x1400071d1	0x14005eb50	string	0x1400042b0	LOW2
0x1400071de	0x14005eb28	string	0x1400042b0	LOW1
0x14000762a	0x14004d580	string	0x1400042b0	005.00
0x14000763b	0x14004d588	string	0x1400042b0	006.25
0x14000764c	0x14004d590	string	0x1400042b0	008.33
0x14000765a	0x14004d598	string	0x1400042b0	010.00
0x140007668	0x14004d5a0	string	0x1400042b0	012.50
0x140007676	0x14004d5a8	string	0x1400042b0	015.00
0x140007684	0x14004d5b0	string	0x1400042b0	020.00
0x140007692	0x14004d5b8	string	0x1400042b0	025.00
0x1400076a0	0x14004d5c0	string	0x1400042b0	050.00
0x1400076ae	0x14004d5c8	string	0x1400042b0	100.00
0x1400076bc	0x14004d5d0	string	0x1400042b0	009.00
0x1400076c7	0x14004d5d8	string	0x1400042b0	????
0x1400076e7	0x14004d5e0	string	0x1400042b0	AUTO
0x140007ac6	0x14004d610	string	0x1400042b0	?????
0x140007cec	0x14004d4f4	string	0x1400042b0	%03d
0x1400081d6	0x14004d620	string	0x1400042b0	??? ???
0x1400081f7	0x14004d628	string	0x1400042b0	RxN-TxN
0x140008205	0x14004d630	string	0x1400042b0	RxI-TxN
0x140008213	0x14004d638	string	0x1400042b0	RxB-TxN
0x140008221	0x14004d640	string	0x1400042b0	RxN-TxI
0x14000822f	0x14004d648	string	0x1400042b0	RxI-TxI
0x14000823d	0x14004d650	string	0x1400042b0	RxB-TxI
0x14000879a	0x140028820	string	0x1400042b0	@UWAWH
0x14000996b	0x14004d658	string	0x1400042b0	??/??
0x1400099a2	0x14004d660	string	0x1400042b0	%02d/%02d
0x1400099bf	0x14004d66c	string	0x1400042b0	!!/!!
0x140009a97	0x1400196d0	string	0x1400042b0	@SUVWATAUAVAWH
0x140009b61	0x14004d674	string	0x1400042b0	%02d
0x14000c92e	0x14004d690	string	0x1400042b0	CHANNEL MEMORY BUFFER CREATED
0x14000c950	0x14004d6b0	string	0x1400042b0	INVALID CHANNEL MEMORY FILE
0x14000c9c2	0x14004d6d0	string	0x1400042b0	LOADED %d RECORDS FROM FILE
0x14000c9d3	0x14004d6f0	string	0x1400042b0	LOADED 1 RECORD FROM FILE
0x14000c9ee	0x14004d710	string	0x1400042b0	CHANNEL MEMORY FILE ERROR :
0x14000ca33	0x14004d730	string	0x1400042b0	WRONG FILE SIZE
0x14000ca57	0x14004d740	string	0x1400042b0	BAD CHECKSUM
0x14000ca7a	0x14004d750	string	0x1400042b0	CHECKSUM OK
0x14000ce7f	0x14004d760	string	0x1400042b0	CHANNEL MEMORY FILE SAVED
0x14000ce8d	0x14004d780	string	0x1400042b0	EXIT WITHOUT SAVING FILE
0x14000ce9b	0x14004d7a0	string	0x1400042b0	CHANNEL MEMORY FILE NOT SAVED
0x14000ced9	0x14004d7c0	string	0x1400042b0	PROGRAM WILL EXIT
0x14000cf84	0x14004d7d4	string	0x1400042b0	CHAN
0x14000d000	0x14004d7dc	string	0x1400042b0	NAME
0x14000d082	0x14004d7e8	string	0x1400042b0	FREQ (MHz)
0x14000d0f1	0x14004d7f8	string	0x1400042b0	RPTR OFFSET
0x14000d163	0x14004d804	string	0x1400042b0	POWER
0x14000d1d5	0x14004d80c	string	0x1400042b0	MODE
0x14000d247	0x14004d818	string	0x1400042b0	STEP (kHz)
0x14000d2b9	0x14004d824	string	0x1400042b0	TNMD
0x14000d32b	0x14004d830	string	0x1400042b0	TONE (Hz)
0x14000d40f	0x14004d83c	string	0x1400042b0	BELL
0x14000d481	0x14004d844	string	0x1400042b0	ATTN
0x14000d4f3	0x14004d850	string	0x1400042b0	DCS POLARITY
0x14000d53d	0x14004d860	string	0x1400042b0	DG-ID R/T
0x14000d72b	0x14004d674	string	0x1400042b0	%02d
0x14000d893	0x14004d880	string	0x1400042b0	DONATION DRIVEN SOFTWARE
0x14000d8a8	0x14004d8a0	string	0x1400042b0	WIN SIZE: %d : %d
0x14000d8e2	0x14004d8b8	string	0x1400042b0	FOR PROGRAMMING YAESU FT3D
0x14000d905	0x14004d8d8	string	0x1400042b0	TIME: %d
0x14000d925	0x14004d908	string	0x1400042b0	DEBUG MODE
0x14000d933	0x14004d8e8	string	0x1400042b0	MICRO SD CARD MEMORY FILE
0x14000d979	0x14004d918	string	0x1400042b0	DONATE TO ENCOURAGE DEVELOPMENT
0x14000d992	0x14004d938	string	0x1400042b0	REGISTERED TO CONTRIBUTOR:
0x14000d9b3	0x14004d958	string	0x1400042b0	CS: %02X
0x14000d9cd	0x14004d968	string	0x1400042b0	SERIAL NUMBER:
0x14000d9fe	0x14004d978	string	0x1400042b0	PAYPAL: bmar8190#bigpond.net.au
0x14000da1f	0x14004d978	string	0x1400042b0	PAYPAL: bmar8190#bigpond.net.au
0x14000daad	0x14004d9a0	string	0x1400042b0	EMAIL: bushprogrammer#gmail.com
0x14000dac4	0x14004d9c8	string	0x1400042b0	EXTRA OPTIONS ARE UNLOCKED
0x14000db27	0x14004d9e8	string	0x1400042b0	VK4FAST
0x14000dbee	0x14004d4f4	string	0x1400042b0	%03d
0x14000e051	0x14004d9f8	string	0x1400042b0	PAGE
0x14000e069	0x14004da00	string	0x1400042b0	ABORT
0x14000e093	0x14004da08	string	0x1400042b0	SAVE
0x14000e7ee	0x14004da10	string	0x1400042b0	%04d
0x1400102cf	0x140025e60	string	0x1400042b0	@SWH
0x14001067f	0x14001b3a0	string	0x1400042b0	@USWH
0x140010a6b	0x140057170	string	0x1400042b0	
0x1400140d3	0x14004da18	string	0x1400042b0	%06d
0x14001424a	0x140057170	string	0x1400042b0	
0x140014613	0x14004da18	string	0x1400042b0	%06d
0x140014654	0x14004d540	string	0x1400042b0	%02X%02X%02X
0x1400146f7	0x14004d540	string	0x1400042b0	%02X%02X%02X
0x14001478e	0x14004da18	string	0x1400042b0	%06d
0x14001485b	0x14004da18	string	0x1400042b0	%06d
0x140014a08	0x14004d540	string	0x1400042b0	%02X%02X%02X
0x140014e1d	0x140014e2b	string	0x1400042b0	<1v\v
0x1400155a5	0x140026240	string	0x1400042b0	@VATAVH
0x140015785	0x14004da20	string	0x1400042b0	TRASHCAN
0x140015b4b	0x14004da20	string	0x1400042b0	TRASHCAN
0x14001652f	0x14004d4f4	string	0x1400042b0	%03d
