reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400033c8	0x140003880	string	0x140003260	\e\e\e\e
0x140003ace	0x1400a5f90	import	0x1400037c0	KERNEL32.dll.RtlVirtualUnwind
0x140004da6	0x140004de4	string	0x140004ab0	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x140004f85	0x1400a5f90	import	0x140004ab0	KERNEL32.dll.RtlVirtualUnwind
0x140005fbf	0x140007666	string	0x1400057a0	SUATAUAVAWA
0x1400086a2	0x1400a5f90	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x1400086f0	0x140008730	string	0x140008180	SUATAUAVAWI
0x1400086fa	0x140008730	string	0x140008180	SUATAUAVAWI
0x14000871b	0x140008fa6	string	0x140008180	SUATAUAVAWE
0x140008a07	0x140009226	string	0x140008180	SUATAUAVAWA
0x1400097bf	0x140009830	string	0x140008180	VWSUATAUAVAW
0x140009931	0x1400a5f90	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x14000ecc7	0x1400a5f90	import	0x14000e480	KERNEL32.dll.RtlVirtualUnwind
0x140013688	0x1400a5f90	import	0x14000ed00	KERNEL32.dll.RtlVirtualUnwind
0x140019748	0x14009b768	string	0x140019744	vector
0x14001977e	0x14003bf40	string	0x140019758	AWAVAUATVWUSH
0x1400197a3	0x1400425c0	string	0x140019758	AWAVATVWSH
0x1400197bf	0x140043df0	string	0x140019758	AWAVAUATVWUSH
0x1400197cc	0x14009b9b0	string	0x140019758	msedge.exe
0x1400197f6	0x140040e70	string	0x140019758	AWAVAUATVWUSH
0x14001985c	0x140040250	string	0x140019758	AWAVATVWSH
0x14001986c	0x140040a80	string	0x140019758	AWAVAUATVWUSH
0x140019891	0x14009b9d0	string	0x140019758	msedge_proxy.exe
0x140019916	0x14003e100	string	0x140019758	AWAVAUATVWSH
0x140019976	0x140044890	string	0x140019758	AWAVAUATVWUSH
0x140019999	0x1400451f0	string	0x140019758	AVVWSH
0x1400199b0	0x14003be80	string	0x140019758	AVVWSH
0x1400199d7	0x140068700	string	0x140019758	H;\r!i
0x14001a3c2	0x14009bd70	string	0x14001a3bd	__next_prime overflow
0x14001a438	0x140068700	string	0x14001a3e6	H;\r!i
0x14001a522	0x140068700	string	0x14001a4d0	H;\r!i
0x14001b530	0x14009bea0	string	0x14001b46a	iostream
0x14001b63c	0x14009becd	string	0x14001b61a	ios_base::clear
0x14001b643	0x14003b3e8	string	0x14001b61a	UAWAVATVWSH
0x14001b65a	0x140068700	string	0x14001b61a	H;\r!i
0x14001c063	0x14009c3cc	string	0x14001bfba	unsupported locale for standard input
0x14001c072	0x14001c182	string	0x14001bfba	AWAVAUATVWUSH
0x14001c082	0x14001c182	string	0x14001bfba	AWAVAUATVWUSH
0x14001c172	0x140068700	string	0x14001bfba	H;\r!i
0x14001d89b	0x140045860	string	0x14001d849	VWSH
0x14001d91b	0x14001bc2a	string	0x14001d849	VWUSH
0x14001dae4	0x14001bc2a	string	0x14001d849	VWUSH
0x14001dfce	0x140023f2a	string	0x14001df62	UVWSH
0x14001dff3	0x14003958e	string	0x14001df62	AWAVAUATVWUSH
0x14001e047	0x14001bc2a	string	0x14001df62	VWUSH
0x14001e094	0x14009c540	string	0x14001df62	0123456789abcdefABCDEFxX+-pPiInN
0x14001e0d7	0x14002026a	string	0x14001df62	VWSH
0x14001e10b	0x14003958e	string	0x14001df62	AWAVAUATVWUSH
0x14001e13d	0x14003958e	string	0x14001df62	AWAVAUATVWUSH
0x14001e1d4	0x1400380ce	string	0x14001df62	UAWAVVWSH
0x14001e20c	0x14001bc2a	string	0x14001df62	VWUSH
0x14001e313	0x14001e322	string	0x14001df62	UAWAVAUATVWSH
0x14001e38e	0x140023f2a	string	0x14001e322	UVWSH
0x14001e3b3	0x14003958e	string	0x14001e322	AWAVAUATVWUSH
0x14001e407	0x14001bc2a	string	0x14001e322	VWUSH
0x14001e454	0x14009c540	string	0x14001e322	0123456789abcdefABCDEFxX+-pPiInN
0x14001e497	0x14002026a	string	0x14001e322	VWSH
0x14001e4cb	0x14003958e	string	0x14001e322	AWAVAUATVWUSH
0x14001e4fd	0x14003958e	string	0x14001e322	AWAVAUATVWUSH
0x14001e594	0x14003821e	string	0x14001e322	UAWAVATVWSH
0x14001e5cc	0x14001bc2a	string	0x14001e322	VWUSH
0x14001e71b	0x140023f2a	string	0x14001e322	UVWSH
