reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000103c	0x14005a000	import	0x140001000	KERNEL32.dll.GetModuleFileNameA
0x14000111e	0x14005a3e0	string	0x1400010d0	-application=fluxsupervisor
0x1400011a4	0x14005a3c0	string	0x1400010d0	FluxSupervisor
0x1400011d8	0x14006e000	string	0x1400010d0	cad/fluxsupervisor/main/Supervisor
0x1400011fe	0x14005a3d0	string	0x1400010d0	FluxSupervisor
0x140001211	0x14005a400	string	0x1400010d0	Error while building config file name
0x140001312	0x14005a468	string	0x1400012b0	user32.dll
0x140001319	0x14005a020	import	0x1400012b0	KERNEL32.dll.LoadLibraryA
0x140001327	0x14005a478	string	0x1400012b0	MessageBoxA
0x140001331	0x14005a018	import	0x1400012b0	KERNEL32.dll.GetProcAddress
0x140001353	0x14005a010	import	0x1400012b0	KERNEL32.dll.FreeLibrary
0x14000154c	0x14005a720	string	0x140001540	RUNJVM: Expand wildcard: %s\n
0x1400015d8	0x14005a740	string	0x140001540	.jar
0x1400017a0	0x14005a490	string	0x140001790	RUNJVM: Creating environment\n
0x140001ffd	0x14005a654	string	0x140001f50	.wfg
0x140002173	0x14005a750	string	0x140002130	RUNJVM: Expand classpath, paths: %d\n
0x1400022b9	0x14005a4b0	string	0x1400022b0	RUNJVM: Initializing environment\n
0x1400022cf	0x14005a4d8	string	0x1400022b0	Internal error
0x1400022d6	0x14005a4e8	string	0x1400022b0	Erreur interne
0x140002349	0x14005a4f8	string	0x140002340	RUNJVM: Initializing JVM\n
0x14000235f	0x14005a4d8	string	0x140002340	Internal error
0x140002366	0x14005a4e8	string	0x140002340	Erreur interne
0x140002382	0x1400045d0	string	0x140002340	@SUH
0x1400023f6	0x14005a558	string	0x1400023d0	Invalid class name
0x1400023fd	0x14005a570	string	0x1400023d0	Nom de classe invalide
0x140002413	0x14005a588	string	0x1400023d0	Invalid function name
0x14000241a	0x14005a5a0	string	0x1400023d0	Nom de fonction invalide
0x140002434	0x14005a5c0	string	0x1400023d0	Invalid arguments
0x14000243b	0x14005a5d8	string	0x1400023d0	Arguments invalide
0x140002458	0x14005a5f0	string	0x1400023d0	Invalid return value
0x14000245f	0x14005a608	string	0x1400023d0	Valeur de retour invalide
0x14000247e	0x14005a628	string	0x1400023d0	Environment no initialized
0x140002485	0x14005a538	string	0x1400023d0	Environnement non initialise
0x1400024ad	0x1400051b0	string	0x1400023d0	@SWATAUAVAWH
0x1400024ee	0x14005a558	string	0x1400024d0	Invalid class name
0x1400024f5	0x14005a570	string	0x1400024d0	Nom de classe invalide
0x140002516	0x14005a588	string	0x1400024d0	Invalid function name
0x14000251d	0x14005a5a0	string	0x1400024d0	Nom de fonction invalide
0x140002542	0x14005a5c0	string	0x1400024d0	Invalid arguments
0x140002549	0x14005a5d8	string	0x1400024d0	Arguments invalide
0x140002574	0x14005a5f0	string	0x1400024d0	Invalid return value
0x14000257b	0x14005a608	string	0x1400024d0	Valeur de retour invalide
0x140002839	0x14005a660	string	0x140002610	RUNJVM[ERROR]: Cannot normalize path (not enough elements): %s\n
0x14000297c	0x14005a6a8	string	0x140002610	RUNJVM: Normalized: %s -> %s\n
0x1400029f0	0x14005a6d4	string	0x1400029b0	main
0x140002b24	0x14005a058	import	0x140002b10	KERNEL32.dll.DeleteCriticalSection
0x140002b31	0x14005a038	import	0x140002b10	KERNEL32.dll.CloseHandle
0x140002b43	0x14005a010	import	0x140002b10	KERNEL32.dll.FreeLibrary
0x140002b75	0x14005a000	import	0x140002b10	KERNEL32.dll.GetModuleFileNameA
0x140002b88	0x14005a088	import	0x140002b10	KERNEL32.dll.GetModuleHandleA
0x140002b97	0x14005a000	import	0x140002b10	KERNEL32.dll.GetModuleFileNameA
0x140002bb9	0x14005a7a8	string	0x140002bb0	jvm.dll
0x140002bc0	0x14005a088	import	0x140002bb0	KERNEL32.dll.GetModuleHandleA
0x140002bf5	0x14005a018	import	0x140002bb0	KERNEL32.dll.GetProcAddress
0x140002c2c	0x14005a030	import	0x140002c20	KERNEL32.dll.GetCurrentDirectoryA
0x140002c66	0x14005a000	import	0x140002c40	KERNEL32.dll.GetModuleFileNameA
0x140002ce6	0x14005a080	import	0x140002cc0	KERNEL32.dll.GetModuleFileNameW
0x140002d49	0x14005a7a8	string	0x140002d40	jvm.dll
0x140002d50	0x14005a088	import	0x140002d40	KERNEL32.dll.GetModuleHandleA
0x140002d85	0x14005a018	import	0x140002d40	KERNEL32.dll.GetProcAddress
0x140002dc4	0x14005a040	import	0x140002db0	KERNEL32.dll.InitializeCriticalSection
0x140002dd5	0x14005a098	import	0x140002db0	KERNEL32.dll.CreateSemaphoreA
0x140002e00	0x14005a020	import	0x140002df0	KERNEL32.dll.LoadLibraryA
0x140002f90	0x14005a078	import	0x140002f90	KERNEL32.dll.GetCurrentThreadId
0x1400030a5	0x14005a7c8	string	0x1400030a0	NO ERROR
0x1400030c5	0x14005a7b0	string	0x1400030a0	NO ERROR
0x1400030f8	0x140005be0	string	0x1400030e0	@WAUAWH
0x1400032e8	0x140005be0	string	0x1400032c0	@WAUAWH
0x140003536	0x140003520	string	0x1400034f0	A:эH blocks=Basic Latin,Cyrillic
0x140003a80	0x140006210	string	0x140003a80	ATAUAWH
0x140003f4d	0x14005aa90	string	0x140003f00	java/lang/Throwable
