reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001052	0x1400014e9	string	0x140001000	AWAVATVWUSH
0x140001068	0x14000112d	string	0x140001000	AWAVAUATVWUSH
0x1400010b4	0x14003f720	string	0x140001090	AVVWSH
0x1400010b9	0x14014f3a0	string	0x140001090	crashpad-handler
0x1400010df	0x14014f3a0	string	0x140001090	crashpad-handler
0x1400010f7	0x14003bfa0	string	0x140001090	VWSH
0x140001177	0x1400214d8	string	0x14000112d	AWAVVWSH
0x14000118d	0x14003ebe0	string	0x14000112d	AWAVAUATVWSH
0x1400011a2	0x140001776	string	0x14000112d	AVVWSH
0x1400011b7	0x140142040	string	0x14000112d	--url=
0x1400011f2	0x14004ba40	string	0x14000112d	AWAVVWSH
0x140001248	0x14004a1a0	string	0x14000112d	AWAVVWSH
0x1400012af	0x140142040	string	0x14000112d	--url=
0x1400012d0	0x14004ba40	string	0x14000112d	AWAVVWSH
0x140001327	0x14004a1a0	string	0x14000112d	AWAVVWSH
0x1400013b9	0x1400017f0	string	0x14000112d	AWAVATVWSH
0x1400013db	0x14005d2a0	string	0x14000112d	AVVWSH
0x1400013ed	0x140142000	string	0x14000112d	type
0x1400013f4	0x14014f2c8	string	0x14000112d	user-data-dir
0x140001401	0x14005d5e0	string	0x14000112d	AWAVAUATVWUSH
0x140001419	0x14003ed60	string	0x14000112d	VWSH
0x140001470	0x14003f720	string	0x14000144c	AVVWSH
0x140001475	0x14014f3c0	string	0x14000144c	fallback-handler
0x14000149b	0x14014f3c0	string	0x14000144c	fallback-handler
0x1400014b3	0x14003bfa0	string	0x14000144c	VWSH
0x140001521	0x14003f720	string	0x1400014e9	AVVWSH
0x14000154f	0x140048700	string	0x1400014e9	AWAVAUATVWUSH
0x1400015ab	0x140149404	string	0x1400014e9	crash_reporter
0x1400015bd	0x1400016e0	string	0x1400014e9	AWAVVWSH
0x1400015e6	0x14005c824	string	0x1400014e9	AWAVVWUSH
0x140001637	0x140001a28	string	0x1400014e9	AVVWUSH
0x14000163c	0x140149404	string	0x1400014e9	crash_reporter
0x14000164b	0x1400016e0	string	0x1400014e9	AWAVVWSH
0x14000167a	0x1400016e0	string	0x1400014e9	AWAVVWSH
0x140001695	0x14005d4e6	string	0x1400014e9	AWAVVWUSH
0x1400017cc	0x14003c056	string	0x140001776	AWAVATVWSH
0x140001950	0x14000196a	string	0x140001942	VWSH
0x140001a5a	0x140149330	string	0x140001a28	OPERA_CRASH_EMAIL
0x140001aa2	0x140149378	string	0x140001a28	Email
0x140001ab4	0x1400016e0	string	0x140001a28	AWAVVWSH
0x140001ac9	0x14003b0b0	string	0x140001a28	AWAVVWSH
0x140001adc	0x1400024ba	string	0x140001a28	AWAVVWSH
0x140001b0b	0x14014937e	string	0x140001a28	ptype
