reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001232	0x140065210	import	0x1400011e4	KERNEL32.dll.CreateEventA
0x140001250	0x140065220	import	0x1400011e4	KERNEL32.dll.ResetEvent
0x140001287	0x140065218	import	0x1400011e4	KERNEL32.dll.WaitForSingleObject
0x140001329	0x140065750	string	0x140001324	bad array new length
0x140001405	0x140065208	import	0x1400013e0	KERNEL32.dll.GetExitCodeThread
0x140001426	0x140065508	import	0x1400013e0	USER32.dll.PostThreadMessageA
0x140001433	0x140065218	import	0x1400013e0	KERNEL32.dll.WaitForSingleObject
0x14000143d	0x140065230	import	0x1400013e0	KERNEL32.dll.CloseHandle
0x14000144c	0x140065230	import	0x1400013e0	KERNEL32.dll.CloseHandle
0x1400014b8	0x140065490	import	0x1400013e0	OLEAUT32.dll.VariantCopy
0x1400014cd	0x140065490	import	0x1400014c0	OLEAUT32.dll.VariantCopy
0x140001738	0x140065498	import	0x1400016d4	OLEAUT32.dll.VariantClear
0x14000174d	0x140011300	string	0x1400016d4	@USVWAVAWH
0x1400017de	0x140065240	import	0x1400016d4	KERNEL32.dll.CreateFileA
0x1400017f1	0x140065230	import	0x1400016d4	KERNEL32.dll.CloseHandle
0x1400019b5	0x140065228	import	0x1400019a8	KERNEL32.dll.SetEvent
0x140001b31	0x140065708	string	0x140001a98	Unknown exception
0x140003315	0x140065490	import	0x1400032d8	OLEAUT32.dll.VariantCopy
0x1400033e8	0x140065200	import	0x1400032d8	KERNEL32.dll.MultiByteToWideChar
0x1400033fb	0x140065488	import	0x1400032d8	OLEAUT32.dll.SysReAllocString
0x140003703	0x140065498	import	0x1400036d8	OLEAUT32.dll.VariantClear
0x140003a78	0x140065490	import	0x1400038b8	OLEAUT32.dll.VariantCopy
0x140003a84	0x140065490	import	0x1400038b8	OLEAUT32.dll.VariantCopy
0x140003b99	0x140065490	import	0x1400038b8	OLEAUT32.dll.VariantCopy
0x140003ba5	0x140065490	import	0x1400038b8	OLEAUT32.dll.VariantCopy
0x140003d49	0x140003d62	string	0x1400038b8	L93t[E
0x140003e38	0x1400032d8	string	0x1400038b8	@UAVAWH
0x140003e55	0x1400654b8	import	0x1400038b8	OLEAUT32.dll.VariantCopyInd
0x140003e68	0x140065490	import	0x1400038b8	OLEAUT32.dll.VariantCopy
0x140004054	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x140004108	0x1400654b8	import	0x140004004	OLEAUT32.dll.VariantCopyInd
0x140004120	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x14000416d	0x140065468	import	0x140004004	OLEAUT32.dll.SafeArrayGetElemsize
0x14000418b	0x140065460	import	0x140004004	OLEAUT32.dll.SafeArrayGetLBound
0x1400041b4	0x140065498	import	0x140004004	OLEAUT32.dll.VariantClear
0x1400041e3	0x140065458	import	0x140004004	OLEAUT32.dll.SafeArrayPutElement
0x140004233	0x140065458	import	0x140004004	OLEAUT32.dll.SafeArrayPutElement
0x140004247	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x140004252	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x14000428a	0x1400657f8	string	0x140004004	=1\n;
0x1400043e0	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x1400043ec	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x14000448e	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x1400046f2	0x140065498	import	0x140004004	OLEAUT32.dll.VariantClear
0x140004753	0x1400654b8	import	0x140004004	OLEAUT32.dll.VariantCopyInd
0x140004768	0x140065490	import	0x140004004	OLEAUT32.dll.VariantCopy
0x140004a69	0x140065498	import	0x140004a4c	OLEAUT32.dll.VariantClear
0x140004b05	0x140065498	import	0x140004ae8	OLEAUT32.dll.VariantClear
0x140004bfe	0x140065498	import	0x140004b84	OLEAUT32.dll.VariantClear
0x140004c9f	0x1400654b8	import	0x140004b84	OLEAUT32.dll.VariantCopyInd
0x140004df0	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140004dfc	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140004efa	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140004f06	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140005113	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x14000511f	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x14000521d	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140005229	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140005327	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140005333	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x1400054c9	0x1400654b8	import	0x140004b84	OLEAUT32.dll.VariantCopyInd
0x1400055b5	0x1400654b8	import	0x140004b84	OLEAUT32.dll.VariantCopyInd
0x1400056c6	0x1400654b8	import	0x140004b84	OLEAUT32.dll.VariantCopyInd
0x1400057d3	0x1400654b8	import	0x140004b84	OLEAUT32.dll.VariantCopyInd
0x14000580e	0x140005387	string	0x140004b84	H;X
0x140005829	0x140065490	import	0x140004b84	OLEAUT32.dll.VariantCopy
0x140005a3c	0x140065498	import	0x140005948	OLEAUT32.dll.VariantClear
0x140005a4f	0x140065450	import	0x140005948	OLEAUT32.dll.VariantTimeToDosDateTime
0x140005abf	0x140065498	import	0x140005948	OLEAUT32.dll.VariantClear
0x140005ad2	0x140065450	import	0x140005948	OLEAUT32.dll.VariantTimeToDosDateTime
0x140005b36	0x140065490	import	0x140005948	OLEAUT32.dll.VariantCopy
0x140005c54	0x140065498	import	0x140005b60	OLEAUT32.dll.VariantClear
0x140005c67	0x140065450	import	0x140005b60	OLEAUT32.dll.VariantTimeToDosDateTime
0x140005cd7	0x140065498	import	0x140005b60	OLEAUT32.dll.VariantClear
0x140005cea	0x140065450	import	0x140005b60	OLEAUT32.dll.VariantTimeToDosDateTime
0x140005d4e	0x140065490	import	0x140005b60	OLEAUT32.dll.VariantCopy
0x140005ddc	0x1400287dc	string	0x140005d78	@UAVAWH
0x14000605a	0x140065480	import	0x140006030	OLEAUT32.dll.SysStringLen
0x14000641c	0x140065818	string	0x140006418	invalid string position
0x140006681	0x140065050	import	0x140006644	KERNEL32.dll.InitializeCriticalSectionEx
0x14000668b	0x140065120	import	0x140006644	KERNEL32.dll.GetLastError
0x1400066f7	0x140065488	import	0x1400066bc	OLEAUT32.dll.SysReAllocString
0x140006743	0x140065480	import	0x1400066bc	OLEAUT32.dll.SysStringLen
0x14000679f	0x140065480	import	0x1400066bc	OLEAUT32.dll.SysStringLen
0x140006817	0x1400654d8	import	0x1400067cc	USER32.dll.UnregisterClassA
0x140006847	0x140065058	import	0x1400067cc	KERNEL32.dll.DeleteCriticalSection
0x140006ac8	0x140065050	import	0x140006ac8	KERNEL32.dll.InitializeCriticalSectionEx
0x140006ad6	0x1400651f8	import	0x140006ad0	KERNEL32.dll.RaiseException
0x140006bad	0x140065210	import	0x140006b50	KERNEL32.dll.CreateEventA
0x140006bbf	0x140065220	import	0x140006b50	KERNEL32.dll.ResetEvent
