reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100011e1	0x1004f018	import	0x10001180	KERNEL32.dll.GetSystemDirectoryW
0x100011e7	0x1005cb70	string	0x10001180	\version.dll
0x10001207	0x1004f01c	import	0x10001180	KERNEL32.dll.LoadLibraryW
0x10001212	0x1005cb8c	string	0x10001180	VerFindFileA
0x10001218	0x1004f020	import	0x10001180	KERNEL32.dll.GetProcAddress
0x1000124b	0x10011764	string	0x10001180	;\r\fP
0x100012c1	0x1004f018	import	0x10001260	KERNEL32.dll.GetSystemDirectoryW
0x100012c7	0x1005cb70	string	0x10001260	\version.dll
0x100012e7	0x1004f01c	import	0x10001260	KERNEL32.dll.LoadLibraryW
0x100012f2	0x1005cb9c	string	0x10001260	VerFindFileW
0x100012f8	0x1004f020	import	0x10001260	KERNEL32.dll.GetProcAddress
0x1000132b	0x10011764	string	0x10001260	;\r\fP
0x100013a1	0x1004f018	import	0x10001340	KERNEL32.dll.GetSystemDirectoryW
0x100013a7	0x1005cb70	string	0x10001340	\version.dll
0x100013c7	0x1004f01c	import	0x10001340	KERNEL32.dll.LoadLibraryW
0x100013d2	0x1005cbac	string	0x10001340	VerInstallFileA
0x100013d8	0x1004f020	import	0x10001340	KERNEL32.dll.GetProcAddress
0x1000140b	0x10011764	string	0x10001340	;\r\fP
0x10001481	0x1004f018	import	0x10001420	KERNEL32.dll.GetSystemDirectoryW
0x10001487	0x1005cb70	string	0x10001420	\version.dll
0x100014a7	0x1004f01c	import	0x10001420	KERNEL32.dll.LoadLibraryW
0x100014b2	0x1005cbbc	string	0x10001420	VerInstallFileW
0x100014b8	0x1004f020	import	0x10001420	KERNEL32.dll.GetProcAddress
0x100014eb	0x10011764	string	0x10001420	;\r\fP
0x10001539	0x1004f018	import	0x10001500	KERNEL32.dll.GetSystemDirectoryW
0x1000153f	0x1005cb70	string	0x10001500	\version.dll
0x1000155f	0x1004f01c	import	0x10001500	KERNEL32.dll.LoadLibraryW
0x1000156a	0x1005cbcc	string	0x10001500	GetFileVersionInfoSizeA
0x10001570	0x1004f020	import	0x10001500	KERNEL32.dll.GetProcAddress
0x10001586	0x10011764	string	0x10001500	;\r\fP
0x100015d9	0x1004f018	import	0x100015a0	KERNEL32.dll.GetSystemDirectoryW
0x100015df	0x1005cb70	string	0x100015a0	\version.dll
0x100015ff	0x1004f01c	import	0x100015a0	KERNEL32.dll.LoadLibraryW
0x1000160a	0x1005cbe4	string	0x100015a0	GetFileVersionInfoSizeW
0x10001610	0x1004f020	import	0x100015a0	KERNEL32.dll.GetProcAddress
0x10001626	0x10011764	string	0x100015a0	;\r\fP
0x10001679	0x1004f018	import	0x10001640	KERNEL32.dll.GetSystemDirectoryW
0x1000167f	0x1005cb70	string	0x10001640	\version.dll
0x1000169f	0x1004f01c	import	0x10001640	KERNEL32.dll.LoadLibraryW
0x100016aa	0x1005cbfc	string	0x10001640	GetFileVersionInfoA
0x100016b0	0x1004f020	import	0x10001640	KERNEL32.dll.GetProcAddress
0x100016cc	0x10011764	string	0x10001640	;\r\fP
0x10001719	0x1004f018	import	0x100016e0	KERNEL32.dll.GetSystemDirectoryW
0x1000171f	0x1005cb70	string	0x100016e0	\version.dll
0x1000173f	0x1004f01c	import	0x100016e0	KERNEL32.dll.LoadLibraryW
0x1000174a	0x1005cc10	string	0x100016e0	GetFileVersionInfoW
0x10001750	0x1004f020	import	0x100016e0	KERNEL32.dll.GetProcAddress
0x1000176c	0x10011764	string	0x100016e0	;\r\fP
0x100017b9	0x1004f018	import	0x10001780	KERNEL32.dll.GetSystemDirectoryW
0x100017bf	0x1005cb70	string	0x10001780	\version.dll
0x100017df	0x1004f01c	import	0x10001780	KERNEL32.dll.LoadLibraryW
0x100017ea	0x1005cc24	string	0x10001780	GetFileVersionInfoSizeExA
0x100017f0	0x1004f020	import	0x10001780	KERNEL32.dll.GetProcAddress
0x10001809	0x10011764	string	0x10001780	;\r\fP
0x10001859	0x1004f018	import	0x10001820	KERNEL32.dll.GetSystemDirectoryW
0x1000185f	0x1005cb70	string	0x10001820	\version.dll
0x1000187f	0x1004f01c	import	0x10001820	KERNEL32.dll.LoadLibraryW
0x1000188a	0x1005cc40	string	0x10001820	GetFileVersionInfoSizeExW
0x10001890	0x1004f020	import	0x10001820	KERNEL32.dll.GetProcAddress
0x100018a9	0x10011764	string	0x10001820	;\r\fP
0x100018f9	0x1004f018	import	0x100018c0	KERNEL32.dll.GetSystemDirectoryW
0x100018ff	0x1005cb70	string	0x100018c0	\version.dll
0x1000191f	0x1004f01c	import	0x100018c0	KERNEL32.dll.LoadLibraryW
0x1000192a	0x1005cc5c	string	0x100018c0	GetFileVersionInfoExA
0x10001930	0x1004f020	import	0x100018c0	KERNEL32.dll.GetProcAddress
0x1000194f	0x10011764	string	0x100018c0	;\r\fP
0x10001999	0x1004f018	import	0x10001960	KERNEL32.dll.GetSystemDirectoryW
0x1000199f	0x1005cb70	string	0x10001960	\version.dll
0x100019bf	0x1004f01c	import	0x10001960	KERNEL32.dll.LoadLibraryW
0x100019ca	0x1005cc74	string	0x10001960	GetFileVersionInfoExW
0x100019d0	0x1004f020	import	0x10001960	KERNEL32.dll.GetProcAddress
0x100019ef	0x10011764	string	0x10001960	;\r\fP
0x10001a35	0x1004f018	import	0x10001a00	KERNEL32.dll.GetSystemDirectoryW
0x10001a3b	0x1005cb70	string	0x10001a00	\version.dll
0x10001a5b	0x1004f01c	import	0x10001a00	KERNEL32.dll.LoadLibraryW
0x10001a66	0x1005cc8c	string	0x10001a00	VerLanguageNameA
0x10001a6c	0x1004f020	import	0x10001a00	KERNEL32.dll.GetProcAddress
0x10001a86	0x10011764	string	0x10001a00	;\r\fP
0x10001ad5	0x1004f018	import	0x10001aa0	KERNEL32.dll.GetSystemDirectoryW
0x10001adb	0x1005cb70	string	0x10001aa0	\version.dll
0x10001afb	0x1004f01c	import	0x10001aa0	KERNEL32.dll.LoadLibraryW
0x10001b06	0x1005cca0	string	0x10001aa0	VerLanguageNameW
0x10001b0c	0x1004f020	import	0x10001aa0	KERNEL32.dll.GetProcAddress
0x10001b26	0x10011764	string	0x10001aa0	;\r\fP
0x10001b86	0x1004f018	import	0x10001b40	KERNEL32.dll.GetSystemDirectoryW
0x10001b8c	0x1005cb70	string	0x10001b40	\version.dll
0x10001bac	0x1004f01c	import	0x10001b40	KERNEL32.dll.LoadLibraryW
0x10001bb7	0x1005ccb4	string	0x10001b40	VerQueryValueA
0x10001bbd	0x1004f020	import	0x10001b40	KERNEL32.dll.GetProcAddress
0x10001bdb	0x10011764	string	0x10001b40	;\r\fP
0x10001c36	0x1004f018	import	0x10001bf0	KERNEL32.dll.GetSystemDirectoryW
0x10001c3c	0x1005cb70	string	0x10001bf0	\version.dll
0x10001c5c	0x1004f01c	import	0x10001bf0	KERNEL32.dll.LoadLibraryW
0x10001c67	0x1005ccc4	string	0x10001bf0	VerQueryValueW
0x10001c6d	0x1004f020	import	0x10001bf0	KERNEL32.dll.GetProcAddress
0x10001c8b	0x10011764	string	0x10001bf0	;\r\fP
0x10001d80	0x1005cce8	string	0x10001d80	bad array new length
0x100021a1	0x1005cd18	string	0x10002180	iostream stream error
0x10002386	0x10011764	string	0x10002340	;\r\fP
0x10002551	0x10011764	string	0x100023f0	;\r\fP
0x100025ad	0x1005cde0	string	0x10002580	Russian
0x10002771	0x10011764	string	0x100026f0	;\r\fP
0x10002789	0x10011764	string	0x100026f0	;\r\fP
0x100027a1	0x10011764	string	0x100026f0	;\r\fP
0x10002889	0x10011764	string	0x100027b0	;\r\fP
0x100028b3	0x10011764	string	0x100027b0	;\r\fP
0x1000290f	0x10011764	string	0x100028c0	;\r\fP
0x1000293e	0x10011764	string	0x100028c0	;\r\fP
0x10002967	0x10011764	string	0x100028c0	;\r\fP
