reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4014b8	0x4cf048	import	0x4011cf	ADVAPI32.dll.RegCloseKey
0x401511	0x4cf1ac	import	0x4014e5	KERNEL32.dll.GetModuleFileNameA
0x401582	0x4cf148	import	0x4014e5	KERNEL32.dll.CloseHandle
0x4015d1	0x4cf1b4	import	0x401599	KERNEL32.dll.GetProcAddress
0x4015ef	0x4cf198	import	0x4015ea	KERNEL32.dll.GetTickCount
0x401604	0x4cf198	import	0x4015ea	KERNEL32.dll.GetTickCount
0x40161f	0x4cf448	import	0x4015ea	USER32.dll.MsgWaitForMultipleObjects
0x4017ff	0x4cf184	import	0x401799	KERNEL32.dll.GetCurrentProcessId
0x401935	0x4cf148	import	0x401799	KERNEL32.dll.CloseHandle
0x401996	0x4cf21c	import	0x401983	KERNEL32.dll.GetFileAttributesA
0x401a37	0x4cf21c	import	0x401983	KERNEL32.dll.GetFileAttributesA
0x401b15	0x401b32	string	0x401983	3\r}̫VS blocks=Basic Latin,Combining Diacritical Marks
0x401b49	0x4d24c4	string	0x401983	C887D42CD2A7E9F6D2B64ABCBCF68F99
0x401da7	0x4cf024	import	0x401d6c	ADVAPI32.dll.OpenSCManagerA
0x401dd2	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x401df6	0x4cf14c	import	0x401d6c	KERNEL32.dll.GetLastError
0x401e1f	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x401e47	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x401e67	0x4cf068	import	0x401d6c	ADVAPI32.dll.GetSecurityDescriptorDacl
0x401ed6	0x4cf050	import	0x401d6c	ADVAPI32.dll.LookupAccountSidA
0x401ef5	0x4cf020	import	0x401d6c	ADVAPI32.dll.BuildExplicitAccessWithNameA
0x401f2a	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x401f38	0x4cf1c4	import	0x401d6c	KERNEL32.dll.LocalFree
0x401f6e	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x401f80	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x401f9e	0x4cf1c4	import	0x401d6c	KERNEL32.dll.LocalFree
0x401fbd	0x4cf1c4	import	0x401d6c	KERNEL32.dll.LocalFree
0x401fda	0x4cf028	import	0x401d6c	ADVAPI32.dll.CloseServiceHandle
0x402041	0x4cf1b0	import	0x401ffc	KERNEL32.dll.GetModuleHandleA
0x402048	0x4cf1b4	import	0x401ffc	KERNEL32.dll.GetProcAddress
0x402058	0x4cf180	import	0x401ffc	KERNEL32.dll.GetCurrentProcess
0x402405	0x4cf148	import	0x4020a0	KERNEL32.dll.CloseHandle
0x4027ba	0x4cf1b4	import	0x402775	KERNEL32.dll.GetProcAddress
0x4027d2	0x4cf1a8	import	0x402775	KERNEL32.dll.FreeLibrary
0x402841	0x402846	string	0x4027de	_[^]Ã=T blocks=Basic Latin,Latin-1 Supplement
0x4028b0	0x4cf1b0	import	0x402856	KERNEL32.dll.GetModuleHandleA
0x4028b7	0x4cf1b4	import	0x402856	KERNEL32.dll.GetProcAddress
0x402a64	0x4d23a0	string	0x402856	f157c1e61fa3485db5e142dd0cbb503e
0x402ad4	0x4cf198	import	0x402856	KERNEL32.dll.GetTickCount
0x402d93	0x4cf17c	import	0x402856	KERNEL32.dll.Sleep
0x402de0	0x4cf17c	import	0x402856	KERNEL32.dll.Sleep
0x402e1a	0x4cf148	import	0x402856	KERNEL32.dll.CloseHandle
0x402eaa	0x4cf148	import	0x402856	KERNEL32.dll.CloseHandle
0x402eb5	0x4cf17c	import	0x402856	KERNEL32.dll.Sleep
0x402f35	0x4cf17c	import	0x402856	KERNEL32.dll.Sleep
0x402fc2	0x4cf1d8	import	0x402f97	KERNEL32.dll.LoadLibraryA
0x4031a0	0x4d23a0	string	0x402fca	f157c1e61fa3485db5e142dd0cbb503e
0x4032a5	0x4cf17c	import	0x402fca	KERNEL32.dll.Sleep
0x40341d	0x4cf1b4	import	0x4033e5	KERNEL32.dll.GetProcAddress
0x403517	0x403601	string	0x403436	3ۉ]܅ blocks=Basic Latin,Arabic,Syriac
0x403877	0x4d23a0	string	0x4037d9	f157c1e61fa3485db5e142dd0cbb503e
0x4038f4	0x4d23a0	string	0x4037d9	f157c1e61fa3485db5e142dd0cbb503e
0x403a91	0x4cf198	import	0x4037d9	KERNEL32.dll.GetTickCount
0x403ad7	0x4cf17c	import	0x4037d9	KERNEL32.dll.Sleep
0x403ba6	0x4cf17c	import	0x4037d9	KERNEL32.dll.Sleep
0x403cbd	0x4d23c8	string	0x4037d9	0123456789ABCDEF
0x403f66	0x4cf1b4	import	0x403f31	KERNEL32.dll.GetProcAddress
0x4042f1	0x4cf080	import	0x40419f	ADVAPI32.dll.RegOpenKeyExW
0x404316	0x4cf084	import	0x40419f	ADVAPI32.dll.RegQueryValueExW
0x404381	0x4cf048	import	0x40419f	ADVAPI32.dll.RegCloseKey
0x4043b3	0x4043d3	string	0x404399	3ɋE\f^ blocks=Basic Latin,Latin Extended-B
0x4043c7	0x4043d3	string	0x404399	3ɋE\f^ blocks=Basic Latin,Latin Extended-B
0x404407	0x4cf228	import	0x4043df	KERNEL32.dll.MultiByteToWideChar
0x404428	0x4cf54c	import	0x4043df	ole32.dll.CoCreateInstance
0x4046a9	0x4cf080	import	0x40449e	ADVAPI32.dll.RegOpenKeyExW
0x4046cb	0x4cf084	import	0x40449e	ADVAPI32.dll.RegQueryValueExW
0x404764	0x4cf048	import	0x40449e	ADVAPI32.dll.RegCloseKey
0x404fad	0x4cf1ac	import	0x404782	KERNEL32.dll.GetModuleFileNameA
0x405048	0x4cf140	import	0x404782	KERNEL32.dll.ReadFile
0x40507e	0x4cf148	import	0x404782	KERNEL32.dll.CloseHandle
0x40514e	0x4cf174	import	0x404782	KERNEL32.dll.WaitForSingleObject
0x4055df	0x4cf17c	import	0x404782	KERNEL32.dll.Sleep
0x405875	0x4cf1ac	import	0x404782	KERNEL32.dll.GetModuleFileNameA
0x405aea	0x4cf17c	import	0x404782	KERNEL32.dll.Sleep
0x405b41	0x4cf1b4	import	0x405b14	KERNEL32.dll.GetProcAddress
0x405ba5	0x4cf1b4	import	0x405b63	KERNEL32.dll.GetProcAddress
0x405bb7	0x4cf1a8	import	0x405b63	KERNEL32.dll.FreeLibrary
0x405f9d	0x4cf1d8	import	0x405f76	KERNEL32.dll.LoadLibraryA
0x405fd0	0x4cf1b4	import	0x405f76	KERNEL32.dll.GetProcAddress
0x405fe5	0x4cf1a8	import	0x405f76	KERNEL32.dll.FreeLibrary
0x4060a2	0x4cf1ac	import	0x405f76	KERNEL32.dll.GetModuleFileNameA
0x406296	0x4cf1b4	import	0x40625e	KERNEL32.dll.GetProcAddress
0x406520	0x4cf148	import	0x4064bd	KERNEL32.dll.CloseHandle
0x40658c	0x40659e	string	0x4064bd	øTcO blocks=Latin-1 Supplement,Basic Latin
0x406ac9	0x406adb	string	0x4064bd	øTxO blocks=Latin-1 Supplement,Basic Latin
0x406aef	0x406b04	string	0x4064bd	øxxO blocks=Latin-1 Supplement,Basic Latin
0x406ba9	0x406db1	string	0x406b6f	X_^[
0x406d9f	0x406db1	string	0x406b6f	X_^[
0x406dd7	0x4cf1d8	import	0x406db7	KERNEL32.dll.LoadLibraryA
0x406e90	0x4d23a0	string	0x406e38	f157c1e61fa3485db5e142dd0cbb503e
0x406f92	0x4cf198	import	0x406e38	KERNEL32.dll.GetTickCount
0x407022	0x4cf17c	import	0x406e38	KERNEL32.dll.Sleep
0x4076ea	0x4cf1d8	import	0x407683	KERNEL32.dll.LoadLibraryA
0x407725	0x4cf1b4	import	0x407683	KERNEL32.dll.GetProcAddress
0x407744	0x4cf14c	import	0x407683	KERNEL32.dll.GetLastError
