reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4013a5	0x4b63a0	import	0x4013a0	KERNEL32.dll.CreateDirectoryW
0x4013af	0x4b6398	import	0x4013a0	KERNEL32.dll.GetLastError
0x40147b	0x4c9148	string	0x40142a	InFile_OpenW failed with archive path:
0x40149f	0x4b6398	import	0x40142a	KERNEL32.dll.GetLastError
0x40175d	0x4b6394	import	0x40142a	KERNEL32.dll.WriteFile
0x4017a8	0x4b6398	import	0x40142a	KERNEL32.dll.GetLastError
0x401802	0x4b6390	import	0x40142a	KERNEL32.dll.SetFileTime
0x401823	0x4b638c	import	0x40142a	KERNEL32.dll.SetFileAttributesW
0x40185c	0x4c91cc	string	0x40142a	can not write output file:
0x4018b7	0x4c9204	string	0x40142a	can not close output file
0x40190a	0x4c9198	string	0x40142a	can not open output file
0x40199a	0x4c9110	string	0x40142a	Extract Files ERROR_DATA
0x4019b1	0x4b6398	import	0x40142a	KERNEL32.dll.GetLastError
0x401a0e	0x4c9238	string	0x4019f8	Extract7zArchiveFromMsiContainer.. archive name:
0x401a3e	0x4c929c	string	0x4019f8	IDS_ACTION_EXTRACTING
0x401a89	0x4b677c	import	0x4019f8	msi.dll.MsiOpenProductW
0x401a95	0x4c92c8	string	0x4019f8	MOD failed:
0x401ad5	0x4c92e8	string	0x4019f8	SELECT * FROM `Binary` WHERE `Name`='%s'
0x401aec	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401b00	0x4b67ac	import	0x4019f8	msi.dll.MsiEnumClientsA
0x401b0c	0x4c933c	string	0x4019f8	MDOV failed:
0x401b23	0x4b6754	import	0x4019f8	msi.dll.MsiViewModify
0x401b2f	0x4c9358	string	0x4019f8	MVE failed:
0x401b4b	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401b5b	0x4b6750	import	0x4019f8	msi.dll.MsiDatabaseIsTablePersistentA
0x401b67	0x4c9374	string	0x4019f8	MVF failed:
0x401b92	0x4b6758	import	0x4019f8	msi.dll.MsiRecordGetStringW
0x401bb5	0x4b6388	import	0x4019f8	KERNEL32.dll.lstrlenW
0x401bca	0x4c9390	string	0x4019f8	File:
0x401bfb	0x4c93a4	string	0x4019f8	archive file:
0x401c30	0x4b63a4	import	0x4019f8	KERNEL32.dll.GetFileAttributesW
0x401c42	0x4b6384	import	0x4019f8	KERNEL32.dll.DeleteFileW
0x401c50	0x4c93c8	string	0x4019f8	Failed to delete existing archive:
0x401cb1	0x4c9410	string	0x4019f8	%s%d
0x401d64	0x4b675c	import	0x4019f8	msi.dll.MsiRecordSetStringA
0x401ddd	0x4b675c	import	0x4019f8	msi.dll.MsiRecordSetStringA
0x401df8	0x4b6760	import	0x4019f8	msi.dll.MsiReinstallFeatureFromDescriptorA
0x401e01	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401e0a	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401e1f	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401e28	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401e35	0x4c941c	string	0x4019f8	Create file failed:
0x401e49	0x4b6398	import	0x4019f8	KERNEL32.dll.GetLastError
0x401ea1	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401eb0	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401ebf	0x4b6770	import	0x4019f8	msi.dll.MsiConfigureFeatureFromDescriptorA
0x401eef	0x4c9444	string	0x401ecd	ExtractFilesFrom7zArchive...
0x401f38	0x4c929c	string	0x401ecd	IDS_ACTION_EXTRACTING
0x401fad	0x4c9480	string	0x401ecd	Failed to get current working directory.
0x401fc4	0x4b6398	import	0x401ecd	KERNEL32.dll.GetLastError
0x402021	0x4b6380	import	0x401ecd	KERNEL32.dll.FindFirstFileW
0x402032	0x4b63a0	import	0x401ecd	KERNEL32.dll.CreateDirectoryW
0x40203c	0x4c94d4	string	0x401ecd	CreateDirectory() failed
0x402053	0x4b6398	import	0x401ecd	KERNEL32.dll.GetLastError
0x40207f	0x4b637c	import	0x401ecd	KERNEL32.dll.FindClose
0x40208b	0x4b637c	import	0x401ecd	KERNEL32.dll.FindClose
0x40209d	0x4c9508	string	0x401ecd	Failed to change cwd
0x4020b4	0x4b6398	import	0x401ecd	KERNEL32.dll.GetLastError
0x402111	0x4c9534	string	0x401ecd	Extractor
0x402155	0x4c9548	string	0x401ecd	.exe
0x402189	0x4c9548	string	0x401ecd	.exe
0x4021b4	0x4c929c	string	0x401ecd	IDS_ACTION_EXTRACTING
0x40229e	0x4c9590	string	0x401ecd	Execute 64bit extractor failed with exit code:
0x402317	0x4c95f0	string	0x401ecd	Failed to change cwd.
0x40232e	0x4b6398	import	0x401ecd	KERNEL32.dll.GetLastError
0x402361	0x4c961c	string	0x401ecd	Failed to extract files
0x402378	0x4b6398	import	0x401ecd	KERNEL32.dll.GetLastError
0x4023a0	0x4c9650	string	0x401ecd	Files extracted successfully at:
0x40280e	0x4b6770	import	0x402804	msi.dll.MsiConfigureFeatureFromDescriptorA
0x402822	0x4b6770	import	0x402804	msi.dll.MsiConfigureFeatureFromDescriptorA
0x4028dc	0x4b63ac	import	0x4028d2	KERNEL32.dll.LoadResource
0x4028e7	0x4b63b0	import	0x4028d2	KERNEL32.dll.LockResource
0x4028f9	0x4b63b4	import	0x4028d2	KERNEL32.dll.SizeofResource
0x402942	0x4b63a8	import	0x40292f	KERNEL32.dll.FindResourceW
0x402efd	0x4c9694	string	0x402ee2	AdobeARM.exe
0x402f18	0x4c96a4	string	0x402ee2	Adobe Acrobat
0x402f22	0x4c96b4	string	0x402ee2	Adobe Reader
0x402f35	0x4c96c4	string	0x402ee2	Adobe Acrobat Updater
0x402f48	0x4c96dc	string	0x402ee2	Adobe Reader Updater
0x402f5b	0x4c96f4	string	0x402ee2	1.8.0.0
0x402f6e	0x4c96fc	string	0x402ee2	AdobeARMHelper.exe
0x402f81	0x4c9710	string	0x402ee2	AdobeARM.msi
0x402f94	0x4c9720	string	0x402ee2	AdobeARM
0x402fa7	0x4c972c	string	0x402ee2	ArmManifest3.msi
0x402fba	0x4c9740	string	0x402ee2	thsnYaVieBoda
0x402fcd	0x4c9750	string	0x402ee2	https://armmf.adobe.com/arm-manifests/win/
0x402fe0	0x4c9780	string	0x402ee2	http://www.adobe.com/support/downloads/product.jsp?product=1&platform=Windows
0x402ff3	0x4c97d0	string	0x402ee2	http://www.adobe.com/support/downloads/product.jsp?product=10&platform=Windows
0x403006	0x4c9820	string	0x402ee2	SOFTWARE\Adobe\Adobe ARM\1.0\ARM
0x403019	0x4c9844	string	0x402ee2	SOFTWARE\Adobe\Adobe ARM\1.0\ARM\Cleanup
0x40302c	0x4c9870	string	0x402ee2	SOFTWARE\Adobe\Adobe ARM\Products
0x40303f	0x4c9894	string	0x402ee2	iLogLevel
0x403052	0x4c98a0	string	0x402ee2	iDebugArm
0x403065	0x4c98ac	string	0x402ee2	iCanExit
0x403078	0x4c98b8	string	0x402ee2	Software\Microsoft\Windows\CurrentVersion\Policies\System
0x40308b	0x4c98f4	string	0x402ee2	tUpgradeCache
0x40309e	0x4c9904	string	0x402ee2	iStartTimeDaysRemaining
0x4030b1	0x4c991c	string	0x402ee2	ForceError
0x4031f9	0x4c9948	string	0x4031f2	7AD7-
0x40320b	0x4c9928	string	0x4031f2	Reader
0x403228	0x4c9928	string	0x403224	Reader
0x403238	0x4c9938	string	0x403224	Acrobat
0x403259	0x4c995c	string	0x403251	/ArmUpdate
0x40326b	0x4c9974	string	0x403251	/ArmElevate
0x403286	0x4c998c	string	0x403284	/ProcessResult
0x4032a0	0x4c9a74	string	0x40329e	/BackFromArmUpdate
0x4032c7	0x4b6374	import	0x4032b8	KERNEL32.dll.GetThreadPriority
0x403301	0x4c9c28	string	0x4032da	IDS_TITLE_NOT_UPDATED
0x40336a	0x4c9c54	string	0x403346	Adobe Updater
0x403643	0x4b60ac	import	0x403563	COMCTL32.dll.InitCommonControlsEx
0x403660	0x4c9c94	string	0x403563	Adobe ARM
0x40366b	0x4c9c70	string	0x403563	logging started.
0x4036d7	0x4c9a20	string	0x403563	/MODE:1
0x403714	0x4c9cb0	string	0x403563	skipping analytics and arm update - another instance is in use
0x40379a	0x4c9d48	string	0x403563	new instance
0x40379f	0x4c9d30	string	0x403563	arm update
0x4037f8	0x4c99dc	string	0x403563	/ErrorMissingProduct
0x403863	0x4c9928	string	0x403563	Reader
0x403921	0x4c9c54	string	0x403563	Adobe Updater
0x403932	0x4c9d64	string	0x403563	InitSessionWithProduct failed.
0x403946	0x4b6398	import	0x403563	KERNEL32.dll.GetLastError
0x40398b	0x4c9d64	string	0x403563	InitSessionWithProduct failed.
0x40399f	0x4b6398	import	0x403563	KERNEL32.dll.GetLastError
0x403a45	0x4c9da4	string	0x403a41	exit instance
0x403acc	0x4b6370	import	0x403a8e	KERNEL32.dll.Sleep
0x403ae8	0x4c9dc0	string	0x403a8e	exiting while UI thread is alive, will kill UI
0x403b22	0x4b6370	import	0x403a8e	KERNEL32.dll.Sleep
0x403b84	0x4b6370	import	0x403b2e	KERNEL32.dll.Sleep
0x403ba1	0x4c9e20	string	0x403b2e	Waiting for Server to exit
0x403beb	0x4c9e58	string	0x403b2e	Error exiting while in action! One of the threads may not be released properly
0x403c31	0x4b6370	import	0x403c1b	KERNEL32.dll.Sleep
0x403c67	0x4b6370	import	0x403c1b	KERNEL32.dll.Sleep
0x403cdf	0x4c9a20	string	0x403c92	/MODE:1
0x403cfd	0x4c9a40	string	0x403c92	/MODE:3
0x403d1b	0x4c9a30	string	0x403c92	/MODE:2
0x403d39	0x4c9a50	string	0x403c92	/MODE:4
0x403d75	0x4ccd10	string	0x403c92	SYSTEM
0x403d93	0x4c9ef8	string	0x403c92	Launched in the SYSTEM context, no UI will be available
0x403dcf	0x4c9f68	string	0x403c92	Command Line:
0x403de6	0x4c9be0	string	0x403c92	/RUM
0x403e46	0x4c9b2c	string	0x403e2f	/UninstallARM
0x403e6d	0x4c9b48	string	0x403e2f	/ShowInstallInProgressUI
0x403e7f	0x4b636c	import	0x403e2f	KERNEL32.dll.SetLastError
0x403e85	0x4c9f88	string	0x403e2f	Global\UpdateInstallInProcessEvent
0x403e91	0x4b6368	import	0x403e2f	KERNEL32.dll.CreateEventW
0x403e9d	0x4b6398	import	0x403e2f	KERNEL32.dll.GetLastError
0x403eaa	0x4c9fd0	string	0x403e2f	install in progress UI already exists, exiting
0x403ed5	0x4b6364	import	0x403e2f	KERNEL32.dll.CloseHandle
0x403ef8	0x4c9bc8	string	0x403e2f	/ArmCleanup
0x403f14	0x4c9b7c	string	0x403e2f	/InstallOnDemand
0x403f30	0x4c99ac	string	0x403e2f	/ProcessOnDemandResult
0x403f5d	0x4ca030	string	0x403e2f	OnDemand success before restart, will not ping
0x403fdc	0x4c9be0	string	0x403e2f	/RUM
0x403fe9	0x404056	string	0x403e2f	ShؚL blocks=Basic Latin,Arabic
0x403fff	0x4ca090	string	0x403e2f	cannot continue - another instance is in use
0x404057	0x4c9ad8	string	0x403e2f	/RegisterFileTypesOwnership
0x404075	0x4c9a60	string	0x403e2f	/ArmPrefs
0x40408b	0x4c9a9c	string	0x403e2f	/FixPDF
0x4040a1	0x4c9aac	string	0x403e2f	/FixRegistryOwnership
0x4040b7	0x4c9b10	string	0x403e2f	/CollectFiles
0x4040d3	0x4c9ba0	string	0x403e2f	/CloseApplications
0x404111	0x4ca0ec	string	0x403e2f	Empty CloseAppsList
0x404185	0x4ca114	string	0x404177	RegisterFileTypesOwnership...
0x4041e0	0x4c9928	string	0x404177	Reader
0x404229	0x4ca150	string	0x404177	IDS_REGISTER_FILETYPES_ERROR
0x40423a	0x4ca18c	string	0x404177	Error InitReaderOrAcrobat
0x4042f8	0x4ca1dc	string	0x404177	/LANG:
0x40435c	0x4ca150	string	0x404177	IDS_REGISTER_FILETYPES_ERROR
0x40436d	0x4ca1ec	string	0x404177	ShellExecute failed
0x40440f	0x4ca150	string	0x4043ca	IDS_REGISTER_FILETYPES_ERROR
0x404442	0x4ca214	string	0x4043ca	IDS_ERROR_DIALOG_DETAIL
0x404499	0x4ca244	string	0x4043ca	[ERRORCODE]
0x4044d1	0x4b66d8	import	0x4043ca	USER32.dll.MessageBoxW
0x4044ff	0x4ca260	string	0x4044ea	Action added:
0x404547	0x4ca280	string	0x404532	Action deleted:
0x404591	0x4ca2a4	string	0x40457a	finished with product
0x4045a2	0x4ca2d0	string	0x40457a	************************************
0x4045ce	0x4ca31c	string	0x40457a	InitSessionWithProduct...
0x4046c4	0x4c9928	string	0x40457a	Reader
0x40470c	0x4c9938	string	0x40457a	Acrobat
0x404870	0x4c9928	string	0x40457a	Reader
0x40488d	0x4c9938	string	0x40457a	Acrobat
0x4048b3	0x4ca350	string	0x40457a	could not find valid product
0x4048eb	0x4c9928	string	0x40457a	Reader
0x4048fc	0x4c9938	string	0x40457a	Acrobat
0x404933	0x4ca38c	string	0x404925	InitDownloadManager...
0x404982	0x4ca3bc	string	0x404925	InitDownloadManager failed.
0x404996	0x4b6398	import	0x404925	KERNEL32.dll.GetLastError
0x4049ce	0x4ca3f4	string	0x4049c0	InitListener...
0x404a2d	0x4b6370	import	0x4049c0	KERNEL32.dll.Sleep
0x404a40	0x4ca414	string	0x4049c0	wait timeout limit is reached!
0x404a9c	0x4ca454	string	0x4049c0	IDS_ERROR_RUNNING_TITLE
0x404adb	0x4b66d8	import	0x4049c0	USER32.dll.MessageBoxW
0x404b11	0x4ca484	string	0x404b03	RunRestarted...
0x404bff	0x4ca4a8	string	0x404b03	MSI is in use after re-launch, aborting update
0x404c38	0x4ca508	string	0x404b03	Wait_Msi_Busy_Elapsed
0x404c70	0x4ca538	string	0x404b03	not ignorable file is in use after re-launch, aborting update
0x404ca5	0x4ca5b8	string	0x404b03	Not elevated after re-launch, switching to semi-auto
0x404d13	0x4ca624	string	0x404d05	RunManual...
0x404dfe	0x4ca640	string	0x404df0	Started auto mode for:
0x404eb6	0x4ca670	string	0x404df0	finished as not ignoreable, aborting product upgrade
0x404ee5	0x4ca6dc	string	0x404df0	upgradeexitfilesinuse
0x404f14	0x4ca708	string	0x404df0	FileInUse
0x404f19	0x4ca71c	string	0x404df0	Session_Canceled
0x404fa1	0x4ca508	string	0x404df0	Wait_Msi_Busy_Elapsed
0x404fc9	0x4ca740	string	0x404df0	finished as not ignoreable, aborting product
0x404ff3	0x4ca79c	string	0x404df0	finished to postpone update
0x40502a	0x4ca7d4	string	0x404df0	PostponeUpdate
0x40502f	0x4ca71c	string	0x404df0	Session_Canceled
0x4051b1	0x4ca8ec	string	0x40518a	Install_Start_Automatically
0x405232	0x4c9a08	string	0x405210	/dUI
0x405249	0x4c9a14	string	0x405210	/mUI
0x4052c9	0x4ca214	string	0x405210	IDS_ERROR_DIALOG_DETAIL
0x4052fc	0x4ca924	string	0x405210	Empty OnDemand ID value
0x405301	0x4ca244	string	0x405210	[ERRORCODE]
0x405310	0x4c9c54	string	0x405210	Adobe Updater
0x40531a	0x4b66d8	import	0x405210	USER32.dll.MessageBoxW
0x40532e	0x4ca924	string	0x405210	Empty OnDemand ID value
0x40536f	0x4ca958	string	0x405210	SOFTWARE\Adobe\Adobe ARM\1.0\ARM
0x4053c5	0x4b6064	import	0x405210	ADVAPI32.dll.RegDeleteKeyExW
0x4053d4	0x4ca9a0	string	0x405210	failed to cleanup leftover registry:
0x405419	0x4ca9ec	string	0x405210	iTestDisablePings
0x40541e	0x4ca958	string	0x405210	SOFTWARE\Adobe\Adobe ARM\1.0\ARM
0x405447	0x4caa10	string	0x405210	Pings disabled in ARM registry by iTestDisablePings
0x405492	0x4caa78	string	0x405210	iStartTime
0x4054c0	0x4b6370	import	0x405210	KERNEL32.dll.Sleep
0x4054eb	0x4caa90	string	0x405210	Will not continue for Guest User
0x40553f	0x4caad4	string	0x405210	iStandardUser
0x40558d	0x4caaf0	string	0x405210	cannot continue, another ARM instance is in use
0x4055de	0x4cab50	string	0x405210	Not elevated for OnDemand installation after relaunch
0x4055f8	0x4b6398	import	0x405210	KERNEL32.dll.GetLastError
0x40562f	0x4ca214	string	0x405210	IDS_ERROR_DIALOG_DETAIL
0x405662	0x4cabbc	string	0x405210	Not elevated after relaunch
0x405667	0x4ca244	string	0x405210	[ERRORCODE]
0x405676	0x4c9c54	string	0x405210	Adobe Updater
0x405680	0x4b66d8	import	0x405210	USER32.dll.MessageBoxW
0x4056ce	0x4cabf4	string	0x405210	continue without listener
0x40573a	0x4cac28	string	0x405210	unable to initialize download
0x40578b	0x4cac68	string	0x405210	User canceled manifest download
0x4057b5	0x4caca8	string	0x405210	unable to download OnDemand manifest
0x4057f6	0x4cacf8	string	0x405210	Process OnDemand Manifest error
0x405826	0x4cad38	string	0x405210	sProductCode
0x40587a	0x4cad54	string	0x405210	Standard User not allowed
0x4058c0	0x4cad88	string	0x405210	No files in Session
0x4058ff	0x4cadb0	string	0x405210	OnDemandBaseURL
0x405904	0x4ca958	string	0x405210	SOFTWARE\Adobe\Adobe ARM\1.0\ARM
0x405922	0x4cadd0	string	0x405210	Will use registered OnDemandBaseURL:
0x4059d4	0x4cae1c	string	0x405210	User canceled
0x405a21	0x4cae38	string	0x405210	User canceled download payload
0x405a4e	0x4cae78	string	0x405210	unable to download payload
0x405a86	0x4b636c	import	0x405210	KERNEL32.dll.SetLastError
0x405ac0	0x4caeb0	string	0x405210	unable to initialize installation
0x405b2c	0x4caef4	string	0x405210	User canceled Files In Use
0x405b79	0x4caf30	string	0x405210	Aborting, not ignorable file is in use
0x405bc6	0x4caf80	string	0x405210	ExecuteInstalls failed
0x405c73	0x4cafb0	string	0x405210	Relaunch failed
0x405cf1	0x4cafd0	string	0x405ce0	ExecuteRUM...
0x405d44	0x4caff0	string	0x405ce0	Not elevated for RUM, returning:
0x405d83	0x4cabf4	string	0x405ce0	continue without listener
0x405dd0	0x4cb034	string	0x405ce0	AdobeARM
0x405e4c	0x4c9bec	string	0x405ce0	/IsUpdateAvailable
0x405e81	0x4c9c14	string	0x405ce0	/Download
0x405ea1	0x4cb048	string	0x405ce0	unable to initialize installation, returning:
0x405ee6	0x4cb0a8	string	0x405ce0	MSI is in use, returning:
0x405f2b	0x4cb0e0	string	0x405ce0	not ignorable file is in use, returning:
0x405fb4	0x4cb134	string	0x405fa3	ProcessResult...
0x405feb	0x4ca958	string	0x405fa3	SOFTWARE\Adobe\Adobe ARM\1.0\ARM
0x40600f	0x4cb158	string	0x405fa3	\Products\
0x406070	0x4cb170	string	0x405fa3	UpdateResult
0x406089	0x4cb18c	string	0x405fa3	SUCCESS_REBOOT
0x40608e	0x4cb1ac	string	0x405fa3	SUCCESS
0x4060b0	0x4cb170	string	0x405fa3	UpdateResult
0x4060cc	0x4cb1f0	string	0x405fa3	Failed to register Result
0x4060f6	0x4cb1bc	string	0x405fa3	Unknown error description
0x406125	0x4cb228	string	0x405fa3	Result registered successfully:
0x406164	0x4cb26c	string	0x405fa3	/ProcessResult /PRODUCT:
0x40616f	0x4ca1dc	string	0x405fa3	/LANG:
0x4061f0	0x4cb2a0	string	0x405fa3	/AllowedLogsessionVersionList:
0x40623a	0x4cb2e0	string	0x405fa3	/AllowedLogsessionVersionListNGL:
0x4062f9	0x4062b0	string	0x405fa3	;_\b}FS
0x406307	0x4cb328	string	0x405fa3	/ErrorMissingProduct /FOLDER:"
0x40640b	0x4cb170	string	0x405fa3	UpdateResult
0x406445	0x4cb3a8	string	0x405fa3	/AllowedLogsessionVersionList:
0x40648a	0x4cb3e8	string	0x405fa3	AllowedLogsessionVersionList from command line:
0x4064e6	0x4cb450	string	0x405fa3	/AllowedLogsessionVersionListNGL:
0x406521	0x4cb498	string	0x405fa3	AllowedLogsessionVersionListNGL from command line:
0x40657c	0x4cb1ac	string	0x405fa3	SUCCESS
0x4065a0	0x4cb18c	string	0x405fa3	SUCCESS_REBOOT
0x4065d8	0x4b6398	import	0x405fa3	KERNEL32.dll.GetLastError
0x4065f7	0x4c99dc	string	0x405fa3	/ErrorMissingProduct
0x406613	0x4cb500	string	0x405fa3	http://www.adobe.com/go/update_error_win
0x406642	0x4cb368	string	0x405fa3	Unable to get registered Result
0x4066a7	0x4cb554	string	0x406696	ProcessOnDemandResult...
0x406721	0x4cb5a8	string	0x406696	/Svc
0x406731	0x4cb5b4	string	0x406696	/ProcessOnDemandResult
0x406742	0x4cb5e4	string	0x406696	Final command line:
0x4067ea	0x4cb610	string	0x406696	iExitCode
0x4067ff	0x4b6398	import	0x406696	KERNEL32.dll.GetLastError
0x40685c	0x4cb610	string	0x406696	iExitCode
0x4068ab	0x4cb624	string	0x406696	Error - missing OnDemandID
0x4068da	0x4ca958	string	0x406696	SOFTWARE\Adobe\Adobe ARM\1.0\ARM
0x406948	0x4b6004	import	0x406696	ADVAPI32.dll.RegOpenKeyExW
0x406954	0x4cb660	string	0x406696	RegOpenKeyEx failed for HKEY_LOCAL_MACHINE:
0x406992	0x4cb610	string	0x406696	iExitCode
0x4069c5	0x4b6008	import	0x406696	ADVAPI32.dll.RegQueryInfoKeyW
0x4069d1	0x4cb6c0	string	0x406696	RegQueryInfoKey to read results failed:
0x406a07	0x4cb610	string	0x406696	iExitCode
0x406ad2	0x4b600c	import	0x406696	ADVAPI32.dll.RegEnumValueW
0x406b0b	0x4cb610	string	0x406696	iExitCode
0x406b4a	0x4cb714	string	0x406696	GetRegKeyDW failed for:
0x406bde	0x4cb714	string	0x406696	GetRegKeyDW failed for:
0x406c30	0x4cb748	string	0x406696	Not supported reg value type for:
0x406cb4	0x4b600c	import	0x406696	ADVAPI32.dll.RegEnumValueW
0x406ccc	0x4cb610	string	0x406696	iExitCode
0x406d19	0x4cb790	string	0x406696	iFinishTime
0x406db0	0x4cb7a8	string	0x406d8d	relaunched, skipping CanRun
0x406ddf	0x4cb7e0	string	0x406d8d	CanRun...
0x406e4b	0x4cb848	string	0x406d8d	User is Guest
0x406e63	0x4cb864	string	0x406d8d	Std User on XP
0x406e80	0x4cb888	string	0x406d8d	Not enough privileges to update,
0x406e94	0x4b6398	import	0x406d8d	KERNEL32.dll.GetLastError
0x406ebc	0x4cb8cc	string	0x406d8d	will update
0x406ecd	0x4cb900	string	0x406d8d	Std User,
0x406ed8	0x4cb8e4	string	0x406d8d	Admin User,
0x406f24	0x4cb7f8	string	0x406d8d	Patching disabled by the system policy
0x406f34	0x4b6398	import	0x406d8d	KERNEL32.dll.GetLastError
0x406f70	0x4cb918	string	0x406f62	StartProduct...
0x406fe4	0x4cb938	string	0x406f62	Automatic updates preference is off, code:
0x407023	0x4cb990	string	0x406f62	Last check for updates not expired, code:
0x407047	0x4cb9e8	string	0x406f62	Last installation error not expired, code:
0x407068	0x4cba40	string	0x406f62	Product can start
0x4070ab	0x4cba64	string	0x40709d	InitSession...
0x40711e	0x4cbab8	string	0x40709d	No files in Session, setting NO_UPDATES mode
0x40715f	0x4cbb18	string	0x40709d	None of the updates valid for the current mode, setting NO_UPDATES mode
0x4071ce	0x4b636c	import	0x40709d	KERNEL32.dll.SetLastError
0x4071e8	0x4b6398	import	0x40709d	KERNEL32.dll.GetLastError
0x407268	0x4c9938	string	0x40709d	Acrobat
0x40726d	0x4c9928	string	0x40709d	Reader
0x4072dc	0x4cbba8	string	0x40709d	Update
