reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000b082	0x10002a18	string	0x1000b051	bad allocation
0x1000b132	0x100029fc	string	0x1000b101	bad exception
0x1000b4bb	0x10067194	import	0x1000b477	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000b5ab	0x10067190	import	0x1000b477	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000b5b2	0x10067194	import	0x1000b477	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000b63c	0x10067190	import	0x1000b477	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000b69f	0x10067190	import	0x1000b477	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000b873	0x10067190	import	0x1000b850	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000b8e8	0x100671d8	import	0x1000b890	api-ms-win-crt-runtime-l1-1-0.dll.abort
0x1000b97e	0x100671dc	import	0x1000b935	api-ms-win-crt-runtime-l1-1-0.dll.terminate
0x1000b9fe	0x100671dc	import	0x1000b9b5	api-ms-win-crt-runtime-l1-1-0.dll.terminate
0x1000bbaa	0x10067194	import	0x1000bb30	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000bc8d	0x10067098	import	0x1000bbe0	KERNEL32.dll.RaiseException
0x1000bd2e	0x10067294	import	0x1000bd00	api-ms-win-crt-string-l1-1-0.dll.__strncnt
0x1000bd4f	0x10067294	import	0x1000bd00	api-ms-win-crt-string-l1-1-0.dll.__strncnt
0x1000bd8d	0x10067008	import	0x1000bd00	KERNEL32.dll.GetCPInfo
0x1000be1b	0x10067004	import	0x1000bd00	KERNEL32.dll.MultiByteToWideChar
0x1000be5c	0x10067194	import	0x1000bd00	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000be96	0x10067004	import	0x1000bd00	KERNEL32.dll.MultiByteToWideChar
0x1000beb0	0x10067004	import	0x1000bd00	KERNEL32.dll.MultiByteToWideChar
0x1000beea	0x10067194	import	0x1000bd00	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000bf15	0x10067004	import	0x1000bd00	KERNEL32.dll.MultiByteToWideChar
0x1000bf87	0x10067190	import	0x1000bf71	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000bf9f	0x10067290	import	0x1000bf90	api-ms-win-crt-string-l1-1-0.dll.wcsnlen
0x1000bfb4	0x10067290	import	0x1000bf90	api-ms-win-crt-string-l1-1-0.dll.wcsnlen
0x1000c01e	0x10067294	import	0x1000c000	api-ms-win-crt-string-l1-1-0.dll.__strncnt
0x1000c04a	0x10067004	import	0x1000c000	KERNEL32.dll.MultiByteToWideChar
0x1000c089	0x10067194	import	0x1000c000	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000c0c2	0x10067004	import	0x1000c000	KERNEL32.dll.MultiByteToWideChar
0x1000c14c	0x10067194	import	0x1000c000	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000c193	0x1006700c	import	0x1000c000	KERNEL32.dll.WideCharToMultiByte
0x1000c1ef	0x10067290	import	0x1000c1e0	api-ms-win-crt-string-l1-1-0.dll.wcsnlen
0x1000c25b	0x1000c264	string	0x1000c21b	_^[]
0x1000c2ba	0x10067010	import	0x1000c270	KERNEL32.dll.CompareStringW
0x1000c31d	0x10067018	import	0x1000c2f0	KERNEL32.dll.GetLocaleInfoW
0x1000c37a	0x10067014	import	0x1000c330	KERNEL32.dll.LCMapStringW
0x1000c3f4	0x1006719c	import	0x1000c3f0	api-ms-win-crt-locale-l1-1-0.dll.___lc_codepage_func
0x1000c406	0x1006718c	import	0x1000c3f0	api-ms-win-crt-heap-l1-1-0.dll.calloc
0x1000c417	0x100671b8	import	0x1000c3f0	api-ms-win-crt-locale-l1-1-0.dll.__pctype_func
0x1000c434	0x100671b8	import	0x1000c3f0	api-ms-win-crt-locale-l1-1-0.dll.__pctype_func
0x1000c441	0x100671bc	import	0x1000c3f0	api-ms-win-crt-locale-l1-1-0.dll.___lc_locale_name_func
0x1000c452	0x10067284	import	0x1000c3f0	api-ms-win-crt-string-l1-1-0.dll._wcsdup
0x1000c47f	0x100671bc	import	0x1000c470	api-ms-win-crt-locale-l1-1-0.dll.___lc_locale_name_func
0x1000c488	0x1006719c	import	0x1000c470	api-ms-win-crt-locale-l1-1-0.dll.___lc_codepage_func
0x1000c4ca	0x10067288	import	0x1000c470	api-ms-win-crt-string-l1-1-0.dll.isupper
0x1000c4ef	0x100671b8	import	0x1000c470	api-ms-win-crt-locale-l1-1-0.dll.__pctype_func
0x1000c58f	0x100671bc	import	0x1000c580	api-ms-win-crt-locale-l1-1-0.dll.___lc_locale_name_func
0x1000c598	0x1006719c	import	0x1000c580	api-ms-win-crt-locale-l1-1-0.dll.___lc_codepage_func
0x1000c5da	0x100672a8	import	0x1000c580	api-ms-win-crt-string-l1-1-0.dll.islower
0x1000c5ff	0x100671b8	import	0x1000c580	api-ms-win-crt-locale-l1-1-0.dll.__pctype_func
0x1000c804	0x1006724c	import	0x1000c7fe	api-ms-win-crt-stdio-l1-1-0.dll.fgetc
0x1000c82a	0x10067258	import	0x1000c81f	api-ms-win-crt-stdio-l1-1-0.dll.fputc
0x1000c857	0x100671dc	import	0x1000c83a	api-ms-win-crt-runtime-l1-1-0.dll.terminate
0x1000ca67	0x10067260	import	0x1000ca5a	api-ms-win-crt-stdio-l1-1-0.dll.ungetc
0x1000d4f5	0x10004b2c	string	0x1000d4eb	bad array new length
0x1000d535	0x10004be0	string	0x1000d52b	bad cast
0x1000d8b2	0x10067190	import	0x1000d8a0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000d8bc	0x10067190	import	0x1000d8a0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000d8e2	0x10067190	import	0x1000d8d0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000d8ec	0x10067190	import	0x1000d8d0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000d98b	0x10067190	import	0x1000d950	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000d9e6	0x10067190	import	0x1000d9b0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000d9fa	0x10067190	import	0x1000d9b0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000da0c	0x10067190	import	0x1000d9b0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000da1e	0x10067190	import	0x1000d9b0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000da30	0x10067190	import	0x1000d9b0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000da42	0x10067190	import	0x1000d9b0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000db35	0x10067190	import	0x1000db20	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000db55	0x10067194	import	0x1000db20	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000db95	0x10067190	import	0x1000db80	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000dbbd	0x10067194	import	0x1000db80	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000dbf0	0x10067190	import	0x1000dbe0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000e465	0x100671e0	import	0x1000e446	api-ms-win-crt-runtime-l1-1-0.dll._invalid_parameter_noinfo_noreturn
0x1000ebb4	0x100672d8	import	0x1000ebb0	api-ms-win-crt-time-l1-1-0.dll._Getdays
0x1000ebca	0x10067190	import	0x1000ebb0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000ebda	0x10004c10	string	0x1000ebb0	:Sun:Sunday:Mon:Monday:Tue:Tuesday:Wed:Wednesday:Thu:Thursday:Fri:Friday:Sat:Saturday
0x1000ec44	0x100672c0	import	0x1000ec40	api-ms-win-crt-time-l1-1-0.dll._Getmonths
0x1000ec5a	0x10067190	import	0x1000ec40	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000ec6a	0x10004c68	string	0x1000ec40	:Jan:January:Feb:February:Mar:March:Apr:April:May:May:Jun:June:Jul:July:Aug:August:Sep:September:Oct:October:Nov:November:Dec:December
0x1000ec93	0x100672d4	import	0x1000ec90	api-ms-win-crt-time-l1-1-0.dll._Gettnames
0x1000ed41	0x10067220	import	0x1000ed05	api-ms-win-crt-stdio-l1-1-0.dll._get_stream_buffer_pointers
0x1000f0cd	0x10067190	import	0x1000f0c0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000f0e3	0x10067190	import	0x1000f0c0	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000f1b4	0x100672bc	import	0x1000f1b0	api-ms-win-crt-time-l1-1-0.dll._W_Getdays
