reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001a7e	0x10001a70	string	0x10001a30	;F\bu'
0x10001c52	0x10001c40	string	0x10001c10	;B\bu'
0x10001ef2	0x10001ef8	string	0x10001c10	_^][
0x100020a0	0x10081164	string	0x100020a0	invalid string position
0x100021dd	0x10002243	string	0x100021c0	_^][Y
0x100027c1	0x100027e9	string	0x10002760	yދv\b3 blocks=Basic Latin,Thaana
0x10002860	0x1008117c	string	0x10002860	map/set too long
0x10002870	0x10081190	string	0x10002870	string too long
0x1000294a	0x10002959	string	0x10002890	3ۋD$ blocks=Basic Latin,Arabic
0x10002a54	0x100811a0	string	0x10002a20	bad array new length
0x10003d8f	0x10003eff	string	0x10003d70	]_^[Y
0x10003e19	0x10003e28	string	0x10003d70	3ۋD$ blocks=Basic Latin,Arabic
0x10003eaf	0x10003eff	string	0x10003d70	]_^[Y
0x10003eb4	0x10003eff	string	0x10003d70	]_^[Y
0x10004ac3	0x100740a8	import	0x10004a90	KERNEL32.dll.FreeLibrary
0x10004c7c	0x100740ac	import	0x10004c70	KERNEL32.dll.RaiseException
0x10004cc3	0x100740a4	import	0x10004c90	KERNEL32.dll.CloseHandle
0x10004d53	0x100740a4	import	0x10004d20	KERNEL32.dll.CloseHandle
0x10004dc6	0x10074094	import	0x10004d70	KERNEL32.dll.FindResourceExW
0x10004e4b	0x1007408c	import	0x10004e20	KERNEL32.dll.LoadResource
0x10004e56	0x10074088	import	0x10004e20	KERNEL32.dll.LockResource
0x10004e64	0x10074084	import	0x10004e20	KERNEL32.dll.SizeofResource
0x10004f98	0x10074090	import	0x10004f60	KERNEL32.dll.FindResourceW
0x100050fa	0x10074078	import	0x100050d0	KERNEL32.dll.HeapAlloc
0x1000514f	0x10074074	import	0x10005120	KERNEL32.dll.HeapFree
0x100051d8	0x10074070	import	0x10005170	KERNEL32.dll.HeapReAlloc
0x1000521a	0x1007406c	import	0x100051f0	KERNEL32.dll.HeapSize
0x10005279	0x10074068	import	0x10005240	KERNEL32.dll.HeapDestroy
0x100053fa	0x1007407c	import	0x100053c0	KERNEL32.dll.GetProcessHeap
0x10005739	0x100740b4	import	0x10005680	KERNEL32.dll.GetTempPathW
0x10005952	0x100740b8	import	0x100058e0	KERNEL32.dll.GetTempFileNameW
0x10005bf6	0x100740c0	import	0x100058e0	KERNEL32.dll.MoveFileW
0x10005c40	0x100740bc	import	0x100058e0	KERNEL32.dll.DeleteFileW
0x10005ee5	0x10005f7f	string	0x10005e60	[]_^Y
0x10005fe4	0x10005fe8	string	0x10005f90	+ڍ\fx blocks=Basic Latin,Arabic
0x100060c8	0x10074164	import	0x10006070	KERNEL32.dll.FindClose
0x1000617d	0x100813d4	string	0x10006070	\\?\
0x100061ef	0x100740c8	import	0x10006070	KERNEL32.dll.FindFirstFileW
0x10006207	0x100740cc	import	0x10006070	KERNEL32.dll.GetFullPathNameW
0x1000623d	0x100740cc	import	0x10006070	KERNEL32.dll.GetFullPathNameW
0x100062b9	0x10074164	import	0x10006070	KERNEL32.dll.FindClose
0x100062c7	0x100740d0	import	0x10006070	KERNEL32.dll.SetLastError
0x10006a18	0x100740c8	import	0x100068f0	KERNEL32.dll.FindFirstFileW
0x10006b82	0x100740d8	import	0x100068f0	KERNEL32.dll.GetFileAttributesW
0x10006b96	0x100740dc	import	0x100068f0	KERNEL32.dll.SetFileAttributesW
0x10006baf	0x100740d8	import	0x100068f0	KERNEL32.dll.GetFileAttributesW
