reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001078	0x1400ded38	import	0x140001000	USER32.dll.CharUpperW
0x1400011fb	0x1400ded38	import	0x140001130	USER32.dll.CharUpperW
0x1400012b0	0x1400fde00	string	0x140001130	Memory limit reached (see #MaxMem in the help file).
0x1400014d9	0x1400e4580	string	0x140001130	Out of memory.
0x1400015b0	0x1400fde00	string	0x140001130	Memory limit reached (see #MaxMem in the help file).
0x14000189e	0x1400ded40	import	0x140001820	USER32.dll.IsClipboardFormatAvailable
0x1400018ab	0x1400ded40	import	0x140001820	USER32.dll.IsClipboardFormatAvailable
0x1400018b1	0x1400e1450	string	0x140001820	<<>>
0x140001998	0x1400ded30	import	0x140001980	USER32.dll.GetDlgCtrlID
0x1400019a9	0x1400ded28	import	0x140001980	USER32.dll.GetParent
0x1400019b5	0x1400019c3	string	0x140001980	;^ s
0x1400019ba	0x1400ded30	import	0x140001980	USER32.dll.GetDlgCtrlID
0x140001a08	0x1400ded30	import	0x1400019f0	USER32.dll.GetDlgCtrlID
0x140001a19	0x1400ded28	import	0x1400019f0	USER32.dll.GetParent
0x140001a25	0x140001a33	string	0x1400019f0	;^ s
0x140001a2a	0x1400ded30	import	0x1400019f0	USER32.dll.GetDlgCtrlID
0x140001aee	0x1400de5a8	import	0x140001a70	KERNEL32.dll.GlobalUnlock
0x140001afb	0x1400deb38	import	0x140001a70	USER32.dll.CloseClipboard
0x140001b3f	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001ba7	0x1400ded20	import	0x140001a70	USER32.dll.SetTimer
0x140001c8e	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001ce8	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001d32	0x1400ded18	import	0x140001a70	USER32.dll.GetMessageW
0x140001d41	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001d6c	0x1400dec68	import	0x140001a70	USER32.dll.GetForegroundWindow
0x140001d83	0x1400dec60	import	0x140001a70	USER32.dll.GetWindowThreadProcessId
0x140001dae	0x1400dec58	import	0x140001a70	USER32.dll.GetClassNameW
0x140001dbb	0x1400e1488	string	0x140001a70	#32770
0x140001dd1	0x1400dec50	import	0x140001a70	USER32.dll.GetFocus
0x140001df0	0x1400dec58	import	0x140001a70	USER32.dll.GetClassNameW
0x140001df6	0x1400e1498	string	0x140001a70	SysTreeView32
0x140001e0d	0x1400e14b8	string	0x140001a70	SysListView32
0x140001e52	0x1400dec48	import	0x140001a70	USER32.dll.PeekMessageW
0x140001e79	0x1400dec48	import	0x140001a70	USER32.dll.PeekMessageW
0x140001e9c	0x1400dec48	import	0x140001a70	USER32.dll.PeekMessageW
0x140001efa	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001f4a	0x1400dec48	import	0x140001a70	USER32.dll.PeekMessageW
0x140001f58	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001f85	0x1400de5e0	import	0x140001a70	KERNEL32.dll.Sleep
0x140001fb3	0x1400de5e0	import	0x140001a70	KERNEL32.dll.Sleep
0x140001fcb	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140001fef	0x1400de5e0	import	0x140001a70	KERNEL32.dll.Sleep
0x140002176	0x1400dec50	import	0x140001a70	USER32.dll.GetFocus
0x1400021c9	0x1400dec38	import	0x140001a70	USER32.dll.TranslateAcceleratorW
0x1400022bb	0x1400dec30	import	0x140001a70	USER32.dll.GetKeyState
0x1400022e8	0x1400dec28	import	0x140001a70	USER32.dll.GetWindowLongW
0x140002359	0x1400dec20	import	0x140001a70	USER32.dll.IsWindowEnabled
0x140002377	0x1400dec30	import	0x140001a70	USER32.dll.GetKeyState
0x1400023d9	0x1400dec30	import	0x140001a70	USER32.dll.GetKeyState
0x1400023f2	0x1400dec30	import	0x140001a70	USER32.dll.GetKeyState
0x140002456	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x140002476	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x1400024bb	0x1400deb50	import	0x140001a70	USER32.dll.PostMessageW
0x1400024f6	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x140002514	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x14000258e	0x1400deba0	import	0x140001a70	USER32.dll.IsDialogMessageW
0x1400026ed	0x1400deb80	import	0x140001a70	USER32.dll.ShowWindow
0x1400028c6	0x1400deb80	import	0x140001a70	USER32.dll.ShowWindow
0x140002991	0x1400de7f8	import	0x140001a70	SHELL32.dll.DragQueryFileW
0x1400029dc	0x1400de7f0	import	0x140001a70	SHELL32.dll.DragFinish
0x140002a28	0x1400dec68	import	0x140001a70	USER32.dll.GetForegroundWindow
0x140002a3f	0x1400dec60	import	0x140001a70	USER32.dll.GetWindowThreadProcessId
0x140002a61	0x1400dec58	import	0x140001a70	USER32.dll.GetClassNameW
0x140002a6e	0x1400e1488	string	0x140001a70	#32770
0x140002a9f	0x1400deba0	import	0x140001a70	USER32.dll.IsDialogMessageW
0x140002acf	0x1400de5d8	import	0x140001a70	KERNEL32.dll.SetCurrentDirectoryW
0x140002b17	0x1400dec38	import	0x140001a70	USER32.dll.TranslateAcceleratorW
0x140002b69	0x1400deb78	import	0x140001a70	USER32.dll.TranslateMessage
0x140002b74	0x1400deb70	import	0x140001a70	USER32.dll.DispatchMessageW
0x140002bea	0x140002bd7	string	0x140001a70	E9l$(t
0x140002f72	0x140002ef2	string	0x140001a70	D8{(tiD8=7:
0x14000300e	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x1400030d0	0x1400de7f0	import	0x140001a70	SHELL32.dll.DragFinish
0x1400031a6	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x14000324c	0x1400de5e8	import	0x140001a70	KERNEL32.dll.GetTickCount
0x140003361	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x140003377	0x1400deb98	import	0x140001a70	USER32.dll.ScreenToClient
0x14000338c	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x1400033af	0x1400dec18	import	0x140001a70	USER32.dll.SendMessageW
0x1400033c9	0x1400decc8	import	0x140001a70	USER32.dll.GetWindowRect
0x14000351c	0x1400de5f0	import	0x140001a70	KERNEL32.dll.MulDiv
0x14000356a	0x1400decc8	import	0x140001a70	USER32.dll.GetWindowRect
