reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40100f	0x4c5120	import	0x401000	USER32.dll.LoadIconA
0x401021	0x4c5000	import	0x401000	ADVAPI32.dll.RegQueryValueExW
0x40103f	0x4c5088	import	0x401000	KERNEL32.dll.GetModuleHandleA
0x404c13	0x4c5078	import	0x404bf0	KERNEL32.dll.SetErrorMode
0x404ef7	0x4c5120	import	0x404ee0	USER32.dll.LoadIconA
0x404f80	0x4c5008	import	0x404f80	ADVAPI32.dll.RegOpenKeyW
0x407a80	0x407a85	string	0x4053d8	\e[ڣ# blocks=Basic Latin,Arabic
0x40828a	0x4082bc	string	0x4053d8	`H< l
0x408618	0x40861b	string	0x4053d8	i`A[i&AC
0x408c9d	0x408d15	string	0x4053d8	;Lf)
0x409698	0x40965a	string	0x4053d8	K(,\K
0x409aff	0x409b2d	string	0x4053d8	qTYb
0x409bc1	0x409bfe	string	0x4053d8	ԡ黟d) blocks=Cyrillic Supplement,CJK Unified Ideographs,Basic Latin
0x40a17c	0x40a1e2	string	0x4053d8	[¥c[ blocks=Basic Latin,Latin-1 Supplement
0x40abe8	0x40ac53	string	0x4053d8	Xj_cYl\b1
0x40b5e4	0x40b57a	string	0x4053d8	KdhS
0x40bb99	0x40bb71	string	0x4053d8	{VY0IN
0x40da95	0x40da66	string	0x4053d8	LZ%Ԧ blocks=Basic Latin,Cyrillic Supplement
0x40dc9e	0x40dced	string	0x4053d8	{OY
0x40e759	0x40e717	string	0x4053d8	ap?}
