reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40100f	0x4c5118	import	0x401000	USER32.dll.LoadIconA
0x401021	0x4c5000	import	0x401000	ADVAPI32.dll.RegQueryValueExW
0x40103f	0x4c5090	import	0x401000	KERNEL32.dll.GetModuleHandleA
0x404c13	0x4c5088	import	0x404bf0	KERNEL32.dll.SetErrorMode
0x404ef7	0x4c5118	import	0x404ee0	USER32.dll.LoadIconA
0x404f80	0x4c5008	import	0x404f80	ADVAPI32.dll.RegOpenKeyW
0x407ab0	0x407ab5	string	0x405408	\e[ڣ# blocks=Basic Latin,Arabic
0x4082ba	0x4082ec	string	0x405408	`H< l
0x408648	0x40864b	string	0x405408	i`A[i&AC
0x408ccd	0x408d45	string	0x405408	;Lf)
0x4096c8	0x40968a	string	0x405408	K(,\K
0x409b2f	0x409b5d	string	0x405408	qTYb
0x409bf1	0x409c2e	string	0x405408	ԡ黟d) blocks=Cyrillic Supplement,CJK Unified Ideographs,Basic Latin
0x40a1ac	0x40a212	string	0x405408	[¥c[ blocks=Basic Latin,Latin-1 Supplement
0x40ac18	0x40ac83	string	0x405408	Xj_cYl\b1
0x40b614	0x40b5aa	string	0x405408	KdhS
0x40bbc9	0x40bba1	string	0x405408	{VY0IN
0x40dac5	0x40da96	string	0x405408	LZ%Ԧ blocks=Basic Latin,Cyrillic Supplement
0x40dcce	0x40dd1d	string	0x405408	{OY
0x40e789	0x40e747	string	0x405408	ap?}
