reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x44ca18	0x4528ac	import	0x44c9b0	USER32.dll.GetKeyState
0x44cb42	0x452154	string	0x44caf0	kernel32
0x44cb47	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb4d	0x452160	string	0x44caf0	kernel32
0x44cb52	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb58	0x45216c	string	0x44caf0	kernel32
0x44cb5d	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb63	0x452178	string	0x44caf0	kernel32
0x44cb68	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb6e	0x452184	string	0x44caf0	kernel32
0x44cb73	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb79	0x452190	string	0x44caf0	kernel32
0x44cb7e	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb84	0x45219c	string	0x44caf0	kernel32
0x44cb89	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44cb8f	0x4521a8	string	0x44caf0	kernel32
0x44cb94	0x45266c	import	0x44caf0	KERNEL32.dll.LoadLibraryA
0x44ccb0	0x4528ac	import	0x44cc30	USER32.dll.GetKeyState
0x44ccba	0x452928	import	0x44cc30	GDI32.dll.GetStretchBltMode
0x44cd46	0x4521b4	string	0x44cd40	55GVf9VAMqauOo0b24JxJgxSub9jbyfIjeseTShU0utyv5HA
0x44cd53	0x45292c	import	0x44cd40	GDI32.dll.GetEnhMetaFileBits
0x44cd59	0x45264c	import	0x44cd40	KERNEL32.dll.GetLastError
0x44d1be	0x45292c	import	0x44cd40	GDI32.dll.GetEnhMetaFileBits
0x44d1c4	0x45264c	import	0x44cd40	KERNEL32.dll.GetLastError
0x44d1e6	0x452944	import	0x44cd40	ADVAPI32.dll.RegOpenKeyA
0x44d269	0x4521e8	string	0x44d260	33vapi32
0x44d27d	0x4521f4	string	0x44d260	RegQueryValueExA
0x44d286	0x45266c	import	0x44d260	KERNEL32.dll.LoadLibraryA
0x44d28d	0x452664	import	0x44d260	KERNEL32.dll.GetProcAddress
0x44d298	0x452208	string	0x44d260	VirtualAlloc
0x44d29d	0x452218	string	0x44d260	kernel32
0x44d2a2	0x45266c	import	0x44d260	KERNEL32.dll.LoadLibraryA
0x44d2a9	0x452664	import	0x44d260	KERNEL32.dll.GetProcAddress
0x44d2b4	0x452224	string	0x44d260	GetModuleHandleW
0x44d2b9	0x452238	string	0x44d260	kernel32
0x44d2be	0x45266c	import	0x44d260	KERNEL32.dll.LoadLibraryA
0x44d2c5	0x452664	import	0x44d260	KERNEL32.dll.GetProcAddress
0x44d4f2	0x4528b0	import	0x44d410	USER32.dll.GetClipboardData
