reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401a71	0x401a7f	string	0x4017a0	j\rh9
0x405565	0x40556e	string	0x405390	t桜\vC blocks=Basic Latin,CJK Unified Ideographs
0x406c83	0x406ca9	string	0x4068c0	j(h_
0x407d4b	0x407d54	string	0x4068c0	u-ff
0x4080c8	0x42810c	import	0x4068c0	USER32.dll.wsprintfW
0x40f459	0x40f83f	string	0x40eef0	j3hz
0x40fbaf	0x40fbd9	string	0x40eef0	j3hz
0x40fbbb	0x40fbd9	string	0x40eef0	j3hz
0x40fe72	0x428000	import	0x40eef0	KERNEL32.dll.CloseHandle
0x40fedc	0x4273d0	string	0x40fe90	WVS3
0x40fefb	0x4273d0	string	0x40fe90	WVS3
0x40ff2d	0x4273d0	string	0x40fe90	WVS3
0x40ff5e	0x4273d0	string	0x40fe90	WVS3
0x40ff7c	0x4273d0	string	0x40fe90	WVS3
0x40ffb4	0x4273d0	string	0x40fe90	WVS3
0x40ffec	0x4273d0	string	0x40fe90	WVS3
0x410021	0x4273d0	string	0x40fe90	WVS3
0x410061	0x4273d0	string	0x40fe90	WVS3
0x410081	0x4273d0	string	0x40fe90	WVS3
0x4100c7	0x4273d0	string	0x40fe90	WVS3
0x4100fe	0x4273d0	string	0x40fe90	WVS3
0x4104a6	0x4108bf	string	0x410460	j3hz
0x4104cd	0x4108bf	string	0x410460	j3hz
0x4105ac	0x4108bf	string	0x410460	j3hz
0x41081f	0x42f088	string	0x410460	.NEFHC
0x414a50	0x42cbe0	string	0x414a50	string too long
0x415bb1	0x42f088	string	0x4157d0	.NEFHC
0x4167ed	0x428104	import	0x415f80	SHLWAPI.dll.PathIsDirectoryW
0x41712b	0x417156	string	0x417080	j4hN9
0x41717b	0x428004	import	0x417080	KERNEL32.dll.GetLocalTime
0x4172ec	0x42810c	import	0x417080	USER32.dll.wsprintfW
0x419734	0x419700	string	0x4196c0	j+huL
0x419755	0x419a4c	string	0x4196c0	j`hC
0x419d6e	0x419aa0	string	0x419a80	j4hN9
0x419de0	0x419e27	string	0x419d80	j4hN9
0x419e0b	0x419e27	string	0x419d80	j4hN9
0x41ba75	0x41ba8c	string	0x41ba10	j=hZg
0x41bb1c	0x41bad0	string	0x41ba10	j4hN9
0x41bb77	0x41bad0	string	0x41ba10	j4hN9
0x41bced	0x41bd04	string	0x41bca0	j4hN9
0x41bec5	0x42818c	string	0x41bebb	bad allocation
0x41bfee	0x42816c	string	0x41bfc7	Unknown exception
0x41c00a	0x428018	import	0x41c005	KERNEL32.dll.SetUnhandledExceptionFilter
0x41c013	0x428014	import	0x41c005	KERNEL32.dll.UnhandledExceptionFilter
0x41c01e	0x42801c	import	0x41c005	KERNEL32.dll.GetCurrentProcess
0x41c025	0x428020	import	0x41c005	KERNEL32.dll.TerminateProcess
0x41c643	0x41c3af	string	0x41c4c3	j\bhP
0x41c669	0x41c3af	string	0x41c4c3	j\bhP
0x41c76b	0x4281d0	string	0x41c761	bad array new length
0x41ca36	0x428028	import	0x41c95f	KERNEL32.dll.IsDebuggerPresent
0x41ca56	0x428018	import	0x41c95f	KERNEL32.dll.SetUnhandledExceptionFilter
0x41ca60	0x428014	import	0x41c95f	KERNEL32.dll.UnhandledExceptionFilter
0x41ca93	0x42802c	import	0x41ca79	KERNEL32.dll.GetStartupInfoW
0x41cab4	0x428030	import	0x41cab2	KERNEL32.dll.GetModuleHandleW
0x41cafa	0x428018	import	0x41caf5	KERNEL32.dll.SetUnhandledExceptionFilter
0x41cbbe	0x428040	import	0x41cbab	KERNEL32.dll.GetSystemTimeAsFileTime
0x41cbcd	0x42803c	import	0x41cbab	KERNEL32.dll.GetCurrentThreadId
0x41cbd6	0x428038	import	0x41cbab	KERNEL32.dll.GetCurrentProcessId
0x41cbe3	0x428034	import	0x41cbab	KERNEL32.dll.QueryPerformanceCounter
0x41cc4f	0x428044	import	0x41cc4a	KERNEL32.dll.InitializeSListHead
0x41cdf5	0x428048	import	0x41cd95	KERNEL32.dll.RaiseException
0x41cf0b	0x41d5c0	string	0x41ce90	UVWS
0x41d206	0x42805c	import	0x41d1f0	KERNEL32.dll.DeleteCriticalSection
0x41d25a	0x42807c	import	0x41d21f	KERNEL32.dll.LoadLibraryExW
0x41d266	0x42804c	import	0x41d21f	KERNEL32.dll.GetLastError
0x41d273	0x4282e0	string	0x41d21f	api-ms-
0x41d287	0x4282f0	string	0x41d21f	ext-ms-
0x41d29c	0x42807c	import	0x41d21f	KERNEL32.dll.LoadLibraryExW
0x41d2c2	0x428074	import	0x41d21f	KERNEL32.dll.FreeLibrary
0x41d329	0x428078	import	0x41d2e3	KERNEL32.dll.GetProcAddress
0x41d356	0x428308	string	0x41d352	FlsAlloc
0x41d360	0x428308	string	0x41d352	FlsAlloc
0x41d391	0x42831c	string	0x41d38d	FlsFree
0x41d39b	0x42831c	string	0x41d38d	FlsFree
0x41d3bf	0x428070	import	0x41d38d	KERNEL32.dll.TlsFree
0x41d3cc	0x42832c	string	0x41d3c8	FlsSetValue
0x41d3d6	0x42832c	string	0x41d3c8	FlsSetValue
0x41d3fd	0x42806c	import	0x41d3c8	KERNEL32.dll.TlsSetValue
0x41d40a	0x428340	string	0x41d406	InitializeCriticalSectionEx
0x41d414	0x428340	string	0x41d406	InitializeCriticalSectionEx
0x41d43c	0x41d44a	string	0x41d406	^]ùD blocks=Basic Latin,Latin-1 Supplement
0x41d444	0x428060	import	0x41d406	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x41d491	0x428074	import	0x41d476	KERNEL32.dll.FreeLibrary
0x41d5fd	0x41d609	string	0x41d5f4	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x41d603	0x428080	import	0x41d5f4	KERNEL32.dll.RtlUnwind
0x41d69b	0x41d6a9	string	0x41d690	]_^[
0x41d6a3	0x428080	import	0x41d690	KERNEL32.dll.RtlUnwind
0x41e4e4	0x428028	import	0x41e3ec	KERNEL32.dll.IsDebuggerPresent
0x41e4ee	0x428018	import	0x41e3ec	KERNEL32.dll.SetUnhandledExceptionFilter
0x41e4fb	0x428014	import	0x41e3ec	KERNEL32.dll.UnhandledExceptionFilter
0x41e5c9	0x428024	import	0x41e5c7	KERNEL32.dll.IsProcessorFeaturePresent
0x41e5ec	0x42801c	import	0x41e5c7	KERNEL32.dll.GetCurrentProcess
0x41e5f3	0x428020	import	0x41e5c7	KERNEL32.dll.TerminateProcess
0x41e801	0x41e845	string	0x41e7e3	j\bh\b
0x41e976	0x41e7e3	string	0x41e928	j\bh(
0x41e9b0	0x42801c	import	0x41e98e	KERNEL32.dll.GetCurrentProcess
0x41e9b7	0x428020	import	0x41e98e	KERNEL32.dll.TerminateProcess
0x41e9c9	0x428084	import	0x41e98e	KERNEL32.dll.ExitProcess
0x41e9e5	0x428088	import	0x41e9d0	KERNEL32.dll.GetModuleHandleExW
0x41e9f0	0x428bb4	string	0x41e9d0	CorExitProcess
0x41e9f8	0x428078	import	0x41e9d0	KERNEL32.dll.GetProcAddress
0x41ea1b	0x428074	import	0x41e9d0	KERNEL32.dll.FreeLibrary
0x41f283	0x41ef9e	string	0x41f25d	j\fhh
0x41f2e1	0x41efef	string	0x41f2b5	j\fhH
0x41f4d2	0x41f4ef	string	0x41f4ac	< w\aF
0x41f4f8	0x41f4ef	string	0x41f4ac	< w\aF
0x41f550	0x41f569	string	0x41f546	;u\fu
0x41f564	0x41f570	string	0x41f546	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41f7f8	0x428024	import	0x41f7dc	KERNEL32.dll.IsProcessorFeaturePresent
0x41f9aa	0x428098	import	0x41f978	KERNEL32.dll.HeapAlloc
0x41f9dc	0x42809c	import	0x41f9c6	KERNEL32.dll.HeapFree
0x41f9ee	0x42804c	import	0x41f9c6	KERNEL32.dll.GetLastError
0x41fca3	0x41fa48	string	0x41fc00	j\bh\b
0x41fcc6	0x41faa9	string	0x41fc00	j\bh(
0x41fd1f	0x42804c	import	0x41fd1a	KERNEL32.dll.GetLastError
0x41fd92	0x41fda5	string	0x41fd1a	h\\vC
0x41fdbd	0x428050	import	0x41fd1a	KERNEL32.dll.SetLastError
0x41fe3d	0x41fe4e	string	0x41fdd7	h\\vC
0x41fe76	0x42804c	import	0x41fe71	KERNEL32.dll.GetLastError
