reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401ab1	0x401abf	string	0x4017e0	j\rh9
0x405495	0x40549e	string	0x4052c0	t桜\vC blocks=Basic Latin,CJK Unified Ideographs
0x406bb3	0x406bd9	string	0x4067f0	j(h_
0x407c7a	0x407c83	string	0x4067f0	u.fff
0x407ff8	0x428104	import	0x4067f0	USER32.dll.wsprintfW
0x40f3a9	0x40f78f	string	0x40ee40	j3hz
0x40faff	0x40fb29	string	0x40ee40	j3hz
0x40fb0b	0x40fb29	string	0x40ee40	j3hz
0x40fdc2	0x428000	import	0x40ee40	KERNEL32.dll.CloseHandle
0x40fe2c	0x427650	string	0x40fde0	WVS3
0x40fe4b	0x427650	string	0x40fde0	WVS3
0x40fe7d	0x427650	string	0x40fde0	WVS3
0x40feae	0x427650	string	0x40fde0	WVS3
0x40fecc	0x427650	string	0x40fde0	WVS3
0x40ff04	0x427650	string	0x40fde0	WVS3
0x40ff3c	0x427650	string	0x40fde0	WVS3
0x40ff71	0x427650	string	0x40fde0	WVS3
0x40ffb1	0x427650	string	0x40fde0	WVS3
0x40ffd1	0x427650	string	0x40fde0	WVS3
0x410017	0x427650	string	0x40fde0	WVS3
0x41004e	0x427650	string	0x40fde0	WVS3
0x4103f6	0x41080f	string	0x4103b0	j3hz
0x41041d	0x41080f	string	0x4103b0	j3hz
0x4104fc	0x41080f	string	0x4103b0	j3hz
0x41076f	0x42f088	string	0x4103b0	.VRAXL
0x414e80	0x42cbe0	string	0x414e80	string too long
0x415fe1	0x42f088	string	0x415c00	.VRAXL
0x4173db	0x417406	string	0x417330	j4hN9
0x41742b	0x428004	import	0x417330	KERNEL32.dll.GetLocalTime
0x41759c	0x428104	import	0x417330	USER32.dll.wsprintfW
0x4199b4	0x419980	string	0x419940	j+huL
0x4199d5	0x419ccc	string	0x419940	j`hC
0x419fee	0x419d20	string	0x419d00	j4hN9
0x41a060	0x41a0a7	string	0x41a000	j4hN9
0x41a08b	0x41a0a7	string	0x41a000	j4hN9
0x41bcf5	0x41bd0c	string	0x41bc90	j=hZg
0x41bd9c	0x41bd50	string	0x41bc90	j4hN9
0x41bdf7	0x41bd50	string	0x41bc90	j4hN9
0x41bf6d	0x41bf84	string	0x41bf20	j4hN9
0x41c145	0x42818c	string	0x41c13b	bad allocation
0x41c26e	0x42816c	string	0x41c247	Unknown exception
0x41c28a	0x428014	import	0x41c285	KERNEL32.dll.SetUnhandledExceptionFilter
0x41c293	0x428010	import	0x41c285	KERNEL32.dll.UnhandledExceptionFilter
0x41c29e	0x428018	import	0x41c285	KERNEL32.dll.GetCurrentProcess
0x41c2a5	0x42801c	import	0x41c285	KERNEL32.dll.TerminateProcess
0x41c8c3	0x41c62f	string	0x41c743	j\bhP
0x41c8e9	0x41c62f	string	0x41c743	j\bhP
0x41c9eb	0x4281d0	string	0x41c9e1	bad array new length
