reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401382	0x41335c	string	0x401300	%X%X
0x401393	0x4131c4	import	0x401300	SHLWAPI.dll.wnsprintfA
0x401405	0x4064f4	string	0x401300	;\rرA blocks=Basic Latin,Arabic
0x40156d	0x401606	string	0x401560	hl3A
0x401662	0x401728	string	0x401650	h|3A
0x40167c	0x401732	string	0x401650	hl3A
0x401691	0x40173c	string	0x401650	hl3A
0x4017c2	0x401861	string	0x401750	hl3A
0x4017d7	0x40186b	string	0x401750	hl3A
0x401893	0x401982	string	0x401880	h|3A
0x4018ac	0x40198c	string	0x401880	h|3A
0x4018f0	0x401996	string	0x401880	hl3A
0x401a1c	0x401a9c	string	0x4019b0	hl3A
0x401cdf	0x401d5f	string	0x401cd0	h|3A
0x401e2b	0x413014	import	0x401d70	ADVAPI32.dll.RegOpenKeyA
0x401e52	0x413010	import	0x401d70	ADVAPI32.dll.RegQueryValueExA
0x401e5e	0x413018	import	0x401d70	ADVAPI32.dll.RegCloseKey
0x401eb0	0x4064f4	string	0x401d70	;\rرA blocks=Basic Latin,Arabic
0x401efe	0x4130b0	import	0x401ec0	KERNEL32.dll.GetComputerNameA
0x401f42	0x4064f4	string	0x401ec0	;\rرA blocks=Basic Latin,Arabic
0x402014	0x413014	import	0x401f50	ADVAPI32.dll.RegOpenKeyA
0x402045	0x413010	import	0x401f50	ADVAPI32.dll.RegQueryValueExA
0x402051	0x413018	import	0x401f50	ADVAPI32.dll.RegCloseKey
0x4020a0	0x4064f4	string	0x401f50	;\rرA blocks=Basic Latin,Arabic
0x40217f	0x413014	import	0x4020b0	ADVAPI32.dll.RegOpenKeyA
0x4021b0	0x413010	import	0x4020b0	ADVAPI32.dll.RegQueryValueExA
0x4021bc	0x413018	import	0x4020b0	ADVAPI32.dll.RegCloseKey
0x402210	0x4064f4	string	0x4020b0	;\rرA blocks=Basic Latin,Arabic
0x402271	0x4130b8	import	0x402220	KERNEL32.dll.GetVolumeInformationA
0x402285	0x4131c4	import	0x402220	SHLWAPI.dll.wnsprintfA
0x4022cd	0x4064f4	string	0x402220	;\rرA blocks=Basic Latin,Arabic
0x4022fc	0x4132e8	string	0x4022e0	unknown error
0x402377	0x413320	string	0x402350	iostream stream error
0x4023bc	0x4132e8	string	0x4023a0	unknown error
0x402410	0x4132e0	string	0x4023a0	generic
0x402484	0x413668	string	0x402440	RunAYExec
0x40248f	0x413044	import	0x402440	KERNEL32.dll.CreateEventA
0x40249c	0x413024	import	0x402440	KERNEL32.dll.ResetEvent
0x4024d7	0x4131a0	import	0x4024d0	OLEAUT32.dll.VariantClear
0x4024de	0x4131a4	import	0x4024d0	OLEAUT32.dll.VariantCopy
0x402508	0x4131a0	import	0x402500	OLEAUT32.dll.VariantClear
0x402516	0x4131a4	import	0x402500	OLEAUT32.dll.VariantCopy
