reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40118b	0x5172ac	import	0x40115c	KERNEL32.dll.Sleep
0x401223	0x5172a8	import	0x40115c	KERNEL32.dll.SetUnhandledExceptionFilter
0x401433	0x517274	import	0x40115c	KERNEL32.dll.GetStartupInfoA
0x4014e9	0x4cc000	string	0x4014e0	libgcc_s_dw2-1.dll
0x4014f0	0x51725c	import	0x4014e0	KERNEL32.dll.GetModuleHandleA
0x4014ff	0x4cc000	string	0x4014e0	libgcc_s_dw2-1.dll
0x401506	0x517290	import	0x4014e0	KERNEL32.dll.LoadLibraryA
0x40150c	0x517268	import	0x4014e0	KERNEL32.dll.GetProcAddress
0x40151a	0x4cc013	string	0x4014e0	__register_frame_info
0x40152c	0x4cc029	string	0x4014e0	__deregister_frame_info
0x4015b4	0x517240	import	0x401590	KERNEL32.dll.FreeLibrary
0x4015dc	0x4cc044	string	0x401590	hJYcJVZyyjDssRgTsoTuPmTB5z4KGRqdnMeIqF0fO9X0zHp2QvWkRFNhv77JufugoSGpZswnQKlKtY8Fnq14jz1lyb
0x4016d3	0x517294	import	0x401685	KERNEL32.dll.MultiByteToWideChar
0x40172e	0x517294	import	0x401685	KERNEL32.dll.MultiByteToWideChar
0x4017c2	0x4cc0ca	string	0x401685	kwzrjfldjxiiwgfo
0x4017f2	0x4cc0db	string	0x401685	lprgvlybnochmq
0x401832	0x4cc0ea	string	0x401685	khbjcdsgkdssyeupkcmn
0x401874	0x4cc0ff	string	0x401685	zhtpokschdanbhuyl
0x4018a7	0x4cc111	string	0x401685	lnzvgsnrtygdxnwrgmosyhtkma
0x4018eb	0x4cc12c	string	0x401685	fuafscavevndhqt
0x40192f	0x4cc13c	string	0x401685	iztlprdgeplmvtblggpmrjqotkflzdqbfozrwgbwtiabibtrygokjhqdmdsmfywmftwlwhwrytgndxxoggqygcxshmdytqgzjidb
0x401973	0x4cc1a1	string	0x401685	qojjvmlccfkpuepepyrstoovfz
0x4019d0	0x4cc1bc	string	0x401685	fcjdcrfw
0x401a02	0x4cc1c5	string	0x401685	ouzrhodxadvmcy
0x401a52	0x4cc1d4	string	0x401685	onvrzvaczkjiahdnerngkwpbyawxoujolojsqupirmkpvqsdnjsnyxkljxsmlkyxzxwiwtoudiqkdmxhpq
0x401aa6	0x4cc228	string	0x401685	ynejdxbmajxajpquawjkuoilobcitpj
0x401af4	0x4cc248	string	0x401685	llyomllinxkchxsftznxmtotptxmhjsqbrlnrrehhmmbsphzrhwvxmbqxedngdurhlktogubnvhwedmlactbxfaswrimwlzvx
0x401b50	0x4cc2ac	string	0x401685	ykwwlponihwgjuhazodyoavlvvycig
0x401baa	0x4cc2cc	string	0x401b8e	ghjbqerntisapeyhhaslbhckabdriccwqkqadfgdlxeyjandgjdxkepvxnterhvwhauupsbjceibcskf
0x401bce	0x4cc31d	string	0x401b8e	xsodygkezdubqcbfl
0x401c32	0x4cc330	string	0x401c16	ugheuxvjbupvzzlyrcxincgoqqdpekzfuiwsaluxhlgfbclniwsdwkxqfojnrd
0x401c56	0x4cc36f	string	0x401c16	nrln
0x401ce6	0x4cc375	string	0x401c9e	hqbqcitbqw
0x401d48	0x4cc380	string	0x401d2e	umjydgcexzupkyjffiigaclxjfxxehqbldyuywbzdmewqzzdpmghdksyugbeacmw
0x401d6d	0x4cc3c4	string	0x401d2e	wogjegfqvlftphzoruzywhjitmbkwuabs
0x401e0b	0x4cc3e8	string	0x401dcc	ebvdaovgjjhmivjrckvhrfvjcfvezhkpztiavczjoapljjlzdzjxxtywsgrnffvbo
0x401e86	0x4cc42c	string	0x401e6a	lbaushxrincdiminbdfoxcsxnuzdxevpjohybuvbufljtncblkuhfitswiefgdnhlfzxijgtnsbxcunbizvgjymbitnydjsrqiw
0x401eab	0x4cc490	string	0x401e6a	zorkpjfwamdavowyairurvpgjaajpdhqxjabfnkevbibwfzvzbvixvoslpyggqiwo
0x401f5c	0x4cc4d5	string	0x401f40	vidubkbfgpejimklivfbqmm
0x401f81	0x4cc4f0	string	0x401f40	xuglcbwffmwlaxepxdaqjfyndcojvmsyclydfutioyxe
0x401fad	0x4cc51d	string	0x401f40	devotrhnlhhxfpelwpy
0x402038	0x4cc531	string	0x40201e	finaqo
