reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010b9	0x401291	string	0x401000	3*_^Y
0x4010e3	0x401291	string	0x401000	3*_^Y
0x40123d	0x401291	string	0x401000	3*_^Y
0x40140e	0x401468	string	0x4013da	_^ZY[X]
0x40142b	0x401468	string	0x4013da	_^ZY[X]
0x401447	0x401468	string	0x4013da	_^ZY[X]
0x401464	0x401468	string	0x4013da	_^ZY[X]
0x4014a6	0x401513	string	0x401472	_^ZY[X]
0x4014c9	0x401513	string	0x401472	_^ZY[X]
0x4014ea	0x401513	string	0x401472	_^ZY[X]
0x40150d	0x401513	string	0x401472	_^ZY[X]
0x4016ad	0x4016c6	string	0x401582	]+}\f
0x40170a	0x401713	string	0x4016d5	_^ZY[]
0x401799	0x4017a1	string	0x40171c	_^ZY[]
0x401b9a	0x401c0b	string	0x401b81	_^ZY[
0x401dcb	0x401e04	string	0x401d9e	_^ZY[
0x401def	0x401e04	string	0x401d9e	_^ZY[
0x401df9	0x401e04	string	0x401d9e	_^ZY[
0x402041	0x40200f	string	0x402039	SQVW
0x402078	0x40200f	string	0x402068	SQVW
0x4020e1	0x40245c	string	0x40209c	_^ZY[
0x402444	0x40245c	string	0x40209c	_^ZY[
0x402c8d	0x402d33	string	0x402c69	_^ZY[
0x402cee	0x41073c	string	0x402c69	%u/%u|
0x40310c	0x402d96	string	0x40301c	SQRVW
0x40327c	0x4012a4	string	0x4031ee	UVWS
0x4032d0	0x40200f	string	0x4031ee	SQVW
0x4032ff	0x403306	string	0x4031ee	jjjj
0x403674	0x403687	string	0x403573	_^ZY[
0x4037ac	0x4037bf	string	0x403690	_^ZY[
0x4038a1	0x403909	string	0x40380c	_^ZY[
0x403e72	0x403f55	string	0x403e63	_^ZY[
0x403ea3	0x403f55	string	0x403e63	_^ZY[
0x403f88	0x40402c	string	0x403f60	_^ZY[
0x403fb4	0x40402c	string	0x403f60	_^ZY[
0x4040bd	0x40be18	string	0x404037	fd}x2
0x404149	0x40424a	string	0x404037	_^ZY[
0x404180	0x40424a	string	0x404037	_^ZY[
0x4041f4	0x40424a	string	0x404037	_^ZY[
0x404234	0x40424a	string	0x404037	_^ZY[
0x404801	0x40480e	string	0x404255	_^ZY[
0x404c1e	0x404c29	string	0x404b67	_^ZY[
0x404dbe	0x404dd1	string	0x404c7b	_^ZY[
0x404f1f	0x40511c	string	0x404eeb	_^ZY[
0x4051d9	0x4051e0	string	0x4051c6	_^ZY[
0x40520a	0x405252	string	0x4051e6	_^ZY[
0x40527a	0x40535d	string	0x40525b	_^ZY[
0x4052f5	0x40535d	string	0x40525b	_^ZY[
0x4054b8	0x405645	string	0x405490	_^ZY[
0x4054d8	0x405645	string	0x405490	_^ZY[
0x40555e	0x405645	string	0x405490	_^ZY[
0x405ac2	0x405b06	string	0x405a9c	_^ZY[
0x405ada	0x405b06	string	0x405a9c	_^ZY[
0x4065a5	0x4065ab	string	0x406245	RPWV
0x4067d5	0x406afc	string	0x4067ad	_^ZY[
0x4067f5	0x406afc	string	0x4067ad	_^ZY[
0x40689e	0x406afc	string	0x4067ad	_^ZY[
0x406bd3	0x406dba	string	0x406b07	_^ZY[
0x406bf9	0x406dba	string	0x406b07	_^ZY[
0x406daa	0x406dba	string	0x406b07	_^ZY[
0x406de9	0x406e36	string	0x406dc5	_^ZY[
0x406f41	0x406f49	string	0x406e3f	_^ZY[
0x407128	0x4107b8	string	0x4070e9	\\%s\
0x407386	0x4073c1	string	0x4072cc	_^ZY[
0x40749b	0x4051c6	string	0x4072cc	SQRVW
0x407943	0x407dac	string	0x407931	_^ZY[
0x4079b6	0x4079f1	string	0x407931	_^ZY[
0x407ef6	0x40182a	string	0x407eb9	SQRVW
0x407f07	0x40289b	string	0x407eb9	PSQRVW
0x407f0c	0x401f0f	string	0x407eb9	SQRVWd
0x407faf	0x407fbb	string	0x407eb9	h8\tA
0x40821d	0x409008	import	0x40821d	KERNEL32.DLL.ExitProcess
0x408223	0x409000	import	0x408223	KERNEL32.DLL.GetProcAddress
0x408229	0x409004	import	0x408229	KERNEL32.DLL.LoadLibraryA
