reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401a4a	0x401a55	string	0x4016a0	1\tKD$$
0x404cef	0x404e11	string	0x404ca0	H9P@
0x40ae8d	0x40ae92	string	0x40ade0	H9A8vEH
0x40b315	0x6e6220	string	0x40af40	!"#$%%&&''((()))*++,,,,,------....//////0001123333333333444444444455666677777888888888889999999999::::::;;;;;;;;;;;;;;;;<<<<<<<<<<<<<<<<=====>>>>>>>>>>>??????????@@@@@@@@@@@@@@@@@@@@@@AAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
0x40c71a	0x6e6220	string	0x40c660	!"#$%%&&''((()))*++,,,,,------....//////0001123333333333444444444455666677777888888888889999999999::::::;;;;;;;;;;;;;;;;<<<<<<<<<<<<<<<<=====>>>>>>>>>>>??????????@@@@@@@@@@@@@@@@@@@@@@AAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
0x40d50d	0x40d520	string	0x40d4a0	L9@@u\n
0x411ca9	0x411cc0	string	0x411c40	H9x\b
0x414c05	0x6e0050	import	0x414be0	KERNEL32.DLL.VirtualAlloc
0x414c82	0x6e0048	import	0x414c60	KERNEL32.DLL.VirtualFree
0x414e22	0x6e0050	import	0x414e00	KERNEL32.DLL.VirtualAlloc
0x41501e	0x6e0048	import	0x415000	KERNEL32.DLL.VirtualFree
0x4150bd	0x6e0050	import	0x4150a0	KERNEL32.DLL.VirtualAlloc
0x415111	0x6e0050	import	0x4150a0	KERNEL32.DLL.VirtualAlloc
0x41b7e8	0x60fb78	string	0x41b760	333333ӿ blocks=Basic Latin,Cyrillic
0x41eb40	0x41f00e	string	0x41e860	H9B8
0x41f27a	0x41f287	string	0x41f220	H9H8
0x422285	0x422291	string	0x422260	H9X\bu\vH
0x427420	0x427425	string	0x4273a0	s\bH9
0x4279e2	0x427a14	string	0x427800	t#I9
0x428fb8	0x6e0138	import	0x428fa0	KERNEL32.DLL.CreateIoCompletionPort
0x42907f	0x6e0138	import	0x429060	KERNEL32.DLL.CreateIoCompletionPort
0x429158	0x6e00a8	import	0x429120	KERNEL32.DLL.PostQueuedCompletionStatus
0x429305	0x6e00e8	import	0x4291e0	KERNEL32.DLL.GetQueuedCompletionStatusEx
0x429376	0x4293e0	string	0x4291e0	9D$D
0x4295cf	0x6e00f8	import	0x4295a0	KERNEL32.DLL.GetProcAddress
0x42968c	0x6e00d8	import	0x429660	KERNEL32.DLL.GetSystemDirectoryA
0x4297e5	0x6e00b0	import	0x429660	KERNEL32.DLL.LoadLibraryA
0x4298c7	0x6e00b0	import	0x429880	KERNEL32.DLL.LoadLibraryA
0x42a14a	0x6e00f0	import	0x42a120	KERNEL32.DLL.GetProcessAffinityMask
0x42a1b4	0x6e00d0	import	0x42a120	KERNEL32.DLL.GetSystemInfo
0x42a318	0x6e0128	import	0x42a300	KERNEL32.DLL.CreateWaitableTimerExW
0x42a36c	0x6e0150	import	0x42a300	KERNEL32.DLL.CloseHandle
0x42a579	0x6e0140	import	0x42a3c0	KERNEL32.DLL.CreateFileA
0x42a6f7	0x6e00d0	import	0x42a3c0	KERNEL32.DLL.GetSystemInfo
0x42a72b	0x6e0080	import	0x42a3c0	KERNEL32.DLL.SetProcessPriorityBoost
0x42ac98	0x6e0100	import	0x42ac80	KERNEL32.DLL.GetEnvironmentStringsW
0x42addc	0x6e0110	import	0x42ac80	KERNEL32.DLL.FreeEnvironmentStringsW
0x42ae2c	0x6e0098	import	0x42ac80	KERNEL32.DLL.SetConsoleCtrlHandler
0x42af0d	0x6e0118	import	0x42aee0	KERNEL32.DLL.ExitProcess
0x42af86	0x6e00e0	import	0x42af60	KERNEL32.DLL.GetStdHandle
0x42afc3	0x6e00e0	import	0x42af60	KERNEL32.DLL.GetStdHandle
0x42b033	0x6e0108	import	0x42af60	KERNEL32.DLL.GetConsoleMode
0x42b0a3	0x6e0020	import	0x42af60	KERNEL32.DLL.WriteFile
0x42b3d1	0x6e0028	import	0x42b3a0	KERNEL32.DLL.WriteConsoleW
0x42b4c9	0x6e0038	import	0x42b480	KERNEL32.DLL.WaitForSingleObject
0x42b62e	0x6e0030	import	0x42b480	KERNEL32.DLL.WaitForMultipleObjects
0x42b76e	0x6e0088	import	0x42b760	KERNEL32.DLL.SetEvent
0x42b801	0x6e0148	import	0x42b7e0	KERNEL32.DLL.CreateEventA
0x42b86b	0x6e0148	import	0x42b7e0	KERNEL32.DLL.CreateEventA
0x42b8d9	0x6e0150	import	0x42b7e0	KERNEL32.DLL.CloseHandle
0x42b957	0x6e0130	import	0x42b940	KERNEL32.DLL.CreateThread
0x42b9a5	0x6e0150	import	0x42b940	KERNEL32.DLL.CloseHandle
0x42baaf	0x6e0120	import	0x42ba80	KERNEL32.DLL.DuplicateHandle
0x42bb5d	0x6e0128	import	0x42ba80	KERNEL32.DLL.CreateWaitableTimerExW
0x42bbe0	0x6e0040	import	0x42ba80	KERNEL32.DLL.VirtualQuery
0x42bd7c	0x6e0150	import	0x42bd40	KERNEL32.DLL.CloseHandle
0x42bdff	0x6e0150	import	0x42bde0	KERNEL32.DLL.CloseHandle
0x42be45	0x6e0150	import	0x42bde0	KERNEL32.DLL.CloseHandle
0x42be8a	0x6e0150	import	0x42bde0	KERNEL32.DLL.CloseHandle
0x42c59d	0x6e0070	import	0x42c540	KERNEL32.DLL.SetWaitableTimer
0x42c6e2	0x6e0120	import	0x42c620	KERNEL32.DLL.DuplicateHandle
0x42c799	0x6e0060	import	0x42c620	KERNEL32.DLL.SuspendThread
0x42c7d5	0x6e00c8	import	0x42c620	KERNEL32.DLL.GetThreadContext
0x42c930	0x6e00c0	import	0x42c620	KERNEL32.DLL.SetThreadContext
0x42c980	0x6e00a0	import	0x42c620	KERNEL32.DLL.ResumeThread
0x42c9ae	0x6e0150	import	0x42c620	KERNEL32.DLL.CloseHandle
0x42c9fa	0x6e0150	import	0x42c620	KERNEL32.DLL.CloseHandle
0x42d752	0x6e6220	string	0x42d660	!"#$%%&&''((()))*++,,,,,------....//////0001123333333333444444444455666677777888888888889999999999::::::;;;;;;;;;;;;;;;;<<<<<<<<<<<<<<<<=====>>>>>>>>>>>??????????@@@@@@@@@@@@@@@@@@@@@@AAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
0x42db56	0x6e6220	string	0x42d8e0	!"#$%%&&''((()))*++,,,,,------....//////0001123333333333444444444455666677777888888888889999999999::::::;;;;;;;;;;;;;;;;<<<<<<<<<<<<<<<<=====>>>>>>>>>>>??????????@@@@@@@@@@@@@@@@@@@@@@AAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
0x42e216	0x42e228	string	0x42e1c0	IcȐH blocks=Basic Latin,Latin Extended-B
0x43beed	0x43bf21	string	0x43bea0	H9H\bw
0x43d9f4	0x43da49	string	0x43cf60	H9AH
0x43db68	0x43dbc0	string	0x43cf60	H9A8u1
0x43f4d4	0x6e0090	import	0x43f4c0	KERNEL32.DLL.SetErrorMode
0x43f505	0x6e0090	import	0x43f4c0	KERNEL32.DLL.SetErrorMode
0x43f581	0x6e0158	import	0x43f560	KERNEL32.DLL.AddVectoredExceptionHandler
0x43f657	0x6e0078	import	0x43f560	KERNEL32.DLL.SetUnhandledExceptionFilter
