reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401051	0x4030f8	import	0x401000	WININET.dll.InternetOpenW
0x401074	0x4030fc	import	0x401000	WININET.dll.InternetSetOptionW
0x401089	0x403110	import	0x401000	WININET.dll.InternetConnectA
0x4010b0	0x403104	import	0x401000	WININET.dll.HttpOpenRequestW
0x4010ce	0x403064	import	0x401000	KERNEL32.dll.CreateThread
0x4010e2	0x403068	import	0x401000	KERNEL32.dll.WaitForSingleObject
0x4010f1	0x403070	import	0x401000	KERNEL32.dll.GetExitCodeThread
0x401148	0x40310c	import	0x401000	WININET.dll.InternetReadFile
0x40125c	0x403064	import	0x401000	KERNEL32.dll.CreateThread
0x401268	0x402c40	string	0x401000	VWh$G@
0x401332	0x403108	import	0x40132a	WININET.dll.InternetCloseHandle
0x40133a	0x4030b0	import	0x40132a	MSVCRT.dll.printf
0x401347	0x4030b0	import	0x40132a	MSVCRT.dll.printf
0x401352	0x403108	import	0x40132a	WININET.dll.InternetCloseHandle
0x4013a1	0x403114	import	0x40132a	WININET.dll.HttpSendRequestA
0x4013a8	0x403060	import	0x40132a	KERNEL32.dll.Sleep
0x4013d0	0x4013b6	string	0x40132a	jjjj
0x4013d3	0x403108	import	0x40132a	WININET.dll.InternetCloseHandle
0x40141d	0x403064	import	0x401400	KERNEL32.dll.CreateThread
0x40142d	0x403024	import	0x401400	KERNEL32.dll.CreateEventW
0x401439	0x403020	import	0x401400	KERNEL32.dll.CloseHandle
0x40143f	0x404010	string	0x401400	aaaaȢ blocks=Basic Latin,Latin Extended-B
0x40145b	0x404044	string	0x401400	bbbbʸ blocks=Basic Latin,Spacing Modifier Letters
0x40147c	0x4030d4	import	0x401400	MSVCRT.dll._wtoi
0x40148f	0x4030d0	import	0x401400	MSVCRT.dll.wcscpy
0x401495	0x4030cc	import	0x401400	MSVCRT.dll.wcscat
0x4014c3	0x403064	import	0x401400	KERNEL32.dll.CreateThread
0x4014c9	0x40458c	string	0x401400	127.0.0.1
0x401527	0x4030c8	import	0x401400	MSVCRT.dll.strncmp
0x401566	0x4030c8	import	0x401400	MSVCRT.dll.strncmp
0x401578	0x403060	import	0x401400	KERNEL32.dll.Sleep
0x40159e	0x404580	string	0x401400	88776
0x4015f3	0x4030c4	import	0x401400	MSVCRT.dll.mbstowcs
0x40164a	0x40301c	import	0x401400	KERNEL32.dll.GetVersionExW
0x401650	0x403090	import	0x401400	MSVCRT.dll._itoa
0x4016a3	0x4030c8	import	0x401400	MSVCRT.dll.strncmp
0x4016ff	0x404554	string	0x401400	Win 98
0x40184b	0x4044bc	string	0x401400	Win 7
0x40185c	0x4030c0	import	0x401400	MSVCRT.dll.time
0x40186b	0x4030bc	import	0x401400	MSVCRT.dll.ctime
0x40188c	0x4030c4	import	0x401400	MSVCRT.dll.mbstowcs
0x40189e	0x4044a4	string	0x401400	flag :
0x4018b6	0x404484	string	0x401400	; hostname:
0x4018ce	0x404470	string	0x401400	; IP :
0x4018e9	0x40445c	string	0x401400	; OS :
0x401901	0x404440	string	0x401400	; VMware :
0x401919	0x404424	string	0x401400	; Proxy :
0x401931	0x40440c	string	0x401400	Process :
0x4019a8	0x4019ce	string	0x401400	95$?E
0x4019aa	0x4030b8	import	0x401400	MSVCRT.dll.rand
0x4019c8	0x403060	import	0x401400	KERNEL32.dll.Sleep
0x4019e3	0x403068	import	0x401400	KERNEL32.dll.WaitForSingleObject
0x401a20	0x403018	import	0x401400	KERNEL32.dll.GetOEMCP
0x401a27	0x403014	import	0x401400	KERNEL32.dll.WideCharToMultiByte
0x401b26	0x403038	import	0x401400	KERNEL32.dll.SetEvent
0x401b30	0x4030b8	import	0x401400	MSVCRT.dll.rand
0x401b45	0x403060	import	0x401400	KERNEL32.dll.Sleep
0x401b67	0x403060	import	0x401400	KERNEL32.dll.Sleep
0x401b77	0x403060	import	0x401400	KERNEL32.dll.Sleep
0x401def	0x401e09	string	0x401c80	_^][
0x401e29	0x40303c	import	0x401c80	KERNEL32.dll.CreatePipe
0x401eaa	0x404598	string	0x401c80	cmd.exe
0x401efc	0x40306c	import	0x401c80	KERNEL32.dll.CreateProcessW
0x401f11	0x403064	import	0x401c80	KERNEL32.dll.CreateThread
0x401f1d	0x403018	import	0x401c80	KERNEL32.dll.GetOEMCP
0x401f23	0x403034	import	0x401c80	KERNEL32.dll.MultiByteToWideChar
0x401f29	0x403060	import	0x401c80	KERNEL32.dll.Sleep
0x401f68	0x403030	import	0x401c80	KERNEL32.dll.PeekNamedPipe
0x401f93	0x40302c	import	0x401c80	KERNEL32.dll.ReadFile
0x401fca	0x403068	import	0x401c80	KERNEL32.dll.WaitForSingleObject
0x401ffb	0x4030d0	import	0x401c80	MSVCRT.dll.wcscpy
0x4020a3	0x403038	import	0x401c80	KERNEL32.dll.SetEvent
0x402108	0x403028	import	0x401c80	KERNEL32.dll.TerminateProcess
0x402141	0x403040	import	0x401c80	KERNEL32.dll.WriteFile
0x402162	0x4045a8	string	0x401c80	exit\n
0x402203	0x403060	import	0x401c80	KERNEL32.dll.Sleep
0x40221a	0x403060	import	0x401c80	KERNEL32.dll.Sleep
0x40225d	0x403060	import	0x401c80	KERNEL32.dll.Sleep
0x40229b	0x403018	import	0x402280	KERNEL32.dll.GetOEMCP
0x4022bc	0x403014	import	0x402280	KERNEL32.dll.WideCharToMultiByte
0x4022c2	0x4045a8	string	0x402280	exit\n
0x4022f9	0x403060	import	0x402280	KERNEL32.dll.Sleep
0x40236e	0x403018	import	0x402350	KERNEL32.dll.GetOEMCP
0x40238f	0x403014	import	0x402350	KERNEL32.dll.WideCharToMultiByte
0x4023c5	0x4030e8	import	0x402350	MSVCRT.dll.fopen
0x402407	0x4030e4	import	0x402350	MSVCRT.dll._itow
0x402472	0x4030f8	import	0x402350	WININET.dll.InternetOpenW
0x402492	0x403110	import	0x402350	WININET.dll.InternetConnectA
0x4024aa	0x4045b0	string	0x402350	POST
0x4024b4	0x403104	import	0x402350	WININET.dll.HttpOpenRequestW
0x4024cd	0x403100	import	0x402350	WININET.dll.HttpSendRequestW
0x4024f6	0x40310c	import	0x402350	WININET.dll.InternetReadFile
0x40252e	0x4030e0	import	0x402350	MSVCRT.dll.fwrite
0x402557	0x4030dc	import	0x402350	MSVCRT.dll.fclose
0x40256a	0x403108	import	0x402350	WININET.dll.InternetCloseHandle
0x40259a	0x403060	import	0x402350	KERNEL32.dll.Sleep
0x4025f6	0x4030d0	import	0x402350	MSVCRT.dll.wcscpy
0x40272e	0x4030d0	import	0x4026d0	MSVCRT.dll.wcscpy
0x402754	0x4045c0	string	0x4026d0	open
0x402761	0x4030f0	import	0x4026d0	SHELL32.dll.ShellExecuteW
0x402829	0x4030d4	import	0x402800	MSVCRT.dll._wtoi
0x40283a	0x403044	import	0x402800	KERNEL32.dll.OpenProcess
0x402849	0x403028	import	0x402800	KERNEL32.dll.TerminateProcess
0x402850	0x403020	import	0x402800	KERNEL32.dll.CloseHandle
0x40298d	0x4045ec	string	0x402980	Software\Microsoft\Windows\CurrentVersion\Internet Settings
0x4029ed	0x403000	import	0x402980	ADVAPI32.dll.RegOpenKeyExW
0x402a12	0x403004	import	0x402980	ADVAPI32.dll.RegQueryValueExW
0x402a1d	0x403008	import	0x402980	ADVAPI32.dll.RegCloseKey
0x402a4f	0x4030d0	import	0x402980	MSVCRT.dll.wcscpy
0x402a92	0x4046a0	string	0x402a80	Software\Microsoft\Windows\CurrentVersion\Run
0x402a9c	0x403000	import	0x402a80	ADVAPI32.dll.RegOpenKeyExW
0x402aaa	0x404694	string	0x402a80	tasks
0x402ab0	0x40300c	import	0x402a80	ADVAPI32.dll.RegDeleteValueW
0x402abf	0x403008	import	0x402a80	ADVAPI32.dll.RegCloseKey
0x402ae1	0x40305c	import	0x402a80	KERNEL32.dll.GetModuleFileNameW
0x402b1f	0x403058	import	0x402a80	KERNEL32.dll.GetShortPathNameW
0x402b34	0x404684	string	0x402a80	/c del
0x402b3a	0x403054	import	0x402a80	KERNEL32.dll.lstrcpyW
0x402b40	0x403050	import	0x402a80	KERNEL32.dll.lstrcatW
0x402b5c	0x404674	string	0x402a80	>> NUL
0x402b6e	0x404664	string	0x402a80	ComSpec
0x402b73	0x40304c	import	0x402a80	KERNEL32.dll.GetEnvironmentVariableW
0x402b92	0x4030f0	import	0x402a80	SHELL32.dll.ShellExecuteW
0x402ba9	0x403048	import	0x402a80	KERNEL32.dll.MoveFileExW
0x402bc6	0x403048	import	0x402a80	KERNEL32.dll.MoveFileExW
0x402c56	0x4030d0	import	0x402c40	MSVCRT.dll.wcscpy
0x402cf0	0x403120	import	0x402cf0	WS2_32.dll.WSACleanup
0x402cf6	0x40311c	import	0x402cf6	WS2_32.dll.gethostname
0x402cfc	0x40312c	import	0x402cfc	WS2_32.dll.inet_ntoa
0x402d02	0x403124	import	0x402d02	WS2_32.dll.gethostbyname
0x402d08	0x403128	import	0x402d08	WS2_32.dll.WSAStartup
0x402d10	0x4030b4	import	0x402d08	MSVCRT.dll._except_handler3
0x402d50	0x4030d8	import	0x402d50	MSVCRT.dll.sym_imp_void __cdecl operator delete(void *)
0x402d56	0x4030ac	import	0x402d56	MSVCRT.dll.sym_imp_void * __cdecl operator new(unsigned int)
0x402d88	0x40307c	import	0x402d56	MSVCRT.dll.__set_app_type
0x402d9d	0x403080	import	0x402d56	MSVCRT.dll.__p__fmode
0x402dab	0x403084	import	0x402d56	MSVCRT.dll.__p__commode
0x402dd8	0x40308c	import	0x402d56	MSVCRT.dll.__setusermatherr
0x402e11	0x403098	import	0x402d56	MSVCRT.dll.__getmainargs
0x402e26	0x40309c	import	0x402d56	MSVCRT.dll.__p___initenv
0x402e46	0x4030a0	import	0x402d56	MSVCRT.dll.exit
0x402e6c	0x4030a4	import	0x402e6c	MSVCRT.dll._XcptFilter
0x402e72	0x403094	import	0x402e72	MSVCRT.dll._initterm
0x402e8e	0x403078	import	0x402e8e	MSVCRT.dll._controlfp
