reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40107a	0x418238	import	0x401046	KERNEL32.dll.GetLastError
0x4010aa	0x41e110	string	0x401046	<unknown>
0x4010cc	0x41823c	import	0x401046	KERNEL32.dll.OpenProcess
0x40111e	0x418244	import	0x401046	KERNEL32.dll.CloseHandle
0x401169	0x41e138	string	0x40113a	exit\r\n
0x40117b	0x41821c	import	0x40113a	KERNEL32.dll.WriteFile
0x401189	0x418220	import	0x40113a	KERNEL32.dll.Sleep
0x4011bb	0x418224	import	0x40113a	KERNEL32.dll.GetSystemDirectoryW
0x4011d8	0x41e124	string	0x40113a	d.exe
0x401204	0x418228	import	0x40113a	KERNEL32.dll.CreatePipe
0x401239	0x418228	import	0x40113a	KERNEL32.dll.CreatePipe
0x401258	0x41822c	import	0x40113a	KERNEL32.dll.GetStartupInfoW
0x401292	0x418230	import	0x40113a	KERNEL32.dll.CreateProcessW
0x4012a5	0x418220	import	0x40113a	KERNEL32.dll.Sleep
0x4012f0	0x418234	import	0x40113a	KERNEL32.dll.ReadFile
0x401334	0x418244	import	0x40113a	KERNEL32.dll.CloseHandle
0x4013a3	0x418244	import	0x40113a	KERNEL32.dll.CloseHandle
0x4013bd	0x418244	import	0x40113a	KERNEL32.dll.CloseHandle
0x40143b	0x41821c	import	0x4013dc	KERNEL32.dll.WriteFile
0x401441	0x41e20c	string	0x4013dc	exit\r\n
0x401457	0x41e1dc	string	0x4013dc	\r\nCmd.exe is closed.\r\n
0x401470	0x41e1cc	string	0x4013dc	cmd.exe
0x401489	0x41e140	string	0x4013dc	\r\nWriteCmdPipe Error. Could not find cmd.exe(PID=%d)! ErrorCode=%d.\r\n
0x40148f	0x418370	import	0x4013dc	USER32.dll.wsprintfW
0x4014dc	0x418214	import	0x4014a9	KERNEL32.dll.ReleaseSemaphore
0x40151c	0x418218	import	0x4014a9	KERNEL32.dll.PeekNamedPipe
0x40153e	0x418234	import	0x4014a9	KERNEL32.dll.ReadFile
0x401613	0x418220	import	0x4014a9	KERNEL32.dll.Sleep
0x40163e	0x418210	import	0x401627	KERNEL32.dll.MultiByteToWideChar
0x401691	0x41820c	import	0x40167b	KERNEL32.dll.WideCharToMultiByte
0x40197b	0x41e21c	string	0x401783	Dst Space is not Enough!
0x401ae1	0x4052d6	string	0x4019f9	QSUVW
0x401c06	0x41e284	string	0x4019f9	C0ngr@tuati0ns.
0x401ff8	0x402011	string	0x401fa0	9~\fs\bW
0x4021ad	0x418208	import	0x402133	KERNEL32.dll.GetComputerNameW
0x4021c3	0x418004	import	0x402133	ADVAPI32.dll.GetUserNameW
0x4021f7	0x41840c	import	0x402133	WS2_32.dll.WSAStartup
0x402203	0x418410	import	0x402133	WS2_32.dll.gethostname
0x40220d	0x418414	import	0x402133	WS2_32.dll.gethostbyname
0x40221a	0x418418	import	0x402133	WS2_32.dll.inet_ntoa
0x402228	0x418210	import	0x402133	KERNEL32.dll.MultiByteToWideChar
0x402361	0x418200	import	0x402349	KERNEL32.dll.GetSystemInfo
0x402378	0x418204	import	0x402349	KERNEL32.dll.GetVersionExW
0x4023aa	0x41e428	string	0x402349	UnKnown Version
0x4023c8	0x41e414	string	0x402349	Windows 8
0x4023cf	0x41e3e0	string	0x402349	Windows 7/Server 2008 R2
0x4023d6	0x41e3ac	string	0x402349	Windows Server 2008/Vista
0x4023ed	0x41e384	string	0x402349	Windows Server 2003
0x4023f4	0x41e36c	string	0x402349	Windows XP
0x4023fb	0x41e350	string	0x402349	Windows 2000
0x40241c	0x41e338	string	0x402349	Windows Me
0x402423	0x41e320	string	0x402349	Windows 98
0x402433	0x41e300	string	0x402349	Windows NT 4.0
0x4025c7	0x41e474	string	0x4025a8	Software\Microsoft\Windows\Cur
0x4025e3	0x41e454	string	0x4025a8	rentVersion\Internet Settings
0x4025ee	0x41e448	string	0x4025a8	ProxyEnable
0x40262d	0x418010	import	0x4025a8	ADVAPI32.dll.RegOpenKeyExA
0x40264b	0x418014	import	0x4025a8	ADVAPI32.dll.RegQueryValueExA
0x402654	0x418018	import	0x4025a8	ADVAPI32.dll.RegCloseKey
0x4026f6	0x41e520	string	0x40269b	Host: www.github
0x40272f	0x41e4ec	string	0x40269b	abad4jfpoajdf5ndv934789fu7adjfn34435625u409t8#9#$9-
0x402747	0x41e4e4	string	0x40269b	.com\r\n
