reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40102a	0x403148	import	0x401000	WS2_32.dll.WSAStartup
0x4010a4	0x40314c	import	0x401000	WS2_32.dll.WSASetLastError
0x4010af	0x404310	string	0x401000	getaddrinfo failed with error: %d\n
0x4010b4	0x4030ec	import	0x401000	MSVCRT.dll.printf
0x4010cd	0x403150	import	0x401000	WS2_32.dll.inet_ntoa
0x4010e0	0x404304	string	0x401000	127.0.0.1
0x4010f6	0x403154	import	0x401000	WS2_32.dll.WSACleanup
0x401112	0x40437c	string	0x401102	getaddrinfo
0x401120	0x404370	string	0x401102	getnameinfo
0x40112e	0x404360	string	0x401102	freeaddrinfo
0x40115d	0x403028	import	0x401102	KERNEL32.dll.GetSystemDirectoryA
0x401184	0x40433c	string	0x401102	\ws2_32
0x40118f	0x403024	import	0x401102	KERNEL32.dll.LoadLibraryA
0x4011a1	0x403010	import	0x401102	KERNEL32.dll.GetProcAddress
0x4011ad	0x40437c	string	0x401102	getaddrinfo
0x4011ba	0x403018	import	0x401102	KERNEL32.dll.FreeLibrary
0x4011df	0x404334	string	0x401102	\wship6
0x4011fc	0x40437c	string	0x401102	getaddrinfo
0x401209	0x403018	import	0x401102	KERNEL32.dll.FreeLibrary
0x401237	0x403018	import	0x401102	KERNEL32.dll.FreeLibrary
0x401280	0x4030e0	import	0x401273	MSVCRT.dll.free
0x401373	0x40144a	string	0x4012af	9]\bt<
0x401382	0x4030dc	import	0x4012af	MSVCRT.dll.strtoul
0x401396	0x403130	import	0x4012af	WS2_32.dll.htons
0x4013a4	0x40144a	string	0x4012af	9]\bt<
0x4013b0	0x40144a	string	0x4012af	9]\bt<
0x4013bf	0x403140	import	0x4012af	WS2_32.dll.getservbyname
0x40149f	0x403144	import	0x4012af	WS2_32.dll.htonl
0x4014d7	0x403150	import	0x4012af	WS2_32.dll.inet_ntoa
0x401537	0x4030d8	import	0x401524	MSVCRT.dll.calloc
0x401577	0x403124	import	0x401555	WS2_32.dll.inet_addr
0x401595	0x4030d8	import	0x401593	MSVCRT.dll.calloc
0x4015b6	0x4030e0	import	0x401593	MSVCRT.dll.free
0x401651	0x4030d0	import	0x4015f9	MSVCRT.dll.strncpy
0x40170f	0x40312c	import	0x4016fa	WS2_32.dll.gethostbyname
0x401753	0x40179a	string	0x4016fa	_^[]
0x401760	0x4030d0	import	0x4016fa	MSVCRT.dll.strncpy
0x401772	0x40179a	string	0x4016fa	_^[]
0x401774	0x403128	import	0x4016fa	WS2_32.dll.WSAGetLastError
0x401783	0x40179a	string	0x4016fa	_^[]
0x40178c	0x40179a	string	0x4016fa	_^[]
0x401793	0x40179a	string	0x4016fa	_^[]
0x4017ea	0x404394	string	0x4017e1	65535
0x40187e	0x403138	import	0x4017e1	WS2_32.dll.getservbyport
0x401894	0x403134	import	0x4017e1	WS2_32.dll.ntohs
0x4018a7	0x4030c8	import	0x4017e1	MSVCRT.dll.sprintf
0x4018f5	0x403158	import	0x4017e1	WS2_32.dll.gethostbyaddr
0x40190f	0x4030cc	import	0x4017e1	MSVCRT.dll.strchr
0x401925	0x403128	import	0x4017e1	WS2_32.dll.WSAGetLastError
0x401987	0x4043a4	string	0x40197c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR 1.1.4322
0x40198c	0x40310c	import	0x40197c	WININET.dll.InternetOpenA
0x401996	0x403020	import	0x40197c	KERNEL32.dll.GetLastError
0x40199d	0x403110	import	0x40197c	WININET.dll.InternetCloseHandle
0x4019b2	0x403114	import	0x40197c	WININET.dll.InternetConnectA
0x4019ca	0x40439c	string	0x40197c	POST
0x4019d0	0x403118	import	0x40197c	WININET.dll.HttpOpenRequestA
0x4019df	0x403020	import	0x40197c	KERNEL32.dll.GetLastError
0x4019eb	0x403110	import	0x40197c	WININET.dll.InternetCloseHandle
0x4019fc	0x40311c	import	0x40197c	WININET.dll.HttpSendRequestA
0x401a06	0x403020	import	0x40197c	KERNEL32.dll.GetLastError
0x401a0d	0x403110	import	0x40197c	WININET.dll.InternetCloseHandle
0x401abc	0x4045c8	string	0x401aa5	WriteFil
0x401ae5	0x4045b4	string	0x401aa5	kernel32.dll
0x401aea	0x403024	import	0x401aa5	KERNEL32.dll.LoadLibraryA
0x401af1	0x403010	import	0x401aa5	KERNEL32.dll.GetProcAddress
0x401af7	0x404028	string	0x401aa5	vip.onedumb.com
0x401b1d	0x40408c	string	0x401aa5	www.tsahimt.com
0x401b31	0x403040	import	0x401aa5	KERNEL32.dll.Sleep
0x401b61	0x40408c	string	0x401aa5	www.tsahimt.com
0x401b7f	0x404594	string	0x401aa5	c:\windows\system32\browser.dll
0x401b84	0x403044	import	0x401aa5	KERNEL32.dll.CreateFileA
0x401bb9	0x403148	import	0x401aa5	WS2_32.dll.WSAStartup
0x401bc7	0x40313c	import	0x401aa5	WS2_32.dll.gethostname
0x401bd4	0x40312c	import	0x401aa5	WS2_32.dll.gethostbyname
0x401c37	0x403150	import	0x401aa5	WS2_32.dll.inet_ntoa
0x401c58	0x403048	import	0x401aa5	KERNEL32.dll.GetOEMCP
0x401c8a	0x40304c	import	0x401aa5	KERNEL32.dll.GetVersionExA
0x401c9a	0x40458c	string	0x401aa5	false
0x401cbf	0x404580	string	0x401aa5	Windows 7
0x401cce	0x404570	string	0x401aa5	Windows 2000
0x401cde	0x404564	string	0x401aa5	Windows XP
0x401cec	0x401cf5	string	0x401aa5	hLE@
0x401cee	0x404554	string	0x401aa5	Windows 2003
0x401cf5	0x40454c	string	0x401aa5	Unknown
0x401d04	0x40453c	string	0x401aa5	Windows NT 4
0x401d20	0x404500	string	0x401aa5	Software\Microsoft\Windows\CurrentVersion\Internet Settings
0x401d45	0x4044f4	string	0x401aa5	ProxyEnable
0x401d87	0x403004	import	0x401aa5	ADVAPI32.dll.RegOpenKeyExA
0x401da8	0x403008	import	0x401aa5	ADVAPI32.dll.RegQueryValueExA
0x401db1	0x403000	import	0x401aa5	ADVAPI32.dll.RegCloseKey
0x401e86	0x403040	import	0x401aa5	KERNEL32.dll.Sleep
0x401e8c	0x4044d0	string	0x401aa5	cannot connect client , continue\n
0x401e91	0x4030ec	import	0x401aa5	MSVCRT.dll.printf
0x401eb1	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x401edb	0x4044c8	string	0x401aa5	GetCMD
0x401f17	0x403060	import	0x401aa5	KERNEL32.dll.CloseHandle
0x401f23	0x403060	import	0x401aa5	KERNEL32.dll.CloseHandle
0x401f2f	0x403060	import	0x401aa5	KERNEL32.dll.CloseHandle
0x401f3b	0x403060	import	0x401aa5	KERNEL32.dll.CloseHandle
0x401f64	0x403040	import	0x401aa5	KERNEL32.dll.Sleep
0x401f85	0x403050	import	0x401aa5	KERNEL32.dll.CreateThread
0x401f8d	0x4044bc	string	0x401aa5	GetCOMMAND
0x401fd5	0x40449c	string	0x401aa5	C:\windows\system32\browser.dll
0x401fda	0x403044	import	0x401aa5	KERNEL32.dll.CreateFileA
0x401ffd	0x404490	string	0x401aa5	GetProcess
0x4020ea	0x403040	import	0x401aa5	KERNEL32.dll.Sleep
0x402160	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x402169	0x403060	import	0x401aa5	KERNEL32.dll.CloseHandle
0x402176	0x404488	string	0x401aa5	PutFile
0x402259	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x4022c1	0x4022d8	string	0x401aa5	hPD@
0x4022c3	0x40446c	string	0x401aa5	SendData error Continue\n
0x4022c8	0x4030ec	import	0x401aa5	MSVCRT.dll.printf
0x4022d8	0x404450	string	0x401aa5	SendData Success ,Recvbuff\n
0x4022dd	0x4030ec	import	0x401aa5	MSVCRT.dll.printf
0x40230a	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x402356	0x40443c	string	0x401aa5	PutFile Completely
0x4023de	0x404428	string	0x401aa5	The upload is error
0x40245e	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x402477	0x40441c	string	0x401aa5	ExecFile
0x4024b0	0x4042fc	string	0x401aa5	open
0x4024b6	0x403100	import	0x401aa5	SHELL32.dll.ShellExecuteA
0x4024d9	0x40440c	string	0x401aa5	File failed!
0x402564	0x4043f8	string	0x401aa5	File Successfully!
0x4025df	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x4025ec	0x4043ec	string	0x401aa5	KILLPROCESS
0x40261f	0x4030c0	import	0x401aa5	MSVCRT.dll.atol
0x402630	0x40305c	import	0x401aa5	KERNEL32.dll.OpenProcess
0x402638	0x403014	import	0x401aa5	KERNEL32.dll.TerminateProcess
0x4026bc	0x403108	import	0x401aa5	WININET.dll.InternetReadFile
0x4026c7	0x403040	import	0x401aa5	KERNEL32.dll.Sleep
0x402703	0x40302c	import	0x4026e3	KERNEL32.dll.CreatePipe
0x40277f	0x403030	import	0x4026e3	KERNEL32.dll.GetStartupInfoA
0x4027bb	0x403028	import	0x4026e3	KERNEL32.dll.GetSystemDirectoryA
0x4027c7	0x4045e0	string	0x4026e3	\cmd.exe
0x4027e8	0x40301c	import	0x4026e3	KERNEL32.dll.CreateProcessA
0x40284d	0x403034	import	0x4026e3	KERNEL32.dll.PeekNamedPipe
0x402877	0x403038	import	0x4026e3	KERNEL32.dll.ReadFile
0x402907	0x403108	import	0x4026e3	WININET.dll.InternetReadFile
0x402912	0x403040	import	0x4026e3	KERNEL32.dll.Sleep
0x402922	0x403060	import	0x4026e3	KERNEL32.dll.CloseHandle
0x402941	0x4045d4	string	0x4026e3	tskill %d
0x402947	0x4030c8	import	0x4026e3	MSVCRT.dll.sprintf
0x402955	0x40303c	import	0x4026e3	KERNEL32.dll.WinExec
0x402970	0x403068	import	0x402970	MFC42.DLL.CFile::~CFile
0x402976	0x403078	import	0x402976	MFC42.DLL.CFile::Close
0x40297c	0x403074	import	0x40297c	MFC42.DLL.CFile::Write
0x402982	0x403070	import	0x402982	MFC42.DLL.CFile::Open
0x402988	0x40306c	import	0x402988	MFC42.DLL.CFile::CFile
0x40298e	0x40307c	import	0x40298e	MFC42.DLL.operatornew
0x402994	0x4030f8	import	0x402994	MSVCRT.dll.strcat
0x40299a	0x4030f4	import	0x40299a	MSVCRT.dll.strcmp
0x4029a0	0x4030f0	import	0x4029a0	MSVCRT.dll.memcpy
0x4029a6	0x4030e8	import	0x4029a6	MSVCRT.dll.memset
0x4029ac	0x4030e4	import	0x4029ac	MSVCRT.dll.strcpy
0x4029b2	0x4030d4	import	0x4029b2	MSVCRT.dll.strlen
