reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001039	0x10006024	import	0x10001000	KERNEL32.dll.GetCommandLineA
0x1000111e	0x10006020	import	0x100010d9	KERNEL32.dll.DecodePointer
0x1000112c	0x10001300	string	0x100010d9	j\bh q
0x10001133	0x1000601c	import	0x100010d9	KERNEL32.dll.GetCurrentThreadId
0x1000127f	0x10006028	import	0x1000127d	KERNEL32.dll.EncodePointer
0x10001286	0x1000602c	import	0x1000127d	KERNEL32.dll.TlsAlloc
0x10001298	0x10006030	import	0x1000128f	KERNEL32.dll.TlsGetValue
0x100012aa	0x10006020	import	0x1000128f	KERNEL32.dll.DecodePointer
0x100012b9	0x10006034	import	0x1000128f	KERNEL32.dll.TlsSetValue
0x100012d4	0x10006020	import	0x100012c3	KERNEL32.dll.DecodePointer
0x100012ee	0x10006038	import	0x100012c3	KERNEL32.dll.TlsFree
0x1000130c	0x10006124	string	0x10001300	KERNEL32.DLL
0x10001311	0x10006040	import	0x10001300	KERNEL32.dll.GetModuleHandleW
0x10001352	0x1000603c	import	0x10001300	KERNEL32.dll.InterlockedIncrement
0x100013b8	0x10006048	import	0x100013b4	KERNEL32.dll.GetLastError
0x100013f4	0x10006020	import	0x100013b4	KERNEL32.dll.DecodePointer
0x10001403	0x10001300	string	0x100013b4	j\bh q
0x1000140a	0x1000601c	import	0x100013b4	KERNEL32.dll.GetCurrentThreadId
0x10001422	0x10006044	import	0x100013b4	KERNEL32.dll.SetLastError
0x100014e5	0x1000604c	import	0x10001447	KERNEL32.dll.InterlockedDecrement
0x10001591	0x10006030	import	0x10001576	KERNEL32.dll.TlsGetValue
0x100015bf	0x10006020	import	0x10001576	KERNEL32.dll.DecodePointer
0x100015ca	0x10001447	string	0x10001576	j\bhHq
0x100015dc	0x10006034	import	0x10001576	KERNEL32.dll.TlsSetValue
0x100015e7	0x10006124	string	0x100015e4	KERNEL32.DLL
0x100015ec	0x10006040	import	0x100015e4	KERNEL32.dll.GetModuleHandleW
0x10001602	0x10006050	import	0x100015e4	KERNEL32.dll.GetProcAddress
0x10001608	0x10006160	string	0x100015e4	FlsAlloc
0x10001610	0x10006154	string	0x100015e4	FlsGetValue
0x1000161d	0x10006148	string	0x100015e4	FlsSetValue
0x1000162a	0x10006140	string	0x100015e4	FlsFree
0x1000163e	0x10006034	import	0x100015e4	KERNEL32.dll.TlsSetValue
0x10001685	0x1000602c	import	0x100015e4	KERNEL32.dll.TlsAlloc
0x100016b5	0x10006028	import	0x100015e4	KERNEL32.dll.EncodePointer
0x100016f2	0x10006020	import	0x100015e4	KERNEL32.dll.DecodePointer
0x100016f8	0x10001447	string	0x100015e4	j\bhHq
0x1000173d	0x10001300	string	0x100015e4	j\bh q
0x10001744	0x1000601c	import	0x100015e4	KERNEL32.dll.GetCurrentThreadId
0x10001775	0x10006054	import	0x1000175f	KERNEL32.dll.HeapFree
0x10001787	0x10006048	import	0x1000175f	KERNEL32.dll.GetLastError
0x100017ba	0x10006058	import	0x10001799	KERNEL32.dll.Sleep
0x10001806	0x10006058	import	0x100017de	KERNEL32.dll.Sleep
0x10001854	0x10006058	import	0x1000182a	KERNEL32.dll.Sleep
0x1000187d	0x1000617c	string	0x10001878	mscoree.dll
0x10001882	0x10006040	import	0x10001878	KERNEL32.dll.GetModuleHandleW
0x1000188c	0x1000616c	string	0x10001878	CorExitProcess
0x10001892	0x10006050	import	0x10001878	KERNEL32.dll.GetProcAddress
0x100018b4	0x1000605c	import	0x100018a3	KERNEL32.dll.ExitProcess
0x1000190b	0x1000191c	string	0x10001900	;u\fr
0x100019ff	0x10006020	import	0x100019bb	KERNEL32.dll.DecodePointer
0x10001b07	0x100019bb	string	0x10001afb	j hpq
0x10001b17	0x100019bb	string	0x10001b11	j hpq
0x10001b4b	0x10006070	import	0x10001b3e	KERNEL32.dll.GetStartupInfoW
0x10001b7f	0x10001bb7	string	0x10001b3e	SWf9M
0x10001c4f	0x10001bf3	string	0x10001b3e	j@j
0x10001c7e	0x1000606c	import	0x10001b3e	KERNEL32.dll.GetFileType
0x10001cb4	0x10006068	import	0x10001b3e	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10001d08	0x10006064	import	0x10001b3e	KERNEL32.dll.GetStdHandle
0x10001d1a	0x1000606c	import	0x10001b3e	KERNEL32.dll.GetFileType
0x10001d48	0x10006068	import	0x10001b3e	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10001d71	0x10006060	import	0x10001b3e	KERNEL32.dll.SetHandleCount
0x10001da6	0x10006074	import	0x10001d83	KERNEL32.dll.DeleteCriticalSection
0x10002078	0x10006078	import	0x1000204c	KERNEL32.dll.GetModuleFileNameA
0x10002111	0x10006084	import	0x10002107	KERNEL32.dll.GetEnvironmentStringsW
0x10002139	0x10006080	import	0x10002107	KERNEL32.dll.WideCharToMultiByte
0x10002185	0x1000607c	import	0x10002107	KERNEL32.dll.FreeEnvironmentStringsW
0x10002191	0x1000607c	import	0x10002107	KERNEL32.dll.FreeEnvironmentStringsW
0x100021f3	0x10006088	import	0x100021ea	KERNEL32.dll.HeapCreate
0x1000220e	0x1000608c	import	0x10002208	KERNEL32.dll.HeapDestroy
0x10002309	0x10003fe2	string	0x10002282	UVWS
0x1000245b	0x10002555	string	0x1000240f	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x1000246c	0x10002555	string	0x1000240f	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x100025b0	0x10006094	import	0x10002579	KERNEL32.dll.GetSystemTimeAsFileTime
0x100025bc	0x10006090	import	0x10002579	KERNEL32.dll.GetCurrentProcessId
0x100025c4	0x1000601c	import	0x10002579	KERNEL32.dll.GetCurrentThreadId
0x100025cc	0x10006008	import	0x10002579	KERNEL32.dll.GetTickCount
0x100025d8	0x10006000	import	0x10002579	KERNEL32.dll.QueryPerformanceCounter
0x1000263c	0x10006068	import	0x10002614	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10002661	0x10006074	import	0x10002614	KERNEL32.dll.DeleteCriticalSection
0x100026c4	0x10006098	import	0x100026b5	KERNEL32.dll.LeaveCriticalSection
0x10002744	0x10006068	import	0x100026cc	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x100027b8	0x1000609c	import	0x1000278e	KERNEL32.dll.EnterCriticalSection
0x100027c8	0x1000603c	import	0x100027c1	KERNEL32.dll.InterlockedIncrement
