reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140003db2	0x1410ed7f8	import	0x140002380	KERNEL32.dll.RtlVirtualUnwind
0x1400090e1	0x1410ed7f8	import	0x140003e00	KERNEL32.dll.RtlVirtualUnwind
0x14000de0b	0x1410ed7f8	import	0x140009100	KERNEL32.dll.RtlVirtualUnwind
0x140016146	0x1410ed7f8	import	0x14000df00	KERNEL32.dll.RtlVirtualUnwind
0x14001aee0	0x1410ed7f8	import	0x140016240	KERNEL32.dll.RtlVirtualUnwind
0x1400229d6	0x1410ed7f8	import	0x14001af00	KERNEL32.dll.RtlVirtualUnwind
0x140023aaf	0x1410ed7f8	import	0x140023820	KERNEL32.dll.RtlVirtualUnwind
0x140024c2f	0x1410ed7f8	import	0x140023b00	KERNEL32.dll.RtlVirtualUnwind
0x140028654	0x1410ed7f8	import	0x140028470	KERNEL32.dll.RtlVirtualUnwind
0x14002a72b	0x1410ed7f8	import	0x140029a00	KERNEL32.dll.RtlVirtualUnwind
0x14002b73f	0x1410ed7f8	import	0x14002b080	KERNEL32.dll.RtlVirtualUnwind
0x14002c164	0x1410ed7f8	import	0x14002b780	KERNEL32.dll.RtlVirtualUnwind
0x14002ccec	0x1410ed7f8	import	0x14002cb00	KERNEL32.dll.RtlVirtualUnwind
0x14005687c	0x1410ed7f8	import	0x1400556e0	KERNEL32.dll.RtlVirtualUnwind
0x14005ad2a	0x1410ed7f8	import	0x140056b00	KERNEL32.dll.RtlVirtualUnwind
0x14005d219	0x1410ed7f8	import	0x14005b4e0	KERNEL32.dll.RtlVirtualUnwind
0x1400607d3	0x1410ed7f8	import	0x1400603a0	KERNEL32.dll.RtlVirtualUnwind
0x140061985	0x1410ed7f8	import	0x140060800	KERNEL32.dll.RtlVirtualUnwind
0x140061f2a	0x1410ed7f8	import	0x140061c90	KERNEL32.dll.RtlVirtualUnwind
0x140063d39	0x1410ed7f8	import	0x140063a40	KERNEL32.dll.RtlVirtualUnwind
0x140065e0a	0x1410ed7f8	import	0x140065c00	KERNEL32.dll.RtlVirtualUnwind
0x140066dfd	0x1410ed7f8	import	0x140066960	KERNEL32.dll.RtlVirtualUnwind
0x14006bab2	0x1410ed7f8	import	0x14006b6f0	KERNEL32.dll.RtlVirtualUnwind
0x1400704aa	0x1410ed7f8	import	0x14006bb00	KERNEL32.dll.RtlVirtualUnwind
0x140073182	0x1410ed7f8	import	0x140070500	KERNEL32.dll.RtlVirtualUnwind
0x140074bef	0x1410ed7f8	import	0x1400731c0	KERNEL32.dll.RtlVirtualUnwind
0x14007845c	0x1410ed2c0	import	0x140078400	KERNEL32.dll.VerSetConditionMask
0x14007846b	0x1410ed2c0	import	0x140078400	KERNEL32.dll.VerSetConditionMask
0x14007847a	0x1410ed2c0	import	0x140078400	KERNEL32.dll.VerSetConditionMask
0x14007849f	0x1410ed2c8	import	0x140078400	KERNEL32.dll.VerifyVersionInfoW
0x140078548	0x1410ed2c0	import	0x1400784d0	KERNEL32.dll.VerSetConditionMask
0x14007855b	0x1410ed2c8	import	0x1400784d0	KERNEL32.dll.VerifyVersionInfoW
0x140078583	0x1410ed2d0	import	0x1400784d0	KERNEL32.dll.GetEnvironmentVariableA
0x140078630	0x1410ed2d8	import	0x1400784d0	KERNEL32.dll.WideCharToMultiByte
0x140078672	0x1410ed2d8	import	0x1400784d0	KERNEL32.dll.WideCharToMultiByte
0x1400788c1	0x1410ed2d0	import	0x140078890	KERNEL32.dll.GetEnvironmentVariableA
0x1400788cb	0x1410ed2e0	import	0x140078890	KERNEL32.dll.GetLastError
